T,A,R,R4
300,1.2±0.5,30.358±0.016,1.87±0.005
255,1.69e+00±1.45e-02,36.969±0.023,2.324±0.006
170,2.951e+00±1.172e-02,69.806±0.129,3.381±0.005
160,3.186e+00±3.240e-02,69.297±0.184,3.33±0.011
150,2.975e+00±3.211e-02,81.406±0.349,3.574±0.007
140,3.274e+00±4.760e-02,84.766±0.404,3.568±0.012
130,2.907e+00±3.812e-02,98.052±0.602,3.731±0.008
120,3.225e+00±5.739e-02,111.213±0.837,3.707±0.019
110,2.689e+00±4.556e-02,123.694±1.196,3.848±0.009
100,3.079e+00±8.857e-02,145.848±2.147,3.767±0.022
90,2.424e+00±5.096e-02,164.971±2.01,3.794±0.011
85,2.309e+00±4.775e-02,178.733±2.329,3.712±0.014
