Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-05
Sample Interval,2e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH2
-2.080e-05,0
-2.060e-05,0.004
-2.040e-05,0
-2.020e-05,0.004
-2.000e-05,0.004
-1.980e-05,0.004
-1.960e-05,0.016
-1.940e-05,0
-1.920e-05,0.012
-1.900e-05,-0.004
-1.880e-05,0
-1.860e-05,0.02
-1.840e-05,0.012
-1.820e-05,0.004
-1.800e-05,0.012
-1.780e-05,0.008
-1.760e-05,0.004
-1.740e-05,0.012
-1.720e-05,0.012
-1.700e-05,0.004
-1.680e-05,0.008
-1.660e-05,0
-1.640e-05,0.004
-1.620e-05,0.004
-1.600e-05,0
-1.580e-05,0
-1.560e-05,-0.004
-1.540e-05,0.004
-1.520e-05,0
-1.500e-05,0
-1.480e-05,0.012
-1.460e-05,0
-1.440e-05,0.012
-1.420e-05,-0.004
-1.400e-05,0.004
-1.380e-05,-0.008
-1.360e-05,0
-1.340e-05,0.004
-1.320e-05,0.004
-1.300e-05,-0.004
-1.280e-05,0
-1.260e-05,0
-1.240e-05,-0.004
-1.220e-05,0
-1.200e-05,0
-1.180e-05,-0.008
-1.160e-05,-0.008
-1.140e-05,0
-1.120e-05,0.012
-1.100e-05,0
-1.080e-05,0.004
-1.060e-05,0.016
-1.040e-05,-0.004
-1.020e-05,0.004
-1.000e-05,0.012
-9.800e-06,0.004
-9.600e-06,0.008
-9.400e-06,0
-9.200e-06,-0.004
-9.000e-06,0.008
-8.800e-06,0.012
-8.600e-06,0.004
-8.400e-06,0
-8.200e-06,0
-8.000e-06,0.012
-7.800e-06,0.012
-7.600e-06,0.004
-7.400e-06,0.016
-7.200e-06,0.004
-7.000e-06,-0.004
-6.800e-06,0.004
-6.600e-06,0.008
-6.400e-06,-0.004
-6.200e-06,0
-6.000e-06,0.004
-5.800e-06,0.004
-5.600e-06,0.008
-5.400e-06,-0.008
-5.200e-06,-0.004
-5.000e-06,0.012
-4.800e-06,0.004
-4.600e-06,0.008
-4.400e-06,0.012
-4.200e-06,-0.004
-4.000e-06,0.004
-3.800e-06,0
-3.600e-06,0.004
-3.400e-06,0.004
-3.200e-06,0.012
-3.000e-06,-0.004
-2.800e-06,0.004
-2.600e-06,0.004
-2.400e-06,-0.008
-2.200e-06,0.004
-2.000e-06,0.012
-1.800e-06,0
-1.600e-06,0.004
-1.400e-06,0.02
-1.200e-06,-0.008
-1.000e-06,0
-8.000e-07,0.008
-6.000e-07,0.012
-4.000e-07,0.004
-2.000e-07,0.012
2.504e-20,0.64
2.000e-07,0.424
4.000e-07,0.416
6.000e-07,0.412
8.000e-07,0.428
1.000e-06,0.416
1.200e-06,0.42
1.400e-06,0.428
1.600e-06,0.432
1.800e-06,0.42
2.000e-06,0.424
2.200e-06,0.428
2.400e-06,0.436
2.600e-06,0.436
2.800e-06,0.428
3.000e-06,0.424
3.200e-06,0.428
3.400e-06,0.424
3.600e-06,0.42
3.800e-06,0.432
4.000e-06,0.436
4.200e-06,0.424
4.400e-06,0.412
4.600e-06,0.424
4.800e-06,0.416
5.000e-06,0.424
5.200e-06,0.436
5.400e-06,0.428
5.600e-06,0.436
5.800e-06,0.424
6.000e-06,0.428
6.200e-06,0.42
6.400e-06,0.42
6.600e-06,0.408
6.800e-06,0.428
7.000e-06,0.424
7.200e-06,0.424
7.400e-06,0.424
7.600e-06,0.416
7.800e-06,0.44
8.000e-06,0.432
8.200e-06,0.432
8.400e-06,0.424
8.600e-06,0.424
8.800e-06,0.412
9.000e-06,0.416
9.200e-06,0.428
9.400e-06,0.424
9.600e-06,0.416
9.800e-06,0.42
1.000e-05,0.424
1.020e-05,0.42
1.040e-05,0.424
1.060e-05,0.42
1.080e-05,0.428
1.100e-05,0.436
1.120e-05,0.428
1.140e-05,0.428
1.160e-05,0.42
1.180e-05,0.424
1.200e-05,0.428
1.220e-05,0.424
1.240e-05,0.424
1.260e-05,0.432
1.280e-05,0.416
1.300e-05,0.424
1.320e-05,0.408
1.340e-05,0.428
1.360e-05,0.424
1.380e-05,0.428
1.400e-05,0.416
1.420e-05,0.436
1.440e-05,0.428
1.460e-05,0.428
1.480e-05,0.424
1.500e-05,0.424
1.520e-05,0.428
1.540e-05,0.428
1.560e-05,0.424
1.580e-05,0.428
1.600e-05,0.428
1.620e-05,0.42
1.640e-05,0.424
1.660e-05,0.428
1.680e-05,0.42
1.700e-05,0.424
1.720e-05,0.42
1.740e-05,0.416
1.760e-05,0.428
1.780e-05,0.428
1.800e-05,0.428
1.820e-05,0.428
1.840e-05,0.428
1.860e-05,0.436
1.880e-05,0.424
1.900e-05,0.424
1.920e-05,0.42
1.940e-05,0.432
1.960e-05,0.428
1.980e-05,0.424
2.000e-05,0.428
2.020e-05,0.412
2.040e-05,0.428
2.060e-05,0.424
2.080e-05,0.428
2.100e-05,0.44
2.120e-05,0.432
2.140e-05,0.436
2.160e-05,0.432
2.180e-05,0.436
2.200e-05,0.428
2.220e-05,0.436
2.240e-05,0.428
2.260e-05,0.416
2.280e-05,0.432
2.300e-05,0.428
2.320e-05,0.424
2.340e-05,0.42
2.360e-05,0.42
2.380e-05,0.432
2.400e-05,0.44
2.420e-05,0.424
2.440e-05,0.428
2.460e-05,0.428
2.480e-05,0.42
2.500e-05,0.428
2.520e-05,0.432
2.540e-05,0.428
2.560e-05,0.416
2.580e-05,0.432
2.600e-05,0.416
2.620e-05,0.436
2.640e-05,0.42
2.660e-05,0.42
2.680e-05,0.424
2.700e-05,0.424
2.720e-05,0.432
2.740e-05,0.42
2.760e-05,0.416
2.780e-05,0.416
2.800e-05,0.428
2.820e-05,0.428
2.840e-05,0.436
2.860e-05,0.436
2.880e-05,0.428
2.900e-05,0.424
2.920e-05,0.436
2.940e-05,0.424
2.960e-05,0.428
2.980e-05,0.436
3.000e-05,0.424
3.020e-05,0.428
3.040e-05,0.428
3.060e-05,0.432
3.080e-05,0.428
3.100e-05,0.448
3.120e-05,0.428
3.140e-05,0.444
3.160e-05,0.428
3.180e-05,0.428
3.200e-05,0.424
3.220e-05,0.428
3.240e-05,0.428
3.260e-05,0.44
3.280e-05,0.428
3.300e-05,0.416
3.320e-05,0.436
3.340e-05,0.428
3.360e-05,0.42
3.380e-05,0.424
3.400e-05,0.424
3.420e-05,0.428
3.440e-05,0.424
3.460e-05,0.428
3.480e-05,0.424
