Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,2e-05
Sample Interval,2e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-2.080e-05,-0.02
-2.060e-05,0.02
-2.040e-05,-0.02
-2.020e-05,0.02
-2.000e-05,0.02
-1.980e-05,-0.02
-1.960e-05,-0.02
-1.940e-05,0.06
-1.920e-05,0.06
-1.900e-05,0.06
-1.880e-05,-0.02
-1.860e-05,0.1
-1.840e-05,0.06
-1.820e-05,-0.02
-1.800e-05,-0.1
-1.780e-05,-0.06
-1.760e-05,0.02
-1.740e-05,0.06
-1.720e-05,0.02
-1.700e-05,0.02
-1.680e-05,0.1
-1.660e-05,0.06
-1.640e-05,0.1
-1.620e-05,0.06
-1.600e-05,0.06
-1.580e-05,0.02
-1.560e-05,-0.06
-1.540e-05,-0.02
-1.520e-05,0.06
-1.500e-05,0.1
-1.480e-05,0.1
-1.460e-05,0.06
-1.440e-05,0.1
-1.420e-05,0.1
-1.400e-05,0.06
-1.380e-05,0.06
-1.360e-05,0.02
-1.340e-05,0.1
-1.320e-05,0.06
-1.300e-05,0.06
-1.280e-05,-0.02
-1.260e-05,-0.02
-1.240e-05,0.02
-1.220e-05,0.06
-1.200e-05,0.06
-1.180e-05,0.02
-1.160e-05,0.02
-1.140e-05,-0.02
-1.120e-05,0.06
-1.100e-05,0.02
-1.080e-05,0.02
-1.060e-05,0.06
-1.040e-05,0.02
-1.020e-05,0.1
-1.000e-05,0.14
-9.800e-06,-0.06
-9.600e-06,0.06
-9.400e-06,-0.02
-9.200e-06,-0.02
-9.000e-06,0.06
-8.800e-06,0.02
-8.600e-06,0.02
-8.400e-06,0.1
-8.200e-06,0.02
-8.000e-06,-0.02
-7.800e-06,-0.02
-7.600e-06,0.06
-7.400e-06,0.1
-7.200e-06,0.02
-7.000e-06,0.1
-6.800e-06,0.06
-6.600e-06,0.02
-6.400e-06,0.14
-6.200e-06,0.02
-6.000e-06,0.02
-5.800e-06,0.06
-5.600e-06,-0.02
-5.400e-06,0.06
-5.200e-06,0.02
-5.000e-06,0.1
-4.800e-06,-0.02
-4.600e-06,0.02
-4.400e-06,0.02
-4.200e-06,-0.02
-4.000e-06,-0.1
-3.800e-06,0.1
-3.600e-06,-0.02
-3.400e-06,-0.02
-3.200e-06,0.06
-3.000e-06,-0.02
-2.800e-06,0.1
-2.600e-06,0.1
-2.400e-06,0.1
-2.200e-06,0.06
-2.000e-06,0.06
-1.800e-06,-0.02
-1.600e-06,0.02
-1.400e-06,0.06
-1.200e-06,0.1
-1.000e-06,0.02
-8.000e-07,0.1
-6.000e-07,0.02
-4.000e-07,0.06
-2.000e-07,0.06
2.504e-20,5.14
2.000e-07,4.98
4.000e-07,4.9
6.000e-07,4.98
8.000e-07,4.98
1.000e-06,5.02
1.200e-06,4.98
1.400e-06,5.02
1.600e-06,4.98
1.800e-06,4.98
2.000e-06,4.98
2.200e-06,5.02
2.400e-06,4.94
2.600e-06,4.98
2.800e-06,5.02
3.000e-06,4.98
3.200e-06,4.94
3.400e-06,4.98
3.600e-06,4.98
3.800e-06,4.94
4.000e-06,4.94
4.200e-06,5.02
4.400e-06,5.06
4.600e-06,5.06
4.800e-06,4.98
5.000e-06,5.06
5.200e-06,4.98
5.400e-06,4.98
5.600e-06,5.02
5.800e-06,5.02
6.000e-06,5.02
6.200e-06,5.1
6.400e-06,5.06
6.600e-06,4.98
6.800e-06,5.02
7.000e-06,5.06
7.200e-06,5.06
7.400e-06,5.06
7.600e-06,4.98
7.800e-06,5.06
8.000e-06,5.02
8.200e-06,5.02
8.400e-06,5.06
8.600e-06,5.06
8.800e-06,4.94
9.000e-06,5.06
9.200e-06,5.02
9.400e-06,5.02
9.600e-06,5.06
9.800e-06,5.06
1.000e-05,5.02
1.020e-05,5.06
1.040e-05,4.98
1.060e-05,5.06
1.080e-05,5.06
1.100e-05,5.06
1.120e-05,5.02
1.140e-05,4.98
1.160e-05,5.06
1.180e-05,5.02
1.200e-05,5.06
1.220e-05,5.06
1.240e-05,5.02
1.260e-05,5.06
1.280e-05,5.02
1.300e-05,5.02
1.320e-05,5.14
1.340e-05,5.06
1.360e-05,4.98
1.380e-05,5.02
1.400e-05,4.94
1.420e-05,5.02
1.440e-05,4.98
1.460e-05,5.1
1.480e-05,5.02
1.500e-05,5.02
1.520e-05,4.94
1.540e-05,5.06
1.560e-05,5.06
1.580e-05,5.02
1.600e-05,5.02
1.620e-05,4.94
1.640e-05,5.02
1.660e-05,5.02
1.680e-05,4.98
1.700e-05,5.02
1.720e-05,5.06
1.740e-05,5.02
1.760e-05,5.06
1.780e-05,5.06
1.800e-05,4.98
1.820e-05,4.98
1.840e-05,5.06
1.860e-05,4.98
1.880e-05,5.06
1.900e-05,5.02
1.920e-05,4.98
1.940e-05,4.94
1.960e-05,4.98
1.980e-05,4.98
2.000e-05,5.02
2.020e-05,5.02
2.040e-05,4.98
2.060e-05,5.06
2.080e-05,5.06
2.100e-05,5.02
2.120e-05,5.06
2.140e-05,4.98
2.160e-05,4.98
2.180e-05,5.1
2.200e-05,4.98
2.220e-05,5.02
2.240e-05,5.02
2.260e-05,5.06
2.280e-05,4.98
2.300e-05,5.02
2.320e-05,5.1
2.340e-05,5.06
2.360e-05,4.98
2.380e-05,5.1
2.400e-05,4.98
2.420e-05,5.1
2.440e-05,4.98
2.460e-05,5.02
2.480e-05,4.98
2.500e-05,5.02
2.520e-05,5.06
2.540e-05,5.06
2.560e-05,5.06
2.580e-05,5.06
2.600e-05,4.98
2.620e-05,4.94
2.640e-05,5.02
2.660e-05,5.02
2.680e-05,5.02
2.700e-05,4.98
2.720e-05,5.02
2.740e-05,5.02
2.760e-05,4.98
2.780e-05,5.06
2.800e-05,5.02
2.820e-05,4.98
2.840e-05,5.06
2.860e-05,5.06
2.880e-05,5.02
2.900e-05,5.06
2.920e-05,5.02
2.940e-05,4.98
2.960e-05,4.94
2.980e-05,5.02
3.000e-05,4.94
3.020e-05,5.02
3.040e-05,5.02
3.060e-05,5.06
3.080e-05,4.94
3.100e-05,5.06
3.120e-05,4.98
3.140e-05,5.02
3.160e-05,5.06
3.180e-05,5.02
3.200e-05,5.06
3.220e-05,4.94
3.240e-05,4.98
3.260e-05,4.98
3.280e-05,5.02
3.300e-05,5.06
3.320e-05,5.06
3.340e-05,4.98
3.360e-05,5.02
3.380e-05,5.02
