Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,0.001
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-5.600e-02,-0.04
-5.500e-02,0.04
-5.400e-02,0.04
-5.300e-02,0.04
-5.200e-02,0.04
-5.100e-02,0.04
-5.000e-02,-0.12
-4.900e-02,0.04
-4.800e-02,0.04
-4.700e-02,0.04
-4.600e-02,-0.04
-4.500e-02,-0.12
-4.400e-02,0.04
-4.300e-02,0.12
-4.200e-02,0.04
-4.100e-02,0.04
-4.000e-02,0.04
-3.900e-02,0.04
-3.800e-02,-0.04
-3.700e-02,0.12
-3.600e-02,0.04
-3.500e-02,0.04
-3.400e-02,-0.12
-3.300e-02,0.04
-3.200e-02,0.04
-3.100e-02,0.04
-3.000e-02,0.04
-2.900e-02,-0.04
-2.800e-02,0.04
-2.700e-02,-0.12
-2.600e-02,-0.04
-2.500e-02,0.04
-2.400e-02,0.04
-2.300e-02,0.04
-2.200e-02,0.04
-2.100e-02,-0.04
-2.000e-02,0.12
-1.900e-02,0.04
-1.800e-02,0.04
-1.700e-02,-0.12
-1.600e-02,0.04
-1.500e-02,-0.04
-1.400e-02,-0.04
-1.300e-02,0.04
-1.200e-02,-0.04
-1.100e-02,-0.04
-1.000e-02,-0.04
-9.000e-03,-0.04
-8.000e-03,-0.04
-7.000e-03,0.12
-6.000e-03,0.04
-5.000e-03,-0.04
-4.000e-03,0.04
-3.000e-03,-0.04
-2.000e-03,0.04
-1.000e-03,-0.04
4.857e-17,8.6
1.000e-03,8.44
2.000e-03,8.52
3.000e-03,8.76
4.000e-03,8.52
5.000e-03,8.52
6.000e-03,8.52
7.000e-03,8.52
8.000e-03,8.52
9.000e-03,8.44
1.000e-02,8.6
1.100e-02,8.6
1.200e-02,8.36
1.300e-02,8.44
1.400e-02,8.28
1.500e-02,8.44
1.600e-02,8.44
1.700e-02,8.36
1.800e-02,8.44
1.900e-02,8.44
2.000e-02,8.36
2.100e-02,8.36
2.200e-02,8.36
2.300e-02,8.44
2.400e-02,8.44
2.500e-02,8.36
2.600e-02,8.28
2.700e-02,8.36
2.800e-02,8.36
2.900e-02,8.36
3.000e-02,8.44
3.100e-02,8.36
3.200e-02,8.44
3.300e-02,8.36
3.400e-02,8.44
3.500e-02,8.36
3.600e-02,8.44
3.700e-02,8.28
3.800e-02,8.28
3.900e-02,8.44
4.000e-02,8.28
4.100e-02,8.2
4.200e-02,8.28
4.300e-02,8.28
4.400e-02,8.2
4.500e-02,-0.04
4.600e-02,0.04
4.700e-02,0.04
4.800e-02,0.04
4.900e-02,-0.04
5.000e-02,0.04
5.100e-02,0.04
5.200e-02,-0.12
5.300e-02,0.04
5.400e-02,0.2
5.500e-02,8.36
5.600e-02,8.36
5.700e-02,8.36
5.800e-02,8.44
5.900e-02,8.36
6.000e-02,8.52
6.100e-02,8.36
6.200e-02,8.36
6.300e-02,8.28
6.400e-02,8.36
6.500e-02,8.44
6.600e-02,8.36
6.700e-02,8.36
6.800e-02,8.36
6.900e-02,8.36
7.000e-02,8.2
7.100e-02,8.36
7.200e-02,8.2
7.300e-02,8.44
7.400e-02,8.28
7.500e-02,8.36
7.600e-02,8.36
7.700e-02,8.28
7.800e-02,8.28
7.900e-02,8.28
8.000e-02,8.36
8.100e-02,8.36
8.200e-02,8.2
8.300e-02,8.2
8.400e-02,8.28
8.500e-02,8.2
8.600e-02,8.2
8.700e-02,8.36
8.800e-02,8.28
8.900e-02,8.28
9.000e-02,8.28
9.100e-02,8.28
9.200e-02,8.28
9.300e-02,8.36
9.400e-02,8.2
9.500e-02,8.2
9.600e-02,8.2
9.700e-02,8.28
9.800e-02,8.12
9.900e-02,8.12
1.000e-01,-0.04
1.010e-01,0.04
1.020e-01,0.12
1.030e-01,0.04
1.040e-01,0.04
1.050e-01,-0.04
1.060e-01,0.12
1.070e-01,0.04
1.080e-01,0.04
1.090e-01,0.04
1.100e-01,8.44
1.110e-01,8.28
1.120e-01,8.28
1.130e-01,8.28
1.140e-01,8.12
1.150e-01,8.28
1.160e-01,8.36
1.170e-01,8.28
1.180e-01,8.36
1.190e-01,8.2
1.200e-01,8.28
1.210e-01,8.2
1.220e-01,8.2
1.230e-01,8.2
1.240e-01,8.2
1.250e-01,8.2
1.260e-01,8.2
1.270e-01,8.2
1.280e-01,8.12
1.290e-01,8.36
1.300e-01,8.36
1.310e-01,8.28
1.320e-01,8.36
1.330e-01,8.2
1.340e-01,8.28
1.350e-01,8.2
1.360e-01,8.28
1.370e-01,8.28
1.380e-01,8.12
1.390e-01,8.2
1.400e-01,8.12
1.410e-01,8.28
1.420e-01,8.2
1.430e-01,8.2
1.440e-01,8.2
1.450e-01,8.2
1.460e-01,8.28
1.470e-01,8.2
1.480e-01,8.2
1.490e-01,8.04
1.500e-01,8.2
1.510e-01,8.28
1.520e-01,8.12
1.530e-01,8.2
1.540e-01,8.28
1.550e-01,-0.04
1.560e-01,0.04
1.570e-01,0.04
1.580e-01,-0.12
1.590e-01,0.12
1.600e-01,-0.04
1.610e-01,0.04
1.620e-01,-0.04
1.630e-01,-0.12
1.640e-01,0.04
1.650e-01,8.36
1.660e-01,8.28
1.670e-01,8.28
1.680e-01,8.36
1.690e-01,8.28
1.700e-01,8.28
1.710e-01,8.36
1.720e-01,8.12
1.730e-01,8.2
1.740e-01,8.2
1.750e-01,8.2
1.760e-01,8.2
1.770e-01,8.2
1.780e-01,8.2
1.790e-01,8.12
1.800e-01,8.04
1.810e-01,8.12
1.820e-01,8.12
1.830e-01,8.2
1.840e-01,8.2
1.850e-01,8.2
1.860e-01,8.12
1.870e-01,8.2
1.880e-01,8.2
1.890e-01,8.36
1.900e-01,8.2
1.910e-01,8.12
1.920e-01,8.12
1.930e-01,8.2
1.940e-01,8.2
1.950e-01,8.2
1.960e-01,8.12
1.970e-01,8.2
1.980e-01,8.12
1.990e-01,8.2
2.000e-01,8.2
2.010e-01,8.2
2.020e-01,8.2
2.030e-01,8.12
2.040e-01,8.12
2.050e-01,8.2
2.060e-01,8.2
2.070e-01,8.12
2.080e-01,8.12
2.090e-01,8.2
2.100e-01,0.04
2.110e-01,0.04
2.120e-01,-0.04
2.130e-01,0.04
2.140e-01,0.04
2.150e-01,-0.04
2.160e-01,0.04
2.170e-01,-0.04
2.180e-01,-0.04
2.190e-01,-0.04
2.200e-01,8.2
2.210e-01,8.2
