Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Sample Interval,4e-05,,,Sample Interval,4e-05
Record Length,1000,,,Record Length,1000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,2,0.5,,Vertical Scale,1
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-4.520e-03,0.04,-0.02,,-4.520e-03,-0.02
-4.480e-03,0.04,0,,-4.480e-03,0
-4.440e-03,-0.04,0,,-4.440e-03,0
-4.400e-03,0.04,-0.02,,-4.400e-03,-0.02
-4.360e-03,-0.04,0,,-4.360e-03,0
-4.320e-03,0.12,0.02,,-4.320e-03,0.02
-4.280e-03,0.12,-0.02,,-4.280e-03,-0.02
-4.240e-03,0.04,0,,-4.240e-03,0
-4.200e-03,-0.04,0,,-4.200e-03,0
-4.160e-03,-0.04,0,,-4.160e-03,0
-4.120e-03,0.04,0,,-4.120e-03,0
-4.080e-03,0.04,0,,-4.080e-03,0
-4.040e-03,0.04,0,,-4.040e-03,0
-4.000e-03,0.12,0.02,,-4.000e-03,0.02
-3.960e-03,0.12,0,,-3.960e-03,0
-3.920e-03,0.04,0,,-3.920e-03,0
-3.880e-03,0.12,0,,-3.880e-03,0
-3.840e-03,0.04,-0.02,,-3.840e-03,-0.02
-3.800e-03,0.12,0,,-3.800e-03,0
-3.760e-03,-0.04,0,,-3.760e-03,0
-3.720e-03,0.04,0,,-3.720e-03,0
-3.680e-03,0.12,0.02,,-3.680e-03,0.02
-3.640e-03,0.04,-0.02,,-3.640e-03,-0.02
-3.600e-03,0.04,0.02,,-3.600e-03,0.02
-3.560e-03,0.04,0.02,,-3.560e-03,0.02
-3.520e-03,0.12,0.04,,-3.520e-03,0.04
-3.480e-03,0.04,0.02,,-3.480e-03,0.02
-3.440e-03,0.12,0,,-3.440e-03,0
-3.400e-03,0.04,-0.02,,-3.400e-03,-0.02
-3.360e-03,0.12,0,,-3.360e-03,0
-3.320e-03,0.2,0.06,,-3.320e-03,0.06
-3.280e-03,0.04,0.02,,-3.280e-03,0.02
-3.240e-03,0.04,0,,-3.240e-03,0
-3.200e-03,-0.04,0,,-3.200e-03,0
-3.160e-03,0.04,0.04,,-3.160e-03,0.04
-3.120e-03,0.12,0,,-3.120e-03,0
-3.080e-03,-0.12,0.02,,-3.080e-03,0.02
-3.040e-03,-0.12,0.02,,-3.040e-03,0.02
-3.000e-03,0.12,0.02,,-3.000e-03,0.02
-2.960e-03,0.04,0.02,,-2.960e-03,0.02
-2.920e-03,-0.04,0.02,,-2.920e-03,0.02
-2.880e-03,0.04,0,,-2.880e-03,0
-2.840e-03,-0.04,0,,-2.840e-03,0
-2.800e-03,-0.04,0.02,,-2.800e-03,0.02
-2.760e-03,0.04,0.02,,-2.760e-03,0.02
-2.720e-03,0.04,-0.04,,-2.720e-03,-0.04
-2.680e-03,0.04,-0.02,,-2.680e-03,-0.02
-2.640e-03,0.04,0.02,,-2.640e-03,0.02
-2.600e-03,0.12,-0.02,,-2.600e-03,-0.02
-2.560e-03,-0.04,-0.02,,-2.560e-03,-0.02
-2.520e-03,0.28,0,,-2.520e-03,0
-2.480e-03,0.12,0.02,,-2.480e-03,0.02
-2.440e-03,0.04,0.02,,-2.440e-03,0.02
-2.400e-03,0.04,0,,-2.400e-03,0
-2.360e-03,0.12,0.02,,-2.360e-03,0.02
-2.320e-03,-0.12,0.02,,-2.320e-03,0.02
-2.280e-03,0.04,0,,-2.280e-03,0
-2.240e-03,-0.04,0,,-2.240e-03,0
-2.200e-03,-0.04,0,,-2.200e-03,0
-2.160e-03,0.12,0.02,,-2.160e-03,0.02
-2.120e-03,0.04,0,,-2.120e-03,0
-2.080e-03,-0.04,0,,-2.080e-03,0
-2.040e-03,-0.04,-0.02,,-2.040e-03,-0.02
-2.000e-03,0.12,0,,-2.000e-03,0
-1.960e-03,0.04,0.02,,-1.960e-03,0.02
-1.920e-03,0.04,0,,-1.920e-03,0
-1.880e-03,0.04,-0.04,,-1.880e-03,-0.04
-1.840e-03,0.04,0.02,,-1.840e-03,0.02
-1.800e-03,0.12,0,,-1.800e-03,0
-1.760e-03,0.04,0,,-1.760e-03,0
-1.720e-03,0.12,0.02,,-1.720e-03,0.02
-1.680e-03,-0.12,0.04,,-1.680e-03,0.04
-1.640e-03,0.12,-0.04,,-1.640e-03,-0.04
-1.600e-03,0.04,0.02,,-1.600e-03,0.02
-1.560e-03,0.12,0.02,,-1.560e-03,0.02
-1.520e-03,0.12,0,,-1.520e-03,0
-1.480e-03,-0.04,0.02,,-1.480e-03,0.02
-1.440e-03,0.12,0.02,,-1.440e-03,0.02
-1.400e-03,0.12,-0.02,,-1.400e-03,-0.02
-1.360e-03,-0.04,0,,-1.360e-03,0
-1.320e-03,0.12,-0.02,,-1.320e-03,-0.02
-1.280e-03,0.04,0,,-1.280e-03,0
-1.240e-03,0.12,0.04,,-1.240e-03,0.04
-1.200e-03,0.04,0,,-1.200e-03,0
-1.160e-03,0.04,0,,-1.160e-03,0
-1.120e-03,0.04,-0.02,,-1.120e-03,-0.02
-1.080e-03,-0.04,0,,-1.080e-03,0
-1.040e-03,0.04,-0.04,,-1.040e-03,-0.04
-1.000e-03,0.12,0.02,,-1.000e-03,0.02
-9.600e-04,0.12,0,,-9.600e-04,0
-9.200e-04,0.12,0.02,,-9.200e-04,0.02
-8.800e-04,-0.12,0,,-8.800e-04,0
-8.400e-04,-0.04,0.02,,-8.400e-04,0.02
-8.000e-04,0.2,0,,-8.000e-04,0
-7.600e-04,0.04,0,,-7.600e-04,0
-7.200e-04,0.04,-0.02,,-7.200e-04,-0.02
-6.800e-04,-0.04,0,,-6.800e-04,0
-6.400e-04,0.12,0.04,,-6.400e-04,0.04
-6.000e-04,0.04,0.02,,-6.000e-04,0.02
-5.600e-04,0.04,0,,-5.600e-04,0
-5.200e-04,0.12,0.02,,-5.200e-04,0.02
-4.800e-04,-0.04,0,,-4.800e-04,0
-4.400e-04,0.04,0.04,,-4.400e-04,0.04
-4.000e-04,0.12,0,,-4.000e-04,0
-3.600e-04,0.04,0,,-3.600e-04,0
-3.200e-04,0.12,0,,-3.200e-04,0
-2.800e-04,0.2,0.02,,-2.800e-04,0.02
-2.400e-04,0.04,0.04,,-2.400e-04,0.04
-2.000e-04,0.12,0,,-2.000e-04,0
-1.600e-04,-0.04,0,,-1.600e-04,0
-1.200e-04,0.04,0.04,,-1.200e-04,0.04
-8.000e-05,0.12,0,,-8.000e-05,0
-4.000e-05,-0.04,0,,-4.000e-05,0
9.446e-18,7.72,2.08,,9.446e-18,2.08
4.000e-05,7.88,2.12,,4.000e-05,2.12
8.000e-05,7.8,2.12,,8.000e-05,2.12
1.200e-04,7.8,2.1,,1.200e-04,2.1
1.600e-04,7.8,2.14,,1.600e-04,2.14
2.000e-04,7.8,2.14,,2.000e-04,2.14
2.400e-04,7.8,2.14,,2.400e-04,2.14
2.800e-04,7.72,2.18,,2.800e-04,2.18
3.200e-04,7.8,2.16,,3.200e-04,2.16
3.600e-04,7.72,2.16,,3.600e-04,2.16
4.000e-04,7.8,2.18,,4.000e-04,2.18
4.400e-04,7.8,2.16,,4.400e-04,2.16
4.800e-04,7.72,2.16,,4.800e-04,2.16
5.200e-04,7.72,2.18,,5.200e-04,2.18
5.600e-04,7.8,2.2,,5.600e-04,2.2
6.000e-04,7.8,2.16,,6.000e-04,2.16
6.400e-04,7.72,2.18,,6.400e-04,2.18
6.800e-04,7.72,2.16,,6.800e-04,2.16
7.200e-04,7.8,2.16,,7.200e-04,2.16
7.600e-04,7.72,2.18,,7.600e-04,2.18
8.000e-04,7.72,2.2,,8.000e-04,2.2
8.400e-04,7.72,2.18,,8.400e-04,2.18
8.800e-04,7.8,2.2,,8.800e-04,2.2
9.200e-04,7.72,2.24,,9.200e-04,2.24
9.600e-04,7.72,2.18,,9.600e-04,2.18
1.000e-03,7.64,2.2,,1.000e-03,2.2
1.040e-03,7.64,2.2,,1.040e-03,2.2
1.080e-03,7.8,2.18,,1.080e-03,2.18
1.120e-03,7.72,2.2,,1.120e-03,2.2
1.160e-03,7.72,2.24,,1.160e-03,2.24
1.200e-03,7.64,2.22,,1.200e-03,2.22
1.240e-03,7.64,2.2,,1.240e-03,2.2
1.280e-03,7.72,2.2,,1.280e-03,2.2
1.320e-03,7.72,2.22,,1.320e-03,2.22
1.360e-03,7.72,2.22,,1.360e-03,2.22
1.400e-03,7.8,2.24,,1.400e-03,2.24
1.440e-03,7.56,2.26,,1.440e-03,2.26
1.480e-03,7.72,2.26,,1.480e-03,2.26
1.520e-03,7.72,2.22,,1.520e-03,2.22
1.560e-03,7.64,2.28,,1.560e-03,2.28
1.600e-03,7.72,2.26,,1.600e-03,2.26
1.640e-03,7.64,2.26,,1.640e-03,2.26
1.680e-03,7.64,2.2,,1.680e-03,2.2
1.720e-03,7.72,2.24,,1.720e-03,2.24
1.760e-03,7.64,2.2,,1.760e-03,2.2
1.800e-03,7.64,2.22,,1.800e-03,2.22
1.840e-03,7.72,2.26,,1.840e-03,2.26
1.880e-03,7.64,2.24,,1.880e-03,2.24
1.920e-03,7.8,2.28,,1.920e-03,2.28
1.960e-03,7.64,2.24,,1.960e-03,2.24
2.000e-03,7.72,2.24,,2.000e-03,2.24
2.040e-03,7.72,2.24,,2.040e-03,2.24
2.080e-03,7.72,2.26,,2.080e-03,2.26
2.120e-03,7.64,2.28,,2.120e-03,2.28
2.160e-03,7.72,2.26,,2.160e-03,2.26
2.200e-03,7.64,2.28,,2.200e-03,2.28
2.240e-03,7.56,2.28,,2.240e-03,2.28
2.280e-03,7.64,2.24,,2.280e-03,2.24
2.320e-03,7.72,2.28,,2.320e-03,2.28
2.360e-03,7.64,2.28,,2.360e-03,2.28
2.400e-03,7.72,2.22,,2.400e-03,2.22
2.440e-03,7.72,2.28,,2.440e-03,2.28
2.480e-03,7.64,2.28,,2.480e-03,2.28
2.520e-03,7.56,2.28,,2.520e-03,2.28
2.560e-03,7.64,2.28,,2.560e-03,2.28
2.600e-03,7.64,2.28,,2.600e-03,2.28
2.640e-03,7.8,2.26,,2.640e-03,2.26
2.680e-03,7.64,2.3,,2.680e-03,2.3
