tiempo	T1 [K]	Ibias1 [A]	Rrem1 [ohms]	T2 [K]	Ibias2 [A]	Rrem2 [ohms]	T3 [K]	Ibias3 [A]	Rrem3 [ohms]	T4 [K]	Ibias4 [A]	Rrem4 [ohms]	T5 [K]	Ibias5 [A]	Rrem5 [ohms]	T6 [K]	Ibias6 [A]	Rrem6 [ohms]	T7 [K]	Ibias7 [A]	Rrem7 [ohms]	Vbias [V]	After Loop Nº
1.2169167E+0	3.0733838E+2	1.0500620E-4	9.5232471E+3	3.0724945E+2	5.2750001E-5	0.0000000E+0	3.0724945E+2	5.2750001E-5	0.0000000E+0	3.0724945E+2	5.2750001E-5	0.0000000E+0	3.0724945E+2	5.2750001E-5	0.0000000E+0	3.0724945E+2	5.2750001E-5	0.0000000E+0	3.0724945E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
1.3682166E+0	3.0753342E+2	1.0500560E-3	9.5233014E+2	3.0732291E+2	5.2750001E-5	0.0000000E+0	3.0732291E+2	5.2750001E-5	0.0000000E+0	3.0732291E+2	5.2750001E-5	0.0000000E+0	3.0732291E+2	5.2750001E-5	0.0000000E+0	3.0732291E+2	5.2750001E-5	0.0000000E+0	3.0732291E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
1.5197834E+0	3.0736954E+2	4.5082630E-3	2.2181493E+2	3.0765710E+2	5.2750001E-5	0.0000000E+0	3.0765710E+2	5.2750001E-5	0.0000000E+0	3.0765710E+2	5.2750001E-5	0.0000000E+0	3.0765710E+2	5.2750001E-5	0.0000000E+0	3.0765710E+2	5.2750001E-5	0.0000000E+0	3.0765710E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
1.6700500E+0	3.0772272E+2	4.5229569E-3	2.2109430E+2	3.0772476E+2	5.2750001E-5	0.0000000E+0	3.0772476E+2	5.2750001E-5	0.0000000E+0	3.0772476E+2	5.2750001E-5	0.0000000E+0	3.0772476E+2	5.2750001E-5	0.0000000E+0	3.0772476E+2	5.2750001E-5	0.0000000E+0	3.0772476E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
1.8221333E+0	3.0798672E+2	4.5293081E-3	2.2078427E+2	3.0797235E+2	5.2750001E-5	0.0000000E+0	3.0797235E+2	5.2750001E-5	0.0000000E+0	3.0797235E+2	5.2750001E-5	0.0000000E+0	3.0797235E+2	5.2750001E-5	0.0000000E+0	3.0797235E+2	5.2750001E-5	0.0000000E+0	3.0797235E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
1.9723834E+0	3.0759515E+2	4.5383838E-3	2.2034274E+2	3.0756052E+2	5.2750001E-5	0.0000000E+0	3.0756052E+2	5.2750001E-5	0.0000000E+0	3.0756052E+2	5.2750001E-5	0.0000000E+0	3.0756052E+2	5.2750001E-5	0.0000000E+0	3.0756052E+2	5.2750001E-5	0.0000000E+0	3.0756052E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
2.1229167E+0	3.0766864E+2	4.5424472E-3	2.2014566E+2	3.0756439E+2	5.2750001E-5	0.0000000E+0	3.0756439E+2	5.2750001E-5	0.0000000E+0	3.0756439E+2	5.2750001E-5	0.0000000E+0	3.0756439E+2	5.2750001E-5	0.0000000E+0	3.0756439E+2	5.2750001E-5	0.0000000E+0	3.0756439E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
2.2734332E+0	3.0796335E+2	4.5433729E-3	2.2010080E+2	3.0812299E+2	5.2750001E-5	0.0000000E+0	3.0812299E+2	5.2750001E-5	0.0000000E+0	3.0812299E+2	5.2750001E-5	0.0000000E+0	3.0812299E+2	5.2750001E-5	0.0000000E+0	3.0812299E+2	5.2750001E-5	0.0000000E+0	3.0812299E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
2.4236834E+0	3.0791800E+2	4.5456439E-3	2.1999083E+2	3.0792584E+2	5.2750001E-5	0.0000000E+0	3.0792584E+2	5.2750001E-5	0.0000000E+0	3.0792584E+2	5.2750001E-5	0.0000000E+0	3.0792584E+2	5.2750001E-5	0.0000000E+0	3.0792584E+2	5.2750001E-5	0.0000000E+0	3.0792584E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
2.5742166E+0	3.0781277E+2	4.5456500E-3	2.1999054E+2	3.0796051E+2	5.2750001E-5	0.0000000E+0	3.0796051E+2	5.2750001E-5	0.0000000E+0	3.0796051E+2	5.2750001E-5	0.0000000E+0	3.0796051E+2	5.2750001E-5	0.0000000E+0	3.0796051E+2	5.2750001E-5	0.0000000E+0	3.0796051E+2	5.2750001E-5	0.0000000E+0	1.0000000E+0	0.0000000E+0
