t (s)	T [K]	Ibias (A)	Vbias [V]	Rrem(ohm)	VbiasSense (V)	RremSense(ohm)	VbiasDif (V)	RremDif(ohm)	Rterm(ohm)	After Loop Nº
1.2169167E+0	3.0742731E+2	1.0500620E-4	1.0000000E+0	9.5232471E+3	3.8260460E-2	3.6436383E+2	9.6173954E-1	9.1588838E+3	8.7062197E+0	0.0000000E+0
1.3682166E+0	3.0774393E+2	1.0500560E-3	1.0000000E+0	9.5233014E+2	3.6215571E-1	3.4489178E+2	6.3784432E-1	6.0743835E+2	8.7027836E+0	0.0000000E+0
1.5197834E+0	3.0708200E+2	4.5082630E-3	1.0000000E+0	2.2181493E+2	9.9877948E-1	2.2154419E+2	1.2205000E-3	2.7072510E-1	8.7099724E+0	0.0000000E+0
1.6700500E+0	3.0772070E+2	4.5229569E-3	1.0000000E+0	2.2109430E+2	9.9876511E-1	2.2082127E+2	1.2349000E-3	2.7302936E-1	8.7030363E+0	0.0000000E+0
1.8221333E+0	3.0800113E+2	4.5293081E-3	1.0000000E+0	2.2078427E+2	9.9875158E-1	2.2050865E+2	1.2484000E-3	2.7562711E-1	8.6999960E+0	0.0000000E+0
1.9723834E+0	3.0762982E+2	4.5383838E-3	1.0000000E+0	2.2034274E+2	9.9875557E-1	2.2006856E+2	1.2444000E-3	2.7419451E-1	8.7040224E+0	0.0000000E+0
2.1229167E+0	3.0777289E+2	4.5424472E-3	1.0000000E+0	2.2014566E+2	9.9874622E-1	2.1986964E+2	1.2538000E-3	2.7601862E-1	8.7024698E+0	0.0000000E+0
2.2734332E+0	3.0780368E+2	4.5433729E-3	1.0000000E+0	2.2010080E+2	9.9873400E-1	2.1982214E+2	1.2660000E-3	2.7864760E-1	8.7021360E+0	0.0000000E+0
2.4236834E+0	3.0791016E+2	4.5456439E-3	1.0000000E+0	2.1999083E+2	9.9874568E-1	2.1971489E+2	1.2543000E-3	2.7593449E-1	8.7009821E+0	0.0000000E+0
2.5742166E+0	3.0766501E+2	4.5456500E-3	1.0000000E+0	2.1999054E+2	9.9872857E-1	2.1971085E+2	1.2714000E-3	2.7969599E-1	8.7036400E+0	0.0000000E+0
2.7247334E+0	3.0769174E+2	4.5459699E-3	1.0000000E+0	2.1997505E+2	9.9874562E-1	2.1969911E+2	1.2544000E-3	2.7593672E-1	8.7033501E+0	0.0000000E+0
2.8752501E+0	3.0764749E+2	4.5456858E-3	1.0000000E+0	2.1998880E+2	9.9872571E-1	2.1970847E+2	1.2743000E-3	2.8033173E-1	8.7038298E+0	0.0000000E+0
