tiempo	T1 [K]	Ibias1 [A]	Rrem1 [ohms]	T2 [K]	Ibias2 [A]	Rrem2 [ohms]	T3 [K]	Ibias3 [A]	Rrem3 [ohms]	T4 [K]	Ibias4 [A]	Rrem4 [ohms]	T5 [K]	Ibias5 [A]	Rrem5 [ohms]	T6 [K]	Ibias6 [A]	Rrem6 [ohms]	T7 [K]	Ibias7 [A]	Rrem7 [ohms]	Vbias [V]	After Loop Nº
8.5728335E-1	3.0447839E+2	1.0379830E-2	1.9268138E+2	3.0449170E+2	5.2749999E-2	0.0000000E+0	3.0449170E+2	5.2749999E-2	0.0000000E+0	3.0449170E+2	5.2749999E-2	0.0000000E+0	3.0449170E+2	5.2749999E-2	0.0000000E+0	3.0449170E+2	5.2749999E-2	0.0000000E+0	3.0449170E+2	5.2749999E-2	0.0000000E+0	2.0000000E+0	0.0000000E+0
1.0075500E+0	3.0446503E+2	1.0380430E-2	1.9267024E+2	3.0446893E+2	5.2749999E-2	0.0000000E+0	3.0446893E+2	5.2749999E-2	0.0000000E+0	3.0446893E+2	5.2749999E-2	0.0000000E+0	3.0446893E+2	5.2749999E-2	0.0000000E+0	3.0446893E+2	5.2749999E-2	0.0000000E+0	3.0446893E+2	5.2749999E-2	0.0000000E+0	2.0000000E+0	0.0000000E+0
1.1575500E+0	3.0446585E+2	1.0380690E-2	1.9266542E+2	3.0446494E+2	5.2749999E-2	0.0000000E+0	3.0446494E+2	5.2749999E-2	0.0000000E+0	3.0446494E+2	5.2749999E-2	0.0000000E+0	3.0446494E+2	5.2749999E-2	0.0000000E+0	3.0446494E+2	5.2749999E-2	0.0000000E+0	3.0446494E+2	5.2749999E-2	0.0000000E+0	2.0000000E+0	0.0000000E+0
1.3078001E+0	3.0447067E+2	1.0381370E-2	1.9265280E+2	3.0446310E+2	5.2749999E-2	0.0000000E+0	3.0446310E+2	5.2749999E-2	0.0000000E+0	3.0446310E+2	5.2749999E-2	0.0000000E+0	3.0446310E+2	5.2749999E-2	0.0000000E+0	3.0446310E+2	5.2749999E-2	0.0000000E+0	3.0446310E+2	5.2749999E-2	0.0000000E+0	2.0000000E+0	0.0000000E+0
1.4580667E+0	3.0446765E+2	1.0381180E-2	1.9265633E+2	3.0446857E+2	5.2749999E-2	0.0000000E+0	3.0446857E+2	5.2749999E-2	0.0000000E+0	3.0446857E+2	5.2749999E-2	0.0000000E+0	3.0446857E+2	5.2749999E-2	0.0000000E+0	3.0446857E+2	5.2749999E-2	0.0000000E+0	3.0446857E+2	5.2749999E-2	0.0000000E+0	2.0000000E+0	0.0000000E+0
1.6083333E+0	3.0448315E+2	1.0381510E-2	1.9265021E+2	3.0448788E+2	5.2749999E-2	0.0000000E+0	3.0448788E+2	5.2749999E-2	0.0000000E+0	3.0448788E+2	5.2749999E-2	0.0000000E+0	3.0448788E+2	5.2749999E-2	0.0000000E+0	3.0448788E+2	5.2749999E-2	0.0000000E+0	3.0448788E+2	5.2749999E-2	0.0000000E+0	2.0000000E+0	0.0000000E+0
1.7585833E+0	3.0448022E+2	1.0382520E-2	1.9263145E+2	3.0447821E+2	5.2749999E-2	0.0000000E+0	3.0447821E+2	5.2749999E-2	0.0000000E+0	3.0447821E+2	5.2749999E-2	0.0000000E+0	3.0447821E+2	5.2749999E-2	0.0000000E+0	3.0447821E+2	5.2749999E-2	0.0000000E+0	3.0447821E+2	5.2749999E-2	0.0000000E+0	2.0000000E+0	0.0000000E+0
1.9088500E+0	3.0448596E+2	1.0382350E-2	1.9263461E+2	3.0448224E+2	5.2749999E-2	0.0000000E+0	3.0448224E+2	5.2749999E-2	0.0000000E+0	3.0448224E+2	5.2749999E-2	0.0000000E+0	3.0448224E+2	5.2749999E-2	0.0000000E+0	3.0448224E+2	5.2749999E-2	0.0000000E+0	3.0448224E+2	5.2749999E-2	0.0000000E+0	2.0000000E+0	0.0000000E+0
2.0591166E+0	3.0448404E+2	1.0383110E-2	1.9262051E+2	3.0448969E+2	5.2749999E-2	0.0000000E+0	3.0448969E+2	5.2749999E-2	0.0000000E+0	3.0448969E+2	5.2749999E-2	0.0000000E+0	3.0448969E+2	5.2749999E-2	0.0000000E+0	3.0448969E+2	5.2749999E-2	0.0000000E+0	3.0448969E+2	5.2749999E-2	0.0000000E+0	2.0000000E+0	0.0000000E+0
2.2093666E+0	3.0448788E+2	1.0383200E-2	1.9261885E+2	3.0448224E+2	5.2749999E-2	0.0000000E+0	3.0448224E+2	5.2749999E-2	0.0000000E+0	3.0448224E+2	5.2749999E-2	0.0000000E+0	3.0448224E+2	5.2749999E-2	0.0000000E+0	3.0448224E+2	5.2749999E-2	0.0000000E+0	3.0448224E+2	5.2749999E-2	0.0000000E+0	2.0000000E+0	0.0000000E+0
