t (s)	T [K]	Ibias (A)	Vbias [V]	Rrem(ohm)	VbiasSense (V)	RremSense(ohm)	VbiasDif (V)	RremDif(ohm)	Rterm(ohm)	After Loop Nº
3.8333333E-1	2.7229941E+2	1.0500640E-4	1.0000000E+0	9.5232295E+3	2.4019239E-2	2.2874072E+2	9.7598076E-1	9.2944883E+3	9.1173496E+0	0.0000000E+0
5.3073335E-1	2.7214398E+2	1.0500530E-3	1.0000000E+0	9.5233289E+2	2.3686080E-1	2.2557033E+2	7.6313919E-1	7.2676257E+2	9.1193218E+0	0.0000000E+0
7.1458334E-1	2.7198709E+2	4.4686231E-3	1.0000000E+0	2.2378258E+2	9.9856770E-1	2.2346207E+2	1.4323000E-3	3.2052380E-1	9.1213140E+0	0.0000000E+0
8.7553334E-1	2.7181223E+2	4.4781859E-3	1.0000000E+0	2.2330470E+2	9.9855947E-1	2.2298303E+2	1.4405000E-3	3.2167041E-1	9.1235361E+0	0.0000000E+0
1.0260500E+0	2.7165558E+2	4.4888598E-3	1.0000000E+0	2.2277371E+2	9.9854290E-1	2.2244911E+2	1.4571000E-3	3.2460359E-1	9.1255283E+0	0.0000000E+0
1.1765667E+0	2.7149420E+2	4.4955499E-3	1.0000000E+0	2.2244220E+2	9.9857312E-1	2.2212479E+2	1.4269000E-3	3.1740275E-1	9.1275816E+0	0.0000000E+0
1.3268334E+0	2.7135587E+2	4.4983882E-3	1.0000000E+0	2.2230185E+2	9.9856108E-1	2.2198198E+2	1.4389000E-3	3.1987014E-1	9.1293440E+0	0.0000000E+0
1.4773500E+0	2.7118988E+2	4.4993819E-3	1.0000000E+0	2.2225275E+2	9.9856877E-1	2.2193466E+2	1.4312000E-3	3.1808811E-1	9.1314602E+0	0.0000000E+0
1.6278666E+0	2.7103546E+2	4.5003062E-3	1.0000000E+0	2.2220711E+2	9.9855089E-1	2.2188512E+2	1.4491000E-3	3.2200032E-1	9.1334295E+0	0.0000000E+0
1.7789167E+0	2.7088757E+2	4.4996329E-3	1.0000000E+0	2.2224034E+2	9.9855220E-1	2.2191859E+2	1.4478000E-3	3.2175958E-1	9.1353178E+0	0.0000000E+0
1.9297000E+0	2.7073514E+2	4.4978331E-3	1.0000000E+0	2.2232928E+2	9.9855119E-1	2.2200717E+2	1.4488000E-3	3.2211068E-1	9.1372662E+0	0.0000000E+0
2.0799501E+0	2.7057605E+2	4.4929311E-3	1.0000000E+0	2.2257185E+2	9.9856758E-1	2.2225305E+2	1.4324000E-3	3.1881192E-1	9.1393003E+0	0.0000000E+0
