 	Mean	X	Y	Slice
1	206	6.000	115.000	1
2	206	17.000	115.000	1
3	127	26.000	114.000	1
4	193	36.000	115.000	1
5	148	46.000	120.000	1
6	203	55.000	135.000	1
7	160	66.000	149.000	1
8	166	75.000	160.000	1
9	183	85.000	174.000	1
10	182	95.000	188.000	1
11	177	105.000	203.000	1
12	172	116.000	218.000	1
13	163	125.000	231.000	1
14	107	136.000	246.000	1
15	156	146.000	259.000	1
16	239	155.000	273.000	1
17	253	166.000	273.000	1
18	247	176.000	273.000	1
19	195	186.000	273.000	1
20	245	196.000	273.000	1
21	242	205.000	273.000	1
22	228	215.000	273.000	1
23	206	226.000	274.000	1
24	220	235.000	273.000	1
25	232	246.000	273.000	1
26	252	256.000	273.000	1
27	246	266.000	273.000	1
28	246	275.000	274.000	1
29	248	285.000	273.000	1
30	215	296.000	273.000	1
31	243	306.000	273.000	1
32	217	315.000	273.000	1
33	153	325.000	272.000	1
34	165	336.000	273.000	1
35	188	345.000	273.000	1
36	252	356.000	273.000	1
37	202	367.000	273.000	1
38	219	376.000	273.000	1
39	224	386.000	272.000	1
40	179	396.000	261.000	1
41	219	405.000	250.000	1
42	133	417.000	233.000	1
43	97	427.000	221.000	1
44	199	435.000	209.000	1
45	174	445.000	195.000	1
46	183	457.000	180.000	1
47	180	465.000	170.000	1
48	152	476.000	155.000	1
49	102	486.000	143.000	1
50	83	498.000	129.000	1
51	138	505.000	120.000	1
52	118	515.000	119.000	1
53	129	527.000	119.000	1
54	76	536.000	118.000	1
55	60	546.000	118.000	1
56	66	555.000	118.000	1
