 	Mean	Min	Max	X	Y	Slice
1	247	247	247	5	12	1
2	237	237	237	15	12	1
3	245	245	245	30	12	1
4	248	248	248	46	12	1
5	238	238	238	61	12	1
6	243	243	243	76	10	1
7	220	220	220	86	12	1
8	242	242	242	90	22	1
9	236	236	236	97	33	1
10	234	234	234	100	41	1
11	45	45	45	106	51	1
12	227	227	227	107	61	1
13	167	167	167	114	70	1
14	254	254	254	118	81	1
15	155	155	155	126	89	1
16	251	251	251	134	95	1
17	241	241	241	144	93	1
18	242	242	242	154	93	1
19	231	231	231	163	91	1
20	239	239	239	171	91	1
21	239	239	239	181	97	1
22	232	232	232	190	94	1
23	244	244	244	199	94	1
24	241	241	241	206	94	1
25	241	241	241	212	99	1
26	239	239	239	217	91	1
27	234	234	234	224	94	1
28	233	233	233	233	93	1
29	246	246	246	241	96	1
30	107	107	107	246	88	1
31	215	215	215	246	108	1
32	225	225	225	249	118	1
33	216	216	216	253	125	1
34	234	234	234	254	132	1
35	239	239	239	259	141	1
36	245	245	245	262	147	1
37	203	203	203	265	156	1
38	217	217	217	268	164	1
39	237	237	237	272	171	1
40	183	183	183	275	179	1
41	169	169	169	279	185	1
42	231	231	231	280	195	1
43	76	76	76	286	204	1
44	178	178	178	287	211	1
45	176	176	176	288	218	1
46	187	187	187	292	226	1
47	246	246	246	293	235	1
48	34	34	34	300	240	1
49	206	206	206	300	247	1
50	89	89	89	304	254	1
51	185	185	185	305	262	1
52	142	142	142	308	270	1
53	131	131	131	311	278	1
54	97	97	97	315	287	1
55	185	185	185	317	295	1
56	241	241	241	321	301	1
57	237	237	237	327	303	1
58	237	237	237	337	303	1
59	231	231	231	344	305	1
60	177	177	177	354	297	1
61	235	235	235	358	304	1
62	242	242	242	368	302	1
63	187	187	187	371	288	1
64	228	228	228	375	297	1
65	220	220	220	379	307	1
66	195	195	195	387	307	1
67	227	227	227	397	306	1
68	239	239	239	404	306	1
69	231	231	231	407	312	1
70	239	239	239	413	301	1
71	234	234	234	423	305	1
72	220	220	220	431	299	1
73	243	243	243	436	307	1
74	233	233	233	444	304	1
75	241	241	241	445	310	1
76	232	232	232	450	318	1
77	135	135	135	454	327	1
78	120	120	120	454	334	1
79	199	199	199	457	320	1
80	236	236	236	466	309	1
81	125	125	125	470	300	1
82	202	202	202	472	293	1
83	142	142	142	476	286	1
84	238	238	238	479	277	1
85	165	165	165	485	260	1
86	199	199	199	485	250	1
87	154	154	154	490	238	1
88	212	212	212	491	230	1
89	154	154	154	495	221	1
90	150	150	150	498	214	1
91	90	90	90	502	206	1
92	196	196	196	503	198	1
93	235	235	235	505	188	1
94	150	150	150	507	181	1
95	222	222	222	509	174	1
96	248	248	248	512	166	1
97	164	164	164	517	158	1
98	132	132	132	520	146	1
99	202	202	202	523	136	1
100	147	147	147	525	127	1
101	166	166	166	530	119	1
102	109	109	109	534	110	1
103	231	231	231	535	104	1
104	241	241	241	538	98	1
105	235	235	235	547	96	1
106	244	244	244	553	101	1
107	242	242	242	559	101	1
108	234	234	234	567	98	1
109	237	237	237	576	97	1
110	218	218	218	581	105	1
111	237	237	237	586	91	1
112	234	234	234	591	97	1
113	242	242	242	601	99	1
114	235	235	235	608	97	1
115	229	229	229	615	91	1
116	241	241	241	622	96	1
117	245	245	245	629	97	1
118	247	247	247	5	12	1
119	237	237	237	15	12	1
120	245	245	245	30	12	1
121	248	248	248	46	12	1
122	238	238	238	61	12	1
123	243	243	243	76	10	1
124	220	220	220	86	12	1
125	242	242	242	90	22	1
126	236	236	236	97	33	1
127	234	234	234	100	41	1
128	45	45	45	106	51	1
129	227	227	227	107	61	1
130	167	167	167	114	70	1
131	254	254	254	118	81	1
132	155	155	155	126	89	1
133	251	251	251	134	95	1
134	241	241	241	144	93	1
135	242	242	242	154	93	1
136	231	231	231	163	91	1
137	239	239	239	171	91	1
138	239	239	239	181	97	1
139	232	232	232	190	94	1
140	244	244	244	199	94	1
141	241	241	241	206	94	1
142	241	241	241	212	99	1
143	239	239	239	217	91	1
144	234	234	234	224	94	1
145	233	233	233	233	93	1
146	246	246	246	241	96	1
147	107	107	107	246	88	1
148	215	215	215	246	108	1
149	225	225	225	249	118	1
150	216	216	216	253	125	1
151	234	234	234	254	132	1
152	239	239	239	259	141	1
153	245	245	245	262	147	1
154	203	203	203	265	156	1
155	217	217	217	268	164	1
156	237	237	237	272	171	1
157	183	183	183	275	179	1
158	169	169	169	279	185	1
159	231	231	231	280	195	1
160	76	76	76	286	204	1
161	178	178	178	287	211	1
162	176	176	176	288	218	1
163	187	187	187	292	226	1
164	246	246	246	293	235	1
165	34	34	34	300	240	1
166	206	206	206	300	247	1
167	89	89	89	304	254	1
168	185	185	185	305	262	1
169	142	142	142	308	270	1
170	131	131	131	311	278	1
