 	Mean	Min	Max	X	Y	Slice
1	239	239	239	11	16	1
2	243	243	243	21	15	1
3	234	234	234	35	16	1
4	240	240	240	42	14	1
5	238	238	238	52	11	1
6	232	232	232	66	12	1
7	243	243	243	82	12	1
8	229	229	229	94	24	1
9	239	239	239	101	34	1
10	164	164	164	108	39	1
11	109	109	109	113	47	1
12	166	166	166	118	56	1
13	249	249	249	123	64	1
14	249	249	249	133	64	1
15	214	214	214	147	63	1
16	217	217	217	157	63	1
17	35	35	35	171	61	1
18	37	37	37	182	61	1
19	121	121	121	199	61	1
20	90	90	90	213	61	1
21	254	254	254	227	64	1
22	207	207	207	235	64	1
23	222	222	222	241	69	1
24	88	88	88	251	78	1
25	135	135	135	255	88	1
26	79	79	79	263	97	1
27	48	48	48	268	105	1
28	206	206	206	271	115	1
29	176	176	176	278	126	1
30	185	185	185	283	137	1
31	196	196	196	288	143	1
32	53	53	53	297	149	1
33	78	78	78	303	160	1
34	95	95	95	306	168	1
35	85	85	85	311	177	1
36	246	246	246	315	185	1
37	248	248	248	328	185	1
38	240	240	240	336	185	1
39	185	185	185	353	183	1
40	205	205	205	365	183	1
41	41	41	41	375	183	1
42	238	238	238	382	184	1
43	242	242	242	392	186	1
44	224	224	224	401	184	1
45	228	228	228	407	185	1
46	247	247	247	414	187	1
47	251	251	251	421	187	1
48	247	247	247	427	187	1
49	250	250	250	434	187	1
50	236	236	236	440	187	1
51	161	161	161	447	183	1
52	158	158	158	453	183	1
53	152	152	152	460	189	1
54	90	90	90	468	182	1
55	171	171	171	471	176	1
56	183	183	183	473	170	1
57	165	165	165	480	159	1
58	132	132	132	487	149	1
59	170	170	170	489	142	1
60	194	194	194	493	135	1
61	163	163	163	499	127	1
62	183	183	183	502	121	1
63	200	200	200	507	112	1
64	207	207	207	512	104	1
65	54	54	54	518	102	1
66	136	136	136	522	90	1
67	78	78	78	529	83	1
68	106	106	106	532	76	1
69	35	35	35	538	72	1
70	143	143	143	549	68	1
71	178	178	178	558	68	1
72	244	244	244	569	66	1
73	134	134	134	579	68	1
74	146	146	146	586	68	1
75	244	244	244	596	65	1
76	204	204	204	607	63	1
77	184	184	184	620	62	1
