 	Mean	X	Y	Slice
1	237	11.000	15.000	1
2	240	22.000	15.000	1
3	240	32.000	16.000	1
4	249	41.000	15.000	1
5	241	52.000	18.000	1
6	240	61.000	17.000	1
7	246	71.000	18.000	1
8	235	80.000	16.000	1
9	241	90.000	19.000	1
10	228	102.000	45.000	1
11	198	111.000	66.000	1
12	242	122.000	85.000	1
13	240	132.000	98.000	1
14	240	142.000	96.000	1
15	238	152.000	96.000	1
16	240	162.000	96.000	1
17	233	173.000	96.000	1
18	237	182.000	103.000	1
19	244	191.000	99.000	1
20	240	203.000	98.000	1
21	241	212.000	95.000	1
22	238	222.000	95.000	1
23	234	231.000	98.000	1
24	236	242.000	98.000	1
25	180	252.000	117.000	1
26	122	263.000	139.000	1
27	230	272.000	169.000	1
28	222	283.000	198.000	1
29	137	292.000	218.000	1
30	127	301.000	246.000	1
31	249	311.000	276.000	1
32	164	321.000	298.000	1
33	239	332.000	303.000	1
34	226	342.000	305.000	1
35	200	352.000	307.000	1
36	240	361.000	304.000	1
37	231	371.000	301.000	1
38	240	382.000	307.000	1
39	231	391.000	307.000	1
40	234	402.000	306.000	1
41	243	412.000	306.000	1
42	237	422.000	306.000	1
43	241	432.000	305.000	1
44	244	441.000	308.000	1
45	237	452.000	314.000	1
46	241	462.000	320.000	1
47	246	471.000	309.000	1
48	239	482.000	283.000	1
49	120	492.000	248.000	1
50	128	502.000	220.000	1
51	171	512.000	189.000	1
52	97	522.000	157.000	1
53	202	531.000	129.000	1
54	241	542.000	102.000	1
55	233	554.000	104.000	1
56	243	562.000	102.000	1
57	231	572.000	104.000	1
58	220	582.000	99.000	1
59	239	592.000	102.000	1
60	163	603.000	98.000	1
61	246	612.000	99.000	1
62	243	621.000	97.000	1
63	239	632.000	99.000	1
64	195	341.000	8.000	1
65	213	342.000	69.000	1
