Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1
Sample Interval,0.01
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
-4.000e-02,0.004
-3.000e-02,-0.004
-2.000e-02,-0.004
-1.000e-02,-0.004
-3.123e-17,0.332
1.000e-02,0.9
2.000e-02,0.9
3.000e-02,0.9
4.000e-02,1.308
5.000e-02,1.412
6.000e-02,1.412
7.000e-02,1.412
8.000e-02,1.412
9.000e-02,1.412
1.000e-01,1.412
1.100e-01,1.412
1.200e-01,0.908
1.300e-01,0.9
1.400e-01,0.892
1.500e-01,0.9
1.600e-01,0.908
1.700e-01,0.9
1.800e-01,0.9
1.900e-01,0.916
2.000e-01,0.908
2.100e-01,0.9
2.200e-01,0.9
2.300e-01,0.9
2.400e-01,0.908
2.500e-01,0.908
2.600e-01,0.908
2.700e-01,0.908
2.800e-01,0.9
2.900e-01,0.908
3.000e-01,0.908
3.100e-01,0.9
3.200e-01,0.916
3.300e-01,0.908
3.400e-01,0.908
3.500e-01,0.9
3.600e-01,0.892
3.700e-01,0.9
3.800e-01,0.908
3.900e-01,0.908
4.000e-01,0.9
4.100e-01,0.908
4.200e-01,0.908
4.300e-01,0.9
4.400e-01,0.892
4.500e-01,0.908
4.600e-01,0.908
4.700e-01,0.908
4.800e-01,0.908
4.900e-01,0.9
5.000e-01,0.9
5.100e-01,0.9
5.200e-01,0.908
5.300e-01,0.9
5.400e-01,0.9
5.500e-01,0.9
5.600e-01,0.9
5.700e-01,0.9
5.800e-01,0.9
5.900e-01,0.9
6.000e-01,0.892
6.100e-01,0.908
6.200e-01,0.892
6.300e-01,0.908
6.400e-01,0.9
6.500e-01,0.9
6.600e-01,0.9
6.700e-01,0.9
6.800e-01,0.9
6.900e-01,0.9
7.000e-01,0.908
7.100e-01,0.9
7.200e-01,0.908
7.300e-01,0.908
7.400e-01,0.9
7.500e-01,0.908
7.600e-01,0.892
7.700e-01,0.9
7.800e-01,0.9
7.900e-01,0.9
8.000e-01,0.9
8.100e-01,0.9
8.200e-01,0.9
8.300e-01,0.9
8.400e-01,0.9
8.500e-01,0.9
8.600e-01,0.892
8.700e-01,0.908
8.800e-01,0.9
8.900e-01,0.908
9.000e-01,0.9
9.100e-01,0.9
9.200e-01,0.9
9.300e-01,0.908
9.400e-01,0.924
9.500e-01,0.908
9.600e-01,0.892
9.700e-01,0.908
9.800e-01,0.908
9.900e-01,0.9
1.000e+00,0.9
1.010e+00,0.908
1.020e+00,0.892
1.030e+00,0.908
1.040e+00,0.9
1.050e+00,0.908
1.060e+00,0.908
1.070e+00,0.9
1.080e+00,0.908
1.090e+00,0.908
1.100e+00,0.892
1.110e+00,0.9
1.120e+00,0.908
1.130e+00,0.9
1.140e+00,0.908
1.150e+00,0.9
1.160e+00,0.892
1.170e+00,0.9
1.180e+00,0.908
1.190e+00,0.892
1.200e+00,0.892
1.210e+00,0.9
1.220e+00,0.892
1.230e+00,0.9
1.240e+00,0.9
1.250e+00,0.908
1.260e+00,0.908
1.270e+00,0.9
1.280e+00,0.908
1.290e+00,0.9
1.300e+00,0.9
1.310e+00,0.908
1.320e+00,0.9
1.330e+00,0.9
1.340e+00,0.908
1.350e+00,0.908
1.360e+00,0.9
1.370e+00,0.9
1.380e+00,0.908
1.390e+00,0.908
1.400e+00,0.908
1.410e+00,0.9
1.420e+00,0.908
1.430e+00,0.908
1.440e+00,0.908
1.450e+00,0.908
1.460e+00,0.908
1.470e+00,0.9
1.480e+00,0.9
1.490e+00,0.908
1.500e+00,0.916
1.510e+00,0.908
1.520e+00,0.892
1.530e+00,0.9
1.540e+00,0.9
1.550e+00,0.9
1.560e+00,0.9
1.570e+00,0.9
1.580e+00,0.9
1.590e+00,0.892
1.600e+00,0.884
1.610e+00,0.9
1.620e+00,0.9
1.630e+00,0.9
1.640e+00,0.908
1.650e+00,0.9
1.660e+00,0.9
1.670e+00,0.9
1.680e+00,0.908
1.690e+00,0.908
1.700e+00,0.908
1.710e+00,0.9
1.720e+00,0.892
1.730e+00,0.9
1.740e+00,0.9
1.750e+00,0.9
1.760e+00,0.9
1.770e+00,0.908
1.780e+00,0.9
1.790e+00,0.908
1.800e+00,0.908
1.810e+00,0.9
1.820e+00,0.9
1.830e+00,0.9
1.840e+00,0.9
1.850e+00,0.908
1.860e+00,0.916
1.870e+00,0.9
1.880e+00,0.908
1.890e+00,0.908
1.900e+00,0.908
1.910e+00,0.884
1.920e+00,0.908
1.930e+00,0.9
1.940e+00,0.908
1.950e+00,0.9
1.960e+00,0.916
1.970e+00,0.892
1.980e+00,0.892
1.990e+00,0.892
2.000e+00,0.908
2.010e+00,0.892
2.020e+00,0.9
2.030e+00,0.908
2.040e+00,0.9
2.050e+00,0.908
2.060e+00,0.9
2.070e+00,0.908
2.080e+00,0.9
2.090e+00,0.9
2.100e+00,0.9
2.110e+00,0.908
2.120e+00,0.892
2.130e+00,0.9
2.140e+00,0.9
2.150e+00,0.908
2.160e+00,0.9
2.170e+00,0.9
2.180e+00,0.9
2.190e+00,0.908
2.200e+00,0.908
2.210e+00,0.908
2.220e+00,0.892
2.230e+00,0.908
2.240e+00,0.908
2.250e+00,0.9
2.260e+00,0.908
2.270e+00,0.908
2.280e+00,0.9
2.290e+00,0.9
2.300e+00,0.9
2.310e+00,0.9
2.320e+00,0.908
2.330e+00,0.908
2.340e+00,0.908
2.350e+00,0.908
2.360e+00,0.9
2.370e+00,0.908
2.380e+00,0.908
2.390e+00,0.908
2.400e+00,0.908
2.410e+00,0.9
2.420e+00,0.908
2.430e+00,0.908
2.440e+00,0.892
2.450e+00,0.908
2.460e+00,0.892
2.470e+00,0.908
2.480e+00,0.908
2.490e+00,0.908
2.500e+00,0.9
2.510e+00,0.892
2.520e+00,0.908
2.530e+00,0.908
2.540e+00,0.908
2.550e+00,0.908
2.560e+00,0.892
2.570e+00,0.9
2.580e+00,0.9
2.590e+00,0.892
2.600e+00,0.9
2.610e+00,0.908
2.620e+00,0.908
2.630e+00,0.9
2.640e+00,0.892
2.650e+00,0.908
2.660e+00,0.892
2.670e+00,0.916
2.680e+00,0.908
2.690e+00,0.9
2.700e+00,0.908
2.710e+00,0.892
2.720e+00,0.892
2.730e+00,0.9
2.740e+00,0.908
2.750e+00,0.9
2.760e+00,0.908
2.770e+00,0.908
2.780e+00,0.916
2.790e+00,0.892
2.800e+00,0.892
