Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.05
Label,,
TIME,CH1,CH2
-6.280e-03,0,0.004
-6.260e-03,0,-0.004
-6.240e-03,-0.02,0.006
-6.220e-03,0,0.004
-6.200e-03,0,-0.002
-6.180e-03,0,0
-6.160e-03,-0.02,-0.004
-6.140e-03,0,-0.002
-6.120e-03,0.02,0.008
-6.100e-03,0,-0.008
-6.080e-03,0,0.002
-6.060e-03,0.02,-0.004
-6.040e-03,0,-0.008
-6.020e-03,0.06,-0.004
-6.000e-03,0.02,-0.002
-5.980e-03,0.02,0.002
-5.960e-03,0,-0.014
-5.940e-03,-0.02,-0.002
-5.920e-03,-0.06,0.002
-5.900e-03,0,0.004
-5.880e-03,-0.02,-0.002
-5.860e-03,-0.02,0.006
-5.840e-03,0,-0.004
-5.820e-03,0,-0.006
-5.800e-03,0.02,-0.006
-5.780e-03,0,0.008
-5.760e-03,0,0.008
-5.740e-03,-0.02,-0.012
-5.720e-03,0.02,0.006
-5.700e-03,0,0.012
-5.680e-03,0,-0.002
-5.660e-03,0.02,0
-5.640e-03,0,0.002
-5.620e-03,0.02,-0.004
-5.600e-03,0,0.004
-5.580e-03,-0.02,-0.052
-5.560e-03,0,-0.004
-5.540e-03,-0.02,-0.006
-5.520e-03,0,-0.004
-5.500e-03,-0.02,-0.004
-5.480e-03,-0.02,-0.01
-5.460e-03,0.04,0.004
-5.440e-03,0,0
-5.420e-03,0,-0.002
-5.400e-03,-0.02,0
-5.380e-03,0.02,0.002
-5.360e-03,-0.02,-0.002
-5.340e-03,0.02,0.002
-5.320e-03,-0.02,0.008
-5.300e-03,0,-0.002
-5.280e-03,0.02,0
-5.260e-03,0,0.018
-5.240e-03,-0.02,0
-5.220e-03,-0.02,0.002
-5.200e-03,-0.02,0.004
-5.180e-03,-0.02,-0.002
-5.160e-03,0,0.004
-5.140e-03,0.04,0.024
-5.120e-03,-0.02,-0.004
-5.100e-03,0,0
-5.080e-03,0.02,-0.004
-5.060e-03,-0.04,0.014
-5.040e-03,-0.02,0.002
-5.020e-03,0,-0.002
-5.000e-03,0.02,0.004
-4.980e-03,0.02,0
-4.960e-03,0,-0.006
-4.940e-03,0.02,-0.012
-4.920e-03,0,0
-4.900e-03,-0.04,0.004
-4.880e-03,0,-0.004
-4.860e-03,0,0.008
-4.840e-03,-0.04,0.002
-4.820e-03,0.02,-0.002
-4.800e-03,0.04,0.004
-4.780e-03,-0.02,0.01
-4.760e-03,-0.02,-0.006
-4.740e-03,0.02,0.008
-4.720e-03,-0.02,-0.004
-4.700e-03,0.02,0.004
-4.680e-03,0,0
-4.660e-03,0.02,0.012
-4.640e-03,0,0.002
-4.620e-03,0.02,0
-4.600e-03,0,0.004
-4.580e-03,0.02,-0.008
-4.560e-03,0.02,0
-4.540e-03,0.04,0.008
-4.520e-03,-0.02,-0.006
-4.500e-03,-0.02,0.004
-4.480e-03,-0.02,0.008
-4.460e-03,-0.02,0.006
-4.440e-03,0,0.004
-4.420e-03,0.02,-0.002
-4.400e-03,0.02,0.004
-4.380e-03,0,-0.008
-4.360e-03,0.02,-0.018
-4.340e-03,0,0
-4.320e-03,-0.02,-0.014
-4.300e-03,0,0
-4.280e-03,0,-0.004
-4.260e-03,0.04,0.004
-4.240e-03,0.02,0.018
-4.220e-03,0,0.002
-4.200e-03,-0.02,0.004
-4.180e-03,-0.02,0.02
-4.160e-03,-0.02,0.006
-4.140e-03,0.04,0.016
-4.120e-03,0.02,-0.006
-4.100e-03,0,-0.002
-4.080e-03,0,0.002
-4.060e-03,0.02,0.022
-4.040e-03,0,-0.002
-4.020e-03,0,-0.002
-4.000e-03,-0.02,-0.002
-3.980e-03,0.02,-0.002
-3.960e-03,0.04,-0.002
-3.940e-03,0,0.01
-3.920e-03,0,0.004
-3.900e-03,0,-0.002
-3.880e-03,0,-0.01
-3.860e-03,0.02,-0.014
-3.840e-03,0,0.016
-3.820e-03,0.02,-0.002
-3.800e-03,0.02,0.006
-3.780e-03,-0.02,0.006
-3.760e-03,0,-0.014
-3.740e-03,-0.02,0.024
-3.720e-03,0,0
-3.700e-03,0.02,-0.006
-3.680e-03,0.02,0.002
-3.660e-03,0,0.002
-3.640e-03,0.02,0.002
-3.620e-03,0.02,0
-3.600e-03,0,0.004
-3.580e-03,0.02,0.018
-3.560e-03,-0.02,0.006
-3.540e-03,-0.02,0.002
-3.520e-03,0.02,-0.002
-3.500e-03,0,0.006
-3.480e-03,0.04,0.002
-3.460e-03,0,0.008
-3.440e-03,-0.02,-0.006
-3.420e-03,-0.02,0.01
-3.400e-03,-0.02,0.014
-3.380e-03,-0.02,0
-3.360e-03,0,0.006
-3.340e-03,0.04,0.018
-3.320e-03,0,-0.004
-3.300e-03,0,-0.008
-3.280e-03,-0.02,0.006
-3.260e-03,-0.02,-0.004
-3.240e-03,-0.02,-0.006
-3.220e-03,0.02,0.004
-3.200e-03,-0.02,0.004
-3.180e-03,0,-0.002
-3.160e-03,-0.02,0.002
-3.140e-03,0,-0.002
-3.120e-03,-0.02,0.012
-3.100e-03,0.02,0.016
-3.080e-03,0,0.002
-3.060e-03,-0.02,-0.014
-3.040e-03,0,-0.004
-3.020e-03,0.02,0
-3.000e-03,-0.02,0.014
-2.980e-03,0.08,0.092
-2.960e-03,0.02,0.01
-2.940e-03,-0.02,-0.004
-2.920e-03,-0.02,0.004
-2.900e-03,0,0.002
-2.880e-03,0,0.004
-2.860e-03,0,0.004
-2.840e-03,0.02,0
-2.820e-03,0,-0.004
-2.800e-03,0.04,0.008
-2.780e-03,-0.02,0.004
-2.760e-03,-0.02,0.006
-2.740e-03,-0.02,-0.008
-2.720e-03,0.04,0.004
-2.700e-03,0,0.01
-2.680e-03,0,-0.004
-2.660e-03,-0.02,0
-2.640e-03,-0.02,-0.01
-2.620e-03,0.04,0.01
-2.600e-03,-0.02,-0.004
-2.580e-03,-0.02,0.008
-2.560e-03,0.02,0.006
-2.540e-03,0.02,-0.022
-2.520e-03,0.04,-0.002
-2.500e-03,-0.04,-0.002
-2.480e-03,0,-0.006
-2.460e-03,-0.02,0.002
-2.440e-03,0,-0.01
-2.420e-03,0,0.014
-2.400e-03,0.04,0.01
-2.380e-03,0,-0.008
-2.360e-03,0,0.004
-2.340e-03,-0.02,-0.004
-2.320e-03,0,0.014
-2.300e-03,-0.02,-0.022
-2.280e-03,0,0.004
-2.260e-03,0,0.008
-2.240e-03,0.02,0
-2.220e-03,-0.02,-0.004
-2.200e-03,0,-0.004
-2.180e-03,0.04,-0.002
-2.160e-03,-0.02,0
-2.140e-03,0.02,0.01
-2.120e-03,0,0.004
-2.100e-03,0,0
-2.080e-03,0.04,0.008
-2.060e-03,0.02,0.012
-2.040e-03,0,0.012
-2.020e-03,0,0.008
-2.000e-03,0.04,-0.006
-1.980e-03,0,-0.01
-1.960e-03,0,0.018
-1.940e-03,-0.02,-0.01
-1.920e-03,-0.04,0.006
-1.900e-03,0,0.004
-1.880e-03,0,0.01
-1.860e-03,-0.02,0
-1.840e-03,0,0.008
-1.820e-03,0.02,-0.004
-1.800e-03,0,-0.022
-1.780e-03,0,0.004
-1.760e-03,-0.04,-0.084
-1.740e-03,0,-0.012
-1.720e-03,0.02,-0.012
