Tiempo (min)	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Vinst 2 (V)	Iinst 2 (mA)	Rinst 2(Ohm)	Rrem 2 (Ohm)	Ibias 2 (mA)	Vbias 2 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	Icc 2 (mA)	Vcc 2 (V)	2W 1?	N	S5_Rrem	X	Y	Z	AA	AB	AC	AD	AE	AF
1.0342	0.10000	0.12460	0.10010	1244.8	1215.1	0.10220	0.12418	9.9100e+37	0.10010	1.7900e+308	1.7900e+308	0.10220	9.9100e+37	1.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	1.0000										
1.1165	0.10000	0.12406	0.10070	1232.0	1252.2	0.099300	0.12434	9.9100e+37	0.10070	1.7900e+308	1.7900e+308	0.099300	9.9100e+37	1.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	2.0000										
1.1986	0.10000	0.12416	0.10030	1237.9	1234.7	0.10060	0.12421	9.9100e+37	0.10030	1.7900e+308	1.7900e+308	0.10060	9.9100e+37	1.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	3.0000										
1.2808	0.10000	0.12464	0.10210	1220.8	1250.4	0.10000	0.12504	9.9100e+37	0.10210	1.7900e+308	1.7900e+308	0.10000	9.9100e+37	1.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	4.0000										
1.3628	0.10000	0.12506	0.10240	1221.3	1234.5	0.10160	0.12543	9.9100e+37	0.10240	1.7900e+308	1.7900e+308	0.10160	9.9100e+37	1.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	5.0000										
1.4448	0.10000	0.12360	0.10030	1232.3	1237.9	0.10090	0.12490	9.9100e+37	0.10030	1.7900e+308	1.7900e+308	0.10090	9.9100e+37	1.0000	0.0000	100.00	4.0000	100.00	10.000	0.0000	6.0000										
1.5298	0.10000	0.12495	0.10140	1232.2	1240.2	0.099800	0.12377	9.9100e+37	0.10140	1.7900e+308	1.7900e+308	0.099800	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	7.0000										
1.6188	0.10000	0.12450	0.10100	1232.7	1250.3	0.099700	0.12465	9.9100e+37	0.10100	1.7900e+308	1.7900e+308	0.099700	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	8.0000										
1.7067	0.10000	0.12612	0.10020	1258.7	1262.8	0.099200	0.12527	9.9100e+37	0.10020	1.7900e+308	1.7900e+308	0.099200	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	9.0000										
1.7946	0.10000	0.12510	0.099600	1256.0	1248.7	0.099800	0.12462	9.9100e+37	0.099600	1.7900e+308	1.7900e+308	0.099800	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	10.000										
1.8824	0.10000	0.12475	0.098600	1265.2	1243.0	0.10110	0.12567	9.9100e+37	0.098600	1.7900e+308	1.7900e+308	0.10110	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	11.000										
1.9703	0.11000	0.13670	0.11060	1236.0	1272.1	0.098500	0.12530	9.9100e+37	0.11060	1.7900e+308	1.7900e+308	0.098500	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	12.000										
2.0582	0.12000	0.14890	0.12300	1210.6	1247.1	0.10120	0.12621	9.9100e+37	0.12300	1.7900e+308	1.7900e+308	0.10120	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	13.000										
2.1461	0.13000	0.15967	0.12890	1238.7	1258.1	0.098500	0.12392	9.9100e+37	0.12890	1.7900e+308	1.7900e+308	0.098500	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	14.000										
2.2340	0.14000	0.17230	0.14160	1216.8	1251.7	0.10070	0.12605	9.9100e+37	0.14160	1.7900e+308	1.7900e+308	0.10070	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	15.000										
2.3219	0.15000	0.18046	0.15020	1201.5	1251.1	0.099900	0.12498	9.9100e+37	0.15020	1.7900e+308	1.7900e+308	0.099900	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	16.000										
2.4098	0.16000	0.19308	0.16040	1203.7	1255.5	0.099200	0.12455	9.9100e+37	0.16040	1.7900e+308	1.7900e+308	0.099200	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	17.000										
2.4977	0.17000	0.20342	0.17070	1191.7	1237.5	0.10110	0.12511	9.9100e+37	0.17070	1.7900e+308	1.7900e+308	0.10110	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	18.000										
2.5857	0.18000	0.21194	0.18070	1172.9	1213.3	0.10010	0.12145	9.9100e+37	0.18070	1.7900e+308	1.7900e+308	0.10010	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	19.000										
2.6737	0.19000	0.22354	0.18850	1185.9	1206.7	0.099600	0.12019	9.9100e+37	0.18850	1.7900e+308	1.7900e+308	0.099600	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	20.000										
2.7616	0.20000	0.23362	0.19940	1171.6	1196.5	0.10020	0.11989	9.9100e+37	0.19940	1.7900e+308	1.7900e+308	0.10020	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	21.000										
2.8494	0.21000	0.24580	0.20890	1176.6	1197.7	0.10160	0.12169	9.9100e+37	0.20890	1.7900e+308	1.7900e+308	0.10160	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	22.000										
2.9373	0.22000	0.25665	0.22020	1165.5	1236.0	0.097300	0.12026	9.9100e+37	0.22020	1.7900e+308	1.7900e+308	0.097300	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	23.000										
3.0253	0.23000	0.25089	0.22990	1091.3	1119.5	0.10040	0.11240	9.9100e+37	0.22990	1.7900e+308	1.7900e+308	0.10040	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	24.000										
3.1132	0.24000	0.25951	0.23890	1086.3	1144.3	0.097400	0.11145	9.9100e+37	0.23890	1.7900e+308	1.7900e+308	0.097400	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	25.000										
3.2011	0.25000	0.27042	0.24850	1088.2	1100.9	0.10130	0.11152	9.9100e+37	0.24850	1.7900e+308	1.7900e+308	0.10130	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	26.000										
3.2889	0.26000	0.28106	0.26110	1076.4	1135.8	0.098700	0.11210	9.9100e+37	0.26110	1.7900e+308	1.7900e+308	0.098700	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	27.000										
3.3769	0.27000	0.29025	0.26880	1079.8	1127.4	0.099700	0.11240	9.9100e+37	0.26880	1.7900e+308	1.7900e+308	0.099700	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	28.000										
3.4648	0.28000	0.30093	0.27990	1075.1	1129.4	0.098900	0.11170	9.9100e+37	0.27990	1.7900e+308	1.7900e+308	0.098900	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	29.000										
3.5528	0.29000	0.31184	0.28930	1077.9	1081.7	0.10350	0.11196	9.9100e+37	0.28930	1.7900e+308	1.7900e+308	0.10350	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	30.000										
3.6407	0.30000	0.32267	0.29810	1082.4	1134.3	0.099300	0.11264	9.9100e+37	0.29810	1.7900e+308	1.7900e+308	0.099300	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	31.000										
3.7286	0.30000	0.32421	0.30250	1071.8	1130.7	0.098900	0.11183	9.9100e+37	0.30250	1.7900e+308	1.7900e+308	0.098900	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	32.000										
3.8165	0.30000	0.32188	0.29770	1081.2	1123.3	0.10000	0.11233	9.9100e+37	0.29770	1.7900e+308	1.7900e+308	0.10000	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	33.000										
3.9044	0.30000	0.32425	0.30140	1075.8	1139.6	0.10230	0.11658	9.9100e+37	0.30140	1.7900e+308	1.7900e+308	0.10230	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	34.000										
3.9932	0.30000	0.32892	0.30200	1089.1	1257.5	0.098700	0.12412	9.9100e+37	0.30200	1.7900e+308	1.7900e+308	0.098700	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	35.000										
4.0811	0.30000	0.32549	0.30100	1081.4	1210.5	0.099200	0.12008	9.9100e+37	0.30100	1.7900e+308	1.7900e+308	0.099200	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	36.000										
4.1691	0.30000	0.32486	0.29840	1088.7	1097.6	0.10230	0.11228	9.9100e+37	0.29840	1.7900e+308	1.7900e+308	0.10230	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	37.000										
4.2570	0.30000	0.32464	0.30110	1078.2	1134.2	0.099800	0.11319	9.9100e+37	0.30110	1.7900e+308	1.7900e+308	0.099800	9.9100e+37	1.0000	1.0000	100.00	4.0000	100.00	10.000	0.0000	38.000										
