t (s)	I (A)	V (V)	R(ohm)	Ibias (A)	Rrem(ohm)	Vsense (V)	Rsense(ohm)	Vdif (V)	Rdif(ohm)	VbiasSense (V)	RremSense(ohm)	VbiasDif (V)	RremDif(ohm)	T [K]	Rterm(ohm)	IbiasNEG (A)	RremNEG(ohm)	VbiasSenseNEG (V)	RremSenseNEG(ohm)	VbiasDifNEG (V)	RremDifNEG(ohm)	PasodeV	Saturó?	Saturó? (bias)	Saturó? (biasNEG)
2.8099966E-1	2.1496651E-7	1.0000000E-1	4.6518875E+5	-9.1018713E-8	-1.0986752E+6	1.0018040E-1	4.6602797E+5	-1.8040001E-4	-8.3920050E+2	9.9930286E-2	-1.0979094E+6	6.9709997E-5	-7.6588647E+2	1.7870456E+2	1.0742084E+1	-2.3826740E-7	4.1969653E+5	-1.0015680E-1	4.2035462E+5	1.5680000E-4	-6.5808417E+2	1.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.0929999E+0	-1.1301920E-7	2.0000000E-2	-1.7696108E+5	-7.2468417E-8	-1.3799114E+6	1.9906521E-2	-1.7613397E+5	9.3479997E-5	-8.2711609E+2	1.0044810E-1	-1.3860948E+6	-4.4810001E-4	6.1833828E+3	1.7870456E+2	1.0742084E+1	1.7376860E-7	-5.7547794E+5	-9.9777460E-2	-5.7419731E+5	-2.2253999E-4	-1.2806687E+3	2.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.9059997E+0	-5.8348629E-8	3.9999999E-2	-6.8553450E+5	2.1164080E-7	4.7249869E+5	4.0347099E-2	-6.9148325E+5	-3.4709999E-4	5.9487256E+3	1.0035440E-1	4.7417322E+5	-3.5439999E-4	-1.6745354E+3	1.7870456E+2	1.0742084E+1	1.8792370E-7	-5.3213087E+5	-9.9984653E-2	-5.3204919E+5	-1.5350000E-5	-8.1682083E+1	3.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.7179999E+0	2.3562509E-7	5.9999999E-2	2.5464180E+5	-1.1420520E-7	-8.7561687E+5	6.0069080E-2	2.5493498E+5	-6.9080001E-5	-2.9317758E+2	9.9801064E-2	-8.7387494E+5	1.9894000E-4	-1.7419521E+3	1.7870456E+2	1.0742084E+1	-2.1769800E-7	4.5935194E+5	-1.0025260E-1	4.6051228E+5	2.5260000E-4	-1.1603230E+3	4.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
5.6089997E+0	1.8929200E-8	7.9999998E-2	4.2262750E+6	-1.9796479E-7	-5.0514031E+5	7.9716213E-2	4.2112825E+6	2.8379000E-4	1.4992182E+4	9.9948637E-2	-5.0488087E+5	5.1359999E-5	-2.5944006E+2	1.7870456E+2	1.0741850E+1	-1.1236770E-7	8.8993544E+5	-9.9627487E-2	8.8662037E+5	-3.7251000E-4	3.3150986E+3	5.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
6.4210000E+0	-1.1098170E-7	1.0000000E-1	-9.0104944E+5	2.4476839E-7	4.0854947E+5	1.0034320E-1	-9.0414187E+5	-3.4319999E-4	3.0924016E+3	1.0017010E-1	4.0924441E+5	-1.7010000E-4	-6.9494263E+2	1.7870456E+2	1.0741850E+1	-5.3602211E-8	1.8655948E+6	-1.0046410E-1	1.8742530E+6	4.6410001E-4	-8.6582256E+3	6.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
7.2339997E+0	1.8361550E-7	1.2000000E-1	6.5353962E+5	-1.0373110E-7	-9.6403106E+5	1.1997910E-1	6.5342575E+5	2.0900001E-5	1.1382481E+2	9.9855423E-2	-9.6263725E+5	1.4458000E-4	-1.3937960E+3	1.7870456E+2	1.0741850E+1	-2.4645161E-7	4.0575919E+5	-1.0010740E-1	4.0619497E+5	1.0740000E-4	-4.3578537E+2	7.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
8.0459995E+0	-1.2425880E-7	1.4000000E-1	-1.1266808E+6	-5.1082790E-8	-1.9576065E+6	1.3988590E-1	-1.1257625E+6	1.1410000E-4	-9.1824481E+2	1.0036470E-1	-1.9647459E+6	-3.6470001E-4	7.1393906E+3	1.7870456E+2	1.0741850E+1	1.0572340E-7	-9.4586437E+5	-9.9821568E-2	-9.4417669E+5	-1.7843000E-4	-1.6877058E+3	8.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
8.8589993E+0	-1.4465979E-7	1.6000000E-1	-1.1060432E+6	1.3744550E-7	7.2756112E+5	1.6007920E-1	-1.1065908E+6	-7.9199999E-5	5.4749146E+2	1.0025910E-1	7.2944619E+5	-2.5909999E-4	-1.8851108E+3	1.7870456E+2	1.0741850E+1	2.0056360E-7	-4.9859497E+5	-9.9993467E-2	-4.9856241E+5	-6.5300001E-6	-3.2558250E+1	9.0000000E+0	0.0000000E+0	0.0000000E+0	0.0000000E+0
9.6870003E+0	1.1356700E-7	1.8000001E-1	1.5849675E+6	2.3893531E-7	4.1852334E+5	1.8046360E-1	1.5890496E+6	-4.6360001E-4	-4.0821719E+3	1.0023470E-1	4.1950562E+5	-2.3470000E-4	-9.8227429E+2	1.7870456E+2	1.0741850E+1	1.0074310E-7	-9.9262381E+5	-1.0034920E-1	-9.9609006E+5	3.4920001E-4	3.4662424E+3	1.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.0764999E+1	2.1576500E-7	2.0000000E-1	9.2693437E+5	-1.3267670E-7	-7.5371181E+5	2.0036550E-1	9.2862837E+5	-3.6549999E-4	-1.6939727E+3	9.9851370E-2	-7.5259162E+5	1.4863000E-4	-1.1202419E+3	1.7870456E+2	1.0741850E+1	-2.2702490E-7	4.4048031E+5	-1.0014030E-1	4.4109831E+5	1.4030001E-4	-6.1799390E+2	1.1000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.3296000E+1	-1.3407460E-7	2.2000000E-1	-1.6408775E+6	-1.2888120E-7	-7.7590837E+5	2.1973971E-1	-1.6389361E+6	2.6030000E-4	-1.9414564E+3	1.0027240E-1	-7.7802194E+5	-2.7240001E-4	2.1135745E+3	1.7870456E+2	1.0742042E+1	1.5450290E-7	-6.4723706E+5	-9.9775083E-2	-6.4578125E+5	-2.2492000E-4	-1.4557655E+3	1.2000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.4108999E+1	-7.8846263E-8	2.3999999E-1	-3.0438982E+6	1.2262410E-7	8.1550037E+5	2.4037190E-1	-3.0486150E+6	-3.7190001E-4	4.7167739E+3	1.0021070E-1	8.1721862E+5	-2.1070000E-4	-1.7182593E+3	1.7870456E+2	1.0742042E+1	1.9696699E-7	-5.0769925E+5	-9.9947207E-2	-5.0743125E+5	-5.2790001E-5	-2.6801443E+2	1.3000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.4921000E+1	1.0497010E-7	2.5999999E-1	2.4768958E+6	2.2516311E-7	4.4412250E+5	2.6050109E-1	2.4816695E+6	-5.0109997E-4	-4.7737402E+3	1.0017400E-1	4.4489528E+5	-1.7400000E-4	-7.7277313E+2	1.7870456E+2	1.0742042E+1	-6.4144392E-9	1.5589828E+7	-1.0040690E-1	1.5653263E+7	4.0690001E-4	-6.3435008E+4	1.4000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.5733999E+1	2.3468010E-7	2.8000000E-1	1.1931135E+6	-7.6390172E-8	-1.3090690E+6	2.8006771E-1	1.1934020E+6	-6.7699999E-5	-2.8847781E+2	9.9929810E-2	-1.3081501E+6	7.0189999E-5	-9.1883551E+2	1.7870456E+2	1.0742042E+1	-2.1027481E-7	4.7556816E+5	-1.0029550E-1	4.7697347E+5	2.9550001E-4	-1.4053040E+3	1.5000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.6562000E+1	-5.9005171E-8	3.0000001E-1	-5.0843000E+6	-1.8900720E-7	-5.2908037E+5	2.9986021E-1	-5.0819310E+6	1.3980000E-4	-2.3692839E+3	9.9929810E-2	-5.2870900E+5	7.0189999E-5	-3.7136151E+2	1.7870456E+2	1.0742042E+1	-2.6915700E-8	3.7153038E+6	-9.9650621E-2	3.7023232E+6	-3.4937999E-4	1.2980528E+4	1.6000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
1.7375000E+1	-1.3879681E-7	3.1999999E-1	-2.3055288E+6	1.0499550E-8	9.5242180E+6	3.1992009E-1	-2.3049530E+6	7.9899997E-5	-5.7566168E+2	9.9682808E-2	9.4940080E+6	3.1718999E-4	3.0209865E+4	1.7870456E+2	1.0742042E+1	-1.8121810E-7	5.5182125E+5	-1.0030510E-1	5.5350487E+5	3.0509999E-4	-1.6836067E+3	1.7000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.0218000E+1	-5.1726150E-8	3.4000000E-1	-6.5730775E+6	-1.4671870E-7	-6.8157637E+5	3.3982709E-1	-6.5697350E+6	1.7290001E-4	-3.3426033E+3	1.0014200E-1	-6.8254419E+5	-1.4200000E-4	9.6783844E+2	1.7870456E+2	1.0741914E+1	4.3290360E-8	-2.3099830E+6	-9.9591732E-2	-2.3005522E+6	-4.0826999E-4	-9.4309678E+3	1.8000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.1031000E+1	-2.7065200E-8	3.6000001E-1	-1.3301213E+7	1.8144540E-7	5.5113000E+5	3.6039069E-1	-1.3315649E+7	-3.9070001E-4	1.4435512E+4	1.0033750E-1	5.5299006E+5	-3.3750001E-4	-1.8600637E+3	1.7870456E+2	1.0741914E+1	1.1213480E-7	-8.9178381E+5	-1.0030870E-1	-8.9453675E+5	3.0869999E-4	2.7529365E+3	1.9000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.1843000E+1	2.5743461E-7	3.8000000E-1	1.4761030E+6	6.3093012E-8	1.5849616E+6	3.8028169E-1	1.4771974E+6	-2.8169999E-4	-1.0942585E+3	9.9818230E-2	1.5820806E+6	1.8177000E-4	2.8809849E+3	1.7870456E+2	1.0741914E+1	-1.7659400E-7	5.6627062E+5	-1.0031080E-1	5.6803062E+5	3.1080001E-4	-1.7599692E+3	2.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.2656000E+1	2.3126120E-7	4.0000001E-1	1.7296460E+6	-1.3397811E-7	-7.4639062E+5	3.9974949E-1	1.7285628E+6	2.5049999E-4	1.0831908E+3	9.9806793E-2	-7.4494856E+5	1.9321000E-4	-1.4421013E+3	1.7870456E+2	1.0741914E+1	-2.2739739E-7	4.3975878E+5	-1.0017490E-1	4.4052791E+5	1.7489999E-4	-7.6913806E+2	2.1000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.3468000E+1	-4.5021120E-9	4.1999999E-1	-9.3289552E+7	-1.6808410E-7	-5.9494025E+5	4.1983101E-1	-9.3252008E+7	1.6900001E-4	-3.7537937E+4	9.9993229E-2	-5.9490000E+5	6.7699998E-6	-4.0277458E+1	1.7870456E+2	1.0741914E+1	2.3534200E-8	-4.2491355E+6	-9.9534750E-2	-4.2293660E+6	-4.6524999E-4	-1.9769102E+4	2.2000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.4296000E+1	-8.7437229E-8	4.4000000E-1	-5.0321815E+6	4.4772491E-8	2.2335142E+6	4.3989801E-1	-5.0310150E+6	1.0200000E-4	-1.1665511E+3	1.0046410E-1	2.2438800E+6	-4.6410001E-4	-1.0365740E+4	1.7870456E+2	1.0741914E+1	1.9716011E-7	-5.0720200E+5	-1.0001370E-1	-5.0727150E+5	1.3700000E-5	6.9486679E+1	2.3000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.5108999E+1	1.7890009E-7	4.6000001E-1	2.5712675E+6	2.2808190E-7	4.3843900E+5	4.6057341E-1	2.5744725E+6	-5.7340000E-4	-3.2051406E+3	1.0027240E-1	4.3963331E+5	-2.7240001E-4	-1.1943079E+3	1.7870456E+2	1.0741914E+1	1.4093500E-7	-7.0954694E+5	-1.0009480E-1	-7.1021962E+5	9.4800002E-5	6.7265051E+2	2.4000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.5921000E+1	3.6176149E-7	4.7999999E-1	1.3268410E+6	-9.5777978E-8	-1.0440813E+6	4.8012230E-1	1.3271791E+6	-1.2230000E-4	-3.3806802E+2	9.9936724E-2	-1.0434206E+6	6.3280000E-5	-6.6069464E+2	1.7870456E+2	1.0741914E+1	-2.4680980E-7	4.0517031E+5	-1.0012530E-1	4.0567797E+5	1.2529999E-4	-5.0767838E+2	2.5000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.6733999E+1	6.6070470E-8	5.0000000E-1	7.5676775E+6	-1.9525740E-7	-5.1214447E+5	4.9984309E-1	7.5653025E+6	1.5690000E-4	2.3747371E+3	9.9957474E-2	-5.1192666E+5	4.2529999E-5	-2.1781505E+2	1.7870456E+2	1.0741914E+1	-4.9094641E-8	2.0368822E+6	-9.9741697E-2	2.0316210E+6	-2.5829999E-4	5.2612666E+3	2.6000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.7546000E+1	-4.8014609E-8	5.1999998E-1	-1.0830037E+7	7.3471028E-8	1.3610806E+6	5.1992851E-1	-1.0828548E+7	7.1499999E-5	-1.4891301E+3	1.0054330E-1	1.3684755E+6	-5.4330000E-4	-7.3947515E+3	1.7870456E+2	1.0741914E+1	1.7990520E-7	-5.5584831E+5	-9.9876881E-2	-5.5516394E+5	-1.2312000E-4	-6.8436041E+2	2.7000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.8375000E+1	1.0765440E-7	5.4000002E-1	5.0160515E+6	1.8034530E-7	5.5449187E+5	5.4039502E-1	5.0197205E+6	-3.9500001E-4	-3.6691487E+3	1.0031410E-1	5.5623350E+5	-3.1410001E-4	-1.7416589E+3	1.7870456E+2	1.0741914E+1	1.0586620E-7	-9.4458856E+5	-1.0034110E-1	-9.4781056E+5	3.4110001E-4	3.2219915E+3	2.8000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
2.9187000E+1	4.1665291E-7	5.6000000E-1	1.3440444E+6	1.0713090E-7	9.3343750E+5	5.6012732E-1	1.3443499E+6	-1.2729999E-4	-3.0553009E+2	9.9786997E-2	9.3144931E+5	2.1300001E-4	1.9882219E+3	1.7870456E+2	1.0741914E+1	4.9106461E-8	-2.0363920E+6	-1.0034510E-1	-2.0434195E+6	3.4510001E-4	7.0275889E+3	2.9000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.2139999E+1	6.8839313E-8	5.7999998E-1	8.4254190E+6	-1.9129730E-7	-5.2274653E+5	5.7986498E-1	8.4234570E+6	1.3499999E-4	1.9610887E+3	9.9939346E-2	-5.2242950E+5	6.0650000E-5	-3.1704578E+2	1.7870456E+2	1.0741600E+1	-3.0051300E-8	3.3276430E+6	-9.9672079E-2	3.3167310E+6	-3.2791999E-4	1.0912007E+4	3.0000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.2952999E+1	3.2437359E-8	6.0000002E-1	1.8497190E+7	1.1536520E-7	8.6681250E+5	5.9999800E-1	1.8497128E+7	2.0000000E-6	6.1657299E+1	1.0022830E-1	8.6879144E+5	-2.2830001E-4	-1.9789330E+3	1.7870456E+2	1.0741600E+1	1.5439210E-7	-6.4770156E+5	-9.9964142E-2	-6.4746925E+5	-3.5860001E-5	-2.3226578E+2	3.1000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.3764999E+1	5.5612969E-7	6.2000000E-1	1.1148479E+6	3.6307370E-8	2.7542618E+6	6.2019873E-1	1.1152051E+6	-1.9870000E-4	-3.5729074E+2	9.9693298E-2	2.7458145E+6	3.0670001E-4	8.4473203E+3	1.7870456E+2	1.0741600E+1	-1.9277520E-7	5.1873894E+5	-1.0032300E-1	5.2041444E+5	3.2299999E-4	-1.6755267E+3	3.2000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.4577999E+1	3.5805041E-7	6.3999999E-1	1.7874579E+6	-1.8929020E-7	-5.2828937E+5	6.3965821E-1	1.7865032E+6	3.4180001E-4	9.5461420E+2	9.9904060E-2	-5.2778250E+5	9.5939999E-5	-5.0684082E+2	1.7870456E+2	1.0741600E+1	-8.9200967E-8	1.1210640E+6	-9.9735737E-2	1.1181015E+6	-2.6425999E-4	2.9625239E+3	3.3000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
3.5405998E+1	1.8250850E-7	6.6000003E-1	3.6162700E+6	-2.6178780E-8	-3.8198878E+6	6.6000468E-1	3.6162958E+6	-4.6999999E-6	-2.5752226E+1	1.0031600E-1	-3.8319585E+6	-3.1599999E-4	1.2070845E+4	1.7870456E+2	1.0741600E+1	1.4640550E-7	-6.8303444E+5	-9.9772207E-2	-6.8147856E+5	-2.2779001E-4	-1.5558842E+3	3.4000000E+1	0.0000000E+0	0.0000000E+0	0.0000000E+0
