t (s)	T [K]	Ibias (A)	Vbias [V]	Rrem(ohm)	VbiasSense (V)	RremSense(ohm)	VbiasDif (V)	RremDif(ohm)	Rterm(ohm)	After Loop Nº
1.1890666E+0	3.0026834E+2	8.2351296E-5	1.0000000E-1	1.2143099E+3	9.9982262E-2	1.2140945E+3	1.7740000E-5	2.1541858E-1	8.7850456E+0	0.0000000E+0
1.4093833E+0	3.0024200E+2	8.1719889E-5	1.0000000E-1	1.2236923E+3	9.9997282E-2	1.2236591E+3	2.7200001E-6	3.3284429E-2	8.7853403E+0	0.0000000E+0
1.5929834E+0	3.0029825E+2	8.1710517E-5	1.0000000E-1	1.2238326E+3	9.9990837E-2	1.2237205E+3	9.1600004E-6	1.1210307E-1	8.7847118E+0	0.0000000E+0
1.7539166E+0	3.0026654E+2	8.2166633E-5	1.0000000E-1	1.2170391E+3	9.9988461E-2	1.2168987E+3	1.1540000E-5	1.4044631E-1	8.7850657E+0	0.0000000E+0
1.9044334E+0	3.0029843E+2	8.2418454E-5	1.0000000E-1	1.2133206E+3	1.0000820E-1	1.2134200E+3	-8.1999997E-6	-9.9492289E-2	8.7847099E+0	0.0000000E+0
2.0546999E+0	3.0031918E+2	8.2034989E-5	1.0000000E-1	1.2189921E+3	9.9983446E-2	1.2187903E+3	1.6550001E-5	2.0174319E-1	8.7844782E+0	0.0000000E+0
2.2049501E+0	3.0030969E+2	8.2405917E-5	1.0000000E-1	1.2135050E+3	9.9979639E-2	1.2132579E+3	2.0359999E-5	2.4706963E-1	8.7845840E+0	0.0000000E+0
2.3552167E+0	3.0033945E+2	8.2287719E-5	1.0000000E-1	1.2152482E+3	9.9997282E-2	1.2152151E+3	2.7200001E-6	3.3054750E-2	8.7842522E+0	0.0000000E+0
2.5057333E+0	3.0032654E+2	8.2450722E-5	1.0000000E-1	1.2128457E+3	9.9983931E-2	1.2126508E+3	1.6070000E-5	1.9490430E-1	8.7843962E+0	0.0000000E+0
2.6559999E+0	3.0031149E+2	8.2206832E-5	1.0000000E-1	1.2164440E+3	1.0000110E-1	1.2164573E+3	-1.1000000E-6	-1.3380883E-2	8.7845640E+0	0.0000000E+0
8.7153664E+0	3.0039587E+2	8.1627593E-5	1.0000000E-1	1.2250759E+3	1.0001490E-1	1.2252585E+3	-1.4900000E-5	-1.8253632E-1	8.7836218E+0	1.0000000E+0
8.8763170E+0	3.0039389E+2	8.1662118E-5	1.0000000E-1	1.2245580E+3	1.0000280E-1	1.2245923E+3	-2.7999999E-6	-3.4287624E-2	8.7836437E+0	1.0000000E+0
9.0265665E+0	3.0039963E+2	8.2047431E-5	1.0000000E-1	1.2188073E+3	9.9996328E-2	1.2187625E+3	3.6700001E-6	4.4730224E-2	8.7835798E+0	1.0000000E+0
9.1770830E+0	3.0040143E+2	8.2164283E-5	1.0000000E-1	1.2170739E+3	1.0000560E-1	1.2171421E+3	-5.5999999E-6	-6.8156138E-2	8.7835598E+0	1.0000000E+0
9.3273497E+0	3.0041467E+2	8.2451857E-5	1.0000000E-1	1.2128289E+3	1.0000370E-1	1.2128738E+3	-3.7000000E-6	-4.4874668E-2	8.7834120E+0	1.0000000E+0
9.4776163E+0	3.0040143E+2	8.2112289E-5	1.0000000E-1	1.2178445E+3	1.0001420E-1	1.2180175E+3	-1.4200000E-5	-1.7293392E-1	8.7835598E+0	1.0000000E+0
9.6281338E+0	3.0038834E+2	8.1611390E-5	1.0000000E-1	1.2253192E+3	9.9992514E-2	1.2252274E+3	7.4899999E-6	9.1776408E-2	8.7837057E+0	1.0000000E+0
9.7784004E+0	3.0039944E+2	8.2057129E-5	1.0000000E-1	1.2186631E+3	9.9984169E-2	1.2184702E+3	1.5830001E-5	1.9291438E-1	8.7835817E+0	1.0000000E+0
9.9286499E+0	3.0040698E+2	8.1789658E-5	1.0000000E-1	1.2226484E+3	1.0000010E-1	1.2226497E+3	-1.0000000E-7	-1.2226484E-3	8.7834978E+0	1.0000000E+0
1.0079166E+1	3.0041074E+2	8.2474733E-5	1.0000000E-1	1.2124926E+3	1.0000990E-1	1.2126127E+3	-9.8999999E-6	-1.2003677E-1	8.7834558E+0	1.0000000E+0
1.0229433E+1	3.0041452E+2	8.1401988E-5	1.0000000E-1	1.2284712E+3	1.0002140E-1	1.2287341E+3	-2.1399999E-5	-2.6289284E-1	8.7834139E+0	1.0000000E+0
