Tiempo (s),Setpoint (K),Sensor 1 (K),Sensor 2 (K),dT/dt 1 (K/min),dT/dt 2 (K/Min),Potencia (W),Voltaje A (V),Voltaje B (V),Corriente (A),Resistencia A (Ohm),Resistencia B (Ohm)
0.2216797,298.7600000,298.7600000,27.3690000,NaN,NaN,0.0000000,0.1001430,0.0000918,NaN,1090.4950965,NaN
1.4140625,298.7600000,298.7580000,27.2600000,NaN,NaN,23.0000000,0.1001470,0.0000919,NaN,1090.2572823,NaN
2.5830078,298.7600000,298.7610000,27.3420000,NaN,NaN,23.0000000,0.1001700,0.0000919,NaN,1089.5907481,NaN
3.7617187,298.7649683,298.7650000,27.3220000,NaN,NaN,23.0000000,0.1001380,0.0000918,NaN,1090.8314515,NaN
4.9833984,298.7698389,298.7680000,27.3330000,1.5845591,0.1789018,23.0000000,0.1001550,0.0000918,NaN,1090.4322207,NaN
6.1699219,298.7747502,298.7730000,27.5590000,-0.2249634,0.1749715,23.0000000,0.1001380,0.0000918,NaN,1090.3171717,NaN
7.3437500,298.7798405,298.7800000,27.4160000,5.9048175,0.1993187,23.0000000,0.1001440,0.0000917,NaN,1091.5067729,NaN
8.5000000,298.7847843,298.7810000,27.3850000,2.1098552,0.3050393,23.0000000,0.1001500,0.0000918,NaN,1090.7530498,NaN
9.6660156,298.7896753,298.7910000,27.4750000,-4.4805365,0.2060017,23.0000000,0.1001190,0.0000918,NaN,1090.2432491,NaN
10.8242187,298.7944930,298.8020000,27.4960000,1.5243734,0.2842052,23.0000000,0.1001220,0.0000917,NaN,1092.0632843,NaN
11.9951172,298.7993514,298.8150000,27.5460000,2.8654790,0.5421176,22.5000000,0.1001430,0.0000919,NaN,1089.1963529,NaN
13.1630859,298.8041772,298.8320000,27.4430000,1.8290314,0.6182642,22.5000000,0.1001550,0.0000917,NaN,1091.6921091,NaN
14.3320312,298.8090560,298.8600000,27.5180000,-1.3596326,0.7696033,22.0000000,0.1001200,0.0000918,NaN,1091.0073620,NaN
15.5097656,298.8139225,298.9060000,27.5610000,-0.7188968,1.1553698,21.5000000,0.1001450,0.0000919,NaN,1089.3875411,NaN
16.6757812,298.8187931,298.9520000,27.2810000,3.0170287,1.8920350,21.0000000,0.1001400,0.0000920,NaN,1088.3256587,NaN
17.8457031,298.8237004,299.0090000,27.2080000,-6.0672000,2.3552000,20.5000000,0.1001180,0.0000918,NaN,1090.1682543,NaN
19.0205078,298.8285588,299.0750000,27.2960000,-9.0670234,2.6456187,20.0000000,0.1001190,0.0000919,NaN,1088.9850649,NaN
20.1953125,298.8334334,299.1460000,27.3240000,0.3838401,3.1474885,19.0000000,0.1001140,0.0000920,NaN,1087.8621988,NaN
21.3642578,298.8383285,299.2280000,27.2700000,2.9621945,3.4984539,18.5000000,0.1000980,0.0000919,NaN,1089.1902508,NaN
22.5332031,298.8432235,299.3180000,27.2310000,-0.6656000,3.9168000,17.5000000,0.1001170,0.0000920,NaN,1088.5003860,NaN
23.7031250,298.8480941,299.4110000,27.2310000,-2.3867669,4.4142356,17.0000000,0.1001200,0.0000921,NaN,1086.8692044,NaN
24.8818359,298.8529647,299.5190000,27.2050000,-1.0004843,4.6945804,16.0000000,0.1001290,0.0000921,NaN,1087.4910669,NaN
26.0488281,298.8578394,299.6320000,27.0220000,-0.6642162,5.1349023,15.0000000,0.1001390,0.0000921,NaN,1086.7710834,NaN
27.2197266,298.8627507,299.7510000,27.0220000,-5.3459450,5.6528893,14.0000000,0.1001530,0.0000922,NaN,1085.9813388,NaN
28.3886719,298.8676131,299.8790000,27.0360000,-4.6965414,5.9540852,13.0000000,0.1001340,0.0000923,NaN,1084.6650541,NaN
29.5595703,298.8724919,300.0160000,27.1470000,0.3589983,6.3337563,12.0000000,0.1001270,0.0000923,NaN,1085.0146887,NaN
30.7636719,298.8773625,300.1620000,27.0580000,3.2053422,6.7953255,10.5000000,0.1001200,0.0000924,NaN,1083.1840331,NaN
31.9238281,298.8822412,300.3170000,27.0550000,0.5557895,7.1494737,9.5000000,0.1001080,0.0000925,NaN,1082.6313735,NaN
33.0947266,298.8872583,300.4770000,27.1020000,-2.3347708,7.6387608,8.5000000,0.1001420,0.0000926,NaN,1081.8314498,NaN
34.2587891,298.8920923,300.6350000,27.0550000,1.1325346,8.1079179,7.0000000,0.1001170,0.0000925,NaN,1081.8348521,NaN
35.4316406,298.8969710,300.8050000,27.1260000,0.0000000,8.1714429,6.0000000,0.1001080,0.0000926,NaN,1081.4746635,NaN
36.6035156,298.9018213,300.9760000,27.0720000,0.6161972,8.4213623,5.0000000,0.1001170,0.0000925,NaN,1081.9505954,NaN
37.7578125,298.9067082,301.0950000,27.0830000,0.4350187,8.7259642,4.5000000,0.1001290,0.0000926,NaN,1081.5029077,NaN
38.9345703,298.9115910,301.2340000,27.2180000,-1.1091184,7.4801008,3.5000000,0.1001200,0.0000929,NaN,1077.7365380,NaN
40.0908203,298.9164006,301.4250000,27.3020000,3.7579556,6.6407708,2.5000000,0.1001360,0.0000930,NaN,1076.7589701,NaN
41.2578125,298.9213037,301.6080000,27.0770000,5.6322143,8.4868983,1.0000000,0.1001080,0.0000929,NaN,1077.1111197,NaN
