Tiempo (min)	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	2W 1?	N	W	(Rrem-Ro)/Ro	t-tor	WR	S	T	U	V	W	X	Y
1.2689	300.00	0.30110	0.027200	11070	12342	0.024300	0.29990	0.0100000	60.000	100.00	10.000	1.0000	1.0000			-161.67								
3.2562	300.00	0.30060	0.025400	11835	11424	0.026200	0.29930	0.0100000	60.000	100.00	10.000	1.0000	2.0000			-159.68								
5.2434	300.00	0.29970	0.026200	11439	11498	0.026100	0.30010	0.0100000	60.000	100.00	10.000	1.0000	3.0000			-157.70								
7.2306	300.00	0.29890	0.024800	12052	12261	0.024500	0.30040	0.0100000	60.000	100.00	10.000	1.0000	4.0000			-155.71								
9.2178	300.00	0.30080	0.024600	12228	11952	0.025100	0.30000	0.0100000	60.000	100.00	10.000	1.0000	5.0000			-153.72								
11.205	300.00	0.29900	0.024500	12204	12592	0.023800	0.29970	0.0100000	60.000	100.00	10.000	1.0000	6.0000			-151.74								
13.192	350.00	0.34950	0.030700	11384	11677	0.025700	0.30010	0.0100000	10.000	100.00	10.000	1.0000	7.0000			-149.75								
13.513	400.00	0.39960	0.040100	9965.1	11228	0.026700	0.29980	0.0100000	10.000	100.00	10.000	1.0000	8.0000			-149.43								
13.833	450.00	0.44980	0.045800	9821.0	12804	0.023500	0.30090	0.0100000	10.000	100.00	10.000	1.0000	9.0000			-149.11								
14.154	500.00	0.49980	0.051300	9742.7	12737	0.023600	0.30060	0.0100000	10.000	100.00	10.000	1.0000	10.000			-148.79								
14.474	550.00	0.55040	0.060200	9142.9	11909	0.025200	0.30010	0.0100000	10.000	100.00	10.000	1.0000	11.000	11958	-3.5280e-05	-148.47								
14.795	600.00	0.59980	0.065700	9129.4	12241	0.024500	0.29990	0.0100000	10.000	100.00	10.000	1.0000	12.000	11930	-0.0023753	-148.15								
15.115	650.00	0.65020	0.074100	8774.6	11850	0.025400	0.30100	0.0100000	10.000	100.00	10.000	1.0000	13.000	11973	0.0012799	-147.82								
15.436	700.00	0.69960	0.082500	8480.0	11773	0.025500	0.30020	0.0100000	10.000	100.00	10.000	1.0000	14.000	11956	-0.00015582	-147.50								
15.756	750.00	0.74940	0.085700	8744.5	12032	0.024900	0.29960	0.0100000	10.000	100.00	10.000	1.0000	15.000	11993	0.0029246	-147.18								
16.077	800.00	0.80080	0.094800	8447.3	11757	0.025500	0.29980	0.0100000	10.000	100.00	10.000	1.0000	16.000	11983	0.0021312	-146.86								
16.398	850.00	0.84980	0.098800	8601.2	11909	0.025200	0.30010	0.0100000	10.000	100.00	10.000	1.0000	17.000	11923	-0.0029330	-146.54								
16.718	900.00	0.89960	0.10690	8415.3	11699	0.025600	0.29950	0.0100000	10.000	100.00	10.000	1.0000	18.000	11972	0.0012048	-146.22								
17.039	950.00	0.95040	0.11670	8144.0	11402	0.026400	0.30100	0.0100000	10.000	100.00	10.000	1.0000	19.000	11994	0.0030066	-145.90								
17.359	1000.0	0.99920	0.12330	8103.8	11761	0.025500	0.29990	0.0100000	10.000	100.00	10.000	1.0000	20.000	11945	-0.0010584	-145.58								
17.680	1050.0	1.0499	0.12960	8101.1	12261	0.024500	0.30040	0.0100000	10.000	100.00	10.000	1.0000	21.000	11888	-0.0058936	-145.26								
18.001	1100.0	1.1010	0.13550	8125.5	11754	0.025600	0.30090	0.0100000	10.000	100.00	10.000	1.0000	22.000	11912	-0.0038448	-144.94								
18.321	1150.0	1.1499	0.14430	7968.8	12342	0.024300	0.29990	0.0100000	10.000	100.00	10.000	1.0000	23.000	11885	-0.0060694	-144.62								
18.642	1200.0	1.1998	0.15260	7862.4	11138	0.026900	0.29960	0.0100000	10.000	100.00	10.000	1.0000	24.000	11904	-0.0045185	-144.30								
18.962	1250.0	1.2501	0.15840	7892.0	13035	0.023000	0.29980	0.0100000	10.000	100.00	10.000	1.0000	25.000	11956	-0.00015811	-143.98								
19.283	1300.0	1.2997	0.16420	7915.3	11753	0.025500	0.29970	0.0100000	10.000	100.00	10.000	1.0000	26.000	11898	-0.0049988	-143.66								
19.603	1350.0	1.3508	0.17480	7727.7	11321	0.026500	0.30000	0.0100000	10.000	100.00	10.000	1.0000	27.000	11889	-0.0057526	-143.34								
19.924	1400.0	1.4005	0.18290	7657.2	12716	0.023600	0.30010	0.0100000	10.000	100.00	10.000	1.0000	28.000	11862	-0.0079888	-143.02								
