Tiempo (min)	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Ancho pulso (s)	Periodo (s)	N	W	Rrem-Ro/Ro	t-to	t-tor	dW/dt	dW/dt-tor	S_dW	WR	T	U	V
0.34450	3000.0	3.0008	0.56050	5353.8	10880	0.027600	0.30030	1.0000	5.0000	1.0000											
0.56463	3000.0	2.9993	0.57340	5230.7	10532	0.028400	0.29910	1.0000	5.0000	2.0000											
0.78478	3000.0	3.0009	0.57860	5186.5	9924.1	0.030300	0.30070	1.0000	5.0000	3.0000											
1.0050	3000.0	2.9989	0.58050	5166.1	9865.6	0.030500	0.30090	1.0000	5.0000	4.0000											
1.2252	3000.0	3.0004	0.58950	5089.7	9737.0	0.030800	0.29990	1.0000	5.0000	5.0000											
1.4467	3000.0	3.0013	0.58880	5097.3	10738	0.027900	0.29960	1.0000	5.0000	6.0000											
1.6671	3000.0	2.9985	0.59220	5063.3	9649.5	0.031100	0.30010	1.0000	5.0000	7.0000											
1.8876	3000.0	3.0002	0.59510	5041.5	10128	0.029700	0.30080	1.0000	5.0000	8.0000											
2.1077	3000.0	2.9998	0.59800	5016.4	9871.7	0.030400	0.30010	1.0000	5.0000	9.0000											
2.3279	3000.0	3.0005	0.60050	4996.7	10360	0.028900	0.29940	1.0000	5.0000	10.000											
2.5481	3000.0	3.0006	0.59890	5010.2	9437.1	0.031800	0.30010	1.0000	5.0000	11.000	9968.9	-4.5062e-07	1.1916e-05	-40.348							
2.7683	3000.0	3.0005	0.60260	4979.3	9806.6	0.030500	0.29910	1.0000	5.0000	12.000	9898.3	-0.0070811	0.22023	-40.128							
2.9885	3000.0	2.9993	0.60430	4963.3	9424.5	0.031800	0.29970	1.0000	5.0000	13.000	9833.5	-0.013579	0.44039	-39.908	-162.19	-162.19					
3.2087	3000.0	3.0004	0.60380	4969.2	10077	0.029800	0.30030	1.0000	5.0000	14.000	9846.7	-0.012258	0.66058	-39.687	-116.03	-116.03					
3.4289	3000.0	3.0003	0.60680	4944.5	10334	0.029000	0.29970	1.0000	5.0000	15.000	9816.1	-0.015323	0.88078	-39.467	-145.09	-145.09	-170.62				
3.6496	3000.0	2.9995	0.60580	4951.3	9127.7	0.032900	0.30030	1.0000	5.0000	16.000	9779.2	-0.019030	1.1015	-39.246	-210.58	-210.57	-176.44				
3.8697	3000.0	3.0000	0.60920	4924.5	9465.2	0.031600	0.29910	1.0000	5.0000	17.000	9707.4	-0.026228	1.3216	-39.026	-219.19	-219.19	-185.86				
4.0899	3000.0	3.0005	0.61160	4906.0	9623.8	0.031100	0.29930	1.0000	5.0000	18.000	9669.1	-0.030077	1.5418	-38.806	-191.31	-191.31	-180.12				
4.3101	3000.0	3.0004	0.61130	4908.2	10260	0.029200	0.29960	1.0000	5.0000	19.000	9629.8	-0.034016	1.7620	-38.586	-163.13	-163.13	-146.64				
4.5303	3000.0	2.9994	0.61390	4885.8	10054	0.029800	0.29960	1.0000	5.0000	20.000	9607.4	-0.036263	1.9822	-38.366	-116.41	-116.41	-95.502				
4.7505	3000.0	3.0008	0.61310	4894.5	10050	0.029900	0.30050	1.0000	5.0000	21.000	9558.7	-0.041152	2.2024	-38.145	-43.154	-43.154	-48.643				
4.9707	3000.0	3.0004	0.61520	4877.1	9398.1	0.031900	0.29980	1.0000	5.0000	22.000	9576.5	-0.039365	2.4226	-37.925	36.496	36.496	-30.005				
5.1909	3000.0	3.0008	0.61760	4858.8	9171.3	0.032700	0.29990	1.0000	5.0000	23.000	9597.8	-0.037231	2.6428	-37.705	42.986	42.986	-32.784				
5.4110	3000.0	2.9992	0.62130	4827.3	10201	0.029400	0.29990	1.0000	5.0000	24.000	9628.0	-0.034193	2.8629	-37.485	-69.943	-69.943	-51.751				
5.6312	3000.0	3.0005	0.61910	4846.6	9223.9	0.032600	0.30070	1.0000	5.0000	25.000	9580.2	-0.038991	3.0831	-37.265	-130.30	-130.30	-75.961				
5.8513	3000.0	3.0002	0.61880	4848.4	8961.1	0.033400	0.29930	1.0000	5.0000	26.000	9508.2	-0.046209	3.3032	-37.045	-137.99	-137.99	-94.510				
6.0714	3000.0	3.0008	0.61810	4854.9	9231.5	0.032400	0.29910	1.0000	5.0000	27.000	9514.2	-0.045610	3.5233	-36.825	-84.555	-84.555	-97.555				
6.2916	3000.0	3.0002	0.62150	4827.4	8843.7	0.033900	0.29980	1.0000	5.0000	28.000	9509.1	-0.046120	3.7435	-36.604	-49.760	-49.760	-93.309				
6.5117	3000.0	3.0011	0.62460	4804.8	9303.4	0.032300	0.30050	1.0000	5.0000	29.000	9486.7	-0.048372	3.9636	-36.384	-85.168	-85.168	-87.849				
6.7320	3000.0	3.0000	0.62280	4817.0	9401.3	0.031900	0.29990	1.0000	5.0000	30.000	9467.2	-0.050322	4.1839	-36.164	-109.07	-109.07	-87.042				
6.9521	3000.0	2.9990	0.62550	4794.6	9336.4	0.032100	0.29970	1.0000	5.0000	31.000	9441.4	-0.052914	4.4040	-35.944	-110.69	-110.69	-94.608				
7.1731	3000.0	2.9998	0.62690	4785.1	9811.1	0.030700	0.30120	1.0000	5.0000	32.000	9411.6	-0.055903	4.6250	-35.723	-80.523	-80.523	-90.269				
7.3933	3000.0	2.9997	0.62730	4781.9	10253	0.029200	0.29940	1.0000	5.0000	33.000	9392.5	-0.057819	4.8452	-35.503	-87.587	-87.587	-66.775				
7.6135	3000.0	2.9995	0.62720	4782.4	10060	0.029800	0.29980	1.0000	5.0000	34.000	9403.0	-0.056771	5.0654	-35.282	-63.472	-63.472	-41.748				
7.8337	3000.0	2.9994	0.62950	4764.7	9072.7	0.033000	0.29940	1.0000	5.0000	35.000	9349.2	-0.062160	5.2856	-35.062	8.3937	8.3937	-20.233				
8.0539	3000.0	3.0006	0.63260	4743.3	8823.5	0.034000	0.30000	1.0000	5.0000	36.000	9363.4	-0.060742	5.5058	-34.842	14.449	14.449	-11.950				
8.2741	3000.0	2.9992	0.62920	4766.7	9253.1	0.032400	0.29980	1.0000	5.0000	37.000	9421.6	-0.054905	5.7260	-34.622	27.050	27.050	-22.839				
8.4943	3000.0	3.0004	0.62890	4770.9	9358.3	0.032100	0.30040	1.0000	5.0000	38.000	9382.7	-0.058802	5.9462	-34.402	-46.168	-46.168	-42.295				
8.7144	3000.0	2.9998	0.63270	4741.3	9152.4	0.032800	0.30020	1.0000	5.0000	39.000	9369.3	-0.060143	6.1663	-34.182	-117.92	-117.92	-61.656				
8.9346	3000.0	2.9999	0.63260	4742.2	9852.0	0.030400	0.29950	1.0000	5.0000	40.000	9338.6	-0.063222	6.3865	-33.961	-88.883	-88.883	-87.210				
9.1548	3000.0	3.0008	0.63430	4730.9	9511.1	0.031500	0.29960	1.0000	5.0000	41.000	9313.8	-0.065718	6.6067	-33.741	-82.356	-82.356	-105.80				
9.3751	3000.0	3.0005	0.63710	4709.6	9424.5	0.031800	0.29970	1.0000	5.0000	42.000	9312.6	-0.065831	6.8270	-33.521	-100.72	-100.72	-109.99				
9.5953	3000.0	2.9995	0.63450	4727.3	8997.0	0.033400	0.30050	1.0000	5.0000	43.000	9291.7	-0.067935	7.0472	-33.301	-139.13	-139.13	-109.57				
9.8154	3000.0	2.9993	0.63710	4707.7	9390.6	0.032000	0.30050	1.0000	5.0000	44.000	9238.8	-0.073238	7.2673	-33.081	-138.87	-138.87	-100.56				
10.036	3000.0	2.9998	0.63490	4724.8	9072.5	0.033100	0.30030	1.0000	5.0000	45.000	9197.5	-0.077380	7.4875	-32.860	-86.782	-86.781	-84.296				
10.256	3000.0	2.9998	0.63600	4716.7	9520.6	0.031500	0.29990	1.0000	5.0000	46.000	9206.8	-0.076445	7.7076	-32.640	-37.301	-37.301	-68.187				
10.476	3000.0	3.0000	0.64150	4676.5	10183	0.029500	0.30040	1.0000	5.0000	47.000	9212.1	-0.075914	7.9278	-32.420	-19.393	-19.393	-56.831				
