Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-06
Sample Interval,1e-08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH2
-2.220e-06,0.008
-2.210e-06,0.012
-2.200e-06,0.004
-2.190e-06,0.008
-2.180e-06,0.004
-2.170e-06,0.008
-2.160e-06,0.012
-2.150e-06,-0.004
-2.140e-06,-0.008
-2.130e-06,-0.008
-2.120e-06,-0.008
-2.110e-06,-0.004
-2.100e-06,-0.012
-2.090e-06,-0.004
-2.080e-06,-0.012
-2.070e-06,-0.008
-2.060e-06,-0.008
-2.050e-06,-0.012
-2.040e-06,-0.004
-2.030e-06,-0.008
-2.020e-06,0.004
-2.010e-06,0.012
-2.000e-06,0.012
-1.990e-06,0.012
-1.980e-06,0.012
-1.970e-06,0.008
-1.960e-06,0.008
-1.950e-06,0
-1.940e-06,0
-1.930e-06,0
-1.920e-06,0.004
-1.910e-06,0.008
-1.900e-06,-0.004
-1.890e-06,-0.008
-1.880e-06,-0.012
-1.870e-06,-0.008
-1.860e-06,-0.004
-1.850e-06,-0.004
-1.840e-06,0.004
-1.830e-06,0.012
-1.820e-06,0.012
-1.810e-06,0.012
-1.800e-06,0.016
-1.790e-06,0.008
-1.780e-06,0.008
-1.770e-06,0.008
-1.760e-06,0.012
-1.750e-06,0.012
-1.740e-06,0.004
-1.730e-06,0.012
-1.720e-06,0
-1.710e-06,0.004
-1.700e-06,-0.004
-1.690e-06,0.004
-1.680e-06,0
-1.670e-06,-0.004
-1.660e-06,-0.004
-1.650e-06,0
-1.640e-06,0.008
-1.630e-06,0.008
-1.620e-06,0.004
-1.610e-06,0.004
-1.600e-06,0.012
-1.590e-06,0.012
-1.580e-06,0.012
-1.570e-06,0.008
-1.560e-06,0.016
-1.550e-06,0.004
-1.540e-06,0.016
-1.530e-06,0.012
-1.520e-06,0.008
-1.510e-06,0.004
-1.500e-06,0.008
-1.490e-06,0
-1.480e-06,-0.012
-1.470e-06,0
-1.460e-06,0.004
-1.450e-06,0.004
-1.440e-06,0.004
-1.430e-06,0.012
-1.420e-06,-0.004
-1.410e-06,0.012
-1.400e-06,0.008
-1.390e-06,0.012
-1.380e-06,0.004
-1.370e-06,0.008
-1.360e-06,0.02
-1.350e-06,0.024
-1.340e-06,0.016
-1.330e-06,0.004
-1.320e-06,0.004
-1.310e-06,0.016
-1.300e-06,0.008
-1.290e-06,0
-1.280e-06,-0.004
-1.270e-06,0.004
-1.260e-06,0
-1.250e-06,0.016
-1.240e-06,0.028
-1.230e-06,0.04
-1.220e-06,0.048
-1.210e-06,0.052
-1.200e-06,0.052
-1.190e-06,0.06
-1.180e-06,0.052
-1.170e-06,0.056
-1.160e-06,0.056
-1.150e-06,0.064
-1.140e-06,0.08
-1.130e-06,0.092
-1.120e-06,0.096
-1.110e-06,0.1
-1.100e-06,0.112
-1.090e-06,0.112
-1.080e-06,0.12
-1.070e-06,0.128
-1.060e-06,0.136
-1.050e-06,0.14
-1.040e-06,0.156
-1.030e-06,0.152
-1.020e-06,0.156
-1.010e-06,0.152
-1.000e-06,0.14
-9.900e-07,0.136
-9.800e-07,0.14
-9.700e-07,0.14
-9.600e-07,0.14
-9.500e-07,0.148
-9.400e-07,0.156
-9.300e-07,0.156
-9.200e-07,0.156
-9.100e-07,0.156
-9.000e-07,0.144
-8.900e-07,0.144
-8.800e-07,0.14
-8.700e-07,0.124
-8.600e-07,0.136
-8.500e-07,0.132
-8.400e-07,0.132
-8.300e-07,0.132
-8.200e-07,0.132
-8.100e-07,0.132
-8.000e-07,0.136
-7.900e-07,0.136
-7.800e-07,0.148
-7.700e-07,0.148
-7.600e-07,0.144
-7.500e-07,0.148
-7.400e-07,0.156
-7.300e-07,0.16
-7.200e-07,0.148
-7.100e-07,0.152
-7.000e-07,0.148
-6.900e-07,0.152
-6.800e-07,0.148
-6.700e-07,0.148
-6.600e-07,0.144
-6.500e-07,0.144
-6.400e-07,0.14
-6.300e-07,0.136
-6.200e-07,0.128
-6.100e-07,0.14
-6.000e-07,0.14
-5.900e-07,0.144
-5.800e-07,0.144
-5.700e-07,0.144
-5.600e-07,0.136
-5.500e-07,0.144
-5.400e-07,0.14
-5.300e-07,0.136
-5.200e-07,0.132
-5.100e-07,0.136
-5.000e-07,0.14
-4.900e-07,0.14
-4.800e-07,0.14
-4.700e-07,0.136
-4.600e-07,0.136
-4.500e-07,0.14
-4.400e-07,0.132
-4.300e-07,0.136
-4.200e-07,0.136
-4.100e-07,0.14
-4.000e-07,0.148
-3.900e-07,0.148
-3.800e-07,0.144
-3.700e-07,0.156
-3.600e-07,0.152
-3.500e-07,0.152
-3.400e-07,0.144
-3.300e-07,0.144
-3.200e-07,0.144
-3.100e-07,0.144
-3.000e-07,0.144
-2.900e-07,0.132
-2.800e-07,0.128
-2.700e-07,0.132
-2.600e-07,0.128
-2.500e-07,0.124
-2.400e-07,0.14
-2.300e-07,0.132
-2.200e-07,0.132
-2.100e-07,0.148
-2.000e-07,0.156
-1.900e-07,0.16
-1.800e-07,0.18
-1.700e-07,0.184
-1.600e-07,0.184
-1.500e-07,0.184
-1.400e-07,0.196
-1.300e-07,0.204
-1.200e-07,0.208
-1.100e-07,0.212
-1.000e-07,0.216
-9.000e-08,0.224
-8.000e-08,0.232
-7.000e-08,0.236
-6.000e-08,0.244
-5.000e-08,0.244
-4.000e-08,0.248
-3.000e-08,0.248
-2.000e-08,0.256
-1.000e-08,0.244
-1.117e-20,0.256
1.000e-08,0.264
2.000e-08,0.268
3.000e-08,0.276
4.000e-08,0.284
5.000e-08,0.3
6.000e-08,0.308
7.000e-08,0.32
8.000e-08,0.324
9.000e-08,0.324
1.000e-07,0.332
1.100e-07,0.34
1.200e-07,0.34
1.300e-07,0.348
1.400e-07,0.348
1.500e-07,0.356
1.600e-07,0.356
1.700e-07,0.364
1.800e-07,0.36
1.900e-07,0.388
2.000e-07,0.388
2.100e-07,0.404
2.200e-07,0.4
2.300e-07,0.428
2.400e-07,0.436
2.500e-07,0.436
2.600e-07,0.432
2.700e-07,0.436
2.800e-07,0.428
2.900e-07,0.444
3.000e-07,0.444
3.100e-07,0.448
3.200e-07,0.464
3.300e-07,0.456
3.400e-07,0.444
3.500e-07,0.452
3.600e-07,0.452
3.700e-07,0.452
3.800e-07,0.444
3.900e-07,0.46
4.000e-07,0.456
4.100e-07,0.472
4.200e-07,0.468
