#Pulsos	T_02d	002d	delta02d/10250	S5_delta02d	AA	AD	AC	AB
1.0000	1.4935	10250	0.0000					
2.0000	2.9635	9845.4	-0.039474					
3.0000	5.6836	9060.6	-0.11604	-0.079497				
4.0000	8.4038	9155.5	-0.10678	-0.084569				
5.0000	11.124	8864.3	-0.13519	-0.088099				
6.0000	13.844	9990.0	-0.025363	-0.083905				
7.0000	16.564	9664.5	-0.057120	-0.083347				
8.0000	19.284	9275.5	-0.095069	-0.080291				
9.0000	22.004	9184.0	-0.10400	-0.092375				
10.000	24.724	9021.0	-0.11991	-0.097032				
11.000	27.444	9370.7	-0.085784	-0.10529				
12.000	30.164	9425.9	-0.080403	-0.11530				
13.000	32.884	8852.1	-0.13638	-0.11447				
14.000	35.604	8671.5	-0.15400	-0.11963				
15.000	38.325	9063.1	-0.11580	-0.12471				
16.000	41.045	9106.7	-0.11154	-0.13197				
17.000	43.765	9165.1	-0.10584	-0.13018				
18.000	46.485	8480.2	-0.17266	-0.14072				
19.000	49.205	8763.2	-0.14506	-0.14221				
20.000	51.925	8522.9	-0.16850	-0.15329				
21.000	54.645	9030.1	-0.11901	-0.15556				
22.000	57.365	8597.7	-0.16120	-0.15850				
23.000	60.086	8363.9	-0.18401	-0.15671				
24.000	62.806	8612.1	-0.15980	-0.15897				
25.000	65.526	8614.9	-0.15952	-0.16088				
26.000	68.246	8913.9	-0.13035	-0.16137				
27.000	70.966	8500.0	-0.17073	-0.16281				
28.000	73.686	8338.9	-0.18645	-0.16422				
29.000	76.406	8538.5	-0.16698	-0.18200				
30.000	79.126	8542.6	-0.16657	-0.17364				
31.000	81.847	8002.7	-0.21925	-0.16941				
32.000	84.567	8928.4	-0.12894	-0.16591				
33.000	87.287	8555.6	-0.16531	-0.16307				
34.000	90.007	8718.0	-0.14946	-0.15331				
35.000	92.727	8687.9	-0.15240	-0.16343				
36.000	95.447	8502.8	-0.17045	-0.16539				
37.000	98.167	8410.1	-0.17950	-0.16654				
38.000	100.89	8454.8	-0.17514	-0.17834				
39.000	103.61	8659.0	-0.15522	-0.18282				
40.000	106.33	8083.1	-0.21140	-0.18611				
41.000	109.05	8273.5	-0.19283	-0.19287				
42.000	111.77	8241.8	-0.19593	-0.20515				
43.000	114.49	8108.1	-0.20897	-0.19470				
44.000	117.21	8029.5	-0.21664	-0.20019				
45.000	119.93	8618.9	-0.15913	-0.19930				
46.000	122.65	7992.0	-0.22029	-0.19609				
47.000	125.37	8287.3	-0.19148	-0.19912				
48.000	128.09	8272.7	-0.19290	-0.21381				
49.000	130.81	7874.0	-0.23180	-0.21139				
50.000	133.53	7866.1	-0.23257	-0.22382				
51.000	136.25	8115.9	-0.20820	-0.22909				
52.000	138.97	7650.5	-0.25361	-0.21844				
53.000	141.69	8002.7	-0.21925	-0.21022				
54.000	144.41	8419.7	-0.17856	-0.21107				
55.000	147.13	8287.3	-0.19148	-0.20373				
56.000	149.85	8072.6	-0.21243	-0.20081				
57.000	152.57	8026.7	-0.21690	-0.21982				
58.000	155.29	8152.2	-0.20467	-0.22485				
59.000	158.01	7445.5	-0.27361	-0.23770				
60.000	160.73	8029.5	-0.21664	-0.24413				
61.000	163.45	7413.8	-0.27670	-0.25011				
62.000	166.17	7697.4	-0.24903	-0.24379				
63.000	168.89	7845.5	-0.23458	-0.24773				
64.000	171.61	7769.4	-0.24201	-0.24136				
65.000	174.33	7827.7	-0.23632	-0.24742				
66.000	177.05	7740.4	-0.24484	-0.24641				
67.000	179.77	7386.7	-0.27935	-0.25137				
68.000	182.49	7897.4	-0.22953	-0.25686				
69.000	185.21	7515.1	-0.26682	-0.25133				
70.000	187.93	7546.4	-0.26377	-0.24828				
71.000	190.65	8024.1	-0.21716	-0.25818				
72.000	193.37	7542.7	-0.26413	-0.24216				
73.000	196.09	7390.1	-0.27901	-0.24106				
74.000	198.81	8336.1	-0.18672	-0.24559				
75.000	201.53	7602.5	-0.25829	-0.25172				
76.000	204.25	7792.2	-0.23978	-0.24862				
77.000	206.97	7228.4	-0.29479	-0.25927				
78.000	209.69	7549.1	-0.26350	-0.25625				
79.000	212.41	7790.2	-0.23998	-0.26031				
80.000	215.13	7757.1	-0.24321	-0.25215				
81.000	217.85	7584.4	-0.26006	-0.24241				
82.000	220.57	7646.3	-0.25402	-0.24793				
83.000	223.29	8048.4	-0.21479	-0.24034				
84.000	226.01	7507.5	-0.26756	-0.23735				
