#Pulsos	T-tor_ no puedo porque tienen diferente	002b	002c	002d	002e	002f	002g	002h	002i	delta02b/11684	delta02c/8818.2	delta02d/10250	delta02e/10030	delta02f/10155	delta02g/9355.1	delta02h/8967.2	delta2i/9164.5	S5_delta02b	S5_delta02c	S5_delta02d	S5_delta02e	S5_delta02f	S5_delta02g	S5_delta02h	S5_delta02i	AA	T_02b	T_02i	T_02c	T_02f	T_02d	T_02e	AH	AI	AJ
1.0000	0.0000	11684	8818.2	10250	10030	10155	9355.1	8967.2	9164.6	-3.5104e-05	-2.0820e-06	0.0000	9.9311e-06	4.0390e-05	4.2382e-06	-4.0077e-06	1.4599e-05										2.3678	1.8898	1.9135	1.6669	1.4935	1.1840			
2.0000		10128	9412.5	9845.4	9352.0	9361.4	8707.2	8522.7	9441.6	-0.13314	0.067395	-0.039474	-0.067595	-0.078152	-0.069251	-0.049567	0.030241										2.5886	2.2766	2.3837	2.6039	2.9635	6.2875			
3.0000		10362	8937.5	9060.6	10118	10050	8272.7	8823.5	9454.3	-0.11314	0.013529	-0.11604	0.0087587	-0.010340	-0.11570	-0.016022	0.031618	-0.12404	0.017511	-0.079497	-0.032271	-0.064890	-0.079463	-0.037685	0.011305		2.8088	2.6633	3.1046	4.3240	5.6836	16.341			
4.0000		9322.0	9048.3	9155.5	9509.5	8964.2	8154.9	8254.1	9036.1	-0.20216	0.026098	-0.10678	-0.051895	-0.11726	-0.12829	-0.079518	-0.014006	-0.16879	0.012147	-0.084569	-0.030521	-0.086574	-0.10883	-0.062409	0.0044188		3.0291	3.0500	3.8247	6.0441	8.4038	26.395			
5.0000		9677.4	8646.6	8864.3	9522.2	8949.3	8568.6	8578.8	9243.8	-0.17174	-0.019465	-0.13519	-0.050633	-0.11873	-0.084075	-0.043314	0.0086559	-0.17974	-0.017444	-0.088099	-0.045915	-0.10418	-0.11928	-0.068798	-0.019505		3.2493	3.4368	4.5450	7.7642	11.124	36.448			
6.0000		9069.5	8581.7	9990.0	10118	9054.4	7981.4	7858.6	8849.1	-0.22377	-0.026824	-0.025363	0.0087587	-0.10838	-0.14684	-0.12362	-0.034414	-0.20573	-0.034381	-0.083905	-0.043007	-0.13210	-0.12408	-0.087760	-0.034763		3.4695	3.8236	5.2652	9.4843	13.844	46.503			
7.0000		9488.9	8107.8	9664.5	8580.0	8467.4	8218.6	8236.3	8345.4	-0.18787	-0.080559	-0.057120	-0.14457	-0.16618	-0.12149	-0.081512	-0.089377	-0.21863	-0.058821	-0.083347	-0.045415	-0.14738	-0.13492	-0.086035	-0.043931		3.6896	4.2115	5.9854	11.205	16.564	56.556			
8.0000		8843.2	8190.7	9275.5	10264	8632.2	8048.3	7973.3	8755.1	-0.24314	-0.071156	-0.095069	0.023300	-0.14996	-0.13969	-0.11083	-0.044672	-0.23235	-0.065358	-0.080291	-0.051655	-0.15865	-0.14955	-0.087476	-0.064346		3.9098	4.5983	6.7056	12.925	19.284	66.610			
9.0000		8568.6	7970.7	9184.0	9388.7	8188.5	7648.0	8331.5	8616.0	-0.26664	-0.096103	-0.10400	-0.063937	-0.19365	-0.18248	-0.070893	-0.059846	-0.24033	-0.077152	-0.092375	-0.063912	-0.16399	-0.14915	-0.074116	-0.080406		4.1300	4.9850	7.4258	14.645	22.004	76.663			
10.000		8875.7	8358.3	9021.0	9209.2	8377.1	7884.2	8514.2	8308.3	-0.24035	-0.052150	-0.11991	-0.081831	-0.17508	-0.15723	-0.050517	-0.093422	-0.25589	-0.069183	-0.097032	-0.053415	-0.15709	-0.16820	-0.076295	-0.084920		4.3505	5.3718	8.1460	16.365	24.724	86.717			
11.000		8603.4	8061.7	9370.7	9503.2	8783.0	8000.0	8457.6	8113.2	-0.26366	-0.085793	-0.085784	-0.052524	-0.13511	-0.14485	-0.056826	-0.11471	-0.25730	-0.068352	-0.10529	-0.076311	-0.15927	-0.18129	-0.071373	-0.10817		4.5707	5.7585	8.8664	18.085	27.444	96.770			
12.000		8580.0	8459.2	9425.9	9106.4	8818.2	7327.6	8138.6	8138.6	-0.26566	-0.040716	-0.080403	-0.092085	-0.13164	-0.21672	-0.092405	-0.11194	-0.26708	-0.060985	-0.11530	-0.083583	-0.16689	-0.17193	-0.082600	-0.10526		4.7908	6.1453	9.5866	19.805	30.164	106.82			
13.000		8760.9	8227.4	8852.1	9115.5	8521.4	7435.6	8194.0	7689.7	-0.25018	-0.066998	-0.13638	-0.091176	-0.16087	-0.20518	-0.086227	-0.16092	-0.28591	-0.075898	-0.11447	-0.082969	-0.16802	-0.17767	-0.10120	-0.11698		5.0109	6.5321	10.307	21.525	32.884	116.88			
14.000		7997.3	8295.6	8671.5	9024.0	7801.6	8086.0	7828.1	8749.3	-0.31553	-0.059266	-0.15400	-0.10030	-0.23175	-0.13566	-0.12703	-0.045308	-0.29665	-0.076689	-0.11963	-0.094012	-0.18093	-0.17812	-0.12146	-0.12231		5.2312	6.9188	11.027	23.246	35.604	126.93			
15.000		7775.2	7700.8	9063.1	9240.0	8319.4	7615.8	7680.3	7771.4	-0.33454	-0.12672	-0.11580	-0.078764	-0.18075	-0.18592	-0.14351	-0.15201	-0.30699	-0.084275	-0.12471	-0.098839	-0.19546	-0.16960	-0.13201	-0.12109		5.4513	7.3057	11.747	24.966	38.325	136.98			
