Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-06
Sample Interval,1e-08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH2
-1.150e-06,-0.01
-1.140e-06,-0.03
-1.130e-06,0.01
-1.120e-06,0.01
-1.110e-06,-0.03
-1.100e-06,0.01
-1.090e-06,0.01
-1.080e-06,0.01
-1.070e-06,0.01
-1.060e-06,0.01
-1.050e-06,-0.01
-1.040e-06,0.03
-1.030e-06,-0.01
-1.020e-06,0.03
-1.010e-06,0.05
-1.000e-06,0.03
-9.900e-07,0.01
-9.800e-07,0.01
-9.700e-07,-0.01
-9.600e-07,0.07
-9.500e-07,0.07
-9.400e-07,-0.01
-9.300e-07,0.01
-9.200e-07,0.01
-9.100e-07,0.01
-9.000e-07,0.01
-8.900e-07,0.01
-8.800e-07,0.01
-8.700e-07,0.01
-8.600e-07,-0.01
-8.500e-07,0.01
-8.400e-07,0.01
-8.300e-07,0.03
-8.200e-07,-0.01
-8.100e-07,0.01
-8.000e-07,-0.01
-7.900e-07,0.05
-7.800e-07,0.01
-7.700e-07,0.05
-7.600e-07,0.03
-7.500e-07,0.01
-7.400e-07,-0.01
-7.300e-07,0.01
-7.200e-07,-0.01
-7.100e-07,0.03
-7.000e-07,0.05
-6.900e-07,0.05
-6.800e-07,0.01
-6.700e-07,0.01
-6.600e-07,-0.01
-6.500e-07,-0.01
-6.400e-07,0.03
-6.300e-07,0.01
-6.200e-07,0.05
-6.100e-07,-0.01
-6.000e-07,0.01
-5.900e-07,0.03
-5.800e-07,0.03
-5.700e-07,0.05
-5.600e-07,0.03
-5.500e-07,0.03
-5.400e-07,0.03
-5.300e-07,0.05
-5.200e-07,0.05
-5.100e-07,0.01
-5.000e-07,0.01
-4.900e-07,0.01
-4.800e-07,0.03
-4.700e-07,0.03
-4.600e-07,0.03
-4.500e-07,0.01
-4.400e-07,0.05
-4.300e-07,0.05
-4.200e-07,0.07
-4.100e-07,0.05
-4.000e-07,0.07
-3.900e-07,0.05
-3.800e-07,0.09
-3.700e-07,0.11
-3.600e-07,0.13
-3.500e-07,0.09
-3.400e-07,0.09
-3.300e-07,0.07
-3.200e-07,0.09
-3.100e-07,0.13
-3.000e-07,0.09
-2.900e-07,0.09
-2.800e-07,0.11
-2.700e-07,0.09
-2.600e-07,0.13
-2.500e-07,0.09
-2.400e-07,0.11
-2.300e-07,0.15
-2.200e-07,0.13
-2.100e-07,0.13
-2.000e-07,0.15
-1.900e-07,0.13
-1.800e-07,0.11
-1.700e-07,0.11
-1.600e-07,0.13
-1.500e-07,0.13
-1.400e-07,0.13
-1.300e-07,0.11
-1.200e-07,0.09
-1.100e-07,0.15
-1.000e-07,0.13
-9.000e-08,0.11
-8.000e-08,0.25
-7.000e-08,0.35
-6.000e-08,0.51
-5.000e-08,0.63
-4.000e-08,0.73
-3.000e-08,0.77
-2.000e-08,0.81
-1.000e-08,0.81
-1.003e-21,0.87
1.000e-08,0.97
2.000e-08,1.07
3.000e-08,1.19
4.000e-08,1.29
5.000e-08,1.37
6.000e-08,1.45
7.000e-08,1.49
8.000e-08,1.65
9.000e-08,1.69
1.000e-07,1.77
1.100e-07,1.87
1.200e-07,1.87
1.300e-07,1.83
1.400e-07,1.79
1.500e-07,1.75
1.600e-07,1.75
1.700e-07,1.81
1.800e-07,1.89
1.900e-07,1.89
2.000e-07,1.97
2.100e-07,1.93
2.200e-07,1.95
2.300e-07,1.93
2.400e-07,1.93
2.500e-07,1.93
2.600e-07,1.91
2.700e-07,1.93
2.800e-07,1.91
2.900e-07,1.89
3.000e-07,1.85
3.100e-07,1.83
3.200e-07,1.71
3.300e-07,1.55
3.400e-07,1.49
3.500e-07,1.39
3.600e-07,1.25
3.700e-07,1.23
3.800e-07,1.15
3.900e-07,1.13
4.000e-07,1.09
4.100e-07,1.03
4.200e-07,0.91
4.300e-07,0.83
4.400e-07,0.71
4.500e-07,0.61
4.600e-07,0.53
4.700e-07,0.45
4.800e-07,0.35
4.900e-07,0.21
5.000e-07,0.15
5.100e-07,0.05
5.200e-07,-0.03
5.300e-07,0.01
5.400e-07,0.09
5.500e-07,0.13
5.600e-07,0.09
5.700e-07,0.09
5.800e-07,-0.01
5.900e-07,0.01
6.000e-07,-0.03
6.100e-07,-0.05
6.200e-07,-0.01
6.300e-07,-0.01
6.400e-07,0.05
6.500e-07,0.05
6.600e-07,0.05
6.700e-07,0.03
6.800e-07,0.01
6.900e-07,0.01
7.000e-07,0.01
7.100e-07,0.05
7.200e-07,0.07
7.300e-07,0.09
7.400e-07,0.07
7.500e-07,0.01
7.600e-07,0.01
7.700e-07,0.01
7.800e-07,0.03
7.900e-07,0.03
8.000e-07,0.01
8.100e-07,0.03
8.200e-07,0.01
8.300e-07,0.05
8.400e-07,0.05
8.500e-07,0.05
8.600e-07,0.01
8.700e-07,0.05
8.800e-07,0.07
8.900e-07,0.03
9.000e-07,-0.01
9.100e-07,0.03
9.200e-07,0.01
9.300e-07,0.01
9.400e-07,0.05
9.500e-07,0.03
9.600e-07,0.05
9.700e-07,0.05
9.800e-07,0.03
9.900e-07,0.01
1.000e-06,0.07
1.010e-06,0.01
1.020e-06,0.05
1.030e-06,0.05
1.040e-06,0.09
1.050e-06,0.05
1.060e-06,0.07
1.070e-06,0.05
1.080e-06,0.07
1.090e-06,0.07
1.100e-06,0.07
1.110e-06,0.07
1.120e-06,0.05
1.130e-06,0.03
1.140e-06,0.01
1.150e-06,-0.01
1.160e-06,0.03
1.170e-06,0.03
1.180e-06,0.05
1.190e-06,0.11
1.200e-06,0.05
1.210e-06,0.07
1.220e-06,0.05
1.230e-06,0.03
1.240e-06,0.05
1.250e-06,0.05
1.260e-06,0.09
1.270e-06,0.03
1.280e-06,0.03
1.290e-06,0.07
1.300e-06,0.05
1.310e-06,0.03
1.320e-06,0.07
1.330e-06,0.05
1.340e-06,0.03
1.350e-06,0.05
1.360e-06,0.03
1.370e-06,0.01
1.380e-06,0.01
1.390e-06,0.03
1.400e-06,0.05
1.410e-06,0.05
1.420e-06,0.03
1.430e-06,0.05
1.440e-06,0.07
1.450e-06,0.05
1.460e-06,0.05
1.470e-06,0.07
1.480e-06,0.05
1.490e-06,0.03
1.500e-06,0.05
1.510e-06,0.07
1.520e-06,0.03
1.530e-06,0.01
1.540e-06,0.03
1.550e-06,0.07
1.560e-06,0.05
1.570e-06,0.07
