Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-06
Sample Interval,4e-08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
-1.844e-05,0.024
-1.840e-05,-0.024
-1.836e-05,0.008
-1.832e-05,0.008
-1.828e-05,0.008
-1.824e-05,0
-1.820e-05,-0.024
-1.816e-05,0.016
-1.812e-05,0.016
-1.808e-05,0.008
-1.804e-05,0.008
-1.800e-05,0
-1.796e-05,0.016
-1.792e-05,-0.008
-1.788e-05,-0.016
-1.784e-05,0
-1.780e-05,0
-1.776e-05,0
-1.772e-05,-0.008
-1.768e-05,0.016
-1.764e-05,0.008
-1.760e-05,0.008
-1.756e-05,0.008
-1.752e-05,0
-1.748e-05,0
-1.744e-05,0
-1.740e-05,0.016
-1.736e-05,0.016
-1.732e-05,0.016
-1.728e-05,0.008
-1.724e-05,0
-1.720e-05,0
-1.716e-05,0
-1.712e-05,0.008
-1.708e-05,0
-1.704e-05,0.008
-1.700e-05,0.024
-1.696e-05,0.016
-1.692e-05,0.016
-1.688e-05,0
-1.684e-05,0.016
-1.680e-05,0
-1.676e-05,0.016
-1.672e-05,0.024
-1.668e-05,0.008
-1.664e-05,0
-1.660e-05,0
-1.656e-05,0.024
-1.652e-05,0.024
-1.648e-05,0.024
-1.644e-05,0.024
-1.640e-05,0.024
-1.636e-05,0.032
-1.632e-05,0.024
-1.628e-05,0.016
-1.624e-05,0.016
-1.620e-05,0.04
-1.616e-05,0.056
-1.612e-05,0.048
-1.608e-05,0.04
-1.604e-05,0.048
-1.600e-05,0.064
-1.596e-05,0.064
-1.592e-05,0.032
-1.588e-05,0.048
-1.584e-05,0.056
-1.580e-05,0.08
-1.576e-05,0.072
-1.572e-05,0.064
-1.568e-05,0.064
-1.564e-05,0.08
-1.560e-05,0.072
-1.556e-05,0.08
-1.552e-05,0.08
-1.548e-05,0.064
-1.544e-05,0.072
-1.540e-05,0.072
-1.536e-05,0.088
-1.532e-05,0.08
-1.528e-05,0.096
-1.524e-05,0.08
-1.520e-05,0.08
-1.516e-05,0.088
-1.512e-05,0.096
-1.508e-05,0.08
-1.504e-05,0.08
-1.500e-05,0.104
-1.496e-05,0.104
-1.492e-05,0.104
-1.488e-05,0.104
-1.484e-05,0.096
-1.480e-05,0.096
-1.476e-05,0.104
-1.472e-05,0.096
-1.468e-05,0.104
-1.464e-05,0.12
-1.460e-05,0.104
-1.456e-05,0.112
-1.452e-05,0.128
-1.448e-05,0.12
-1.444e-05,0.112
-1.440e-05,0.112
-1.436e-05,0.12
-1.432e-05,0.144
-1.428e-05,0.136
-1.424e-05,0.144
-1.420e-05,0.152
-1.416e-05,0.136
-1.412e-05,0.128
-1.408e-05,0.136
-1.404e-05,0.136
-1.400e-05,0.144
-1.396e-05,0.16
-1.392e-05,0.152
-1.388e-05,0.16
-1.384e-05,0.152
-1.380e-05,0.152
-1.376e-05,0.16
-1.372e-05,0.168
-1.368e-05,0.144
-1.364e-05,0.152
-1.360e-05,0.168
-1.356e-05,0.168
-1.352e-05,0.192
-1.348e-05,0.16
-1.344e-05,0.176
-1.340e-05,0.184
-1.336e-05,0.168
-1.332e-05,0.176
-1.328e-05,0.2
-1.324e-05,0.184
-1.320e-05,0.184
-1.316e-05,0.2
-1.312e-05,0.176
-1.308e-05,0.192
-1.304e-05,0.2
-1.300e-05,0.208
-1.296e-05,0.2
-1.292e-05,0.2
-1.288e-05,0.208
-1.284e-05,0.2
-1.280e-05,0.184
-1.276e-05,0.224
-1.272e-05,0.272
-1.268e-05,0.216
-1.264e-05,0.144
-1.260e-05,0.184
-1.256e-05,0.208
-1.252e-05,0.224
-1.248e-05,0.216
-1.244e-05,0.192
-1.240e-05,0.232
-1.236e-05,0.256
-1.232e-05,0.248
-1.228e-05,0.24
-1.224e-05,0.224
-1.220e-05,0.24
-1.216e-05,0.24
-1.212e-05,0.248
-1.208e-05,0.256
-1.204e-05,0.272
-1.200e-05,0.248
-1.196e-05,0.248
-1.192e-05,0.248
-1.188e-05,0.248
-1.184e-05,0.248
-1.180e-05,0.248
-1.176e-05,0.272
-1.172e-05,0.28
-1.168e-05,0.272
-1.164e-05,0.272
-1.160e-05,0.28
-1.156e-05,0.28
-1.152e-05,0.264
-1.148e-05,0.256
-1.144e-05,0.28
-1.140e-05,0.296
-1.136e-05,0.296
-1.132e-05,0.272
-1.128e-05,0.28
-1.124e-05,0.28
-1.120e-05,0.304
-1.116e-05,0.296
-1.112e-05,0.28
-1.108e-05,0.288
-1.104e-05,0.304
-1.100e-05,0.304
-1.096e-05,0.336
-1.092e-05,0.312
-1.088e-05,0.312
-1.084e-05,0.32
-1.080e-05,0.328
-1.076e-05,0.32
-1.072e-05,0.312
-1.068e-05,0.304
-1.064e-05,0.296
-1.060e-05,0.304
-1.056e-05,0.304
-1.052e-05,0.32
-1.048e-05,0.312
-1.044e-05,0.32
-1.040e-05,0.312
-1.036e-05,0.304
-1.032e-05,0.32
-1.028e-05,0.312
-1.024e-05,0.32
-1.020e-05,0.32
-1.016e-05,0.312
-1.012e-05,0.32
-1.008e-05,0.328
-1.004e-05,0.32
-1.000e-05,0.312
-9.960e-06,0.32
-9.920e-06,0.32
-9.880e-06,0.312
-9.840e-06,0.312
-9.800e-06,0.312
-9.760e-06,0.304
-9.720e-06,0.304
-9.680e-06,0.32
-9.640e-06,0.304
-9.600e-06,0.312
-9.560e-06,0.304
-9.520e-06,0.304
-9.480e-06,0.32
-9.440e-06,0.312
-9.400e-06,0.312
-9.360e-06,0.312
-9.320e-06,0.312
-9.280e-06,0.296
-9.240e-06,0.304
-9.200e-06,0.312
-9.160e-06,0.32
-9.120e-06,0.304
-9.080e-06,0.312
-9.040e-06,0.312
-9.000e-06,0.32
-8.960e-06,0.296
-8.920e-06,0.312
-8.880e-06,0.32
-8.840e-06,0.312
-8.800e-06,0.304
-8.760e-06,0.304
-8.720e-06,0.296
-8.680e-06,0.312
-8.640e-06,0.312
-8.600e-06,0.312
-8.560e-06,0.312
-8.520e-06,0.312
-8.480e-06,0.32
-8.440e-06,0.312
-8.400e-06,0.296
-8.360e-06,0.312
-8.320e-06,0.32
-8.280e-06,0.312
-8.240e-06,0.288
-8.200e-06,0.312
-8.160e-06,0.296
-8.120e-06,0.296
-8.080e-06,0.312
-8.040e-06,0.304
-8.000e-06,0.304
-7.960e-06,0.304
-7.920e-06,0.32
