Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-06,
Sample Interval,1e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Label,,
TIME,CH1,CH2
-3.240e-06,0.16,0.02
-3.230e-06,0,0.04
-3.220e-06,0.16,0.02
-3.210e-06,0.08,0.02
-3.200e-06,0,0.06
-3.190e-06,0,0.06
-3.180e-06,0.08,0.04
-3.170e-06,-0.08,0.06
-3.160e-06,0,0.06
-3.150e-06,0.16,0.02
-3.140e-06,-0.08,0
-3.130e-06,0.16,-0.02
-3.120e-06,0.08,0
-3.110e-06,-0.08,0.04
-3.100e-06,0,0.04
-3.090e-06,-0.08,0.04
-3.080e-06,0,0
-3.070e-06,-0.08,0.02
-3.060e-06,0,0
-3.050e-06,0.16,0.02
-3.040e-06,0,0.02
-3.030e-06,0.24,0
-3.020e-06,0.16,0.06
-3.010e-06,-0.08,0.02
-3.000e-06,0,0.02
-2.990e-06,-0.08,0
-2.980e-06,0.08,0.02
-2.970e-06,0,0.04
-2.960e-06,0,0.06
-2.950e-06,0,0
-2.940e-06,0.08,0
-2.930e-06,0.08,0
-2.920e-06,0,0.04
-2.910e-06,0,0.02
-2.900e-06,0,0.02
-2.890e-06,0.08,0.04
-2.880e-06,0.24,0.02
-2.870e-06,0.16,0.04
-2.860e-06,0.08,0.06
-2.850e-06,0.08,0.04
-2.840e-06,0.24,0.04
-2.830e-06,0.24,0.1
-2.820e-06,0.24,0.1
-2.810e-06,0.4,0.04
-2.800e-06,0.24,0.08
-2.790e-06,0.4,0.14
-2.780e-06,0.32,0.12
-2.770e-06,0.24,0.12
-2.760e-06,0.24,0.08
-2.750e-06,0.4,0.1
-2.740e-06,0.32,0.1
-2.730e-06,0.48,0.12
-2.720e-06,0.48,0.16
-2.710e-06,0.24,0.14
-2.700e-06,0.48,0.16
-2.690e-06,0.56,0.16
-2.680e-06,0.64,0.16
-2.670e-06,0.48,0.12
-2.660e-06,0.64,0.18
-2.650e-06,0.48,0.16
-2.640e-06,0.64,0.18
-2.630e-06,0.48,0.16
-2.620e-06,0.64,0.18
-2.610e-06,0.56,0.14
-2.600e-06,0.64,0.2
-2.590e-06,0.48,0.2
-2.580e-06,0.72,0.2
-2.570e-06,0.72,0.22
-2.560e-06,0.72,0.2
-2.550e-06,0.64,0.2
-2.540e-06,0.8,0.2
-2.530e-06,0.8,0.24
-2.520e-06,0.72,0.24
-2.510e-06,0.72,0.26
-2.500e-06,0.64,0.26
-2.490e-06,0.8,0.26
-2.480e-06,0.96,0.24
-2.470e-06,0.88,0.24
-2.460e-06,0.88,0.3
-2.450e-06,0.8,0.28
-2.440e-06,0.8,0.3
-2.430e-06,0.88,0.28
-2.420e-06,0.88,0.3
-2.410e-06,0.96,0.28
-2.400e-06,1.04,0.3
-2.390e-06,0.88,0.32
-2.380e-06,0.96,0.32
-2.370e-06,0.96,0.3
-2.360e-06,0.96,0.32
-2.350e-06,0.88,0.32
-2.340e-06,1.28,0.36
-2.330e-06,0.96,0.34
-2.320e-06,1.04,0.36
-2.310e-06,1.04,0.4
-2.300e-06,1.12,0.34
-2.290e-06,1.2,0.36
-2.280e-06,1.36,0.36
-2.270e-06,1.04,0.32
-2.260e-06,1.28,0.42
-2.250e-06,1.28,0.42
-2.240e-06,1.28,0.36
-2.230e-06,1.2,0.38
-2.220e-06,1.28,0.38
-2.210e-06,1.28,0.38
-2.200e-06,1.28,0.4
-2.190e-06,1.36,0.46
-2.180e-06,1.44,0.44
-2.170e-06,1.28,0.48
-2.160e-06,1.44,0.42
-2.150e-06,1.44,0.42
-2.140e-06,1.44,0.44
-2.130e-06,1.52,0.44
-2.120e-06,1.44,0.48
-2.110e-06,1.52,0.5
-2.100e-06,1.44,0.5
-2.090e-06,1.52,0.48
-2.080e-06,1.52,0.48
-2.070e-06,1.68,0.48
-2.060e-06,1.68,0.48
-2.050e-06,1.68,0.52
-2.040e-06,1.76,0.54
-2.030e-06,1.52,0.52
-2.020e-06,1.76,0.52
-2.010e-06,1.68,0.52
-2.000e-06,1.6,0.52
-1.990e-06,1.76,0.52
-1.980e-06,1.76,0.52
-1.970e-06,1.76,0.54
-1.960e-06,1.76,0.56
-1.950e-06,1.84,0.54
-1.940e-06,1.76,0.58
-1.930e-06,1.76,0.58
-1.920e-06,1.92,0.58
-1.910e-06,1.84,0.6
-1.900e-06,1.92,0.58
-1.890e-06,2.08,0.56
-1.880e-06,2,0.58
-1.870e-06,2,0.58
-1.860e-06,2.08,0.56
-1.850e-06,1.92,0.64
-1.840e-06,1.92,0.64
-1.830e-06,1.92,0.64
-1.820e-06,1.92,0.6
-1.810e-06,2,0.58
-1.800e-06,2.08,0.6
-1.790e-06,2,0.58
-1.780e-06,2,0.6
-1.770e-06,2.08,0.6
-1.760e-06,2,0.62
-1.750e-06,2.16,0.64
-1.740e-06,2.08,0.64
-1.730e-06,2,0.58
-1.720e-06,2.08,0.62
-1.710e-06,2.08,0.58
-1.700e-06,2.08,0.64
-1.690e-06,2.24,0.62
-1.680e-06,2.08,0.62
-1.670e-06,1.92,0.6
-1.660e-06,1.92,0.6
-1.650e-06,1.92,0.6
-1.640e-06,1.92,0.58
-1.630e-06,1.92,0.56
-1.620e-06,2.08,0.54
-1.610e-06,1.92,0.58
-1.600e-06,1.92,0.6
-1.590e-06,2.08,0.56
-1.580e-06,1.92,0.62
-1.570e-06,1.92,0.56
-1.560e-06,2,0.6
-1.550e-06,2.08,0.58
-1.540e-06,2.08,0.58
-1.530e-06,1.84,0.56
-1.520e-06,2,0.6
-1.510e-06,1.84,0.58
-1.500e-06,1.92,0.62
-1.490e-06,1.84,0.6
-1.480e-06,2.08,0.56
-1.470e-06,1.92,0.54
-1.460e-06,2.08,0.6
-1.450e-06,2,0.56
-1.440e-06,2.08,0.56
-1.430e-06,2,0.56
-1.420e-06,2.08,0.58
-1.410e-06,2.08,0.54
-1.400e-06,2,0.56
-1.390e-06,2,0.56
-1.380e-06,2.08,0.52
-1.370e-06,1.92,0.56
-1.360e-06,2,0.56
-1.350e-06,2,0.58
-1.340e-06,2.16,0.58
-1.330e-06,2,0.56
-1.320e-06,2,0.58
-1.310e-06,2,0.58
-1.300e-06,2.08,0.58
-1.290e-06,2,0.58
-1.280e-06,2,0.56
-1.270e-06,2,0.58
-1.260e-06,2,0.52
-1.250e-06,2,0.56
-1.240e-06,2,0.56
-1.230e-06,2,0.54
-1.220e-06,2.08,0.54
-1.210e-06,2.08,0.54
-1.200e-06,2,0.54
-1.190e-06,2,0.54
-1.180e-06,1.92,0.54
-1.170e-06,1.92,0.56
-1.160e-06,2.08,0.54
-1.150e-06,2,0.56
-1.140e-06,2.16,0.56
-1.130e-06,2.08,0.58
-1.120e-06,1.92,0.54
-1.110e-06,2,0.54
-1.100e-06,1.92,0.54
-1.090e-06,1.92,0.58
-1.080e-06,2,0.54
-1.070e-06,2.08,0.52
-1.060e-06,1.84,0.54
-1.050e-06,2,0.56
-1.040e-06,2,0.54
-1.030e-06,2.16,0.54
-1.020e-06,1.92,0.58
-1.010e-06,2.08,0.54
-1.000e-06,2.08,0.58
-9.900e-07,2,0.54
