Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.1
Label,,
TIME,CH1,CH2
-6.820e-03,0.008,-0.012
-6.800e-03,0,-0.012
-6.780e-03,0,0.016
-6.760e-03,0,-0.024
-6.740e-03,0.016,0.028
-6.720e-03,0.016,-0.004
-6.700e-03,0.008,-0.008
-6.680e-03,0,0.02
-6.660e-03,0.016,0.016
-6.640e-03,0.016,-0.008
-6.620e-03,0.016,0.004
-6.600e-03,0.008,0.012
-6.580e-03,0.016,0.02
-6.560e-03,0.008,0.012
-6.540e-03,0.008,0.02
-6.520e-03,0.008,-0.004
-6.500e-03,0.016,0.012
-6.480e-03,0,0.012
-6.460e-03,0.016,-0.004
-6.440e-03,0.008,-0.008
-6.420e-03,0.016,-0.004
-6.400e-03,-0.016,0.012
-6.380e-03,0.024,0.016
-6.360e-03,0.032,0.012
-6.340e-03,0,0.008
-6.320e-03,0,-0.004
-6.300e-03,0,0
-6.280e-03,0.008,-0.004
-6.260e-03,0,-0.004
-6.240e-03,0,0.004
-6.220e-03,0,0.004
-6.200e-03,0,0.008
-6.180e-03,0.016,-0.004
-6.160e-03,0.008,0.024
-6.140e-03,0.008,-0.004
-6.120e-03,0,0.004
-6.100e-03,0,0.008
-6.080e-03,0.016,0.008
-6.060e-03,0.008,-0.004
-6.040e-03,0.016,0.012
-6.020e-03,0,0.02
-6.000e-03,0.008,0.008
-5.980e-03,0.04,0.004
-5.960e-03,0.008,-0.012
-5.940e-03,0.016,-0.012
-5.920e-03,0,-0.012
-5.900e-03,0,0.004
-5.880e-03,0,0.012
-5.860e-03,0.016,0.02
-5.840e-03,0,0.012
-5.820e-03,0,-0.004
-5.800e-03,0.016,0.008
-5.780e-03,-0.008,0.016
-5.760e-03,0,-0.016
-5.740e-03,0,0.008
-5.720e-03,0.008,0.004
-5.700e-03,0.016,0.032
-5.680e-03,0,0
-5.660e-03,0.008,0.012
-5.640e-03,0.008,0
-5.620e-03,0,0.008
-5.600e-03,0.008,0.008
-5.580e-03,0.008,0.004
-5.560e-03,0.008,0
-5.540e-03,0,0.012
-5.520e-03,0,0.024
-5.500e-03,0.008,0.008
-5.480e-03,0.016,0
-5.460e-03,0.016,0.008
-5.440e-03,0,0.012
-5.420e-03,0.016,0.004
-5.400e-03,0,0.008
-5.380e-03,0,-0.02
-5.360e-03,0.016,0
-5.340e-03,0,0.016
-5.320e-03,0.008,0
-5.300e-03,0.008,0.008
-5.280e-03,0.016,-0.004
-5.260e-03,0.016,0.004
-5.240e-03,0.008,-0.008
-5.220e-03,0.008,0
-5.200e-03,0,0.012
-5.180e-03,0.008,0
-5.160e-03,0.008,-0.012
-5.140e-03,0,0.032
-5.120e-03,0.008,0.016
-5.100e-03,0.008,0
-5.080e-03,0.008,0.012
-5.060e-03,0,0.012
-5.040e-03,0.008,0.004
-5.020e-03,0.008,0.008
-5.000e-03,-0.008,0
-4.980e-03,-0.008,0.012
-4.960e-03,0,0.016
-4.940e-03,0.008,-0.004
-4.920e-03,0.032,0.032
-4.900e-03,0,0.004
-4.880e-03,0,-0.02
-4.860e-03,0.008,0
-4.840e-03,0.056,0.056
-4.820e-03,0,0.02
-4.800e-03,0,0.028
-4.780e-03,0,0.012
-4.760e-03,0,0.016
-4.740e-03,0,0.008
-4.720e-03,0,0.012
-4.700e-03,0.008,0.004
-4.680e-03,0.016,0.028
-4.660e-03,0.024,0.004
-4.640e-03,0.016,0.024
-4.620e-03,0.032,0.008
-4.600e-03,0.032,0.028
-4.580e-03,0.024,-0.004
-4.560e-03,0.032,0.024
-4.540e-03,0.016,0.028
-4.520e-03,0.04,0.024
-4.500e-03,0.032,0.02
-4.480e-03,0.016,0.008
-4.460e-03,0.016,0
-4.440e-03,0.024,0.02
-4.420e-03,0.024,0.012
-4.400e-03,0.032,0.02
-4.380e-03,0.032,0.016
-4.360e-03,0.032,0.004
-4.340e-03,0.048,0
-4.320e-03,0.04,0.008
-4.300e-03,0.024,0.044
-4.280e-03,0.056,0.02
-4.260e-03,0.04,0.024
-4.240e-03,0.04,0.024
-4.220e-03,0.04,0.02
-4.200e-03,0.04,0.028
-4.180e-03,0.048,0.02
-4.160e-03,0.04,0.004
-4.140e-03,0.048,0.028
-4.120e-03,0.056,0.024
-4.100e-03,0.04,0.024
-4.080e-03,0.04,0.032
-4.060e-03,0.048,0.052
-4.040e-03,0.056,0.032
-4.020e-03,0.048,0.028
-4.000e-03,0.064,0.04
-3.980e-03,0.056,0.052
-3.960e-03,0.056,0.028
-3.940e-03,0.056,0.016
-3.920e-03,0.056,0.028
-3.900e-03,0.072,0.028
-3.880e-03,0.064,0.016
-3.860e-03,0.064,0.028
-3.840e-03,0.064,0.02
-3.820e-03,0.056,0.036
-3.800e-03,0.072,0.032
-3.780e-03,0.072,0.032
-3.760e-03,0.072,0.04
-3.740e-03,0.064,0.032
-3.720e-03,0.072,0.04
-3.700e-03,0.064,0.048
-3.680e-03,0.072,0.048
-3.660e-03,0.072,0.032
-3.640e-03,0.072,0.044
-3.620e-03,0.072,0.032
-3.600e-03,0.064,0.032
-3.580e-03,0.08,0.036
-3.560e-03,0.064,0.044
-3.540e-03,0.08,0.04
-3.520e-03,0.072,0.004
-3.500e-03,0.08,0.044
-3.480e-03,0.064,0.036
-3.460e-03,0.064,0.056
-3.440e-03,0.088,0.04
-3.420e-03,0.08,0.04
-3.400e-03,0.08,0.048
-3.380e-03,0.088,0.08
-3.360e-03,0.08,0.036
-3.340e-03,0.088,0.044
-3.320e-03,0.096,0.04
-3.300e-03,0.088,0.056
-3.280e-03,0.08,0.04
-3.260e-03,0.096,0.056
-3.240e-03,0.096,0.04
-3.220e-03,0.096,0.084
-3.200e-03,0.08,0.052
-3.180e-03,0.104,0.084
-3.160e-03,0.096,0.044
-3.140e-03,0.088,0.052
-3.120e-03,0.088,0.052
-3.100e-03,0.096,0.06
-3.080e-03,0.104,0.044
-3.060e-03,0.088,0.048
-3.040e-03,0.096,0.032
-3.020e-03,0.096,0.056
-3.000e-03,0.12,0.072
-2.980e-03,0.104,0.036
-2.960e-03,0.096,0.048
-2.940e-03,0.104,0.08
-2.920e-03,0.104,0.068
-2.900e-03,0.088,0.064
-2.880e-03,0.104,0.064
-2.860e-03,0.096,0.072
-2.840e-03,0.096,0.056
-2.820e-03,0.096,0.056
-2.800e-03,0.12,0.044
-2.780e-03,0.096,0.064
-2.760e-03,0.112,0.084
-2.740e-03,0.104,0.068
-2.720e-03,0.096,0.048
-2.700e-03,0.088,0.056
-2.680e-03,0.112,0.056
-2.660e-03,0.104,0.048
-2.640e-03,0.096,0.064
-2.620e-03,0.104,0.068
-2.600e-03,0.104,0.064
-2.580e-03,0.096,0.048
-2.560e-03,0.104,0.044
-2.540e-03,0.096,0.064
-2.520e-03,0.12,0.084
-2.500e-03,0.112,0.064
-2.480e-03,0.104,0.084
-2.460e-03,0.096,0.064
-2.440e-03,0.104,0.056
-2.420e-03,0.112,0.06
-2.400e-03,0.104,0.048
-2.380e-03,0.112,0.044
-2.360e-03,0.112,0.08
-2.340e-03,0.112,0.052
-2.320e-03,0.104,0.032
-2.300e-03,0.104,0.056
-2.280e-03,0.104,0.084
-2.260e-03,0.104,0.092
-2.240e-03,0.104,0.056
