time, Ch1, Ch2, Rm, I=Ch2/100, V=Ch1-Ch2
-1.72000e-05, 8.48000, 0.964000, 779.668, 0.00964000, 7.51600
-1.71600e-05, 8.48000, 0.964000, 779.668, 0.00964000, 7.51600
-1.71200e-05, 8.56000, 0.940000, 810.638, 0.00940000, 7.62000
-1.70800e-05, 8.48000, 0.948000, 794.515, 0.00948000, 7.53200
-1.70400e-05, 8.56000, 0.972000, 780.659, 0.00972000, 7.58800
-1.70000e-05, 8.56000, 0.972000, 780.659, 0.00972000, 7.58800
-1.69600e-05, 8.48000, 0.964000, 779.668, 0.00964000, 7.51600
-1.69200e-05, 8.56000, 0.980000, 773.469, 0.00980000, 7.58000
-1.68800e-05, 8.48000, 0.964000, 779.668, 0.00964000, 7.51600
-1.68400e-05, 8.48000, 0.964000, 779.668, 0.00964000, 7.51600
-1.68000e-05, 8.40000, 0.972000, 764.198, 0.00972000, 7.42800
-1.67600e-05, 8.48000, 0.964000, 779.668, 0.00964000, 7.51600
-1.67200e-05, 8.24000, 0.964000, 754.772, 0.00964000, 7.27600
-1.66800e-05, 8.40000, 0.972000, 764.198, 0.00972000, 7.42800
-1.66400e-05, 8.48000, 0.972000, 772.428, 0.00972000, 7.50800
-1.66000e-05, 8.48000, 0.972000, 772.428, 0.00972000, 7.50800
-1.65600e-05, 8.48000, 0.980000, 765.306, 0.00980000, 7.50000
-1.65200e-05, 8.40000, 0.972000, 764.198, 0.00972000, 7.42800
-1.64800e-05, 8.48000, 0.972000, 772.428, 0.00972000, 7.50800
-1.64400e-05, 8.56000, 0.980000, 773.469, 0.00980000, 7.58000
-1.64000e-05, 8.48000, 0.964000, 779.668, 0.00964000, 7.51600
-1.63600e-05, 8.48000, 0.988000, 758.300, 0.00988000, 7.49200
-1.63200e-05, 8.40000, 0.980000, 757.143, 0.00980000, 7.42000
-1.62800e-05, 8.56000, 0.980000, 773.469, 0.00980000, 7.58000
-1.62400e-05, 8.56000, 0.972000, 780.659, 0.00972000, 7.58800
-1.62000e-05, 8.48000, 0.980000, 765.306, 0.00980000, 7.50000
-1.61600e-05, 8.40000, 0.980000, 757.143, 0.00980000, 7.42000
-1.61200e-05, 8.48000, 0.964000, 779.668, 0.00964000, 7.51600
-1.60800e-05, 8.48000, 0.972000, 772.428, 0.00972000, 7.50800
-1.60400e-05, 8.56000, 0.964000, 787.967, 0.00964000, 7.59600
-1.60000e-05, 8.56000, 0.988000, 766.397, 0.00988000, 7.57200
-1.59600e-05, 8.40000, 0.988000, 750.202, 0.00988000, 7.41200
-1.59200e-05, 8.56000, 0.980000, 773.469, 0.00980000, 7.58000
-1.58800e-05, 8.48000, 0.956000, 787.029, 0.00956000, 7.52400
-1.58400e-05, 8.48000, 0.996000, 751.406, 0.00996000, 7.48400
-1.58000e-05, 8.32000, 0.988000, 742.105, 0.00988000, 7.33200
-1.57600e-05, 8.40000, 0.980000, 757.143, 0.00980000, 7.42000
-1.57200e-05, 8.48000, 0.996000, 751.406, 0.00996000, 7.48400
-1.56800e-05, 8.56000, 0.980000, 773.469, 0.00980000, 7.58000
-1.56400e-05, 8.56000, 0.972000, 780.659, 0.00972000, 7.58800
-1.56000e-05, 8.56000, 0.980000, 773.469, 0.00980000, 7.58000
-1.55600e-05, 8.48000, 0.988000, 758.300, 0.00988000, 7.49200
-1.55200e-05, 8.40000, 0.988000, 750.202, 0.00988000, 7.41200
-1.54800e-05, 8.48000, 0.972000, 772.428, 0.00972000, 7.50800
-1.54400e-05, 8.48000, 0.980000, 765.306, 0.00980000, 7.50000
-1.54000e-05, 8.40000, 0.972000, 764.198, 0.00972000, 7.42800
-1.53600e-05, 8.56000, 0.980000, 773.469, 0.00980000, 7.58000
-1.53200e-05, 8.48000, 0.980000, 765.306, 0.00980000, 7.50000
-1.52800e-05, 8.56000, 0.980000, 773.469, 0.00980000, 7.58000
-1.52400e-05, 8.48000, 0.980000, 765.306, 0.00980000, 7.50000
-1.52000e-05, 8.40000, 1.00400, 736.653, 0.0100400, 7.39600
-1.51600e-05, 8.56000, 0.988000, 766.397, 0.00988000, 7.57200
-1.51200e-05, 8.48000, 0.996000, 751.406, 0.00996000, 7.48400
-1.50800e-05, 8.32000, 0.996000, 735.341, 0.00996000, 7.32400
-1.50400e-05, 8.48000, 0.996000, 751.406, 0.00996000, 7.48400
-1.50000e-05, 8.48000, 0.988000, 758.300, 0.00988000, 7.49200
-1.49600e-05, 8.56000, 0.988000, 766.397, 0.00988000, 7.57200
-1.49200e-05, 8.48000, 1.00400, 744.622, 0.0100400, 7.47600
-1.48800e-05, 8.48000, 1.00400, 744.622, 0.0100400, 7.47600
-1.48400e-05, 8.48000, 1.00400, 744.622, 0.0100400, 7.47600
-1.48000e-05, 8.56000, 0.980000, 773.469, 0.00980000, 7.58000
-1.47600e-05, 8.64000, 0.996000, 767.470, 0.00996000, 7.64400
-1.47200e-05, 8.48000, 0.988000, 758.300, 0.00988000, 7.49200
-1.46800e-05, 8.32000, 0.988000, 742.105, 0.00988000, 7.33200
-1.46400e-05, 8.48000, 1.00400, 744.622, 0.0100400, 7.47600
-1.46000e-05, 8.56000, 1.00400, 752.590, 0.0100400, 7.55600
-1.45600e-05, 8.48000, 0.996000, 751.406, 0.00996000, 7.48400
-1.45200e-05, 8.48000, 0.996000, 751.406, 0.00996000, 7.48400
-1.44800e-05, 8.56000, 0.988000, 766.397, 0.00988000, 7.57200
-1.44400e-05, 8.40000, 0.988000, 750.202, 0.00988000, 7.41200
-1.44000e-05, 8.64000, 0.988000, 774.494, 0.00988000, 7.65200
-1.43600e-05, 8.64000, 0.996000, 767.470, 0.00996000, 7.64400
-1.43200e-05, 8.40000, 0.996000, 743.373, 0.00996000, 7.40400
-1.42800e-05, 8.64000, 0.988000, 774.494, 0.00988000, 7.65200
-1.42400e-05, 8.32000, 0.980000, 748.980, 0.00980000, 7.34000
-1.42000e-05, 8.40000, 0.988000, 750.202, 0.00988000, 7.41200
-1.41600e-05, 8.56000, 0.996000, 759.438, 0.00996000, 7.56400
-1.41200e-05, 8.40000, 0.988000, 750.202, 0.00988000, 7.41200
-1.40800e-05, 8.56000, 0.996000, 759.438, 0.00996000, 7.56400
-1.40400e-05, 8.48000, 0.980000, 765.306, 0.00980000, 7.50000
-1.40000e-05, 8.48000, 0.972000, 772.428, 0.00972000, 7.50800
-1.39600e-05, 8.48000, 0.988000, 758.300, 0.00988000, 7.49200
-1.39200e-05, 8.56000, 0.996000, 759.438, 0.00996000, 7.56400
-1.38800e-05, 8.56000, 0.988000, 766.397, 0.00988000, 7.57200
-1.38400e-05, 8.48000, 0.996000, 751.406, 0.00996000, 7.48400
-1.38000e-05, 8.56000, 0.996000, 759.438, 0.00996000, 7.56400
-1.37600e-05, 8.48000, 1.01200, 737.945, 0.0101200, 7.46800
-1.37200e-05, 8.40000, 1.01200, 730.039, 0.0101200, 7.38800
-1.36800e-05, 8.40000, 1.00400, 736.653, 0.0100400, 7.39600
-1.36400e-05, 8.48000, 0.996000, 751.406, 0.00996000, 7.48400
-1.36000e-05, 8.48000, 1.00400, 744.622, 0.0100400, 7.47600
-1.35600e-05, 8.40000, 1.00400, 736.653, 0.0100400, 7.39600
