time, Ch1, Ch2, Rm, I=Ch2/100, V=Ch1-Ch2
-1.52000e-06, 0.880000, 0.116000, 658.621, 0.00116000, 0.764000
-1.48000e-06, 0.800000, 0.140000, 471.429, 0.00140000, 0.660000
-1.44000e-06, 1.20000, 0.164000, 631.707, 0.00164000, 1.03600
-1.40000e-06, 1.44000, 0.236000, 510.169, 0.00236000, 1.20400
-1.36000e-06, 1.68000, 0.180000, 833.333, 0.00180000, 1.50000
-1.32000e-06, 1.92000, 0.252000, 661.905, 0.00252000, 1.66800
-1.28000e-06, 1.84000, 0.260000, 607.692, 0.00260000, 1.58000
-1.24000e-06, 2.32000, 0.260000, 792.308, 0.00260000, 2.06000
-1.20000e-06, 2.48000, 0.340000, 629.412, 0.00340000, 2.14000
-1.16000e-06, 2.80000, 0.308000, 809.091, 0.00308000, 2.49200
-1.12000e-06, 3.28000, 0.348000, 842.529, 0.00348000, 2.93200
-1.08000e-06, 3.28000, 0.420000, 680.952, 0.00420000, 2.86000
-1.04000e-06, 3.36000, 0.404000, 731.683, 0.00404000, 2.95600
-1.00000e-06, 3.68000, 0.436000, 744.037, 0.00436000, 3.24400
-9.60000e-07, 3.92000, 0.500000, 684.000, 0.00500000, 3.42000
-9.20000e-07, 4.16000, 0.460000, 804.348, 0.00460000, 3.70000
-8.80000e-07, 4.40000, 0.524000, 739.695, 0.00524000, 3.87600
-8.40000e-07, 4.56000, 0.540000, 744.444, 0.00540000, 4.02000
-8.00000e-07, 4.88000, 0.564000, 765.248, 0.00564000, 4.31600
-7.60000e-07, 5.04000, 0.620000, 712.903, 0.00620000, 4.42000
-7.20000e-07, 5.28000, 0.604000, 774.172, 0.00604000, 4.67600
-6.80000e-07, 5.68000, 0.636000, 793.082, 0.00636000, 5.04400
-6.40000e-07, 5.84000, 0.684000, 753.801, 0.00684000, 5.15600
-6.00000e-07, 5.92000, 0.692000, 755.491, 0.00692000, 5.22800
-5.60000e-07, 6.24000, 0.724000, 761.878, 0.00724000, 5.51600
-5.20000e-07, 6.64000, 0.796000, 734.171, 0.00796000, 5.84400
-4.80000e-07, 6.80000, 0.764000, 790.052, 0.00764000, 6.03600
-4.40000e-07, 7.12000, 0.828000, 759.903, 0.00828000, 6.29200
-4.00000e-07, 7.12000, 0.868000, 720.276, 0.00868000, 6.25200
-3.60000e-07, 7.52000, 0.876000, 758.448, 0.00876000, 6.64400
-3.20000e-07, 7.60000, 0.932000, 715.451, 0.00932000, 6.66800
-2.80000e-07, 7.84000, 0.980000, 700.000, 0.00980000, 6.86000
-2.40000e-07, 8.24000, 0.964000, 754.772, 0.00964000, 7.27600
-2.00000e-07, 8.48000, 1.01200, 737.945, 0.0101200, 7.46800
-1.60000e-07, 8.56000, 1.07600, 695.539, 0.0107600, 7.48400
-1.20000e-07, 8.64000, 1.05200, 721.293, 0.0105200, 7.58800
-8.00000e-08, 9.04000, 1.11600, 710.036, 0.0111600, 7.92400
-4.00000e-08, 9.20000, 1.12400, 718.505, 0.0112400, 8.07600
-3.12300e-19, 9.28000, 1.15600, 702.768, 0.0115600, 8.12400
4.00000e-08, 9.44000, 1.10800, 751.985, 0.0110800, 8.33200
8.00000e-08, 9.44000, 1.14000, 728.070, 0.0114000, 8.30000
1.20000e-07, 9.44000, 1.10800, 751.985, 0.0110800, 8.33200
1.60000e-07, 9.44000, 1.11600, 745.878, 0.0111600, 8.32400
2.00000e-07, 9.44000, 1.11600, 745.878, 0.0111600, 8.32400
2.40000e-07, 9.36000, 1.10800, 744.765, 0.0110800, 8.25200
2.80000e-07, 9.60000, 1.13200, 748.057, 0.0113200, 8.46800
3.20000e-07, 9.52000, 1.12400, 746.975, 0.0112400, 8.39600
3.60000e-07, 9.44000, 1.14000, 728.070, 0.0114000, 8.30000
4.00000e-07, 9.44000, 1.12400, 739.858, 0.0112400, 8.31600
4.40000e-07, 9.44000, 1.12400, 739.858, 0.0112400, 8.31600
4.80000e-07, 9.44000, 1.11600, 745.878, 0.0111600, 8.32400
5.20000e-07, 9.60000, 1.14000, 742.105, 0.0114000, 8.46000
5.60000e-07, 8.72000, 0.956000, 812.134, 0.00956000, 7.76400
6.00000e-07, 8.16000, 0.812000, 904.926, 0.00812000, 7.34800
6.40000e-07, 7.60000, 0.900000, 744.444, 0.00900000, 6.70000
6.80000e-07, 6.96000, 0.692000, 905.780, 0.00692000, 6.26800
7.20000e-07, 6.48000, 0.556000, 1065.47, 0.00556000, 5.92400
7.60000e-07, 6.00000, 0.556000, 979.137, 0.00556000, 5.44400
8.00000e-07, 5.20000, 0.396000, 1213.13, 0.00396000, 4.80400
8.40000e-07, 4.80000, 0.484000, 891.736, 0.00484000, 4.31600
8.80000e-07, 4.08000, 0.340000, 1100.00, 0.00340000, 3.74000
9.20000e-07, 3.84000, 0.196000, 1859.18, 0.00196000, 3.64400
9.60000e-07, 3.04000, 0.196000, 1451.02, 0.00196000, 2.84400
1.00000e-06, 2.24000, 0.0200000, 11100.0, 0.000200000, 2.22000
