time, Ch1, Ch2, Rm, I=Ch2/200, V=Ch1-Ch2
-2.00400e-05, 0.320000, 0.0500000, 1080.00, 0.000250000, 0.270000
-2.00000e-05, 0.400000, 0.0500000, 1400.00, 0.000250000, 0.350000
-1.99600e-05, 0.320000, 0.0700000, 714.286, 0.000350000, 0.250000
-1.99200e-05, 0.560000, 0.110000, 818.182, 0.000550000, 0.450000
-1.98800e-05, 0.800000, 0.150000, 866.667, 0.000750000, 0.650000
-1.98400e-05, 0.880000, 0.130000, 1153.85, 0.000650000, 0.750000
-1.98000e-05, 0.960000, 0.170000, 929.412, 0.000850000, 0.790000
-1.97600e-05, 1.20000, 0.210000, 942.857, 0.00105000, 0.990000
-1.97200e-05, 1.28000, 0.230000, 913.043, 0.00115000, 1.05000
-1.96800e-05, 1.36000, 0.250000, 888.000, 0.00125000, 1.11000
-1.96400e-05, 1.44000, 0.250000, 952.000, 0.00125000, 1.19000
-1.96000e-05, 1.76000, 0.290000, 1013.79, 0.00145000, 1.47000
-1.95600e-05, 1.76000, 0.350000, 805.714, 0.00175000, 1.41000
-1.95200e-05, 1.68000, 0.270000, 1044.44, 0.00135000, 1.41000
-1.94800e-05, 2.00000, 0.350000, 942.857, 0.00175000, 1.65000
-1.94400e-05, 2.08000, 0.390000, 866.667, 0.00195000, 1.69000
-1.94000e-05, 2.24000, 0.390000, 948.718, 0.00195000, 1.85000
-1.93600e-05, 2.40000, 0.450000, 866.667, 0.00225000, 1.95000
-1.93200e-05, 2.40000, 0.470000, 821.277, 0.00235000, 1.93000
-1.92800e-05, 2.56000, 0.450000, 937.778, 0.00225000, 2.11000
-1.92400e-05, 2.72000, 0.510000, 866.667, 0.00255000, 2.21000
-1.92000e-05, 2.80000, 0.490000, 942.857, 0.00245000, 2.31000
-1.91600e-05, 2.96000, 0.590000, 803.390, 0.00295000, 2.37000
-1.91200e-05, 3.12000, 0.570000, 894.737, 0.00285000, 2.55000
-1.90800e-05, 3.36000, 0.570000, 978.947, 0.00285000, 2.79000
-1.90400e-05, 3.36000, 0.650000, 833.846, 0.00325000, 2.71000
-1.90000e-05, 3.44000, 0.650000, 858.462, 0.00325000, 2.79000
-1.89600e-05, 3.60000, 0.650000, 907.692, 0.00325000, 2.95000
-1.89200e-05, 3.68000, 0.710000, 836.620, 0.00355000, 2.97000
-1.88800e-05, 3.92000, 0.730000, 873.973, 0.00365000, 3.19000
-1.88400e-05, 4.08000, 0.730000, 917.808, 0.00365000, 3.35000
