archivo, Energia, Dt
tek_p03_1105.dat, 7.22158e-09, 9.98000e-05
tek_p04_1105.dat, 1.79815e-08, 9.88000e-05
tek_p05_1105.dat, 3.40197e-08, 9.78000e-05
tek_p06_1105.dat, 1.16599e-07, 9.98000e-05
tek_p07_1105.dat, 8.45580e-08, 9.98000e-05
tek_p08_1105.dat, 1.16650e-07, 9.98000e-05
tek_p09_1105.dat, 1.54080e-07, 9.88000e-05
tek_p10_1105.dat, 1.51442e-07, 9.74000e-05
tek_p11_1105.dat, 3.11298e-07, 0.000199600
tek_p12_1105.dat, 1.55195e-06, 0.000489000
tek_p13_1105.dat, 1.55454e-06, 0.000489000
tek_p14_1105.dat, 1.51052e-06, 0.000489000
tek_pa16_1105.dat, 1.14182e-06, 0.000476000
tek_pa17_1105.dat, 1.38451e-06, 0.000576000
tek_pb16_1105.dat, 9.56241e-07, 0.000396000
tek_pb17_1105.dat, 1.34299e-06, 0.000556000
