Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,S
Horizontal Scale,1e-05
Sample Interval,1e-07
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
-1.970e-05,0
-1.960e-05,0
-1.950e-05,-0.008
-1.940e-05,0.008
-1.930e-05,0.008
-1.920e-05,0
-1.910e-05,0
-1.900e-05,0
-1.890e-05,0
-1.880e-05,0.008
-1.870e-05,-0.008
-1.860e-05,0
-1.850e-05,0
-1.840e-05,-0.008
-1.830e-05,0.016
-1.820e-05,-0.008
-1.810e-05,0
-1.800e-05,0.008
-1.790e-05,0
-1.780e-05,0
-1.770e-05,0
-1.760e-05,0
-1.750e-05,0
-1.740e-05,0.008
-1.730e-05,0.008
-1.720e-05,0.008
-1.710e-05,0
-1.700e-05,0
-1.690e-05,0
-1.680e-05,0
-1.670e-05,-0.008
-1.660e-05,0
-1.650e-05,0.008
-1.640e-05,0.008
-1.630e-05,0
-1.620e-05,0
-1.610e-05,-0.008
-1.600e-05,0.016
-1.590e-05,0.008
-1.580e-05,0.008
-1.570e-05,0
-1.560e-05,0.008
-1.550e-05,0.008
-1.540e-05,0.008
-1.530e-05,-0.024
-1.520e-05,0.016
-1.510e-05,0.008
-1.500e-05,0.008
-1.490e-05,-0.008
-1.480e-05,0
-1.470e-05,0
-1.460e-05,0
-1.450e-05,0
-1.440e-05,-0.008
-1.430e-05,0.016
-1.420e-05,-0.016
-1.410e-05,0.008
-1.400e-05,0
-1.390e-05,0
-1.380e-05,0
-1.370e-05,0.008
-1.360e-05,0
-1.350e-05,-0.008
-1.340e-05,0.008
-1.330e-05,-0.008
-1.320e-05,0
-1.310e-05,0
-1.300e-05,-0.008
-1.290e-05,0
-1.280e-05,0.008
-1.270e-05,0.008
-1.260e-05,0.008
-1.250e-05,0
-1.240e-05,0
-1.230e-05,0
-1.220e-05,0
-1.210e-05,0.008
-1.200e-05,0.016
-1.190e-05,0.008
-1.180e-05,0.008
-1.170e-05,0
-1.160e-05,0
-1.150e-05,0.008
-1.140e-05,0.008
-1.130e-05,0
-1.120e-05,0.008
-1.110e-05,0.032
-1.100e-05,0.016
-1.090e-05,0.016
-1.080e-05,0.024
-1.070e-05,0.016
-1.060e-05,0.008
-1.050e-05,0
-1.040e-05,0.016
-1.030e-05,0.008
-1.020e-05,0.008
-1.010e-05,0.008
-1.000e-05,-0.008
-9.900e-06,0
-9.800e-06,0.008
-9.700e-06,-0.008
-9.600e-06,0
-9.500e-06,0.016
-9.400e-06,0
-9.300e-06,0.016
-9.200e-06,0
-9.100e-06,0
-9.000e-06,0
-8.900e-06,0.008
-8.800e-06,0
-8.700e-06,0.008
-8.600e-06,0.008
-8.500e-06,0
-8.400e-06,0.008
-8.300e-06,0.008
-8.200e-06,0
-8.100e-06,0
-8.000e-06,0.008
-7.900e-06,0
-7.800e-06,0.008
-7.700e-06,0.016
-7.600e-06,0
-7.500e-06,0.008
-7.400e-06,0
-7.300e-06,0
-7.200e-06,0
-7.100e-06,0
-7.000e-06,0.008
-6.900e-06,-0.008
-6.800e-06,0
-6.700e-06,0.016
-6.600e-06,0
-6.500e-06,-0.008
-6.400e-06,0.016
-6.300e-06,0
-6.200e-06,0
-6.100e-06,-0.016
-6.000e-06,0
-5.900e-06,0
-5.800e-06,0.008
-5.700e-06,-0.008
-5.600e-06,0.008
-5.500e-06,0
-5.400e-06,0
-5.300e-06,0.008
-5.200e-06,0.008
-5.100e-06,-0.016
-5.000e-06,-0.008
-4.900e-06,0
-4.800e-06,0
-4.700e-06,0.016
-4.600e-06,0.008
-4.500e-06,0
-4.400e-06,0
-4.300e-06,0.008
-4.200e-06,0
-4.100e-06,0.008
-4.000e-06,0.024
-3.900e-06,0.016
-3.800e-06,0
-3.700e-06,0.008
-3.600e-06,0.024
-3.500e-06,0.04
-3.400e-06,0.048
-3.300e-06,0.072
-3.200e-06,0.096
-3.100e-06,0.128
-3.000e-06,0.144
-2.900e-06,0.152
-2.800e-06,0.184
-2.700e-06,0.2
-2.600e-06,0.208
-2.500e-06,0.248
-2.400e-06,0.264
-2.300e-06,0.288
-2.200e-06,0.296
-2.100e-06,0.336
-2.000e-06,0.352
-1.900e-06,0.36
-1.800e-06,0.368
-1.700e-06,0.4
-1.600e-06,0.408
-1.500e-06,0.432
-1.400e-06,0.464
-1.300e-06,0.472
-1.200e-06,0.504
-1.100e-06,0.52
-1.000e-06,0.536
-9.000e-07,0.544
-8.000e-07,0.576
-7.000e-07,0.592
-6.000e-07,0.616
-5.000e-07,0.64
-4.000e-07,0.664
-3.000e-07,0.68
-2.000e-07,0.696
-1.000e-07,0.728
4.050e-21,0.752
1.000e-07,0.768
2.000e-07,0.792
3.000e-07,0.792
4.000e-07,0.816
5.000e-07,0.8
6.000e-07,0.808
7.000e-07,0.808
8.000e-07,0.808
9.000e-07,0.816
1.000e-06,0.832
1.100e-06,0.808
1.200e-06,0.808
1.300e-06,0.816
1.400e-06,0.808
1.500e-06,0.816
1.600e-06,0.816
1.700e-06,0.8
1.800e-06,0.784
1.900e-06,0.808
2.000e-06,0.808
2.100e-06,0.808
2.200e-06,0.808
2.300e-06,0.808
2.400e-06,0.808
2.500e-06,0.808
2.600e-06,0.808
2.700e-06,0.8
2.800e-06,0.824
2.900e-06,0.808
3.000e-06,0.824
3.100e-06,0.808
3.200e-06,0.8
3.300e-06,0.808
3.400e-06,0.824
3.500e-06,0.824
3.600e-06,0.816
3.700e-06,0.792
3.800e-06,0.824
3.900e-06,0.816
4.000e-06,0.832
4.100e-06,0.808
4.200e-06,0.824
4.300e-06,0.808
4.400e-06,0.808
4.500e-06,0.808
4.600e-06,0.8
4.700e-06,0.8
4.800e-06,0.808
4.900e-06,0.824
5.000e-06,0.808
5.100e-06,0.816
5.200e-06,0.824
5.300e-06,0.816
5.400e-06,0.792
5.500e-06,0.816
5.600e-06,0.8
5.700e-06,0.808
5.800e-06,0.824
5.900e-06,0.824
6.000e-06,0.816
6.100e-06,0.816
6.200e-06,0.808
6.300e-06,0.808
6.400e-06,0.808
6.500e-06,0.808
6.600e-06,0.808
6.700e-06,0.816
6.800e-06,0.808
6.900e-06,0.816
7.000e-06,0.792
7.100e-06,0.8
7.200e-06,0.808
7.300e-06,0.816
7.400e-06,0.808
7.500e-06,0.816
7.600e-06,0.824
7.700e-06,0.816
7.800e-06,0.808
7.900e-06,0.8
8.000e-06,0.808
8.100e-06,0.824
