time, Ch1, Ch2, Rm, I=Ch2/6000, V=Ch1-Ch2
-7.97900e-19, 7.92000, 2.77000, 11155.2, 0.000461667, 5.15000
4.00000e-06, 8.00000, 2.69000, 11843.9, 0.000448333, 5.31000
8.00000e-06, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
1.20000e-05, 7.92000, 2.67000, 11797.8, 0.000445000, 5.25000
1.60000e-05, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
2.00000e-05, 7.92000, 2.71000, 11535.1, 0.000451667, 5.21000
2.40000e-05, 7.92000, 2.69000, 11665.4, 0.000448333, 5.23000
2.80000e-05, 7.92000, 2.73000, 11406.6, 0.000455000, 5.19000
3.20000e-05, 7.92000, 2.73000, 11406.6, 0.000455000, 5.19000
3.60000e-05, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
4.00000e-05, 7.84000, 2.69000, 11487.0, 0.000448333, 5.15000
4.40000e-05, 8.00000, 2.69000, 11843.9, 0.000448333, 5.31000
4.80000e-05, 8.00000, 2.69000, 11843.9, 0.000448333, 5.31000
5.20000e-05, 8.00000, 2.69000, 11843.9, 0.000448333, 5.31000
5.60000e-05, 7.92000, 2.69000, 11665.4, 0.000448333, 5.23000
6.00000e-05, 8.00000, 2.69000, 11843.9, 0.000448333, 5.31000
6.40000e-05, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
6.80000e-05, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
7.20000e-05, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
7.60000e-05, 8.00000, 2.69000, 11843.9, 0.000448333, 5.31000
8.00000e-05, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
8.40000e-05, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
8.80000e-05, 8.00000, 2.69000, 11843.9, 0.000448333, 5.31000
9.20000e-05, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
9.60000e-05, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
0.000100000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000104000, 8.08000, 2.75000, 11629.1, 0.000458333, 5.33000
0.000108000, 8.00000, 2.69000, 11843.9, 0.000448333, 5.31000
0.000112000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000116000, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
0.000120000, 8.00000, 2.75000, 11454.5, 0.000458333, 5.25000
0.000124000, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
0.000128000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000132000, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
0.000136000, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
0.000140000, 7.92000, 2.71000, 11535.1, 0.000451667, 5.21000
0.000144000, 8.00000, 2.69000, 11843.9, 0.000448333, 5.31000
0.000148000, 8.00000, 2.75000, 11454.5, 0.000458333, 5.25000
0.000152000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000156000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000160000, 7.84000, 2.69000, 11487.0, 0.000448333, 5.15000
0.000164000, 7.92000, 2.73000, 11406.6, 0.000455000, 5.19000
0.000168000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000172000, 8.00000, 2.69000, 11843.9, 0.000448333, 5.31000
0.000176000, 8.08000, 2.75000, 11629.1, 0.000458333, 5.33000
0.000180000, 7.84000, 2.75000, 11105.5, 0.000458333, 5.09000
0.000184000, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
0.000188000, 8.00000, 2.69000, 11843.9, 0.000448333, 5.31000
0.000192000, 8.08000, 2.77000, 11501.8, 0.000461667, 5.31000
0.000196000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000200000, 7.92000, 2.73000, 11406.6, 0.000455000, 5.19000
0.000204000, 7.84000, 2.73000, 11230.8, 0.000455000, 5.11000
0.000208000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000212000, 8.08000, 2.71000, 11889.3, 0.000451667, 5.37000
0.000216000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000220000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000224000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000228000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000232000, 8.00000, 2.77000, 11328.5, 0.000461667, 5.23000
0.000236000, 7.84000, 2.73000, 11230.8, 0.000455000, 5.11000
0.000240000, 7.84000, 2.71000, 11357.9, 0.000451667, 5.13000
0.000244000, 7.84000, 2.71000, 11357.9, 0.000451667, 5.13000
0.000248000, 7.92000, 2.79000, 11032.3, 0.000465000, 5.13000
0.000252000, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
0.000256000, 8.08000, 2.73000, 11758.2, 0.000455000, 5.35000
0.000260000, 8.08000, 2.77000, 11501.8, 0.000461667, 5.31000
0.000264000, 7.92000, 2.71000, 11535.1, 0.000451667, 5.21000
0.000268000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000272000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000276000, 8.08000, 2.71000, 11889.3, 0.000451667, 5.37000
0.000280000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000284000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000288000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000292000, 8.00000, 2.75000, 11454.5, 0.000458333, 5.25000
0.000296000, 7.92000, 2.77000, 11155.2, 0.000461667, 5.15000
0.000300000, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
0.000304000, 8.08000, 2.73000, 11758.2, 0.000455000, 5.35000
0.000308000, 7.92000, 2.77000, 11155.2, 0.000461667, 5.15000
0.000312000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000316000, 8.00000, 2.77000, 11328.5, 0.000461667, 5.23000
0.000320000, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
0.000324000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000328000, 7.92000, 2.77000, 11155.2, 0.000461667, 5.15000
0.000332000, 8.08000, 2.75000, 11629.1, 0.000458333, 5.33000
0.000336000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000340000, 8.08000, 2.75000, 11629.1, 0.000458333, 5.33000
0.000344000, 8.00000, 2.79000, 11204.3, 0.000465000, 5.21000
0.000348000, 8.00000, 2.73000, 11582.4, 0.000455000, 5.27000
0.000352000, 8.00000, 2.79000, 11204.3, 0.000465000, 5.21000
0.000356000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000360000, 8.08000, 2.71000, 11889.3, 0.000451667, 5.37000
0.000364000, 8.00000, 2.77000, 11328.5, 0.000461667, 5.23000
0.000368000, 7.92000, 2.73000, 11406.6, 0.000455000, 5.19000
0.000372000, 8.08000, 2.73000, 11758.2, 0.000455000, 5.35000
0.000376000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000380000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000384000, 8.08000, 2.75000, 11629.1, 0.000458333, 5.33000
0.000388000, 8.08000, 2.71000, 11889.3, 0.000451667, 5.37000
0.000392000, 8.00000, 2.75000, 11454.5, 0.000458333, 5.25000
0.000396000, 7.92000, 2.75000, 11280.0, 0.000458333, 5.17000
0.000400000, 8.00000, 2.71000, 11712.2, 0.000451667, 5.29000
0.000404000, 7.92000, 2.77000, 11155.2, 0.000461667, 5.15000
0.000408000, 7.84000, 2.75000, 11105.5, 0.000458333, 5.09000
0.000412000, 8.08000, 2.69000, 12022.3, 0.000448333, 5.39000
0.000416000, 7.92000, 2.79000, 11032.3, 0.000465000, 5.13000
