time, Ch1, Ch2, Rm, I=Ch2/10000, V=Ch1-Ch2
-3.60000e-06, 0.160000, 0.0600000, 16666.7, 6.00000e-06, 0.100000
-3.40000e-06, 0.240000, 0.0200000, 110000., 2.00000e-06, 0.220000
-3.20000e-06, 0.320000, 0.0600000, 43333.3, 6.00000e-06, 0.260000
-3.00000e-06, 0.240000, 0.140000, 7142.86, 1.40000e-05, 0.100000
-2.80000e-06, 0.320000, 0.0600000, 43333.3, 6.00000e-06, 0.260000
-2.60000e-06, 0.400000, 0.140000, 18571.4, 1.40000e-05, 0.260000
-2.40000e-06, 0.400000, 0.100000, 30000.0, 1.00000e-05, 0.300000
-2.20000e-06, 0.560000, 0.0600000, 83333.3, 6.00000e-06, 0.500000
-2.00000e-06, 0.480000, 0.100000, 38000.0, 1.00000e-05, 0.380000
-1.80000e-06, 0.560000, 0.180000, 21111.1, 1.80000e-05, 0.380000
-1.60000e-06, 0.480000, 0.180000, 16666.7, 1.80000e-05, 0.300000
-1.40000e-06, 0.640000, 0.180000, 25555.6, 1.80000e-05, 0.460000
-1.20000e-06, 0.640000, 0.260000, 14615.4, 2.60000e-05, 0.380000
-1.00000e-06, 0.640000, 0.140000, 35714.3, 1.40000e-05, 0.500000
-8.00000e-07, 0.800000, 0.220000, 26363.6, 2.20000e-05, 0.580000
-6.00000e-07, 0.720000, 0.220000, 22727.3, 2.20000e-05, 0.500000
-4.00000e-07, 0.800000, 0.260000, 20769.2, 2.60000e-05, 0.540000
-2.00000e-07, 0.800000, 0.340000, 13529.4, 3.40000e-05, 0.460000
5.21500e-20, 0.880000, 0.220000, 30000.0, 2.20000e-05, 0.660000
2.00000e-07, 0.800000, 0.220000, 26363.6, 2.20000e-05, 0.580000
4.00000e-07, 1.04000, 0.340000, 20588.2, 3.40000e-05, 0.700000
6.00000e-07, 1.04000, 0.300000, 24666.7, 3.00000e-05, 0.740000
8.00000e-07, 1.04000, 0.260000, 30000.0, 2.60000e-05, 0.780000
1.00000e-06, 1.04000, 0.340000, 20588.2, 3.40000e-05, 0.700000
1.20000e-06, 1.12000, 0.380000, 19473.7, 3.80000e-05, 0.740000
1.40000e-06, 1.20000, 0.340000, 25294.1, 3.40000e-05, 0.860000
1.60000e-06, 1.12000, 0.380000, 19473.7, 3.80000e-05, 0.740000
1.80000e-06, 1.20000, 0.500000, 14000.0, 5.00000e-05, 0.700000
2.00000e-06, 1.36000, 0.420000, 22381.0, 4.20000e-05, 0.940000
2.20000e-06, 1.28000, 0.460000, 17826.1, 4.60000e-05, 0.820000
2.40000e-06, 1.20000, 0.460000, 16087.0, 4.60000e-05, 0.740000
2.60000e-06, 1.28000, 0.420000, 20476.2, 4.20000e-05, 0.860000
2.80000e-06, 1.20000, 0.460000, 16087.0, 4.60000e-05, 0.740000
3.00000e-06, 1.44000, 0.460000, 21304.3, 4.60000e-05, 0.980000
3.20000e-06, 1.36000, 0.420000, 22381.0, 4.20000e-05, 0.940000
