Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-07,
Sample Interval,4e-09,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,5
Label,,
TIME,CH1,CH2
-2.640e-07,-0.3,-0.1
-2.600e-07,0.1,0.1
-2.560e-07,0.1,-0.1
-2.520e-07,0.1,-0.1
-2.480e-07,-0.1,-0.1
-2.440e-07,0.1,-0.1
-2.400e-07,-0.5,-0.1
-2.360e-07,-0.3,0.3
-2.320e-07,-0.1,0.5
-2.280e-07,-0.1,0.3
-2.240e-07,0.1,-0.1
-2.200e-07,0.1,0.1
-2.160e-07,-0.1,0.1
-2.120e-07,0.1,-0.1
-2.080e-07,-0.3,0.1
-2.040e-07,-0.5,0.1
-2.000e-07,0.1,-0.3
-1.960e-07,-0.5,0.1
-1.920e-07,0.1,-0.1
-1.880e-07,-0.5,-0.1
-1.840e-07,-0.3,0.1
-1.800e-07,-0.3,0.1
-1.760e-07,-0.3,-0.3
-1.720e-07,-0.1,0.1
-1.680e-07,0.1,-0.1
-1.640e-07,-0.1,-0.1
-1.600e-07,0.3,-0.1
-1.560e-07,-0.3,0.1
-1.520e-07,-0.1,-0.1
-1.480e-07,0.1,-0.1
-1.440e-07,0.1,-0.3
-1.400e-07,-0.1,-0.3
-1.360e-07,0.1,0.1
-1.320e-07,-0.1,-0.3
-1.280e-07,0.3,-0.1
-1.240e-07,-0.1,0.1
-1.200e-07,0.1,0.1
-1.160e-07,-0.1,-0.1
-1.120e-07,-0.3,-0.1
-1.080e-07,-0.3,0.1
-1.040e-07,0.3,-0.1
-1.000e-07,0.1,-0.1
-9.600e-08,-0.1,-0.1
-9.200e-08,0.1,0.3
-8.800e-08,0.1,-0.3
-8.400e-08,0.1,-0.1
-8.000e-08,0.3,0.1
-7.600e-08,0.3,-0.1
-7.200e-08,0.1,-0.1
-6.800e-08,0.1,0.3
-6.400e-08,0.3,0.3
-6.000e-08,0.3,-0.1
-5.600e-08,0.7,-0.1
-5.200e-08,1.3,0.5
-4.800e-08,0.9,0.1
-4.400e-08,1.5,0.3
-4.000e-08,1.5,0.5
-3.600e-08,1.5,0.5
-3.200e-08,2.1,0.5
-2.800e-08,2.3,1.1
-2.400e-08,2.3,1.3
-2.000e-08,2.5,1.1
-1.600e-08,3.1,1.3
-1.200e-08,3.5,1.7
-8.000e-09,3.7,1.7
-4.000e-09,3.9,1.7
3.706e-22,4.5,2.1
4.000e-09,5.1,2.3
8.000e-09,5.7,2.3
1.200e-08,6.3,2.5
1.600e-08,6.5,2.5
2.000e-08,7.3,2.7
2.400e-08,7.9,3.3
2.800e-08,8.1,3.1
3.200e-08,8.9,3.7
3.600e-08,9.3,3.7
4.000e-08,9.7,3.7
4.400e-08,10.3,4.3
4.800e-08,11.1,4.5
5.200e-08,11.7,4.9
5.600e-08,11.9,5.1
6.000e-08,12.7,5.5
6.400e-08,13.3,5.5
6.800e-08,13.9,5.5
7.200e-08,14.1,5.7
7.600e-08,14.9,6.3
8.000e-08,15.5,6.1
8.400e-08,16.1,6.3
8.800e-08,16.3,6.3
9.200e-08,17.1,6.5
9.600e-08,17.7,6.5
1.000e-07,17.9,6.5
1.040e-07,18.3,6.9
1.080e-07,18.9,6.5
1.120e-07,19.5,7.3
1.160e-07,19.9,7.3
1.200e-07,19.9,7.5
1.240e-07,20.9,7.9
1.280e-07,20.9,8.1
1.320e-07,21.1,8.1
1.360e-07,21.3,8.1
1.400e-07,21.5,8.3
1.440e-07,21.7,8.7
1.480e-07,21.9,8.7
1.520e-07,22.5,8.7
1.560e-07,22.1,8.5
1.600e-07,22.7,8.7
1.640e-07,22.1,8.7
1.680e-07,22.7,8.9
1.720e-07,22.9,8.7
1.760e-07,23.3,8.5
1.800e-07,23.1,8.7
1.840e-07,23.5,8.5
1.880e-07,23.7,8.5
1.920e-07,23.7,8.7
1.960e-07,23.5,8.7
2.000e-07,23.9,8.9
2.040e-07,24.1,8.7
2.080e-07,24.1,9.1
2.120e-07,24.5,9.3
2.160e-07,24.5,9.7
2.200e-07,25.1,9.5
2.240e-07,24.5,9.9
2.280e-07,25.1,10.1
2.320e-07,24.9,10.1
2.360e-07,25.3,10.5
2.400e-07,25.1,10.7
2.440e-07,25.1,10.7
2.480e-07,25.9,10.9
2.520e-07,25.7,10.7
2.560e-07,26.1,11.1
2.600e-07,26.3,11.1
2.640e-07,26.3,11.1
2.680e-07,26.7,11.3
2.720e-07,26.7,11.3
2.760e-07,26.5,11.3
2.800e-07,26.7,11.3
2.840e-07,26.7,11.5
2.880e-07,26.3,11.5
2.920e-07,26.7,11.3
2.960e-07,26.9,11.3
3.000e-07,26.7,11.3
3.040e-07,26.9,11.3
3.080e-07,26.9,11.3
3.120e-07,26.9,11.3
3.160e-07,27.3,11.1
3.200e-07,27.1,11.3
3.240e-07,26.9,11.3
3.280e-07,27.7,11.3
3.320e-07,27.3,11.3
3.360e-07,27.5,10.9
3.400e-07,27.5,11.5
3.440e-07,27.5,11.1
3.480e-07,27.9,11.3
3.520e-07,27.7,11.1
3.560e-07,28.1,11.5
3.600e-07,28.1,11.5
3.640e-07,28.5,11.7
3.680e-07,28.3,11.5
3.720e-07,28.3,11.5
3.760e-07,28.5,11.9
3.800e-07,28.7,11.9
3.840e-07,28.7,12.1
3.880e-07,29.1,12.5
3.920e-07,28.9,11.9
3.960e-07,29.3,11.9
4.000e-07,29.1,12.1
4.040e-07,29.1,12.1
4.080e-07,29.3,11.9
4.120e-07,29.5,12.1
4.160e-07,29.5,12.1
4.200e-07,29.3,12.5
4.240e-07,29.3,12.5
4.280e-07,29.1,12.3
4.320e-07,29.3,12.1
4.360e-07,29.1,12.5
4.400e-07,28.9,12.5
4.440e-07,28.9,12.5
4.480e-07,29.1,12.5
4.520e-07,29.1,12.3
4.560e-07,29.1,12.9
4.600e-07,29.3,12.7
4.640e-07,29.3,12.7
4.680e-07,29.1,12.7
4.720e-07,29.1,12.5
4.760e-07,29.3,12.5
4.800e-07,29.3,12.5
4.840e-07,29.3,12.7
4.880e-07,29.3,12.9
4.920e-07,28.9,12.7
4.960e-07,29.3,12.9
5.000e-07,29.5,13.1
5.040e-07,29.3,12.9
5.080e-07,28.9,13.1
5.120e-07,29.3,13.1
5.160e-07,29.3,13.1
5.200e-07,28.9,13.5
5.240e-07,29.5,12.9
5.280e-07,29.3,13.3
5.320e-07,29.3,13.1
5.360e-07,29.1,13.1
5.400e-07,28.9,13.1
5.440e-07,29.1,13.1
5.480e-07,28.9,12.9
5.520e-07,29.3,12.9
5.560e-07,29.3,13.1
5.600e-07,29.1,13.3
5.640e-07,29.3,13.1
5.680e-07,29.3,12.9
5.720e-07,29.1,13.3
5.760e-07,29.5,12.9
5.800e-07,29.3,13.3
5.840e-07,29.3,13.1
5.880e-07,29.5,13.1
5.920e-07,29.7,13.3
5.960e-07,29.7,13.3
6.000e-07,29.3,13.1
6.040e-07,29.5,13.3
6.080e-07,29.7,13.5
6.120e-07,29.5,13.5
6.160e-07,29.3,13.5
6.200e-07,29.5,13.1
6.240e-07,29.5,13.5
6.280e-07,29.9,13.3
6.320e-07,29.9,13.5
6.360e-07,29.3,13.5
6.400e-07,29.9,13.5
6.440e-07,30.1,13.7
6.480e-07,29.5,13.7
6.520e-07,29.9,13.5
6.560e-07,29.9,13.5
6.600e-07,29.9,13.7
6.640e-07,29.7,13.7
6.680e-07,29.7,13.7
6.720e-07,29.5,13.5
6.760e-07,29.7,13.5
6.800e-07,29.7,13.7
6.840e-07,29.5,13.7
6.880e-07,30.1,13.7
6.920e-07,29.9,13.5
6.960e-07,29.7,13.7
7.000e-07,29.9,13.5
7.040e-07,29.7,13.5
7.080e-07,29.9,13.9
7.120e-07,29.7,13.9
7.160e-07,29.7,13.7
7.200e-07,29.5,13.9
7.240e-07,29.5,13.7
7.280e-07,29.9,13.7
7.320e-07,29.7,13.9
7.360e-07,30.3,13.9
7.400e-07,29.9,13.7
7.440e-07,29.9,13.7
7.480e-07,29.7,13.9
7.520e-07,30.1,13.7
7.560e-07,29.9,13.9
7.600e-07,29.9,14.1
7.640e-07,29.9,14.1
7.680e-07,29.9,13.7
7.720e-07,29.9,13.9
7.760e-07,29.9,14.1
7.800e-07,29.9,14.1
7.840e-07,29.9,13.9
7.880e-07,30.1,14.1
7.920e-07,30.1,13.9
7.960e-07,29.9,14.3
8.000e-07,30.1,14.3
8.040e-07,30.1,13.9
8.080e-07,29.9,13.9
8.120e-07,30.3,14.3
8.160e-07,29.9,14.3
8.200e-07,29.9,14.3
8.240e-07,30.1,14.5
8.280e-07,30.3,13.9
8.320e-07,30.1,14.1
8.360e-07,30.3,14.3
8.400e-07,30.3,14.7
8.440e-07,30.5,14.3
8.480e-07,30.3,14.1
8.520e-07,30.3,14.1
8.560e-07,30.5,14.3
8.600e-07,30.5,14.1
8.640e-07,30.5,14.5
8.680e-07,30.1,14.5
8.720e-07,30.1,14.1
8.760e-07,30.5,14.3
8.800e-07,30.5,14.3
8.840e-07,30.3,14.5
8.880e-07,30.3,14.5
8.920e-07,30.5,14.1
8.960e-07,30.5,14.5
9.000e-07,30.3,14.3
9.040e-07,29.9,14.5
9.080e-07,30.5,14.3
9.120e-07,30.5,14.3
9.160e-07,30.3,14.1
9.200e-07,30.1,14.3
9.240e-07,30.5,14.3
9.280e-07,30.1,14.5
9.320e-07,30.5,14.5
9.360e-07,30.3,14.7
9.400e-07,30.3,14.5
9.440e-07,30.5,14.7
9.480e-07,30.3,14.3
9.520e-07,30.5,14.5
9.560e-07,30.5,14.7
9.600e-07,30.5,14.3
9.640e-07,30.1,14.5
9.680e-07,29.9,14.3
9.720e-07,30.1,14.7
9.760e-07,30.1,14.5
9.800e-07,30.3,14.7
9.840e-07,29.9,14.7
9.880e-07,30.3,14.9
9.920e-07,30.3,14.7
9.960e-07,30.5,14.5
1.000e-06,30.7,14.7
1.004e-06,30.3,14.7
1.008e-06,30.5,14.7
1.012e-06,30.3,14.7
1.016e-06,29.9,14.5
1.020e-06,30.3,14.7
1.024e-06,30.1,14.7
1.028e-06,30.1,14.7
1.032e-06,30.1,14.5
1.036e-06,30.3,14.7
1.040e-06,30.1,14.9
1.044e-06,30.1,14.7
1.048e-06,29.9,14.7
1.052e-06,30.1,14.7
1.056e-06,30.3,14.9
1.060e-06,30.3,14.5
1.064e-06,30.1,14.5
1.068e-06,30.3,14.5
1.072e-06,29.9,14.7
1.076e-06,30.5,14.5
1.080e-06,30.1,14.5
1.084e-06,29.7,14.7
1.088e-06,30.1,14.7
1.092e-06,30.3,14.5
1.096e-06,30.1,14.7
1.100e-06,30.3,14.5
1.104e-06,30.3,14.9
1.108e-06,30.1,14.7
1.112e-06,30.3,14.3
1.116e-06,29.9,14.7
1.120e-06,30.1,14.5
1.124e-06,30.1,14.7
1.128e-06,30.1,14.7
1.132e-06,30.1,14.3
1.136e-06,29.9,14.7
1.140e-06,30.1,14.7
1.144e-06,29.9,14.9
1.148e-06,29.7,14.7
1.152e-06,29.9,14.5
1.156e-06,30.5,15.1
1.160e-06,30.1,15.1
1.164e-06,30.1,14.7
1.168e-06,30.1,14.9
1.172e-06,30.1,14.9
1.176e-06,30.1,15.1
1.180e-06,30.5,14.9
1.184e-06,30.3,14.7
1.188e-06,29.9,14.7
1.192e-06,30.1,14.7
1.196e-06,29.9,14.7
1.200e-06,29.9,14.7
1.204e-06,30.3,15.1
1.208e-06,30.5,14.7
1.212e-06,30.3,14.9
1.216e-06,30.1,14.7
1.220e-06,30.3,15.1
1.224e-06,30.1,14.9
1.228e-06,30.3,14.9
1.232e-06,29.9,14.9
1.236e-06,30.1,14.7
1.240e-06,30.3,15.1
1.244e-06,30.3,14.9
1.248e-06,30.5,15.1
1.252e-06,30.3,15.1
1.256e-06,30.5,15.1
1.260e-06,30.3,15.1
1.264e-06,30.3,15.1
1.268e-06,30.5,14.9
1.272e-06,30.3,15.1
1.276e-06,30.1,15.1
1.280e-06,30.1,15.1
1.284e-06,30.1,14.9
1.288e-06,30.5,15.3
1.292e-06,30.3,15.1
1.296e-06,30.1,14.9
1.300e-06,30.5,14.9
1.304e-06,30.1,15.1
1.308e-06,30.5,15.1
