time, Ch1, Ch2, Rm, I=Ch2/2000, V=Ch1-Ch2
-1.00000e-07, 0.00000, -0.400000, -2000.00, -0.000200000, 0.400000
-8.00000e-08, 0.00000, 0.00000, -NaN, 0.00000, 0.00000
-6.00000e-08, 1.60000, -0.400000, -10000.0, -0.000200000, 2.00000
-4.00000e-08, 5.20000, 0.400000, 24000.0, 0.000200000, 4.80000
-2.00000e-08, 10.0000, 3.60000, 3555.56, 0.00180000, 6.40000
-3.11000e-22, 12.8000, 6.80000, 1764.71, 0.00340000, 6.00000
2.00000e-08, 14.8000, 8.00000, 1700.00, 0.00400000, 6.80000
4.00000e-08, 18.8000, 6.00000, 4266.67, 0.00300000, 12.8000
6.00000e-08, 22.0000, 6.40000, 4875.00, 0.00320000, 15.6000
8.00000e-08, 24.4000, 10.8000, 2518.52, 0.00540000, 13.6000
1.00000e-07, 28.8000, 13.2000, 2363.64, 0.00660000, 15.6000
1.20000e-07, 34.8000, 14.0000, 2971.43, 0.00700000, 20.8000
1.40000e-07, 37.2000, 17.2000, 2325.58, 0.00860000, 20.0000
1.60000e-07, 39.2000, 20.0000, 1920.00, 0.0100000, 19.2000
1.80000e-07, 42.8000, 20.8000, 2115.38, 0.0104000, 22.0000
2.00000e-07, 47.2000, 22.4000, 2214.29, 0.0112000, 24.8000
2.20000e-07, 49.2000, 25.6000, 1843.75, 0.0128000, 23.6000
2.40000e-07, 53.6000, 28.0000, 1828.57, 0.0140000, 25.6000
2.60000e-07, 57.6000, 30.8000, 1740.26, 0.0154000, 26.8000
2.80000e-07, 60.8000, 32.4000, 1753.09, 0.0162000, 28.4000
3.00000e-07, 62.8000, 35.2000, 1568.18, 0.0176000, 27.6000
3.20000e-07, 65.2000, 36.8000, 1543.48, 0.0184000, 28.4000
3.40000e-07, 66.4000, 37.6000, 1531.92, 0.0188000, 28.8000
3.60000e-07, 66.4000, 39.6000, 1353.54, 0.0198000, 26.8000
3.80000e-07, 67.2000, 41.2000, 1262.14, 0.0206000, 26.0000
4.00000e-07, 69.6000, 42.4000, 1283.02, 0.0212000, 27.2000
4.20000e-07, 69.6000, 44.0000, 1163.64, 0.0220000, 25.6000
4.40000e-07, 70.0000, 46.4000, 1017.24, 0.0232000, 23.6000
4.60000e-07, 71.2000, 47.2000, 1016.95, 0.0236000, 24.0000
4.80000e-07, 71.6000, 48.0000, 983.333, 0.0240000, 23.6000
5.00000e-07, 72.4000, 48.4000, 991.735, 0.0242000, 24.0000
5.20000e-07, 72.0000, 49.6000, 903.226, 0.0248000, 22.4000
5.40000e-07, 73.2000, 50.8000, 881.890, 0.0254000, 22.4000
5.60000e-07, 74.4000, 51.6000, 883.721, 0.0258000, 22.8000
5.80000e-07, 74.4000, 52.8000, 818.182, 0.0264000, 21.6000
6.00000e-07, 74.4000, 53.2000, 796.992, 0.0266000, 21.2000
6.20000e-07, 74.8000, 54.0000, 770.370, 0.0270000, 20.8000
6.40000e-07, 75.2000, 54.4000, 764.706, 0.0272000, 20.8000
6.60000e-07, 74.8000, 55.2000, 710.145, 0.0276000, 19.6000
6.80000e-07, 75.2000, 55.6000, 705.036, 0.0278000, 19.6000
7.00000e-07, 75.2000, 56.4000, 666.666, 0.0282000, 18.8000
7.20000e-07, 76.4000, 56.8000, 690.141, 0.0284000, 19.6000
7.40000e-07, 76.8000, 56.4000, 723.404, 0.0282000, 20.4000
7.60000e-07, 75.6000, 57.2000, 643.357, 0.0286000, 18.4000
7.80000e-07, 76.4000, 57.2000, 671.329, 0.0286000, 19.2000
8.00000e-07, 76.4000, 57.6000, 652.778, 0.0288000, 18.8000
8.20000e-07, 77.6000, 58.0000, 675.862, 0.0290000, 19.6000
8.40000e-07, 76.4000, 58.8000, 598.640, 0.0294000, 17.6000
8.60000e-07, 77.2000, 59.6000, 590.604, 0.0298000, 17.6000
8.80000e-07, 77.2000, 59.2000, 608.108, 0.0296000, 18.0000
9.00000e-07, 77.6000, 60.0000, 586.667, 0.0300000, 17.6000
9.20000e-07, 78.0000, 59.6000, 617.450, 0.0298000, 18.4000
9.40000e-07, 78.0000, 60.0000, 600.000, 0.0300000, 18.0000
9.60000e-07, 77.2000, 60.0000, 573.333, 0.0300000, 17.2000
9.80000e-07, 77.2000, 60.0000, 573.333, 0.0300000, 17.2000
1.00000e-06, 78.0000, 60.4000, 582.781, 0.0302000, 17.6000
1.02000e-06, 76.8000, 60.8000, 526.316, 0.0304000, 16.0000
1.04000e-06, 78.0000, 60.0000, 600.000, 0.0300000, 18.0000
1.06000e-06, 77.2000, 61.2000, 522.876, 0.0306000, 16.0000
1.08000e-06, 77.2000, 60.8000, 539.474, 0.0304000, 16.4000
1.10000e-06, 77.6000, 60.8000, 552.632, 0.0304000, 16.8000
1.12000e-06, 78.0000, 60.4000, 582.781, 0.0302000, 17.6000
1.14000e-06, 78.0000, 62.0000, 516.129, 0.0310000, 16.0000
1.16000e-06, 78.0000, 61.2000, 549.020, 0.0306000, 16.8000
1.18000e-06, 77.2000, 60.8000, 539.474, 0.0304000, 16.4000
1.20000e-06, 77.6000, 60.8000, 552.632, 0.0304000, 16.8000
1.22000e-06, 77.6000, 61.6000, 519.481, 0.0308000, 16.0000
1.24000e-06, 77.6000, 61.2000, 535.948, 0.0306000, 16.4000
1.26000e-06, 77.2000, 60.8000, 539.474, 0.0304000, 16.4000
1.28000e-06, 77.6000, 61.2000, 535.948, 0.0306000, 16.4000
1.30000e-06, 77.6000, 60.8000, 552.632, 0.0304000, 16.8000
1.32000e-06, 77.6000, 61.2000, 535.948, 0.0306000, 16.4000
1.34000e-06, 77.6000, 61.6000, 519.481, 0.0308000, 16.0000
1.36000e-06, 78.0000, 62.4000, 500.000, 0.0312000, 15.6000
1.38000e-06, 77.6000, 61.6000, 519.481, 0.0308000, 16.0000
1.40000e-06, 78.4000, 62.0000, 529.032, 0.0310000, 16.4000
1.42000e-06, 78.0000, 61.6000, 532.468, 0.0308000, 16.4000
1.44000e-06, 77.6000, 62.4000, 487.179, 0.0312000, 15.2000
1.46000e-06, 77.6000, 62.0000, 503.226, 0.0310000, 15.6000
1.48000e-06, 78.0000, 62.4000, 500.000, 0.0312000, 15.6000
1.50000e-06, 78.4000, 62.0000, 529.032, 0.0310000, 16.4000
