time, Ch1, Ch2, Rm, I=Ch2/2000, V=Ch1-Ch2
5.60000e-06, 75.2000, 56.4000, 666.666, 0.0282000, 18.8000
5.62000e-06, 75.2000, 56.8000, 647.887, 0.0284000, 18.4000
5.64000e-06, 75.2000, 56.8000, 647.887, 0.0284000, 18.4000
5.66000e-06, 75.2000, 58.0000, 593.103, 0.0290000, 17.2000
5.68000e-06, 76.4000, 58.0000, 634.483, 0.0290000, 18.4000
5.70000e-06, 75.6000, 58.4000, 589.041, 0.0292000, 17.2000
5.72000e-06, 76.0000, 59.2000, 567.568, 0.0296000, 16.8000
5.74000e-06, 76.4000, 59.2000, 581.081, 0.0296000, 17.2000
5.76000e-06, 76.4000, 59.6000, 563.759, 0.0298000, 16.8000
5.78000e-06, 76.4000, 59.6000, 563.759, 0.0298000, 16.8000
5.80000e-06, 76.8000, 60.8000, 526.316, 0.0304000, 16.0000
5.82000e-06, 77.2000, 60.4000, 556.291, 0.0302000, 16.8000
5.84000e-06, 76.8000, 61.2000, 509.804, 0.0306000, 15.6000
5.86000e-06, 77.2000, 61.6000, 506.493, 0.0308000, 15.6000
5.88000e-06, 77.6000, 61.6000, 519.481, 0.0308000, 16.0000
5.90000e-06, 77.2000, 61.6000, 506.493, 0.0308000, 15.6000
5.92000e-06, 77.6000, 62.0000, 503.226, 0.0310000, 15.6000
5.94000e-06, 77.6000, 61.6000, 519.481, 0.0308000, 16.0000
5.96000e-06, 77.6000, 62.4000, 487.179, 0.0312000, 15.2000
5.98000e-06, 77.2000, 62.0000, 490.322, 0.0310000, 15.2000
6.00000e-06, 77.6000, 62.4000, 487.179, 0.0312000, 15.2000
6.02000e-06, 77.6000, 62.4000, 487.179, 0.0312000, 15.2000
6.04000e-06, 78.0000, 62.0000, 516.129, 0.0310000, 16.0000
6.06000e-06, 78.0000, 62.8000, 484.076, 0.0314000, 15.2000
6.08000e-06, 77.2000, 62.4000, 474.359, 0.0312000, 14.8000
6.10000e-06, 77.6000, 62.8000, 471.338, 0.0314000, 14.8000
