time, Ch1, Ch2, Rm, I=Ch2/6000, V=Ch1-Ch2
0.000454000, 10.0400, 3.70000, 10281.1, 0.000616667, 6.34000
0.000455000, 9.96000, 3.58000, 10692.7, 0.000596667, 6.38000
0.000456000, 9.96000, 3.66000, 10327.9, 0.000610000, 6.30000
0.000457000, 10.0400, 3.70000, 10281.1, 0.000616667, 6.34000
0.000458000, 10.0400, 3.62000, 10640.9, 0.000603333, 6.42000
0.000459000, 10.0400, 3.66000, 10459.0, 0.000610000, 6.38000
0.000460000, 10.1200, 3.70000, 10410.8, 0.000616667, 6.42000
0.000461000, 9.96000, 3.70000, 10151.4, 0.000616667, 6.26000
0.000462000, 9.88000, 3.62000, 10375.7, 0.000603333, 6.26000
0.000463000, 9.96000, 3.58000, 10692.7, 0.000596667, 6.38000
0.000464000, 9.96000, 3.66000, 10327.9, 0.000610000, 6.30000
0.000465000, 9.88000, 3.70000, 10021.6, 0.000616667, 6.18000
0.000466000, 10.0400, 3.54000, 11016.9, 0.000590000, 6.50000
0.000467000, 10.0400, 3.62000, 10640.9, 0.000603333, 6.42000
0.000468000, 9.96000, 3.62000, 10508.3, 0.000603333, 6.34000
0.000469000, 10.0400, 3.66000, 10459.0, 0.000610000, 6.38000
0.000470000, 10.1200, 3.66000, 10590.2, 0.000610000, 6.46000
0.000471000, 9.96000, 3.74000, 9978.61, 0.000623333, 6.22000
0.000472000, 9.88000, 3.62000, 10375.7, 0.000603333, 6.26000
0.000473000, 9.88000, 3.62000, 10375.7, 0.000603333, 6.26000
0.000474000, 9.96000, 3.62000, 10508.3, 0.000603333, 6.34000
0.000475000, 10.0400, 3.58000, 10826.8, 0.000596667, 6.46000
0.000476000, 10.0400, 3.62000, 10640.9, 0.000603333, 6.42000
0.000477000, 9.96000, 3.62000, 10508.3, 0.000603333, 6.34000
0.000478000, 9.88000, 3.70000, 10021.6, 0.000616667, 6.18000
0.000479000, 10.0400, 3.62000, 10640.9, 0.000603333, 6.42000
0.000480000, 10.0400, 3.70000, 10281.1, 0.000616667, 6.34000
0.000481000, 9.96000, 3.66000, 10327.9, 0.000610000, 6.30000
0.000482000, 10.1200, 3.66000, 10590.2, 0.000610000, 6.46000
0.000483000, 9.96000, 3.62000, 10508.3, 0.000603333, 6.34000
0.000484000, 9.96000, 3.62000, 10508.3, 0.000603333, 6.34000
