Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-06,
Sample Interval,1e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,5
Label,,
TIME,CH1,CH2
-2.900e-07,-0.1,0.1
-2.800e-07,-0.1,0.1
-2.700e-07,-0.1,0.3
-2.600e-07,0.3,-0.3
-2.500e-07,-0.1,-0.1
-2.400e-07,-0.1,0.1
-2.300e-07,-0.1,-0.1
-2.200e-07,0.3,0.1
-2.100e-07,0.1,0.1
-2.000e-07,-0.1,-0.1
-1.900e-07,-0.1,0.1
-1.800e-07,0.1,-0.1
-1.700e-07,0.1,-0.1
-1.600e-07,-0.1,0.1
-1.500e-07,-0.3,0.1
-1.400e-07,-0.1,0.3
-1.300e-07,-0.1,-0.1
-1.200e-07,-0.1,-0.1
-1.100e-07,0.1,0.1
-1.000e-07,0.1,-0.1
-9.000e-08,0.1,0.1
-8.000e-08,0.1,0.3
-7.000e-08,0.5,0.3
-6.000e-08,0.7,-0.1
-5.000e-08,1.5,0.5
-4.000e-08,1.7,0.9
-3.000e-08,2.1,0.9
-2.000e-08,3.1,1.1
-1.000e-08,3.9,1.7
-4.731e-22,5.1,2.1
1.000e-08,6.5,2.3
2.000e-08,7.9,3.1
3.000e-08,9.7,3.7
4.000e-08,10.7,4.7
5.000e-08,11.9,5.1
6.000e-08,13.5,5.7
7.000e-08,14.7,5.7
8.000e-08,16.1,6.7
9.000e-08,17.3,6.5
1.000e-07,18.3,6.9
1.100e-07,19.9,7.7
1.200e-07,20.5,7.9
1.300e-07,21.5,8.1
1.400e-07,21.7,8.9
1.500e-07,22.3,8.9
1.600e-07,22.7,9.1
1.700e-07,23.1,9.1
1.800e-07,23.3,8.7
1.900e-07,23.7,8.9
2.000e-07,24.1,9.1
2.100e-07,24.3,9.1
2.200e-07,25.1,10.1
2.300e-07,24.9,10.1
2.400e-07,25.5,10.5
2.500e-07,26.1,11.1
2.600e-07,26.7,11.3
2.700e-07,26.5,11.5
2.800e-07,26.7,11.7
2.900e-07,27.1,11.5
3.000e-07,26.7,11.3
3.100e-07,27.1,11.3
3.200e-07,27.1,11.3
3.300e-07,27.7,11.3
3.400e-07,27.7,11.3
3.500e-07,28.1,11.7
3.600e-07,28.3,11.5
3.700e-07,28.5,11.9
3.800e-07,28.9,11.9
3.900e-07,29.3,12.1
4.000e-07,29.1,12.5
4.100e-07,29.3,12.3
4.200e-07,29.3,12.5
4.300e-07,29.1,12.5
4.400e-07,29.3,12.5
4.500e-07,29.1,12.5
4.600e-07,29.5,12.5
4.700e-07,29.3,12.5
4.800e-07,29.1,12.9
4.900e-07,29.1,12.9
5.000e-07,29.3,13.1
5.100e-07,29.1,12.9
5.200e-07,29.3,13.3
5.300e-07,29.7,13.3
5.400e-07,29.1,12.9
5.500e-07,29.3,13.3
5.600e-07,29.1,13.1
5.700e-07,29.5,12.9
5.800e-07,29.5,13.1
5.900e-07,29.3,13.1
6.000e-07,29.3,13.1
6.100e-07,29.3,13.1
6.200e-07,29.7,13.5
6.300e-07,29.9,13.5
6.400e-07,29.9,13.7
6.500e-07,29.7,13.9
6.600e-07,29.9,13.7
6.700e-07,29.9,13.7
6.800e-07,29.7,14.1
6.900e-07,29.9,13.7
7.000e-07,29.5,13.9
7.100e-07,29.9,13.9
7.200e-07,29.5,14.1
7.300e-07,29.7,13.9
7.400e-07,29.7,14.1
7.500e-07,29.9,14.1
7.600e-07,29.9,14.1
7.700e-07,30.1,14.5
7.800e-07,30.1,14.3
7.900e-07,30.1,14.3
8.000e-07,29.9,14.5
8.100e-07,29.9,14.3
8.200e-07,30.1,14.9
8.300e-07,30.1,14.7
8.400e-07,30.5,14.3
8.500e-07,30.1,14.5
8.600e-07,30.5,14.3
8.700e-07,30.1,14.5
8.800e-07,30.5,14.5
8.900e-07,30.5,14.7
9.000e-07,30.5,14.5
9.100e-07,30.3,14.7
9.200e-07,30.5,14.7
9.300e-07,30.5,14.9
9.400e-07,30.7,14.9
9.500e-07,30.3,14.7
9.600e-07,30.3,14.9
9.700e-07,30.3,14.7
9.800e-07,30.3,14.7
9.900e-07,30.1,14.7
1.000e-06,30.1,14.9
1.010e-06,30.1,14.7
1.020e-06,30.3,15.1
1.030e-06,30.3,14.9
1.040e-06,29.9,15.1
1.050e-06,30.1,15.1
1.060e-06,30.3,14.7
1.070e-06,29.9,14.9
1.080e-06,30.3,15.3
1.090e-06,30.1,14.7
1.100e-06,29.9,15.1
1.110e-06,30.1,14.7
1.120e-06,29.9,15.1
1.130e-06,29.9,15.1
1.140e-06,30.1,15.1
1.150e-06,30.3,14.9
1.160e-06,30.3,14.9
1.170e-06,30.5,14.9
1.180e-06,30.3,15.3
1.190e-06,30.1,15.1
1.200e-06,29.9,15.1
1.210e-06,30.3,15.3
1.220e-06,30.3,15.1
1.230e-06,30.3,15.3
1.240e-06,30.1,15.3
1.250e-06,30.1,15.1
1.260e-06,30.1,15.1
1.270e-06,30.5,15.1
1.280e-06,30.1,15.5
1.290e-06,30.5,15.3
1.300e-06,30.1,15.7
1.310e-06,30.3,15.3
1.320e-06,30.5,15.3
1.330e-06,30.5,15.3
1.340e-06,30.3,15.3
1.350e-06,30.5,15.5
1.360e-06,30.5,15.9
1.370e-06,30.5,15.7
1.380e-06,30.3,15.3
1.390e-06,30.3,15.7
1.400e-06,30.5,15.7
1.410e-06,30.5,15.5
1.420e-06,30.5,15.7
1.430e-06,30.5,15.5
1.440e-06,30.7,15.9
1.450e-06,30.3,15.7
1.460e-06,30.3,15.3
1.470e-06,30.7,15.3
1.480e-06,30.3,15.7
1.490e-06,30.5,15.3
1.500e-06,30.5,15.7
1.510e-06,30.1,15.7
1.520e-06,30.7,15.7
1.530e-06,30.5,15.5
1.540e-06,30.3,15.7
1.550e-06,30.3,15.9
1.560e-06,30.5,15.5
1.570e-06,30.1,15.7
1.580e-06,30.5,15.7
1.590e-06,30.1,15.7
1.600e-06,30.5,15.9
1.610e-06,29.9,15.9
1.620e-06,29.9,15.7
1.630e-06,30.1,15.5
1.640e-06,30.3,15.7
1.650e-06,30.3,15.7
1.660e-06,30.1,15.7
1.670e-06,30.1,15.7
1.680e-06,30.1,15.5
1.690e-06,30.1,15.7
1.700e-06,30.3,15.7
1.710e-06,30.5,15.9
1.720e-06,30.5,15.9
1.730e-06,30.5,15.7
1.740e-06,30.3,15.7
1.750e-06,30.3,15.7
1.760e-06,30.5,15.9
1.770e-06,30.5,15.9
1.780e-06,30.5,15.9
1.790e-06,30.1,15.9
1.800e-06,30.3,15.7
1.810e-06,30.5,15.7
1.820e-06,30.5,15.9
1.830e-06,30.3,15.7
1.840e-06,30.3,16.3
1.850e-06,30.1,15.9
1.860e-06,30.3,16.3
1.870e-06,30.1,15.7
1.880e-06,30.5,15.9
1.890e-06,30.5,15.9
1.900e-06,30.1,16.1
1.910e-06,30.3,15.9
1.920e-06,30.5,16.1
1.930e-06,30.5,15.9
1.940e-06,30.3,16.3
1.950e-06,30.1,15.7
1.960e-06,30.1,16.3
1.970e-06,30.1,16.1
1.980e-06,30.1,16.1
1.990e-06,30.3,15.7
2.000e-06,30.5,15.9
2.010e-06,30.3,16.3
