axis_index,artist_type,label,x,y
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),1,0.04
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),10,0.038
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),40,0.038
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),50,0.04
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),60,0.042
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),70,0.06
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),80,0.1
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),90,0.13
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),100,0.147
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),105,0.15
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),110,0.147
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),120,0.141
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),135,0.12
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),150,0.11
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),200,0.09
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),250,0.08
0,line,Qi et al. $\rho_c$ ($\delta$ ~ 0.04),300,0.075
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),1,1e-05
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),10,2e-05
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),40,0.001
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),50,0.002
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),60,0.003
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),70,0.004
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),100,0.02
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),130,0.03
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),160,0.026
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),200,0.016
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),250,0.01
0,line,Qi et al. $\rho_a$ ($\delta$ ~ 0.04),300,0.008
0,scatter,X5-b,99.97,0.09373011382113822
0,scatter,X5-b,106.99,0.09258346341463415
0,scatter,X5-b,114.0,0.09094695528455285
0,scatter,X5-b,121.04,0.0891226219512195
0,scatter,X5-b,128.04,0.08712246341463414
0,scatter,X5-b,134.96,0.08523541056910568
0,scatter,X5-b,142.02,0.08344680081300813
0,scatter,X5-b,148.99,0.08171423983739837
0,scatter,X5-b,156.0,0.07965945528455283
0,scatter,X5-b,163.03,0.07699755284552844
0,scatter,X5-b,169.97,0.07452417886178862
0,scatter,X5-b,177.03,0.07236124796747967
0,scatter,X5-b,183.99,0.07026836991869918
0,scatter,X5-b,190.96,0.0683668617886179
0,scatter,X5-b,198.06,0.06571765853658534
0,scatter,X5-b,205.04,0.06325744715447154
0,scatter,X5-b,211.97,0.061316857723577235
0,scatter,X5-b,219.01,0.05981506504065041
0,scatter,X5-b,226.03,0.0576189837398374
0,scatter,X5-b,233.04,0.055757284552845524
0,scatter,X5-b,239.95,0.054052239837398375
0,scatter,X5-b,247.08,0.05234750813008131
0,scatter,X5-b,254.0,0.05077675609756097
0,scatter,X5-b,261.03,0.04948801626016261
0,scatter,X5-b,267.96,0.048227760162601635
0,scatter,X5-b,274.98,0.04684660162601627
0,scatter,X5-b,281.95,0.04502272764227642
0,scatter,X5-b,289.02,0.04368839837398374
0,scatter,X5-b,289.79,0.04353409349593496
0,scatter,X5-b,44.95,0.09321160975609756
0,scatter,X5-b,51.02,0.08942422764227644
0,scatter,X5-b,56.95,0.08931160975609756
0,scatter,X5-b,62.95,0.09042236991869919
0,scatter,X5-b,68.95,0.09191686585365853
0,scatter,X5-b,74.98,0.0932384918699187
0,scatter,X5-b,81.0,0.09422110162601625
0,scatter,X5-b,87.03,0.09444745934959349
0,scatter,X5-b,92.98,0.09423524390243901
0,scatter,X5-b,98.98,0.09382354471544715
0,scatter,,61.92,0.08999860975609755
0,scatter,,43.11,0.09491296341463412
0,scatter,,39.25,0.10005537398373986
0,scatter,,37.09,0.10483354065040651
0,scatter,,34.91,0.10999658943089431
0,scatter,,33.12,0.11498934146341463
0,scatter,,31.19,0.11996133739837399
0,scatter,,29.75,0.12507670325203252
0,scatter,,28.51,0.12978568699186993
0,scatter,,26.95,0.13513555284552844
0,scatter,,25.34,0.1399278861788618
0,scatter,,21.85,0.1447733048780488
0,scatter,,19.09,0.15002195528455284
0,scatter,,17.72,0.15506971951219514
0,scatter,,16.64,0.1599656300813008
0,scatter,,15.38,0.16507603658536582
0,scatter,,14.23,0.16998877642276422
0,scatter,,13.06,0.17514101626016262
0,scatter,,12.11,0.18003997560975607
0,scatter,,11.21,0.18500647154471545
0,scatter,,10.54,0.19013885772357722
0,scatter,,10.2,0.1944138170731707
0,scatter,,10.2,0.1944138170731707
0,scatter,X5-a,15.028,0.020173024382926827
0,scatter,X5-a,15.028,0.020173024382926827
0,scatter,X5-a,15.028,0.020173024382926827
0,scatter,X5-a,18.042,0.022573620724390245
0,scatter,X5-a,23.91,0.023817954885365856
0,scatter,X5-a,30.092,0.023621612202439024
0,scatter,X5-a,35.99,0.02355486585365854
0,scatter,X5-a,42.031,0.02366485610487805
0,scatter,X5-a,48.053,0.02443553049512195
0,scatter,X5-a,54.046,0.025947131707317075
0,scatter,X5-a,59.992,0.0282312
0,scatter,X5-a,65.867,0.03170326462682927
0,scatter,X5-a,72.23,0.03590998171463415
0,scatter,X5-a,77.906,0.0394013817
0,scatter,X5-a,83.926,0.04376679877317073
0,scatter,X5-a,90.059,0.0492999183
0,scatter,X5-a,95.912,0.05481220976341464
0,scatter,X5-a,101.902,0.06031809878048781
0,scatter,X5-a,108.025,0.0638150560902439
0,scatter,X5-a,113.99,0.06585696950487806
0,scatter,X5-a,120.143,0.06719602317804878
0,scatter,X5-a,126.082,0.0681254304804878
0,scatter,X5-a,131.955,0.06870774878780488
0,scatter,X5-a,138.03,0.06908616586097562
0,scatter,X5-a,144.054,0.06891843789365854
0,scatter,X5-a,150.038,0.06922780472292683
0,scatter,X5-a,155.986,0.06883748161853659
0,scatter,X5-a,161.971,0.0681274435697561
0,scatter,X5-a,168.076,0.06766482114634147
0,scatter,X5-a,174.055,0.0672152601707317
0,scatter,X5-a,179.951,0.06657334146341463
0,scatter,X5-a,185.84,0.06568758129268293
0,scatter,X5-a,191.998,0.06451004878048781
0,scatter,X5-a,197.974,0.06311993090243903
0,scatter,X5-a,203.913,0.061819731707317076
0,scatter,X5-a,209.964,0.06062242682926829
0,scatter,X5-a,215.91,0.0595323373902439
0,scatter,X5-a,222.048,0.058281174804878044
0,scatter,X5-a,227.891,0.057098317073170736
0,scatter,X5-a,234.023,0.055840857731707313
0,scatter,X5-a,239.919,0.054471130073170726
0,scatter,X5-a,245.988,0.05298889024390244
0,scatter,X5-a,251.966,0.052025284560975604
0,scatter,X5-a,258.03,0.05099237804878049
0,scatter,X5-a,264.079,0.050174544707317074
0,scatter,X5-a,269.991,0.049223162609756094
0,scatter,X5-a,276.01,0.04802536178048781
0,scatter,X5-a,281.951,0.0471426626097561
0,scatter,X5-a,288.01,0.046151231707317074
0,scatter,X5-a,293.98,0.04464665041463415
