Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.05,0.05
Label,,,,
TIME,CH1,CH2,CH3,CH4
4.60292924e-02,0.0927187,0.0798594,0.0457812,0.0432578
4.60292928e-02,0.0935781,0.0810625,0.0460312,0.0426172
4.60292932e-02,0.0947344,0.078625,0.0460469,0.0432812
4.60292936e-02,0.093625,0.07825,0.0467344,0.0427109
4.60292940e-02,0.093625,0.0810312,0.0468047,0.0425156
4.60292944e-02,0.0944687,0.0791562,0.0462734,0.0434766
4.60292948e-02,0.0944375,0.0778437,0.0463281,0.0441016
4.60292952e-02,0.0946875,0.0789844,0.0467891,0.0440469
4.60292956e-02,0.0952031,0.0793437,0.0465859,0.0445
4.60292960e-02,0.0950469,0.0801719,0.0463125,0.0456563
4.60292964e-02,0.09525,0.0791562,0.0457812,0.0458672
4.60292968e-02,0.0953906,0.0784531,0.0458516,0.0457578
4.60292972e-02,0.09475,0.0789531,0.0462578,0.0464141
4.60292976e-02,0.0954531,0.0782969,0.0460938,0.0464766
4.60292980e-02,0.0951406,0.079125,0.0456953,0.0463828
4.60292984e-02,0.094125,0.0799375,0.0451953,0.0462031
4.60292988e-02,0.0956875,0.0799687,0.0452109,0.0454063
4.60292992e-02,0.0970781,0.080875,0.0445547,0.0452188
4.60292996e-02,0.0953125,0.0826719,0.0445312,0.045125
4.60293000e-02,0.0947344,0.0823906,0.0444141,0.04475
4.60293004e-02,0.0944687,0.0810781,0.0445859,0.0442031
4.60293008e-02,0.0941406,0.0794844,0.0450859,0.0437266
4.60293012e-02,0.0936719,0.0810312,0.0450547,0.0430859
4.60293016e-02,0.0945469,0.080625,0.0453281,0.0422969
4.60293020e-02,0.0951406,0.0801875,0.0450703,0.0428047
4.60293024e-02,0.0948438,0.0792969,0.0454375,0.0421563
4.60293028e-02,0.0941719,0.0787969,0.0460234,0.0422187
4.60293032e-02,0.0944531,0.0798281,0.0465469,0.042
4.60293036e-02,0.0937031,0.0799062,0.0459453,0.0431797
4.60293040e-02,0.0945625,0.0793125,0.0458594,0.0436406
4.60293044e-02,0.0946562,0.0796406,0.0459609,0.0431641
4.60293048e-02,0.09475,0.0787656,0.0463125,0.0437812
4.60293052e-02,0.0948906,0.0779062,0.0460703,0.0441797
4.60293056e-02,0.0944375,0.0773437,0.0460234,0.044625
4.60293060e-02,0.0947344,0.0787031,0.0467734,0.0448516
4.60293064e-02,0.0955938,0.0784687,0.0460156,0.0453906
4.60293068e-02,0.0959375,0.0780469,0.0449375,0.0455781
4.60293072e-02,0.0945938,0.0782969,0.045125,0.0458281
4.60293076e-02,0.093875,0.0801094,0.0452734,0.0460703
4.60293080e-02,0.0952344,0.0800781,0.0448828,0.0455625
4.60293084e-02,0.0959687,0.0791406,0.0450938,0.0458125
4.60293088e-02,0.0940781,0.0789687,0.0445859,0.045
4.60293092e-02,0.0949375,0.0802812,0.0437344,0.0441484
4.60293096e-02,0.0959062,0.0802969,0.0442031,0.0441094
4.60293100e-02,0.0934687,0.0805937,0.0440859,0.0441328
4.60293104e-02,0.0943594,0.0804687,0.0449609,0.0435703
4.60293108e-02,0.0933281,0.0808281,0.0447656,0.0429688
4.60293112e-02,0.0934062,0.080625,0.0452656,0.0424687
4.60293116e-02,0.0940781,0.0795781,0.0456719,0.0419687
4.60293120e-02,0.0945781,0.0791562,0.0456016,0.0418906
4.60293124e-02,0.09425,0.0783437,0.0450156,0.0421094
4.60293128e-02,0.0928281,0.0778906,0.0453438,0.0415859
4.60293132e-02,0.0925938,0.0789844,0.0457734,0.0419297
4.60293136e-02,0.0937969,0.0784844,0.0458359,0.042125
4.60293140e-02,0.0937031,0.0786875,0.0463672,0.0431016
4.60293144e-02,0.0947187,0.0784375,0.0463594,0.0429453
4.60293148e-02,0.0940938,0.0788281,0.0465469,0.0437422
4.60293152e-02,0.0942344,0.0765625,0.0459531,0.0447812
4.60293156e-02,0.0957969,0.0777188,0.0463047,0.0449844
4.60293160e-02,0.0960781,0.077875,0.0454141,0.0456719
4.60293164e-02,0.0950625,0.0774219,0.0454063,0.0453516
4.60293168e-02,0.0947656,0.0793437,0.0450781,0.0449141
4.60293172e-02,0.0939219,0.079125,0.0451719,0.0456328
4.60293176e-02,0.094625,0.0794219,0.0444609,0.0455469
4.60293180e-02,0.09475,0.0793125,0.0446328,0.0457031
4.60293184e-02,0.0949844,0.0782187,0.0440547,0.0459297
4.60293188e-02,0.0944219,0.0809531,0.0438047,0.0454688
4.60293192e-02,0.0950469,0.0810937,0.0441406,0.0453984
4.60293196e-02,0.0945781,0.0802031,0.0442969,0.04425
4.60293200e-02,0.0935781,0.0811406,0.0444141,0.0443984
4.60293204e-02,0.0924531,0.0805469,0.0443438,0.0435312
4.60293208e-02,0.09425,0.0799531,0.0451094,0.0432031
4.60293212e-02,0.093875,0.079625,0.0449453,0.0422578
4.60293216e-02,0.0930938,0.0797031,0.0448594,0.0421563
4.60293220e-02,0.0930938,0.0797656,0.0450938,0.0418984
4.60293224e-02,0.0933125,0.0781875,0.0458672,0.0416797
4.60293228e-02,0.0944062,0.0785625,0.0456328,0.0419531
4.60293232e-02,0.0947031,0.078625,0.0460938,0.0423906
4.60293236e-02,0.0945312,0.0785937,0.0459844,0.0420625
4.60293240e-02,0.09425,0.0779219,0.0463828,0.0422656
4.60293244e-02,0.0957656,0.0777188,0.0465469,0.04275
4.60293248e-02,0.094875,0.0770937,0.0463516,0.0436172
4.60293252e-02,0.0960312,0.0778906,0.0463516,0.0440547
4.60293256e-02,0.096,0.0796094,0.0463516,0.0448672
4.60293260e-02,0.0948125,0.0780625,0.0455625,0.045125
4.60293264e-02,0.0948281,0.0795781,0.0452266,0.0451016
4.60293268e-02,0.095125,0.079375,0.0454922,0.0450625
4.60293272e-02,0.0951094,0.078875,0.0451719,0.0454141
4.60293276e-02,0.0945469,0.0799531,0.0448359,0.04575
4.60293280e-02,0.0952187,0.0788125,0.0447734,0.0458047
4.60293284e-02,0.0926094,0.0789844,0.0444609,0.0454375
4.60293288e-02,0.0929687,0.0793437,0.0440625,0.0455547
4.60293292e-02,0.0945625,0.0790156,0.0439453,0.0452188
4.60293296e-02,0.09475,0.0781875,0.044375,0.0438906
4.60293300e-02,0.0940312,0.0794687,0.0444844,0.0432891
4.60293304e-02,0.0939531,0.0795469,0.0448203,0.0433359
4.60293308e-02,0.0939062,0.0806094,0.0452031,0.042875
4.60293312e-02,0.0938906,0.0812031,0.0449141,0.0421563
4.60293316e-02,0.094375,0.0801406,0.0447812,0.0420156
4.60293320e-02,0.0938906,0.0789687,0.0451016,0.0418516
4.60293324e-02,0.094,0.0785156,0.0450234,0.04225
4.60293328e-02,0.093125,0.077125,0.0458828,0.0420391
4.60293332e-02,0.0935625,0.0782344,0.0460938,0.0421172
4.60293336e-02,0.0926406,0.0782187,0.0464141,0.0417187
4.60293340e-02,0.093375,0.0773281,0.0459063,0.0424766
4.60293344e-02,0.0949375,0.077625,0.0464453,0.0430938
4.60293348e-02,0.0949844,0.0773125,0.0459297,0.0433594
4.60293352e-02,0.0942031,0.0779062,0.0459141,0.044
4.60293356e-02,0.0940312,0.0780625,0.0459766,0.0444063
4.60293360e-02,0.0932187,0.0783281,0.045625,0.0455859
4.60293364e-02,0.0943281,0.07875,0.0451094,0.0450391
4.60293368e-02,0.0945781,0.0786094,0.0445312,0.0446172
4.60293372e-02,0.0939687,0.0795937,0.0446328,0.0450078
4.60293376e-02,0.0944375,0.0796406,0.0440547,0.0454844
4.60293380e-02,0.0956719,0.0786094,0.0438984,0.0451016
4.60293384e-02,0.094375,0.0790937,0.0440078,0.0448047
4.60293388e-02,0.0942656,0.0795937,0.0443672,0.0443906
4.60293392e-02,0.0949375,0.0808906,0.0440547,0.0441641
4.60293396e-02,0.0950469,0.0810312,0.0440703,0.0438047
4.60293400e-02,0.0953906,0.0800937,0.0438281,0.0428906
4.60293404e-02,0.0941094,0.0793906,0.0442422,0.0426797
4.60293408e-02,0.0938438,0.0795,0.0444063,0.042625
4.60293412e-02,0.0926406,0.0788437,0.0447734,0.0420703
4.60293416e-02,0.0938594,0.079,0.0444375,0.0419453
4.60293420e-02,0.0940625,0.0777969,0.0447656,0.0418906
4.60293424e-02,0.093875,0.0785625,0.0454297,0.0419687
4.60293428e-02,0.0937187,0.0780937,0.0455,0.0417187
4.60293432e-02,0.0954531,0.0778281,0.0456328,0.0423594
4.60293436e-02,0.0962031,0.0785937,0.0455156,0.0425
4.60293440e-02,0.0954844,0.0787656,0.0448828,0.0429063
4.60293444e-02,0.0956094,0.0784687,0.0451484,0.043375
4.60293448e-02,0.0932812,0.0787812,0.0451875,0.04275
4.60293452e-02,0.0941406,0.0780156,0.0454688,0.043375
4.60293456e-02,0.0942344,0.07775,0.0452734,0.0445547
4.60293460e-02,0.0946406,0.0774531,0.0454453,0.0443438
4.60293464e-02,0.0927656,0.0783125,0.0450703,0.0445234
4.60293468e-02,0.093625,0.0790312,0.0444609,0.0445312
4.60293472e-02,0.0945469,0.0797031,0.0445859,0.0449922
4.60293476e-02,0.0950625,0.0797969,0.0448516,0.0453828
4.60293480e-02,0.0937344,0.0791562,0.0443438,0.0446719
4.60293484e-02,0.0935469,0.0785312,0.0436641,0.0445156
4.60293488e-02,0.0945469,0.0790156,0.0436328,0.0439141
4.60293492e-02,0.0947344,0.0803281,0.0443047,0.0437891
4.60293496e-02,0.0945,0.079875,0.0442578,0.0436016
4.60293500e-02,0.0938281,0.0792656,0.0444219,0.0428281
4.60293504e-02,0.0943594,0.0790469,0.0444375,0.0427031
4.60293508e-02,0.0933281,0.0784531,0.0448984,0.0422969
4.60293512e-02,0.0940156,0.0783906,0.0448125,0.0419609
4.60293516e-02,0.0935312,0.0779219,0.0452188,0.042375
4.60293520e-02,0.0937656,0.0794844,0.0447109,0.0420156
4.60293524e-02,0.0930469,0.078625,0.0446484,0.0422422
4.60293528e-02,0.0942656,0.0785781,0.0447109,0.0425547
4.60293532e-02,0.0937031,0.0780312,0.0450469,0.0422266
4.60293536e-02,0.0942344,0.0778594,0.0451172,0.0425859
4.60293540e-02,0.0943281,0.0777031,0.0447188,0.0425781
4.60293544e-02,0.0941094,0.0782031,0.0457344,0.0429766
4.60293548e-02,0.0950938,0.0788594,0.0455234,0.0436406
4.60293552e-02,0.0945625,0.0789531,0.0447266,0.0442734
4.60293556e-02,0.0954531,0.078,0.0445391,0.0441172
4.60293560e-02,0.0940156,0.0795312,0.0449922,0.0438984
4.60293564e-02,0.0944375,0.0796094,0.0445625,0.0444844
4.60293568e-02,0.0945938,0.0797969,0.0447266,0.0451719
4.60293572e-02,0.093,0.0795937,0.0447578,0.0445469
4.60293576e-02,0.0935938,0.0791562,0.0445156,0.0446641
4.60293580e-02,0.0934687,0.0798906,0.0436953,0.0447031
4.60293584e-02,0.0927187,0.0800625,0.044125,0.0448281
4.60293588e-02,0.0939062,0.0799687,0.0442188,0.0443984
4.60293592e-02,0.0922031,0.0808906,0.0442578,0.0433516
4.60293596e-02,0.0929531,0.0805312,0.0440078,0.0430391
4.60293600e-02,0.0945938,0.0806406,0.0442969,0.0424453
4.60293604e-02,0.09425,0.0799062,0.0447188,0.0430859
4.60293608e-02,0.0942187,0.079875,0.0445156,0.0423125
4.60293612e-02,0.0923281,0.078875,0.0451484,0.0415
4.60293616e-02,0.0934531,0.0780781,0.0452422,0.0420156
4.60293620e-02,0.0942187,0.0778281,0.0448984,0.0414687
4.60293624e-02,0.0949375,0.0775156,0.0454531,0.0419922
4.60293628e-02,0.0951719,0.0781719,0.0456172,0.0425
4.60293632e-02,0.0943125,0.079,0.0459688,0.0423906
4.60293636e-02,0.0942187,0.0788125,0.0454922,0.0429063
4.60293640e-02,0.0944844,0.0783437,0.0453125,0.0432266
4.60293644e-02,0.0943125,0.0783594,0.0454141,0.0432734
4.60293648e-02,0.0940469,0.0789375,0.0449609,0.0436484
4.60293652e-02,0.0948906,0.0780469,0.0452266,0.0442578
4.60293656e-02,0.0943438,0.0787812,0.0450312,0.0447422
