Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.02,0.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
4.60292924e-02,0.0119844,0.00932812,0.00589062,0.00640625
4.60292928e-02,0.0122188,0.00998437,0.005875,0.00652187
4.60292932e-02,0.0114531,0.0103281,0.0059125,0.0065125
4.60292936e-02,0.0124219,0.0104687,0.00578437,0.00641875
4.60292940e-02,0.0127969,0.0100312,0.00575312,0.00627187
4.60292944e-02,0.0135781,0.0105156,0.00572188,0.00604688
4.60292948e-02,0.0139844,0.010875,0.00554375,0.0057625
4.60292952e-02,0.0133281,0.0108125,0.00581875,0.00539062
4.60292956e-02,0.014125,0.0102344,0.00571875,0.00501875
4.60292960e-02,0.0147969,0.010375,0.0059,0.00477187
4.60292964e-02,0.0139375,0.0104219,0.00585625,0.00446875
4.60292968e-02,0.0148594,0.0111094,0.0060625,0.00439687
4.60292972e-02,0.0133906,0.0100938,0.0062375,0.00450625
4.60292976e-02,0.0136875,0.00970312,0.00630625,0.00415312
4.60292980e-02,0.0138906,0.00915625,0.00644688,0.00417813
4.60292984e-02,0.0136406,0.0102031,0.00679687,0.00427812
4.60292988e-02,0.0131094,0.0109531,0.00673438,0.0043
4.60292992e-02,0.013,0.00959375,0.00675,0.00463437
4.60292996e-02,0.0137344,0.0105625,0.00672813,0.00466563
4.60293000e-02,0.013625,0.0100625,0.00670313,0.00486562
4.60293004e-02,0.0130156,0.0095625,0.00652812,0.00559375
4.60293008e-02,0.01275,0.00928125,0.00660313,0.00581875
4.60293012e-02,0.0134844,0.0099375,0.006425,0.00614062
4.60293016e-02,0.0130469,0.00875,0.00632813,0.00634063
4.60293020e-02,0.0137969,0.009,0.006025,0.00649062
4.60293024e-02,0.0125781,0.00992187,0.00586875,0.006575
4.60293028e-02,0.012875,0.009375,0.00557813,0.00619688
4.60293032e-02,0.0148594,0.00948437,0.00563125,0.00613125
4.60293036e-02,0.0136719,0.0102031,0.00558125,0.00582188
4.60293040e-02,0.0123594,0.0105156,0.00539062,0.00555313
4.60293044e-02,0.0122344,0.00921875,0.0056625,0.00510625
4.60293048e-02,0.0127812,0.0095,0.00565312,0.00507813
4.60293052e-02,0.0119375,0.00957812,0.00589062,0.0048375
4.60293056e-02,0.0119687,0.00959375,0.00586562,0.00460625
4.60293060e-02,0.0132656,0.0108906,0.00590625,0.00435
4.60293064e-02,0.013125,0.0116094,0.00593125,0.0043125
4.60293068e-02,0.0132344,0.0101719,0.00620313,0.00409687
4.60293072e-02,0.0145469,0.00989062,0.00650625,0.0042375
4.60293076e-02,0.0135156,0.0098125,0.006225,0.00426562
4.60293080e-02,0.0142031,0.00953125,0.00654375,0.00410312
4.60293084e-02,0.0131719,0.00928125,0.0066125,0.0044375
4.60293088e-02,0.0149219,0.00990625,0.00669063,0.00439375
4.60293092e-02,0.0141719,0.0103437,0.00661562,0.0046375
4.60293096e-02,0.0139375,0.0095625,0.0065375,0.00502187
4.60293100e-02,0.0131406,0.00917187,0.00659063,0.00515937
4.60293104e-02,0.0136875,0.0104844,0.00650937,0.00553437
4.60293108e-02,0.0117188,0.0096875,0.00630938,0.00567813
4.60293112e-02,0.0130625,0.00907812,0.00617813,0.00595625
4.60293116e-02,0.0138281,0.0099375,0.0058125,0.0059
4.60293120e-02,0.0125781,0.00920312,0.0056,0.00607813
4.60293124e-02,0.0132656,0.00840625,0.00551562,0.00612187
4.60293128e-02,0.0135,0.00851562,0.00540312,0.00599687
4.60293132e-02,0.0129531,0.00989062,0.00539375,0.0057875
4.60293136e-02,0.01325,0.0105312,0.00529688,0.00537812
4.60293140e-02,0.0148906,0.0104531,0.00530625,0.00557188
4.60293144e-02,0.0139219,0.0104375,0.00534688,0.00526562
4.60293148e-02,0.0129687,0.0100625,0.0055375,0.00485312
4.60293152e-02,0.0128437,0.00946875,0.0055875,0.00433125
4.60293156e-02,0.0133281,0.00971875,0.00563437,0.004175
4.60293160e-02,0.0123125,0.0107969,0.00588437,0.00424062
4.60293164e-02,0.0130938,0.0111094,0.00587187,0.004225
4.60293168e-02,0.0130938,0.0111406,0.00590937,0.00390313
4.60293172e-02,0.011875,0.0104375,0.00625312,0.003875
4.60293176e-02,0.0112344,0.0095,0.00637187,0.00400312
4.60293180e-02,0.0118281,0.00890625,0.00652187,0.0039375
4.60293184e-02,0.0120625,0.00823437,0.00655313,0.00420625
4.60293188e-02,0.0142031,0.00879687,0.0066625,0.00477812
4.60293192e-02,0.014,0.00984375,0.00674063,0.00502812
4.60293196e-02,0.0132031,0.0100625,0.00635313,0.00532813
4.60293200e-02,0.0143125,0.00979687,0.00636875,0.00529375
4.60293204e-02,0.0133125,0.0102031,0.00621875,0.00555313
4.60293208e-02,0.0125,0.0094375,0.00615,0.00592188
4.60293212e-02,0.0124844,0.00946875,0.00565625,0.00599375
4.60293216e-02,0.0134844,0.00901562,0.00587812,0.00589062
4.60293220e-02,0.0134531,0.00951562,0.0060375,0.0060125
4.60293224e-02,0.0126875,0.00978125,0.0058125,0.00591562
4.60293228e-02,0.0134844,0.00957812,0.00559063,0.00584688
4.60293232e-02,0.0128281,0.00992187,0.00537812,0.0056375
4.60293236e-02,0.0126562,0.00940625,0.00533438,0.00545938
4.60293240e-02,0.0135781,0.0105312,0.00515312,0.00545625
4.60293244e-02,0.0128437,0.00992187,0.00530313,0.00490625
4.60293248e-02,0.0134687,0.0107187,0.00554063,0.00444688
4.60293252e-02,0.0125625,0.0102812,0.00573437,0.00460937
4.60293256e-02,0.0135469,0.0104531,0.00568125,0.00449687
4.60293260e-02,0.0152344,0.0113594,0.00583438,0.00403438
4.60293264e-02,0.0134531,0.009875,0.00584063,0.00384375
4.60293268e-02,0.0125156,0.0104687,0.00582188,0.00370938
4.60293272e-02,0.0134844,0.00917187,0.00616875,0.00372812
4.60293276e-02,0.0140312,0.00932812,0.006125,0.00393125
4.60293280e-02,0.0132188,0.009125,0.00637187,0.00404375
4.60293284e-02,0.0130312,0.00978125,0.0065875,0.00440625
4.60293288e-02,0.0136562,0.0100469,0.00658438,0.0047875
4.60293292e-02,0.0146719,0.00895313,0.00657813,0.00489062
4.60293296e-02,0.0136094,0.00832812,0.00655938,0.005225
4.60293300e-02,0.0137969,0.00878125,0.0063875,0.00570625
4.60293304e-02,0.0143594,0.00940625,0.00657813,0.00581875
4.60293308e-02,0.0132031,0.0113594,0.00618125,0.00618125
4.60293312e-02,0.0135781,0.00970312,0.00594063,0.00614687
4.60293316e-02,0.0123125,0.00975,0.00581875,0.0062125
4.60293320e-02,0.011125,0.0107812,0.00571563,0.00633125
4.60293324e-02,0.0112031,0.0096875,0.0058125,0.0063125
4.60293328e-02,0.0121406,0.0105312,0.00580313,0.00601875
4.60293332e-02,0.0134687,0.00917187,0.00573125,0.0057625
4.60293336e-02,0.0134219,0.00820312,0.00545,0.00552187
4.60293340e-02,0.0131719,0.0108906,0.005425,0.00520313
4.60293344e-02,0.0133594,0.0117812,0.00555313,0.005
4.60293348e-02,0.0133437,0.0118281,0.00555,0.00443125
4.60293352e-02,0.0139844,0.0102031,0.00566875,0.00412187
4.60293356e-02,0.0137188,0.00967187,0.005625,0.00412812
4.60293360e-02,0.0141719,0.00821875,0.00603437,0.00383438
4.60293364e-02,0.0133437,0.00915625,0.0059,0.00366563
4.60293368e-02,0.011625,0.00942187,0.0059,0.00372187
4.60293372e-02,0.011375,0.0095,0.00622188,0.003825
4.60293376e-02,0.0129219,0.0096875,0.00629062,0.00390313
4.60293380e-02,0.0126562,0.00921875,0.00636875,0.00422187
4.60293384e-02,0.0125312,0.00967187,0.00650312,0.0043125
4.60293388e-02,0.0119063,0.0090625,0.00655938,0.00461875
4.60293392e-02,0.0126875,0.00890625,0.00629375,0.00502187
4.60293396e-02,0.012,0.0101562,0.00633125,0.00512812
4.60293400e-02,0.01225,0.0104687,0.00632188,0.00517188
4.60293404e-02,0.0117969,0.00979687,0.0061875,0.00561875
4.60293408e-02,0.0124531,0.00942187,0.00624687,0.00576875
4.60293412e-02,0.0127031,0.0075625,0.00635,0.00598438
4.60293416e-02,0.01225,0.00864063,0.00639062,0.00615625
4.60293420e-02,0.012,0.00982812,0.0061125,0.00594375
4.60293424e-02,0.0124375,0.0105312,0.0057875,0.005775
4.60293428e-02,0.0128594,0.01025,0.00558125,0.00577187
4.60293432e-02,0.0121875,0.0107969,0.00562812,0.00574062
4.60293436e-02,0.0133437,0.00982812,0.00553125,0.0055125
4.60293440e-02,0.0146406,0.00945313,0.00575312,0.00518125
4.60293444e-02,0.0149063,0.0107969,0.00549375,0.00480313
4.60293448e-02,0.0143437,0.0103906,0.0057375,0.0046125
4.60293452e-02,0.0143594,0.00996875,0.00581563,0.00441563
4.60293456e-02,0.0142031,0.0115469,0.0058375,0.00376562
4.60293460e-02,0.0147656,0.0105,0.00582188,0.003625
4.60293464e-02,0.0133437,0.0110938,0.00575937,0.00372812
4.60293468e-02,0.0132656,0.0103125,0.00604375,0.0039625
4.60293472e-02,0.0130625,0.00928125,0.006075,0.00377187
4.60293476e-02,0.0136875,0.0109687,0.00612812,0.00379063
4.60293480e-02,0.0137656,0.0113906,0.00613125,0.00392813
4.60293484e-02,0.0130781,0.0115,0.00632188,0.00425312
4.60293488e-02,0.0128594,0.00984375,0.00634375,0.0046375
4.60293492e-02,0.0119844,0.0107344,0.00615,0.00474687
4.60293496e-02,0.0122344,0.00957812,0.00625625,0.005175
4.60293500e-02,0.014,0.0101094,0.00613125,0.0053375
4.60293504e-02,0.0144219,0.00964063,0.00608438,0.0054125
4.60293508e-02,0.0147031,0.00928125,0.00617813,0.0057
4.60293512e-02,0.0142188,0.0110625,0.00628437,0.0056375
4.60293516e-02,0.0142188,0.0105,0.00616875,0.0059875
4.60293520e-02,0.0139219,0.0104844,0.00605938,0.00590937
4.60293524e-02,0.0126406,0.0100938,0.00613437,0.00579062
4.60293528e-02,0.0125156,0.0102187,0.00611875,0.00601562
4.60293532e-02,0.0129687,0.00898437,0.00590625,0.00595625
4.60293536e-02,0.0143281,0.01,0.00598125,0.00564062
4.60293540e-02,0.013625,0.0102187,0.00578125,0.00553437
4.60293544e-02,0.0125938,0.0111719,0.00589375,0.00505938
4.60293548e-02,0.0116875,0.0117969,0.00574062,0.0051875
4.60293552e-02,0.0135312,0.0094375,0.005875,0.0046
4.60293556e-02,0.0147812,0.00789062,0.00603437,0.00426562
4.60293560e-02,0.0126562,0.00923437,0.00575937,0.00429063
4.60293564e-02,0.0117656,0.00953125,0.00593438,0.0042
4.60293568e-02,0.0129375,0.00976562,0.00599062,0.00396563
4.60293572e-02,0.0138281,0.00934375,0.00586562,0.00415
4.60293576e-02,0.0124531,0.00971875,0.00619375,0.00422812
4.60293580e-02,0.0131094,0.0108594,0.0060875,0.0044
4.60293584e-02,0.0139531,0.0104531,0.00602812,0.00450625
4.60293588e-02,0.0132031,0.00978125,0.006025,0.00483438
4.60293592e-02,0.0126875,0.009375,0.00589062,0.00483125
4.60293596e-02,0.0130781,0.0115,0.0058125,0.0049875
4.60293600e-02,0.0137812,0.0104687,0.00595313,0.00513125
4.60293604e-02,0.0128594,0.0095,0.00586875,0.00525937
4.60293608e-02,0.0130469,0.0085,0.00587187,0.00558125
4.60293612e-02,0.0143437,0.00979687,0.0060625,0.00546563
4.60293616e-02,0.0142656,0.00973437,0.0061,0.00560313
4.60293620e-02,0.0134219,0.00854688,0.00609375,0.00560313
4.60293624e-02,0.0131875,0.00921875,0.00590937,0.00555625
4.60293628e-02,0.0136094,0.01025,0.0058375,0.00535937
4.60293632e-02,0.0136875,0.0096875,0.00600312,0.00533438
4.60293636e-02,0.0140312,0.00978125,0.00576875,0.00541875
4.60293640e-02,0.0146094,0.0104844,0.00566563,0.00507813
4.60293644e-02,0.0135938,0.00971875,0.00575312,0.00475312
4.60293648e-02,0.0131719,0.0103437,0.00574375,0.0047875
4.60293652e-02,0.0124375,0.00998437,0.00597188,0.00465938
4.60293656e-02,0.0123594,0.00942187,0.00597188,0.00470625
