Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	Rrem2 (Ohm)				
4.580262E+0	300.000000E+0	300.220000E+0	NaN	34.000000E+0	38.834744E+0	2.069838E+0				
8.395480E+0	300.000000E+0	300.220000E+0	NaN	33.000000E+0	38.480364E+0	1.689124E+0				
12.717727E+0	300.000000E+0	300.220000E+0	NaN	34.000000E+0	38.394617E+0	1.928488E+0				
16.553946E+0	300.000000E+0	300.220000E+0	NaN	33.000000E+0	38.260036E+0	1.671936E+0				
20.391166E+0	300.000000E+0	300.220000E+0	NaN	34.000000E+0	38.424906E+0	1.752884E+0				
24.224385E+0	300.000000E+0	300.220000E+0	NaN	34.000000E+0	38.242199E+0	1.661418E+0				
28.056604E+0	300.000000E+0	300.220000E+0	NaN	35.000000E+0	38.547271E+0	1.755380E+0				
31.891824E+0	300.000000E+0	300.340000E+0	0.000000E+0	35.000000E+0	38.488221E+0	1.727610E+0				
35.725043E+0	300.000000E+0	300.340000E+0	0.000000E+0	35.000000E+0	38.469961E+0	1.715411E+0				
39.558262E+0	300.000000E+0	300.340000E+0	313.011966E-3	36.000000E+0	38.406548E+0	1.618784E+0				
43.387482E+0	300.000000E+0	300.340000E+0	625.983097E-3	35.000000E+0	38.634608E+0	1.588451E+0				
47.249702E+0	300.000000E+0	300.340000E+0	625.983097E-3	36.000000E+0	38.503741E+0	1.581302E+0				
51.587951E+0	300.000000E+0	300.340000E+0	312.971131E-3	37.000000E+0	38.478752E+0	1.738074E+0				
55.418169E+0	300.000000E+0	300.340000E+0	0.000000E+0	37.000000E+0	38.301328E+0	1.759799E+0				
59.252389E+0	300.000000E+0	300.340000E+0	0.000000E+0	38.000000E+0	38.709521E+0	1.789376E+0				
63.079608E+0	300.000000E+0	300.340000E+0	0.000000E+0	38.000000E+0	38.340640E+0	1.782262E+0				
66.926828E+0	300.000000E+0	300.340000E+0	0.000000E+0	38.000000E+0	38.628612E+0	1.655056E+0				
