Tiempo (min)	T (K) 	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Vinst 2 (V)	Iinst 2 (mA)	Rinst 2(Ohm)	Rrem 2 (Ohm)	Ibias 2 (mA)	Vbias 2 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	Icc 2 (mA)	Vcc 2 (V)	2W 1?	N
9.000517E-3	1.101700E+2	-3.000000E+3	9.910000E+37	9.910000E+40	1.000000E+0	1.593978E+2	6.244000E-1	9.952800E-2	9.910000E+37	9.910000E+40	1.000000E+0	9.481102E+0	6.244000E-1	5.920000E-3	1.000000E-2	0.000000E+0	5.000000E+1	2.000000E+0	5.000000E+1	2.000000E+0	1.000000E+0	1.000000E+0
2.905166E-2	1.101700E+2	-2.950000E+3	9.910000E+37	9.910000E+40	1.000000E+0	1.606346E+2	6.209000E-1	9.973800E-2	9.910000E+37	9.910000E+40	1.000000E+0	1.064906E+1	6.209000E-1	6.612000E-3	1.000000E-2	0.000000E+0	5.000000E+1	2.000000E+0	5.000000E+1	2.000000E+0	1.000000E+0	2.000000E+0
4.891947E-2	1.101700E+2	-2.900000E+3	9.910000E+37	9.910000E+40	1.000000E+0	1.602292E+2	6.196000E-1	9.927800E-2	9.910000E+37	9.910000E+40	1.000000E+0	9.916075E+0	6.196000E-1	6.144000E-3	1.000000E-2	0.000000E+0	5.000000E+1	2.000000E+0	5.000000E+1	2.000000E+0	1.000000E+0	3.000000E+0
6.880394E-2	1.101700E+2	-2.850000E+3	9.910000E+37	9.910000E+40	1.000000E+0	1.574422E+2	6.353000E-1	1.000230E-1	9.910000E+37	9.910000E+40	1.000000E+0	9.228711E+0	6.353000E-1	5.863000E-3	1.000000E-2	0.000000E+0	5.000000E+1	2.000000E+0	5.000000E+1	2.000000E+0	1.000000E+0	4.000000E+0
8.873841E-2	1.101700E+2	-2.800000E+3	9.910000E+37	9.910000E+40	1.000000E+0	1.559053E+2	6.401000E-1	9.979500E-2	9.910000E+37	9.910000E+40	1.000000E+0	1.006718E+1	6.401000E-1	6.444000E-3	1.000000E-2	0.000000E+0	5.000000E+1	2.000000E+0	5.000000E+1	2.000000E+0	1.000000E+0	5.000000E+0
1.087229E-1	1.101700E+2	-2.750000E+3	9.910000E+37	9.910000E+40	1.000000E+0	1.567353E+2	6.362000E-1	9.971500E-2	9.910000E+37	9.910000E+40	1.000000E+0	9.464005E+0	6.362000E-1	6.021000E-3	1.000000E-2	0.000000E+0	5.000000E+1	2.000000E+0	5.000000E+1	2.000000E+0	1.000000E+0	6.000000E+0
1.287407E-1	1.101700E+2	-2.700000E+3	9.910000E+37	9.910000E+40	1.000000E+0	1.562588E+2	6.383000E-1	9.974000E-2	9.910000E+37	9.910000E+40	1.000000E+0	9.805734E+0	6.383000E-1	6.259000E-3	1.000000E-2	0.000000E+0	5.000000E+1	2.000000E+0	5.000000E+1	2.000000E+0	1.000000E+0	7.000000E+0
1.486918E-1	1.101700E+2	-2.650000E+3	9.910000E+37	9.910000E+40	1.000000E+0	1.554287E+2	6.438000E-1	1.000650E-1	9.910000E+37	9.910000E+40	1.000000E+0	9.813607E+0	6.438000E-1	6.318000E-3	1.000000E-2	0.000000E+0	5.000000E+1	2.000000E+0	5.000000E+1	2.000000E+0	1.000000E+0	8.000000E+0
1.686763E-1	1.101700E+2	-2.600000E+3	9.910000E+37	9.910000E+40	1.000000E+0	1.619544E+2	6.181000E-1	1.001040E-1	9.910000E+37	9.910000E+40	1.000000E+0	1.105970E+1	6.181000E-1	6.836000E-3	1.000000E-2	0.000000E+0	5.000000E+1	2.000000E+0	5.000000E+1	2.000000E+0	1.000000E+0	9.000000E+0
1.886441E-1	1.101700E+2	-2.550000E+3	9.910000E+37	9.910000E+40	1.000000E+0	1.619294E+2	6.178000E-1	1.000400E-1	9.910000E+37	9.910000E+40	1.000000E+0	9.941729E+0	6.178000E-1	6.142000E-3	1.000000E-2	0.000000E+0	5.000000E+1	2.000000E+0	5.000000E+1	2.000000E+0	1.000000E+0	1.000000E+1
