Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	Rrem2 (Ohm)				
26.731529E+0	255.000000E+0	255.910000E+0	NaN	89.000000E+0	36.454610E+0	2.611687E+0				
30.650753E+0	255.000000E+0	255.910000E+0	NaN	86.000000E+0	36.102075E+0	1.984195E+0				
34.417969E+0	255.000000E+0	255.910000E+0	NaN	79.000000E+0	36.121350E+0	2.198070E+0				
38.203186E+0	255.000000E+0	255.910000E+0	NaN	81.000000E+0	35.690483E+0	2.111402E+0				
41.974401E+0	255.000000E+0	255.910000E+0	NaN	83.000000E+0	36.077862E+0	2.194601E+0				
45.767618E+0	255.000000E+0	255.910000E+0	NaN	81.000000E+0	36.087410E+0	2.199608E+0				
49.545834E+0	255.000000E+0	255.910000E+0	NaN	82.000000E+0	36.169081E+0	2.177970E+0				
53.320050E+0	255.000000E+0	255.910000E+0	0.000000E+0	81.000000E+0	35.798157E+0	2.210459E+0				
57.094266E+0	255.000000E+0	255.910000E+0	0.000000E+0	83.000000E+0	35.922732E+0	2.133329E+0				
60.869482E+0	255.000000E+0	255.910000E+0	0.000000E+0	83.000000E+0	36.225759E+0	2.197146E+0				
64.641697E+0	255.000000E+0	255.910000E+0	0.000000E+0	85.000000E+0	36.032374E+0	2.272133E+0				
68.432914E+0	255.000000E+0	255.820000E+0	0.000000E+0	86.000000E+0	35.969184E+0	2.065452E+0				
72.354139E+0	255.000000E+0	255.820000E+0	0.000000E+0	85.000000E+0	35.902529E+0	2.089813E+0				
76.129354E+0	255.000000E+0	255.820000E+0	-237.987193E-3	87.000000E+0	36.019951E+0	2.193870E+0				
79.905571E+0	255.000000E+0	255.820000E+0	-471.376323E-3	88.000000E+0	36.088908E+0	2.183868E+0				
83.679786E+0	255.000000E+0	255.740000E+0	-471.376323E-3	88.000000E+0	35.939098E+0	2.162249E+0				
87.459002E+0	255.000000E+0	255.740000E+0	-233.389130E-3	89.000000E+0	36.082771E+0	2.196249E+0				
91.738247E+0	255.000000E+0	255.640000E+0	-211.908412E-3	92.000000E+0	35.927256E+0	2.195779E+0				
95.509463E+0	255.000000E+0	255.640000E+0	-423.732654E-3	94.000000E+0	36.081673E+0	2.103302E+0				
99.286679E+0	255.000000E+0	255.640000E+0	-671.918995E-3	94.000000E+0	36.291492E+0	2.094506E+0				
103.059895E+0	255.000000E+0	255.640000E+0	-708.443566E-3	96.000000E+0	36.089377E+0	2.016045E+0				
106.834111E+0	255.000000E+0	255.550000E+0	-496.619325E-3	95.000000E+0	36.151577E+0	2.253931E+0				
111.110355E+0	255.000000E+0	255.550000E+0	-248.432984E-3	96.000000E+0	36.099491E+0	2.024701E+0				
114.885571E+0	255.000000E+0	255.550000E+0	-238.491732E-3	98.000000E+0	36.266444E+0	2.049433E+0				
118.659787E+0	255.000000E+0	255.450000E+0	-462.081430E-3	98.000000E+0	36.001878E+0	2.149460E+0				
122.462005E+0	255.000000E+0	255.450000E+0	-462.081430E-3	98.000000E+0	35.905119E+0	2.072366E+0				
126.734249E+0	255.000000E+0	255.450000E+0	-488.510298E-3	98.000000E+0	35.967788E+0	2.126720E+0				
130.506465E+0	255.000000E+0	255.450000E+0	-528.897058E-3	98.000000E+0	36.201837E+0	2.152732E+0				
134.318683E+0	255.000000E+0	255.450000E+0	-528.897058E-3	98.000000E+0	36.039087E+0	2.040798E+0				
138.591927E+0	255.000000E+0	255.450000E+0	-263.976459E-3	98.000000E+0	36.115548E+0	2.197435E+0				
142.367143E+0	255.000000E+0	255.450000E+0	0.000000E+0	98.000000E+0	36.144295E+0	1.991061E+0				
146.144359E+0	255.000000E+0	255.450000E+0	0.000000E+0	97.000000E+0	36.189277E+0	2.206056E+0				
150.924633E+0	255.000000E+0	255.450000E+0	0.000000E+0	96.000000E+0	36.037554E+0	2.129979E+0				
