T,Rre,Cre,Rim,Cim
85,3.5684363955062746,7.059158123158004e-06,43.615167842739716,7.27088825185289e-08
100,3.6738019730328784,3.169021039384876e-06,34.89934474035178,6.181526396209888e-08
120,3.6425914242309725,1.1910674367966683e-06,27.472326821956322,4.687227164401745e-08
140,3.5576759374566724,6.214785433890008e-07,21.309869330699662,4.174735078771293e-08
160,3.4124794453974814,3.8394347189403684e-07,21.46127974322363,2.4598806452387643e-08
180,3.2331797517235086,2.8073013189540933e-07,15.304754209271268,3.2774903303074145e-08
200,3.0268001695892437,2.4344834291708987e-07,13.246473388848376,3.179711975735566e-08
220,2.5014417192487035,2.2929153226936173e-07,9.34367795465013,3.796927790986095e-08
240,2.3247605769663355,1.791549938350073e-07,8.83178615984227,3.7140470552369016e-08
260,2.1720827136955623,2.1770737448928513e-07,9.145003228937851,3.1229310400879995e-08
280,2.0153953140569896,2.3183889894015002e-07,7.436931396118312,4.3081360435322944e-08
