Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,V_Arduino (V),Vac (mV),Vdc (mV),P,I,D
34.901996E+0,245.620000E+0,245.620000E+0,NaN,9.000000E+0,2.275744E+0,3.492554E+0,2.280468E+0,-17.705440E+0,0.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
80.793621E+0,245.620000E+0,245.620000E+0,NaN,18.000000E+0,2.271562E+0,3.635188E+0,2.279684E+0,-17.709420E+0,0.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
126.703247E+0,246.384860E+0,245.700000E+0,NaN,15.000000E+0,2.268592E+0,3.529844E+0,2.278364E+0,-17.690120E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
172.696877E+0,247.150021E+0,246.050000E+0,NaN,21.000000E+0,2.268344E+0,3.579416E+0,2.276920E+0,-17.689320E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
218.612504E+0,247.916581E+0,246.400000E+0,NaN,27.000000E+0,2.265812E+0,3.523678E+0,2.274782E+0,-17.686440E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
264.518129E+0,248.681842E+0,247.080000E+0,NaN,30.000000E+0,2.266200E+0,3.546930E+0,2.271388E+0,-17.677420E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
310.413754E+0,249.446936E+0,247.860000E+0,NaN,31.000000E+0,2.262118E+0,3.549514E+0,2.268306E+0,-17.679680E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
356.319380E+0,250.000000E+0,248.830000E+0,470.249753E-3,33.000000E+0,2.256810E+0,3.545708E+0,2.264426E+0,-17.670320E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
402.206005E+0,250.000000E+0,249.620000E+0,694.751546E-3,34.000000E+0,2.257984E+0,3.542044E+0,2.260786E+0,-17.664800E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
448.105630E+0,250.000000E+0,250.410000E+0,923.685811E-3,27.000000E+0,2.251530E+0,3.625682E+0,2.257398E+0,-17.653740E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
494.038257E+0,250.000000E+0,250.960000E+0,1.082812E+0,24.000000E+0,2.249354E+0,3.506980E+0,2.254814E+0,-17.647160E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
539.922882E+0,250.000000E+0,251.130000E+0,1.109011E+0,22.000000E+0,2.248508E+0,3.558224E+0,2.253572E+0,-17.647700E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
585.818507E+0,250.000000E+0,251.130000E+0,1.019589E+0,21.000000E+0,2.247694E+0,3.477876E+0,2.252814E+0,-17.641540E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
631.751134E+0,250.000000E+0,251.130000E+0,792.947885E-3,20.000000E+0,2.248118E+0,3.539812E+0,2.252066E+0,-17.637620E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
677.714763E+0,250.000000E+0,251.030000E+0,485.714745E-3,20.000000E+0,2.243656E+0,3.524536E+0,2.251550E+0,-17.635280E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
724.132418E+0,250.000000E+0,250.960000E+0,193.878279E-3,19.000000E+0,2.245896E+0,3.582674E+0,2.250888E+0,-17.638400E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
770.083046E+0,250.000000E+0,250.860000E+0,15.281335E-3,20.000000E+0,2.243228E+0,3.564702E+0,2.250264E+0,-17.635200E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.051652E+3,250.004156E+0,250.770000E+0,-58.567664E-3,17.000000E+0,2.238598E+0,3.591594E+0,2.247978E+0,-17.631900E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.097657E+3,250.004156E+0,250.690000E+0,-95.376836E-3,17.000000E+0,2.240076E+0,3.559652E+0,2.247884E+0,-17.632540E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.143604E+3,249.237412E+0,250.690000E+0,-68.099768E-3,18.000000E+0,2.241436E+0,3.621512E+0,2.247430E+0,-17.631500E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.189509E+3,248.471619E+0,250.690000E+0,-26.362352E-3,10.000000E+0,2.236400E+0,3.516260E+0,2.247092E+0,-17.632980E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.235418E+3,247.706541E+0,250.500000E+0,-6.953513E-3,5.000000E+0,2.238874E+0,3.503262E+0,2.247624E+0,-17.638380E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.281313E+3,246.941398E+0,250.070000E+0,-12.466909E-3,2.000000E+0,2.242130E+0,3.522680E+0,2.248776E+0,-17.634740E+0,2.487500E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.327217E+3,246.176471E+0,249.530000E+0,-58.788695E-3,0.000000E+0,2.242676E+0,3.629404E+0,2.250344E+0,-17.635820E+0,2.227500E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.373116E+3,245.411410E+0,249.000000E+0,-176.458359E-3,0.000000E+0,2.244664E+0,3.418522E+0,2.252890E+0,-17.639600E+0,2.065000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.419027E+3,244.646433E+0,248.480000E+0,-387.789061E-3,0.000000E+0,2.247878E+0,3.489066E+0,2.255930E+0,-17.649900E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.465009E+3,243.881239E+0,248.050000E+0,-579.510452E-3,0.000000E+0,2.250228E+0,3.522402E+0,2.260076E+0,-17.652900E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.510904E+3,243.114879E+0,247.530000E+0,-673.173081E-3,0.000000E+0,2.255888E+0,3.506730E+0,2.266094E+0,-17.682040E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.556810E+3,242.349952E+0,247.080000E+0,-668.604018E-3,0.000000E+0,2.260830E+0,3.555524E+0,2.273536E+0,-17.689620E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.602709E+3,241.584858E+0,246.560000E+0,-642.291910E-3,0.000000E+0,2.273692E+0,3.501674E+0,2.281672E+0,-17.716320E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.648689E+3,240.819881E+0,246.050000E+0,-624.885379E-3,0.000000E+0,2.281754E+0,3.585850E+0,2.291102E+0,-17.737860E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.694605E+3,240.053537E+0,245.530000E+0,-629.442932E-3,0.000000E+0,2.288670E+0,3.518040E+0,2.301458E+0,-17.762280E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.740510E+3,239.288277E+0,244.850000E+0,-646.852589E-3,0.000000E+0,2.298732E+0,3.541372E+0,2.312154E+0,-17.797100E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.786421E+3,238.523200E+0,244.150000E+0,-659.692317E-3,0.000000E+0,2.312686E+0,3.404842E+0,2.324080E+0,-17.817660E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.832323E+3,237.758006E+0,243.310000E+0,-709.753373E-3,0.000000E+0,2.324122E+0,3.400592E+0,2.335536E+0,-17.865000E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.878232E+3,236.992979E+0,242.450000E+0,-786.146448E-3,0.000000E+0,2.333696E+0,3.436444E+0,2.347846E+0,-17.908640E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.924138E+3,236.227818E+0,241.610000E+0,-897.444183E-3,0.000000E+0,2.348492E+0,3.571742E+0,2.360798E+0,-17.941820E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
1.970043E+3,235.462724E+0,240.690000E+0,-1.006389E+0,0.000000E+0,2.362664E+0,3.560638E+0,2.374440E+0,-17.986260E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
2.015942E+3,234.697647E+0,239.700000E+0,-1.076097E+0,0.000000E+0,2.373296E+0,3.472066E+0,2.388372E+0,-18.041020E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
2.061839E+3,233.932654E+0,238.700000E+0,-1.124033E+0,0.000000E+0,2.386912E+0,3.435634E+0,2.403770E+0,-18.094560E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
2.107748E+3,233.167710E+0,237.640000E+0,-1.169811E+0,0.000000E+0,2.402196E+0,3.549852E+0,2.420046E+0,-18.165320E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
2.153655E+3,232.402566E+0,236.570000E+0,-1.233071E+0,0.000000E+0,2.420738E+0,3.470884E+0,2.439344E+0,-18.234920E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
2.199559E+3,231.637439E+0,235.440000E+0,-1.298448E+0,0.000000E+0,2.441908E+0,3.383286E+0,2.462358E+0,-18.315560E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
2.245469E+3,230.872379E+0,234.160000E+0,-1.346315E+0,0.000000E+0,2.467850E+0,3.536088E+0,2.490390E+0,-18.448620E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
2.291373E+3,230.107201E+0,232.790000E+0,-1.391990E+0,0.000000E+0,2.499402E+0,3.453708E+0,2.523738E+0,-18.596380E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
2.337309E+3,229.342141E+0,231.370000E+0,-1.468187E+0,4.000000E+0,2.532960E+0,3.436466E+0,2.559530E+0,-18.780420E+0,2.000000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
2.383190E+3,228.576547E+0,229.730000E+0,-1.581469E+0,17.000000E+0,2.565926E+0,3.440124E+0,2.596900E+0,-18.993800E+0,2.130000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
2.429111E+3,227.811854E+0,227.950000E+0,-1.709809E+0,32.000000E+0,2.602110E+0,3.462150E+0,2.632464E+0,-19.203480E+0,2.650000E+0,200.000000E+0,50.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
