Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_200kHz (Ohm),Fase_200kHz,V_Arduino (V),Vac (mV),Vdc (mV),P,I,D
7.684440E+0,10.630000E+0,10.630000E+0,NaN,0.000000E+0,299.942400E+0,-34.786600E+0,79.353440E+0,-43.779700E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
53.591065E+0,10.630000E+0,10.620000E+0,NaN,1.000000E+0,246.546400E+0,-32.953400E+0,79.315820E+0,-43.766300E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
99.495691E+0,10.783022E+0,10.630000E+0,NaN,1.000000E+0,291.581800E+0,30.455600E+0,79.278440E+0,-43.756280E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
145.394316E+0,10.936038E+0,10.630000E+0,NaN,4.000000E+0,329.688200E+0,151.473000E+0,79.377120E+0,-43.786140E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
191.333944E+0,11.000000E+0,10.770000E+0,NaN,3.000000E+0,249.699200E+0,23.886800E+0,79.442580E+0,-43.802620E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
237.309573E+0,11.000000E+0,10.940000E+0,NaN,6.000000E+0,295.340000E+0,24.483600E+0,79.450200E+0,-43.803700E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
283.206198E+0,11.000000E+0,11.000000E+0,NaN,8.000000E+0,252.991600E+0,96.733600E+0,79.432460E+0,-43.801580E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
329.112824E+0,11.000000E+0,11.000000E+0,100.120394E-3,9.000000E+0,273.322600E+0,-38.711600E+0,79.403000E+0,-43.805060E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
375.550480E+0,11.000000E+0,11.000000E+0,148.011345E-3,10.000000E+0,259.366800E+0,164.833600E+0,79.364860E+0,-43.793040E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
421.484107E+0,11.000000E+0,11.010000E+0,130.594393E-3,6.000000E+0,293.619200E+0,20.604800E+0,79.357320E+0,-43.799080E+0,2.650000E+0,100.000000E+0,0.000000E+0,40.000000E+0,3.000000E+0,1.000000E+0
