Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
25.000000E+0,2.234805E+0,15.000015E-6,306.347500E-3,37.500000E-6,100.000000E+0
30.000000E+0,2.233850E+0,80.000003E-6,254.248000E-3,250.000000E-6,100.000000E+0
40.000000E+0,2.235585E+0,104.999998E-6,187.939500E-3,1.492500E-3,100.000000E+0
50.000000E+0,2.228840E+0,310.000001E-6,153.331000E-3,666.000000E-6,100.000000E+0
60.000000E+0,2.232915E+0,945.000000E-6,126.902000E-3,560.000000E-6,100.000000E+0
75.000000E+0,2.231905E+0,985.000000E-6,101.422500E-3,1.359500E-3,100.000000E+0
100.000000E+0,2.232655E+0,655.000000E-6,77.449000E-3,239.400000E-6,100.000000E+0
120.000000E+0,2.232905E+0,385.000000E-6,62.440350E-3,205.050000E-6,100.000000E+0
150.000000E+0,2.233770E+0,110.000005E-6,48.892350E-3,410.850000E-6,100.000000E+0
200.000000E+0,2.231895E+0,465.000001E-6,36.435400E-3,727.800000E-6,100.000000E+0
250.000000E+0,2.229755E+0,484.999999E-6,30.781150E-3,228.850000E-6,100.000000E+0
300.000000E+0,2.231140E+0,460.000000E-6,24.027600E-3,381.000000E-6,100.000000E+0
400.000000E+0,2.230370E+0,290.000001E-6,15.566500E-3,3.300000E-6,100.000000E+0
500.000000E+0,2.232270E+0,100.000004E-6,12.254600E-3,740.400000E-6,100.000000E+0
600.000000E+0,2.230980E+0,220.000001E-6,8.837995E-3,1.027405E-3,100.000000E+0
750.000000E+0,2.230425E+0,435.000000E-6,5.668250E-3,453.920000E-6,100.000000E+0
1.000000E+3,2.231045E+0,125.000000E-6,2.554830E-3,121.830000E-6,100.000000E+0
1.200000E+3,2.230300E+0,630.000000E-6,-280.735800E-6,305.207200E-6,100.000000E+0
1.500000E+3,2.230890E+0,80.000003E-6,-1.956605E-3,448.555000E-6,100.000000E+0
2.000000E+3,2.229835E+0,55.000006E-6,-8.589105E-3,300.985000E-6,100.000000E+0
2.500000E+3,2.228555E+0,4.999867E-6,-12.224950E-3,451.450000E-6,100.000000E+0
3.000000E+3,2.228935E+0,114.999999E-6,-14.676450E-3,404.850000E-6,100.000000E+0
4.000000E+3,2.229115E+0,74.999994E-6,-20.227200E-3,79.700000E-6,100.000000E+0
5.000000E+3,2.226780E+0,60.000010E-6,-27.148450E-3,650.000026E-9,100.000000E+0
6.000000E+3,2.225375E+0,494.999999E-6,-32.225900E-3,312.500000E-6,100.000000E+0
7.500000E+3,2.223415E+0,334.999999E-6,-41.051300E-3,613.300000E-6,100.000000E+0
10.000000E+3,2.224285E+0,765.000000E-6,-51.353050E-3,146.150000E-6,100.000000E+0
12.000000E+3,2.218635E+0,55.000014E-6,-61.915100E-3,439.900000E-6,100.000000E+0
15.000000E+3,2.214525E+0,695.000000E-6,-74.533500E-3,360.100000E-6,100.000000E+0
20.000000E+3,2.220020E+0,590.000001E-6,-97.607500E-3,20.100000E-6,100.000000E+0
25.000000E+3,2.205335E+0,535.000001E-6,-111.889500E-3,60.500000E-6,100.000000E+0
30.000000E+3,2.201805E+0,165.000000E-6,-129.320000E-3,237.000000E-6,100.000000E+0
40.000000E+3,2.219920E+0,1.580000E-3,-190.734000E-3,561.000000E-6,100.000000E+0
50.000000E+3,2.199115E+0,14.999986E-6,-202.886000E-3,201.000000E-6,100.000000E+0
60.000000E+3,2.198715E+0,184.999999E-6,-241.290500E-3,112.500000E-6,100.000000E+0
75.000000E+3,2.197825E+0,735.000000E-6,-302.032000E-3,387.000000E-6,100.000000E+0
100.000000E+3,2.192370E+0,229.999998E-6,-406.921000E-3,619.000000E-6,100.000000E+0
120.000000E+3,2.185085E+0,285.000000E-6,-492.299000E-3,71.000000E-6,100.000000E+0
150.000000E+3,2.170100E+0,120.000005E-6,-620.497000E-3,123.000000E-6,100.000000E+0
200.000000E+3,2.118960E+0,180.000000E-6,-970.198000E-3,221.000000E-6,100.000000E+0
