Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,Vac (mV),Vdc (mV),V_Arduino (V),P,I,D
7.403423E+0,204.460000E+0,204.460000E+0,NaN,27.000000E+0,2.744136E+0,2.422764E+0,2.808430E+0,-16.711520E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
51.651954E+0,205.000000E+0,204.520000E+0,NaN,34.000000E+0,2.725526E+0,3.036088E+0,2.806898E+0,-16.707060E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
97.002548E+0,205.000000E+0,204.780000E+0,NaN,36.000000E+0,2.708312E+0,3.323308E+0,2.801550E+0,-16.651500E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
141.864114E+0,205.000000E+0,205.430000E+0,NaN,20.000000E+0,2.680334E+0,2.002052E+0,2.793942E+0,-16.589260E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.049931E+3,204.064614E+0,205.560000E+0,NaN,29.000000E+0,2.745986E+0,4.545250E+0,2.798352E+0,-16.612500E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.094739E+3,204.064614E+0,205.560000E+0,NaN,11.000000E+0,2.724300E+0,2.087510E+0,2.800774E+0,-16.634320E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.139565E+3,202.571029E+0,205.230000E+0,NaN,24.000000E+0,2.700664E+0,3.640910E+0,2.807584E+0,-16.705960E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.184445E+3,201.076810E+0,204.390000E+0,-1.362866E-3,6.000000E+0,2.701294E+0,2.647596E+0,2.817396E+0,-16.763000E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.229339E+3,199.580825E+0,203.620000E+0,-276.742174E-3,0.000000E+0,2.680258E+0,3.725988E+0,2.828864E+0,-16.864260E+0,2.650000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.274242E+3,198.084372E+0,202.410000E+0,-363.485067E-3,0.000000E+0,2.811466E+0,2.092474E+0,2.843422E+0,-16.955060E+0,1.714500E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.319121E+3,196.587587E+0,201.080000E+0,-693.166322E-3,0.000000E+0,2.709912E+0,3.502280E+0,2.857768E+0,-17.084240E+0,1.365000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.364027E+3,195.091635E+0,199.780000E+0,-1.060528E+0,0.000000E+0,2.768174E+0,4.497476E+0,2.873990E+0,-17.213460E+0,1.365000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.408895E+3,193.594749E+0,198.540000E+0,-1.365490E+0,0.000000E+0,2.789364E+0,3.033532E+0,2.891874E+0,-17.357160E+0,1.365000E+0,100.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
