Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,2.096290E+0,1.210397E+0,267.724250E-3,155.430141E-3,100.000000E+0
25.000000E+0,2.844523E+0,4.705594E-3,274.887750E-3,596.491146E-6,100.000000E+0
30.000000E+0,2.832450E+0,15.290891E-3,222.445750E-3,15.907903E-3,100.000000E+0
40.000000E+0,2.904053E+0,18.739951E-3,212.706750E-3,26.829633E-3,100.000000E+0
50.000000E+0,2.922562E+0,18.910306E-3,198.407000E-3,7.070798E-3,100.000000E+0
60.000000E+0,2.894837E+0,35.084454E-3,86.939250E-3,23.083205E-3,100.000000E+0
75.000000E+0,2.947875E+0,7.190179E-3,71.006325E-3,19.341128E-3,100.000000E+0
100.000000E+0,2.967478E+0,73.043576E-3,56.995655E-3,61.726945E-3,100.000000E+0
120.000000E+0,3.083448E+0,31.643079E-3,34.399413E-3,48.043170E-3,100.000000E+0
150.000000E+0,3.064588E+0,58.217572E-3,2.649825E-3,33.278944E-3,100.000000E+0
200.000000E+0,3.042975E+0,7.567366E-3,32.076700E-3,7.562332E-3,100.000000E+0
250.000000E+0,2.990967E+0,11.270542E-3,25.448580E-3,37.600181E-3,100.000000E+0
300.000000E+0,3.069380E+0,25.330431E-3,20.383340E-3,9.518936E-3,100.000000E+0
400.000000E+0,3.059387E+0,14.724889E-3,13.413875E-3,5.183467E-3,100.000000E+0
500.000000E+0,3.030798E+0,16.232245E-3,3.789390E-3,7.829288E-3,100.000000E+0
600.000000E+0,3.042747E+0,7.585537E-3,2.126307E-3,2.959720E-3,100.000000E+0
750.000000E+0,3.046070E+0,7.981958E-3,5.193770E-3,4.259643E-3,100.000000E+0
1.000000E+3,3.048413E+0,5.157220E-3,-373.540000E-6,3.985488E-3,100.000000E+0
1.200000E+3,3.050850E+0,3.274775E-3,-3.366112E-3,957.118628E-6,100.000000E+0
1.500000E+3,3.049650E+0,5.486834E-3,-3.801020E-3,1.650312E-3,100.000000E+0
2.000000E+3,3.051767E+0,2.690347E-3,-10.371778E-3,1.233098E-3,100.000000E+0
2.500000E+3,3.051308E+0,2.338743E-3,-11.551725E-3,685.806031E-6,100.000000E+0
3.000000E+3,3.053833E+0,1.743694E-3,-14.940000E-3,856.614549E-6,100.000000E+0
4.000000E+3,3.051092E+0,1.726910E-3,-23.108000E-3,431.961034E-6,100.000000E+0
5.000000E+3,3.048650E+0,422.018953E-6,-30.324925E-3,729.299912E-6,100.000000E+0
6.000000E+3,3.049462E+0,1.500973E-3,-34.343350E-3,2.465230E-3,100.000000E+0
7.500000E+3,3.049227E+0,613.407492E-6,-46.364500E-3,1.021797E-3,100.000000E+0
10.000000E+3,3.048932E+0,888.379846E-6,-61.022200E-3,871.605424E-6,100.000000E+0
12.000000E+3,3.048777E+0,1.263396E-3,-72.391500E-3,659.774571E-6,100.000000E+0
15.000000E+3,3.047167E+0,1.003354E-3,-90.809150E-3,442.256761E-6,100.000000E+0
20.000000E+3,3.045530E+0,1.987800E-3,-119.946000E-3,651.383911E-6,100.000000E+0
25.000000E+3,3.043930E+0,906.173272E-6,-148.506250E-3,189.052076E-6,100.000000E+0
30.000000E+3,3.042827E+0,979.499236E-6,-178.026750E-3,195.078670E-6,100.000000E+0
40.000000E+3,3.039115E+0,2.846625E-3,-236.913250E-3,2.009370E-3,100.000000E+0
50.000000E+3,3.036485E+0,1.182254E-3,-293.408250E-3,1.272162E-3,100.000000E+0
60.000000E+3,3.032107E+0,4.186958E-3,-349.572750E-3,2.227180E-3,100.000000E+0
75.000000E+3,3.030413E+0,547.557072E-6,-435.182500E-3,729.901534E-6,100.000000E+0
100.000000E+3,3.026985E+0,2.832371E-3,-582.410250E-3,1.830712E-3,100.000000E+0
120.000000E+3,3.017293E+0,1.547165E-3,-695.768500E-3,1.853510E-3,100.000000E+0
150.000000E+3,3.008920E+0,951.236038E-6,-869.866250E-3,999.343878E-6,100.000000E+0
200.000000E+3,2.988070E+0,1.330545E-3,-1.164993E+0,723.684151E-6,100.000000E+0
