Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,1.631845E+0,942.157549E-3,189.578750E-3,110.311001E-3,100.000000E+0
25.000000E+0,2.176280E+0,289.223098E-6,196.593500E-3,373.396907E-6,100.000000E+0
30.000000E+0,2.172820E+0,5.140559E-3,155.085500E-3,10.866078E-3,100.000000E+0
40.000000E+0,2.178790E+0,48.822839E-3,100.437325E-3,57.433668E-3,100.000000E+0
50.000000E+0,2.141855E+0,51.685480E-3,57.683575E-3,40.971275E-3,100.000000E+0
60.000000E+0,2.196975E+0,22.628679E-3,69.415500E-3,19.085882E-3,100.000000E+0
75.000000E+0,2.175667E+0,22.969013E-3,69.517250E-3,28.188602E-3,100.000000E+0
100.000000E+0,2.152907E+0,16.010930E-3,81.125672E-3,48.049416E-3,100.000000E+0
120.000000E+0,2.213415E+0,9.036284E-3,62.149000E-3,26.442305E-3,100.000000E+0
150.000000E+0,2.156438E+0,31.868456E-3,-67.003950E-3,8.858208E-3,100.000000E+0
200.000000E+0,2.176673E+0,448.852704E-6,21.784575E-3,589.219965E-6,100.000000E+0
250.000000E+0,2.151887E+0,14.236605E-3,54.953075E-3,6.500134E-3,100.000000E+0
300.000000E+0,2.173750E+0,5.682794E-3,18.064700E-3,2.997308E-3,100.000000E+0
400.000000E+0,2.155607E+0,6.579211E-3,10.204698E-3,7.758151E-3,100.000000E+0
500.000000E+0,2.172017E+0,6.458566E-3,7.562468E-3,4.701926E-3,100.000000E+0
600.000000E+0,2.181443E+0,4.618384E-3,7.890988E-3,2.398202E-3,100.000000E+0
750.000000E+0,2.176410E+0,5.966888E-3,5.005857E-3,7.749476E-3,100.000000E+0
1.000000E+3,2.176982E+0,5.791957E-3,1.936078E-3,4.630317E-3,100.000000E+0
1.200000E+3,2.177140E+0,4.662119E-3,913.292500E-6,1.140773E-3,100.000000E+0
1.500000E+3,2.175105E+0,4.714517E-3,-2.059132E-3,423.863553E-6,100.000000E+0
2.000000E+3,2.177645E+0,1.324056E-3,-2.520442E-3,1.746449E-3,100.000000E+0
2.500000E+3,2.174390E+0,1.876872E-3,-4.555165E-3,1.080261E-3,100.000000E+0
3.000000E+3,2.172178E+0,702.437719E-6,-8.120745E-3,722.460310E-6,100.000000E+0
4.000000E+3,2.175512E+0,1.550038E-3,-10.063622E-3,976.587304E-6,100.000000E+0
5.000000E+3,2.173112E+0,410.022867E-6,-14.602850E-3,295.304864E-6,100.000000E+0
6.000000E+3,2.172578E+0,1.010999E-3,-16.729750E-3,262.519280E-6,100.000000E+0
7.500000E+3,2.172690E+0,384.057288E-6,-22.065250E-3,379.630745E-6,100.000000E+0
10.000000E+3,2.173157E+0,267.803568E-6,-28.848500E-3,165.686043E-6,100.000000E+0
12.000000E+3,2.172140E+0,500.249937E-6,-33.726350E-3,356.473495E-6,100.000000E+0
15.000000E+3,2.171962E+0,609.605406E-6,-41.823400E-3,489.203817E-6,100.000000E+0
20.000000E+3,2.171088E+0,214.403239E-6,-55.267850E-3,499.884619E-6,100.000000E+0
25.000000E+3,2.169820E+0,329.924234E-6,-67.959425E-3,198.108586E-6,100.000000E+0
30.000000E+3,2.169570E+0,266.176632E-6,-81.089575E-3,423.580148E-6,100.000000E+0
40.000000E+3,2.167832E+0,166.939363E-6,-106.402000E-3,606.305204E-6,100.000000E+0
50.000000E+3,2.166323E+0,385.640700E-6,-131.923250E-3,475.674455E-6,100.000000E+0
60.000000E+3,2.165150E+0,787.623006E-6,-157.154500E-3,948.480495E-6,100.000000E+0
75.000000E+3,2.164108E+0,548.104688E-6,-195.413500E-3,460.053530E-6,100.000000E+0
100.000000E+3,2.163032E+0,370.092895E-6,-259.740250E-3,500.065183E-6,100.000000E+0
120.000000E+3,2.161145E+0,432.059023E-6,-311.049000E-3,686.515477E-6,100.000000E+0
150.000000E+3,2.160712E+0,716.776640E-6,-388.856500E-3,383.348732E-6,100.000000E+0
200.000000E+3,2.157350E+0,104.880885E-6,-522.177250E-3,582.541576E-6,100.000000E+0
