Model,DPO3034
Firmware Version,2.16

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,0.0002,,
Sample Interval,4e-10,,
Record Length,5e+06,,
Gating,49.0% to 51.00%,49.0% to 51.00%,49.0% to 51.00%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.02,0.02,0.02
Label,,,
TIME,CH1,CH2,CH3
2.5280240e-04,0.0752,0.0552,0.0344
2.5280280e-04,0.0736,0.0552,0.0328
2.5280320e-04,0.0736,0.0552,0.0344
2.5280360e-04,0.072,0.0552,0.0352
2.5280400e-04,0.0712,0.0552,0.0352
2.5280440e-04,0.0688,0.056,0.0352
2.5280480e-04,0.068,0.0568,0.0352
2.5280520e-04,0.0664,0.0576,0.0344
2.5280560e-04,0.0664,0.0576,0.0336
2.5280600e-04,0.0656,0.0576,0.0336
2.5280640e-04,0.0648,0.0552,0.0352
2.5280680e-04,0.064,0.0568,0.0344
2.5280720e-04,0.064,0.056,0.0336
2.5280760e-04,0.0648,0.0552,0.0336
2.5280800e-04,0.068,0.0552,0.0336
2.5280840e-04,0.0664,0.0536,0.0352
2.5280880e-04,0.068,0.0536,0.0344
2.5280920e-04,0.0688,0.0544,0.0344
2.5280960e-04,0.0712,0.0552,0.0336
2.5281000e-04,0.072,0.0536,0.032
2.5281040e-04,0.0744,0.0552,0.032
2.5281080e-04,0.076,0.0552,0.0336
2.5281120e-04,0.0752,0.0552,0.0336
2.5281160e-04,0.0768,0.0544,0.0344
2.5281200e-04,0.0768,0.0544,0.0336
2.5281240e-04,0.0768,0.0552,0.0344
2.5281280e-04,0.0752,0.0544,0.0352
2.5281320e-04,0.0744,0.0544,0.0344
2.5281360e-04,0.0728,0.0544,0.0344
2.5281400e-04,0.072,0.0544,0.0352
2.5281440e-04,0.0712,0.056,0.0352
2.5281480e-04,0.0688,0.056,0.0344
2.5281520e-04,0.0672,0.0576,0.036
2.5281560e-04,0.0672,0.0568,0.036
2.5281600e-04,0.0656,0.056,0.0344
2.5281640e-04,0.0648,0.056,0.0344
2.5281680e-04,0.0648,0.0552,0.0336
2.5281720e-04,0.0656,0.0536,0.0336
2.5281760e-04,0.0648,0.0536,0.0344
2.5281800e-04,0.0664,0.0536,0.0336
2.5281840e-04,0.0664,0.0536,0.0336
2.5281880e-04,0.068,0.0544,0.0336
2.5281920e-04,0.0688,0.0552,0.0352
2.5281960e-04,0.0704,0.056,0.0336
2.5282000e-04,0.072,0.056,0.0328
2.5282040e-04,0.0744,0.056,0.0344
2.5282080e-04,0.0752,0.0576,0.0344
2.5282120e-04,0.0768,0.0576,0.0336
2.5282160e-04,0.0776,0.0568,0.0344
2.5282200e-04,0.0776,0.0552,0.0344
2.5282240e-04,0.0776,0.0552,0.0344
2.5282280e-04,0.076,0.0528,0.036
2.5282320e-04,0.0752,0.0536,0.036
2.5282360e-04,0.0744,0.0552,0.036
2.5282400e-04,0.0728,0.056,0.036
2.5282440e-04,0.0712,0.0544,0.0352
2.5282480e-04,0.0696,0.0552,0.036
2.5282520e-04,0.0672,0.0552,0.036
2.5282560e-04,0.0664,0.0552,0.036
2.5282600e-04,0.0648,0.0536,0.0344
2.5282640e-04,0.064,0.0536,0.0344
2.5282680e-04,0.0648,0.0536,0.0352
2.5282720e-04,0.0656,0.0528,0.0344
2.5282760e-04,0.0648,0.0536,0.0328
2.5282800e-04,0.0664,0.0536,0.0328
2.5282840e-04,0.0672,0.0552,0.0328
2.5282880e-04,0.0688,0.0568,0.032
2.5282920e-04,0.0704,0.0568,0.0344
2.5282960e-04,0.072,0.0576,0.0328
2.5283000e-04,0.0744,0.0568,0.032
2.5283040e-04,0.0744,0.0568,0.0328
2.5283080e-04,0.0768,0.0568,0.0336
2.5283120e-04,0.0768,0.0568,0.0336
2.5283160e-04,0.0776,0.056,0.032
2.5283200e-04,0.0776,0.0544,0.0336
2.5283240e-04,0.076,0.0544,0.0336
2.5283280e-04,0.0744,0.0552,0.032
2.5283320e-04,0.0736,0.0544,0.0344
2.5283360e-04,0.0728,0.0544,0.036
2.5283400e-04,0.072,0.0552,0.0352
2.5283440e-04,0.0704,0.0544,0.0352
2.5283480e-04,0.0688,0.0544,0.036
2.5283520e-04,0.068,0.0552,0.036
2.5283560e-04,0.0656,0.0544,0.0352
2.5283600e-04,0.064,0.0528,0.0344
2.5283640e-04,0.064,0.052,0.0352
2.5283680e-04,0.0632,0.0528,0.0352
2.5283720e-04,0.0624,0.0536,0.0352
2.5283760e-04,0.0624,0.0536,0.0344
2.5283800e-04,0.0632,0.0544,0.0336
2.5283840e-04,0.0648,0.0552,0.0336
2.5283880e-04,0.068,0.0536,0.0336
2.5283920e-04,0.0704,0.056,0.0336
2.5283960e-04,0.0704,0.0568,0.0336
2.5284000e-04,0.0736,0.0576,0.0336
2.5284040e-04,0.0752,0.0576,0.032
2.5284080e-04,0.076,0.0568,0.032
2.5284120e-04,0.0768,0.0552,0.0328
