Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,0.000000E+0,0.000000E+0,0.000000E+0,0.000000E+0,100.000000E+0
25.000000E+0,297.891000E+0,0.000000E+0,198.059000E-3,0.000000E+0,100.000000E+0
30.000000E+0,297.865000E+0,0.000000E+0,-96.786500E-3,0.000000E+0,100.000000E+0
40.000000E+0,298.054000E+0,0.000000E+0,57.685900E-3,0.000000E+0,100.000000E+0
50.000000E+0,298.024000E+0,0.000000E+0,124.825000E-3,0.000000E+0,100.000000E+0
60.000000E+0,298.158000E+0,0.000000E+0,-148.712000E-3,0.000000E+0,100.000000E+0
75.000000E+0,298.324000E+0,0.000000E+0,407.593000E-3,0.000000E+0,100.000000E+0
100.000000E+0,297.868000E+0,0.000000E+0,63.186600E-3,0.000000E+0,100.000000E+0
120.000000E+0,298.257000E+0,0.000000E+0,-55.206300E-3,0.000000E+0,100.000000E+0
150.000000E+0,297.610000E+0,0.000000E+0,-52.436800E-3,0.000000E+0,100.000000E+0
200.000000E+0,297.473000E+0,0.000000E+0,11.135100E-3,0.000000E+0,100.000000E+0
250.000000E+0,297.749000E+0,0.000000E+0,-747.681000E-6,0.000000E+0,100.000000E+0
300.000000E+0,297.981000E+0,0.000000E+0,-20.370500E-3,0.000000E+0,100.000000E+0
400.000000E+0,297.970000E+0,0.000000E+0,-48.858600E-3,0.000000E+0,100.000000E+0
500.000000E+0,298.012000E+0,0.000000E+0,75.332600E-3,0.000000E+0,100.000000E+0
600.000000E+0,297.755000E+0,0.000000E+0,5.233760E-3,0.000000E+0,100.000000E+0
750.000000E+0,297.351000E+0,0.000000E+0,-124.878000E-3,0.000000E+0,100.000000E+0
1.000000E+3,297.040000E+0,0.000000E+0,-189.899000E-3,0.000000E+0,100.000000E+0
1.200000E+3,297.897000E+0,0.000000E+0,-216.388000E-3,0.000000E+0,100.000000E+0
1.500000E+3,297.797000E+0,0.000000E+0,-284.076000E-3,0.000000E+0,100.000000E+0
2.000000E+3,298.021000E+0,0.000000E+0,-290.340000E-3,0.000000E+0,100.000000E+0
2.500000E+3,298.027000E+0,0.000000E+0,-422.752000E-3,0.000000E+0,100.000000E+0
3.000000E+3,297.618000E+0,0.000000E+0,-511.749000E-3,0.000000E+0,100.000000E+0
4.000000E+3,297.594000E+0,0.000000E+0,-609.757000E-3,0.000000E+0,100.000000E+0
5.000000E+3,297.739000E+0,0.000000E+0,-788.841000E-3,0.000000E+0,100.000000E+0
6.000000E+3,297.924000E+0,0.000000E+0,-1.033950E+0,0.000000E+0,100.000000E+0
7.500000E+3,297.927000E+0,0.000000E+0,-1.269340E+0,0.000000E+0,100.000000E+0
10.000000E+3,297.646000E+0,0.000000E+0,-1.611030E+0,0.000000E+0,100.000000E+0
12.000000E+3,297.629000E+0,0.000000E+0,-2.039890E+0,0.000000E+0,100.000000E+0
15.000000E+3,297.468000E+0,0.000000E+0,-2.554930E+0,0.000000E+0,100.000000E+0
20.000000E+3,297.620000E+0,0.000000E+0,-3.387180E+0,0.000000E+0,100.000000E+0
25.000000E+3,297.344000E+0,0.000000E+0,-4.326250E+0,0.000000E+0,100.000000E+0
30.000000E+3,297.499000E+0,0.000000E+0,-5.172850E+0,0.000000E+0,100.000000E+0
40.000000E+3,297.563000E+0,0.000000E+0,-6.780760E+0,0.000000E+0,100.000000E+0
50.000000E+3,297.385000E+0,0.000000E+0,-8.689630E+0,0.000000E+0,100.000000E+0
60.000000E+3,297.485000E+0,0.000000E+0,-10.400300E+0,0.000000E+0,100.000000E+0
75.000000E+3,296.868000E+0,0.000000E+0,-12.964500E+0,0.000000E+0,100.000000E+0
100.000000E+3,296.523000E+0,0.000000E+0,-17.167700E+0,0.000000E+0,100.000000E+0
120.000000E+3,296.156000E+0,0.000000E+0,-20.663000E+0,0.000000E+0,100.000000E+0
150.000000E+3,295.180000E+0,0.000000E+0,-25.641900E+0,0.000000E+0,100.000000E+0
200.000000E+3,48.684200E+0,0.000000E+0,-75.594900E+0,0.000000E+0,100.000000E+0
