Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,0.000000E+0,0.000000E+0,0.000000E+0,0.000000E+0,100.000000E+0
25.000000E+0,65.400700E+0,0.000000E+0,1.243740E+0,0.000000E+0,100.000000E+0
30.000000E+0,65.490600E+0,0.000000E+0,845.051000E-3,0.000000E+0,100.000000E+0
40.000000E+0,65.447200E+0,0.000000E+0,562.187000E-3,0.000000E+0,100.000000E+0
50.000000E+0,65.410400E+0,0.000000E+0,446.442000E-3,0.000000E+0,100.000000E+0
60.000000E+0,65.545400E+0,0.000000E+0,418.480000E-3,0.000000E+0,100.000000E+0
75.000000E+0,65.414900E+0,0.000000E+0,305.912000E-3,0.000000E+0,100.000000E+0
100.000000E+0,65.469000E+0,0.000000E+0,270.466000E-3,0.000000E+0,100.000000E+0
120.000000E+0,65.300200E+0,0.000000E+0,253.658000E-3,0.000000E+0,100.000000E+0
150.000000E+0,65.341600E+0,0.000000E+0,192.875000E-3,0.000000E+0,100.000000E+0
200.000000E+0,65.361000E+0,0.000000E+0,140.324000E-3,0.000000E+0,100.000000E+0
250.000000E+0,65.510800E+0,0.000000E+0,118.927000E-3,0.000000E+0,100.000000E+0
300.000000E+0,65.430300E+0,0.000000E+0,110.935000E-3,0.000000E+0,100.000000E+0
400.000000E+0,65.472900E+0,0.000000E+0,110.546000E-3,0.000000E+0,100.000000E+0
500.000000E+0,65.512400E+0,0.000000E+0,98.480200E-3,0.000000E+0,100.000000E+0
600.000000E+0,65.523400E+0,0.000000E+0,107.544000E-3,0.000000E+0,100.000000E+0
750.000000E+0,65.555600E+0,0.000000E+0,117.764000E-3,0.000000E+0,100.000000E+0
1.000000E+3,65.490400E+0,0.000000E+0,133.842000E-3,0.000000E+0,100.000000E+0
1.200000E+3,65.388700E+0,0.000000E+0,142.841000E-3,0.000000E+0,100.000000E+0
1.500000E+3,65.372200E+0,0.000000E+0,170.101000E-3,0.000000E+0,100.000000E+0
2.000000E+3,65.484000E+0,0.000000E+0,215.675000E-3,0.000000E+0,100.000000E+0
2.500000E+3,65.454600E+0,0.000000E+0,262.669000E-3,0.000000E+0,100.000000E+0
3.000000E+3,65.403300E+0,0.000000E+0,310.047000E-3,0.000000E+0,100.000000E+0
4.000000E+3,65.408800E+0,0.000000E+0,405.743000E-3,0.000000E+0,100.000000E+0
5.000000E+3,65.423800E+0,0.000000E+0,497.395000E-3,0.000000E+0,100.000000E+0
6.000000E+3,65.544100E+0,0.000000E+0,600.361000E-3,0.000000E+0,100.000000E+0
7.500000E+3,65.630100E+0,0.000000E+0,746.082000E-3,0.000000E+0,100.000000E+0
10.000000E+3,65.570300E+0,0.000000E+0,989.620000E-3,0.000000E+0,100.000000E+0
12.000000E+3,65.674100E+0,0.000000E+0,1.185360E+0,0.000000E+0,100.000000E+0
15.000000E+3,65.426100E+0,0.000000E+0,1.456370E+0,0.000000E+0,100.000000E+0
20.000000E+3,65.596000E+0,0.000000E+0,1.951990E+0,0.000000E+0,100.000000E+0
25.000000E+3,65.562900E+0,0.000000E+0,2.401160E+0,0.000000E+0,100.000000E+0
30.000000E+3,65.859600E+0,0.000000E+0,2.906440E+0,0.000000E+0,100.000000E+0
40.000000E+3,66.079300E+0,0.000000E+0,3.860920E+0,0.000000E+0,100.000000E+0
50.000000E+3,66.147100E+0,0.000000E+0,4.762140E+0,0.000000E+0,100.000000E+0
60.000000E+3,66.448200E+0,0.000000E+0,5.673320E+0,0.000000E+0,100.000000E+0
75.000000E+3,66.982100E+0,0.000000E+0,7.038160E+0,0.000000E+0,100.000000E+0
100.000000E+3,67.857200E+0,0.000000E+0,9.132750E+0,0.000000E+0,100.000000E+0
120.000000E+3,68.762700E+0,0.000000E+0,10.746300E+0,0.000000E+0,100.000000E+0
150.000000E+3,70.096900E+0,0.000000E+0,12.912400E+0,0.000000E+0,100.000000E+0
200.000000E+3,73.089700E+0,0.000000E+0,15.874600E+0,0.000000E+0,100.000000E+0
