Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,47.499900% to 52.500%,47.499900% to 52.500%,47.499900% to 52.500%,47.499900% to 52.500%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.02,0.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.804000e-07,0.264,0.18,0.004,0.0032
-4.800000e-07,0.26,0.184,0.0024,0.0016
-4.796000e-07,0.26,0.184,0.0032,0.0016
-4.792000e-07,0.256,0.184,0.0024,0.0008
-4.788000e-07,0.26,0.184,0.0008,0
-4.784000e-07,0.26,0.18,0,-0.0008
-4.780000e-07,0.26,0.176,-0.0016,-0.0008
-4.776000e-07,0.26,0.172,-0.0008,-0.0008
-4.772000e-07,0.264,0.172,-0.0016,-0.0016
-4.768000e-07,0.272,0.168,-0.0032,-0.0024
-4.764000e-07,0.268,0.176,-0.0032,-0.0016
-4.760000e-07,0.276,0.176,-0.0024,-0.0032
-4.756000e-07,0.276,0.168,-0.0008,-0.0016
-4.752000e-07,0.272,0.176,0,-0.0024
-4.748000e-07,0.268,0.176,-0.0008,-0.0008
-4.744000e-07,0.276,0.168,0,-0.0008
-4.740000e-07,0.276,0.172,0,0.0016
-4.736000e-07,0.276,0.176,0.0008,0.0016
-4.732000e-07,0.276,0.18,0.0008,0.0016
-4.728000e-07,0.268,0.172,0.0008,0.0024
-4.724000e-07,0.268,0.176,0.0016,0.0024
-4.720000e-07,0.268,0.184,0.0024,0.0032
-4.716000e-07,0.268,0.18,0.0032,0.0032
-4.712000e-07,0.264,0.176,0.0032,0.0024
-4.708000e-07,0.272,0.18,0.0032,0.0008
-4.704000e-07,0.272,0.184,0.0032,0.0008
-4.700000e-07,0.264,0.18,0.0008,0
-4.696000e-07,0.256,0.18,0.0008,-0.0008
-4.692000e-07,0.256,0.18,0,-0.0008
-4.688000e-07,0.26,0.18,-0.0016,-0.0024
-4.684000e-07,0.264,0.18,-0.0024,-0.0016
-4.680000e-07,0.264,0.184,-0.0016,-0.0024
-4.676000e-07,0.268,0.18,-0.0024,-0.0016
-4.672000e-07,0.268,0.184,-0.0024,-0.0032
-4.668000e-07,0.264,0.18,-0.0024,-0.004
-4.664000e-07,0.276,0.18,-0.0016,-0.004
-4.660000e-07,0.272,0.176,-0.0016,-0.004
-4.656000e-07,0.276,0.176,-0.0016,-0.004
-4.652000e-07,0.28,0.172,-0.0016,-0.004
-4.648000e-07,0.284,0.172,-0.0024,-0.0024
-4.644000e-07,0.28,0.18,-0.0024,-0.0032
-4.640000e-07,0.28,0.176,0,-0.0024
-4.636000e-07,0.28,0.172,-0.0016,-0.0008
-4.632000e-07,0.272,0.176,0,0
-4.628000e-07,0.272,0.188,0.0008,0.0016
-4.624000e-07,0.272,0.184,0.0016,0.0008
-4.620000e-07,0.272,0.18,0.0016,0.0008
-4.616000e-07,0.276,0.18,0.0016,0.0008
-4.612000e-07,0.272,0.184,0.0024,0.0008
-4.608000e-07,0.272,0.184,0.0024,0.0016
-4.604000e-07,0.276,0.188,0.0016,0
-4.600000e-07,0.268,0.188,0.0008,-0.0008
-4.596000e-07,0.268,0.18,-0.0008,-0.0008
-4.592000e-07,0.26,0.18,-0.0016,-0.0016
-4.588000e-07,0.264,0.176,-0.0024,-0.0024
-4.584000e-07,0.268,0.184,-0.0024,-0.0016
-4.580000e-07,0.272,0.176,-0.0024,-0.0016
-4.576000e-07,0.276,0.176,-0.0016,-0.0024
-4.572000e-07,0.268,0.184,-0.0016,-0.0008
-4.568000e-07,0.276,0.184,-0.0016,-0.0024
-4.564000e-07,0.276,0.184,-0.0016,-0.0008
-4.560000e-07,0.272,0.18,-0.0016,-0.0024
-4.556000e-07,0.272,0.18,-0.0016,-0.0024
-4.552000e-07,0.276,0.188,-0.0016,-0.0032
-4.548000e-07,0.284,0.176,-0.0024,-0.0024
-4.544000e-07,0.28,0.184,-0.0016,-0.0016
-4.540000e-07,0.272,0.18,-0.0008,0
-4.536000e-07,0.276,0.18,0,0.0008
-4.532000e-07,0.268,0.172,0,0.0008
-4.528000e-07,0.272,0.18,-0.0008,0
-4.524000e-07,0.272,0.184,0.0008,0.0016
-4.520000e-07,0.268,0.184,0.0032,0.0024
-4.516000e-07,0.272,0.188,0.0024,0.0016
-4.512000e-07,0.264,0.188,0.0016,0.0016
-4.508000e-07,0.26,0.184,0.0008,0.0016
-4.504000e-07,0.264,0.184,0.0008,0.0008
-4.500000e-07,0.264,0.188,0,0.0024
-4.496000e-07,0.26,0.184,0,0.0008
-4.492000e-07,0.26,0.176,0,0
-4.488000e-07,0.268,0.168,0.0008,-0.0008
-4.484000e-07,0.272,0.172,0,-0.0008
-4.480000e-07,0.272,0.172,-0.0008,-0.0008
-4.476000e-07,0.268,0.176,-0.0016,-0.0016
-4.472000e-07,0.264,0.188,-0.0016,-0.0016
-4.468000e-07,0.264,0.192,-0.0016,-0.0024
-4.464000e-07,0.272,0.18,-0.0008,-0.0016
-4.460000e-07,0.28,0.184,0,-0.0008
-4.456000e-07,0.28,0.188,-0.0008,-0.0016
-4.452000e-07,0.268,0.184,0,0
-4.448000e-07,0.272,0.184,0.0008,0
-4.444000e-07,0.272,0.192,0.0016,0.0016
-4.440000e-07,0.284,0.188,0.0008,0.0016
-4.436000e-07,0.28,0.184,0.0024,0.0016
-4.432000e-07,0.284,0.188,0.0032,0.0024
-4.428000e-07,0.272,0.188,0.004,0.0024
-4.424000e-07,0.272,0.196,0.0048,0.0032
-4.420000e-07,0.272,0.196,0.0032,0.0024
-4.416000e-07,0.272,0.184,0.0024,0.0032
-4.412000e-07,0.268,0.184,0.0024,0.0024
-4.408000e-07,0.272,0.184,0.0024,0.0024
-4.404000e-07,0.272,0.176,0.0032,0.0016
-4.400000e-07,0.268,0.18,0.0008,0.0016
-4.396000e-07,0.268,0.18,0,0
-4.392000e-07,0.268,0.176,0,-0.0008
-4.388000e-07,0.264,0.176,0,-0.0008
-4.384000e-07,0.272,0.176,-0.0016,-0.0008
-4.380000e-07,0.272,0.18,-0.0008,-0.0008
-4.376000e-07,0.272,0.176,-0.0008,-0.0008
-4.372000e-07,0.276,0.18,0,-0.0016
-4.368000e-07,0.276,0.18,-0.0008,0
-4.364000e-07,0.28,0.184,-0.0008,-0.0008
-4.360000e-07,0.28,0.196,-0.0008,-0.0008
-4.356000e-07,0.28,0.188,0,-0.0008
-4.352000e-07,0.284,0.192,0.0008,0.0016
-4.348000e-07,0.288,0.196,0.0008,0.0032
-4.344000e-07,0.28,0.2,0.0008,0.0024
-4.340000e-07,0.284,0.196,0.0016,0.0032
-4.336000e-07,0.28,0.2,0.0024,0.0032
-4.332000e-07,0.28,0.192,0.0032,0.0024
-4.328000e-07,0.284,0.188,0.004,0.004
-4.324000e-07,0.28,0.192,0.004,0.0032
-4.320000e-07,0.272,0.192,0.004,0.0032
-4.316000e-07,0.272,0.184,0.0032,0.0024
-4.312000e-07,0.276,0.184,0.0032,0.0024
-4.308000e-07,0.276,0.184,0.0024,0.0016
-4.304000e-07,0.28,0.176,0.0024,0.0016
-4.300000e-07,0.276,0.172,0.0008,0.0008
-4.296000e-07,0.276,0.168,0,0
-4.292000e-07,0.276,0.172,0.0008,-0.0008
-4.288000e-07,0.28,0.172,0.0008,-0.0008
-4.284000e-07,0.284,0.172,0,-0.0008
-4.280000e-07,0.284,0.168,0,-0.0024
-4.276000e-07,0.28,0.176,0,-0.0032
-4.272000e-07,0.28,0.18,0,-0.0032
-4.268000e-07,0.28,0.188,-0.0024,-0.0024
-4.264000e-07,0.28,0.188,-0.0016,-0.0008
-4.260000e-07,0.288,0.184,-0.0016,-0.0016
-4.256000e-07,0.288,0.188,-0.0024,-0.0016
-4.252000e-07,0.288,0.192,-0.0024,-0.0008
-4.248000e-07,0.284,0.196,-0.0016,0
-4.244000e-07,0.288,0.2,0,0.0016
-4.240000e-07,0.292,0.204,0.0016,0.0016
-4.236000e-07,0.288,0.212,0.0016,0.0016
-4.232000e-07,0.288,0.208,0.004,0.0016
-4.228000e-07,0.288,0.208,0.0032,0.0032
-4.224000e-07,0.288,0.2,0.0024,0.0032
-4.220000e-07,0.276,0.2,0.0024,0.0032
-4.216000e-07,0.276,0.192,0.0024,0.0024
-4.212000e-07,0.276,0.188,0.0024,0.0016
-4.208000e-07,0.292,0.184,0.0008,0.0024
-4.204000e-07,0.28,0.184,0.0024,0.0016
-4.200000e-07,0.28,0.184,0.0016,0.0008
-4.196000e-07,0.28,0.172,0,0
-4.192000e-07,0.276,0.172,0.0008,-0.0008
-4.188000e-07,0.272,0.172,0.0008,-0.0008
-4.184000e-07,0.28,0.168,0,-0.0016
-4.180000e-07,0.284,0.164,0,-0.0032
-4.176000e-07,0.284,0.168,-0.0016,-0.0032
-4.172000e-07,0.28,0.18,-0.0024,-0.0024
-4.168000e-07,0.284,0.18,-0.0024,-0.0024
-4.164000e-07,0.28,0.184,-0.0032,-0.0032
-4.160000e-07,0.28,0.196,-0.0032,-0.0016
-4.156000e-07,0.276,0.188,-0.0032,-0.0024
-4.152000e-07,0.276,0.192,-0.0016,-0.0016
-4.148000e-07,0.28,0.196,-0.0008,-0.0008
-4.144000e-07,0.28,0.208,0,-0.0008
-4.140000e-07,0.28,0.208,0.0008,0
-4.136000e-07,0.288,0.208,0,0
-4.132000e-07,0.288,0.2,0.0008,0.0016
-4.128000e-07,0.276,0.204,0.0008,0.0024
-4.124000e-07,0.272,0.2,0,0.0024
-4.120000e-07,0.276,0.196,0,0.0032
-4.116000e-07,0.28,0.184,0.0008,0.0016
-4.112000e-07,0.276,0.184,0.0008,0.0024
-4.108000e-07,0.272,0.18,0.0024,0.0016
-4.104000e-07,0.276,0.18,0.0016,0.0008
-4.100000e-07,0.28,0.184,0.0016,0.0016
-4.096000e-07,0.284,0.176,0.0016,0.0008
-4.092000e-07,0.276,0.168,0.0008,0
-4.088000e-07,0.28,0.172,0,-0.0008
-4.084000e-07,0.288,0.176,0,-0.0016
-4.080000e-07,0.28,0.176,0,-0.0032
-4.076000e-07,0.28,0.176,-0.0016,-0.0032
-4.072000e-07,0.284,0.176,-0.0024,-0.0032
-4.068000e-07,0.28,0.184,-0.0016,-0.0024
-4.064000e-07,0.276,0.188,-0.0032,-0.0024
-4.060000e-07,0.28,0.184,-0.0032,-0.0024
-4.056000e-07,0.28,0.192,-0.0032,-0.0024
-4.052000e-07,0.28,0.196,-0.0016,-0.0024
-4.048000e-07,0.288,0.204,0,-0.0024
-4.044000e-07,0.28,0.204,0,-0.0016
-4.040000e-07,0.276,0.212,0.0008,0.0016
-4.036000e-07,0.28,0.208,0,0.0016
-4.032000e-07,0.272,0.204,0,0.0016
-4.028000e-07,0.28,0.204,0.0016,0.0008
-4.024000e-07,0.28,0.208,0.0016,0.0016
-4.020000e-07,0.28,0.2,0.0016,0.0032
-4.016000e-07,0.268,0.192,0.0008,0.0024
-4.012000e-07,0.272,0.188,0.0008,0.0016
-4.008000e-07,0.28,0.188,0.0008,0.0032
-4.004000e-07,0.28,0.184,0.0024,0.0032
-4.000000e-07,0.28,0.172,0.0024,0.0056
-3.996000e-07,0.28,0.176,0.0024,0.0032
-3.992000e-07,0.276,0.176,0.0008,0.0024
-3.988000e-07,0.284,0.172,0.0016,0.0016
-3.984000e-07,0.28,0.172,0.0024,0.0024
-3.980000e-07,0.28,0.18,0.0016,0.0008
-3.976000e-07,0.28,0.176,0.0008,0.0008
-3.972000e-07,0.28,0.184,0.0024,0
-3.968000e-07,0.28,0.184,0.0024,0.0008
-3.964000e-07,0.288,0.188,0.0024,0.0008
-3.960000e-07,0.288,0.192,0.0008,0.0016
-3.956000e-07,0.28,0.192,0,0
-3.952000e-07,0.276,0.196,0,0.0008
-3.948000e-07,0.276,0.2,0.0008,-0.0008
-3.944000e-07,0.28,0.204,0,-0.0008
-3.940000e-07,0.28,0.208,0,-0.0016
-3.936000e-07,0.284,0.204,0,-0.0008
-3.932000e-07,0.268,0.208,0,0.0008
-3.928000e-07,0.276,0.2,0.0008,0.0008
-3.924000e-07,0.28,0.204,0,0.0008
-3.920000e-07,0.276,0.192,0,0.0016
-3.916000e-07,0.288,0.196,0,0.0008
-3.912000e-07,0.28,0.192,0.0008,0.0016
