Model,DPO3034
Firmware Version,2.16

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1.25e+08
Sample Interval,1250
Record Length,1e+06
Gating,0.0% to 0.020%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,MATH
0.000000e+00,0.0437688
1.250000e+03,0.0275656
2.500000e+03,0.0113625
3.750000e+03,0.0554063
5.000000e+03,0.09945
6.250000e+03,0.110066
7.500000e+03,0.120684
8.750000e+03,0.111072
1.000000e+04,0.101463
1.125000e+04,0.0886625
1.250000e+04,0.0758625
1.375000e+04,0.0627031
1.500000e+04,0.0495438
1.625000e+04,0.0370844
1.750000e+04,0.0246281
1.875000e+04,0.0139844
2.000000e+04,0.00334375
2.125000e+04,0.00880313
2.250000e+04,0.0142625
2.375000e+04,0.0199813
2.500000e+04,0.0257031
2.625000e+04,0.02855
2.750000e+04,0.0313969
2.875000e+04,0.0315281
3.000000e+04,0.0316625
3.125000e+04,0.0295188
3.250000e+04,0.0273781
3.375000e+04,0.0235906
3.500000e+04,0.0198031
3.625000e+04,0.0151125
3.750000e+04,0.010425
3.875000e+04,0.00574688
4.000000e+04,0.00107187
4.125000e+04,0.00452813
4.250000e+04,0.0079875
4.375000e+04,0.0112344
4.500000e+04,0.0144844
4.625000e+04,0.0163406
4.750000e+04,0.0181969
4.875000e+04,0.0185438
5.000000e+04,0.0188906
5.125000e+04,0.017825
5.250000e+04,0.0167625
5.375000e+04,0.0145688
5.500000e+04,0.0123781
5.625000e+04,0.00947813
5.750000e+04,0.00657813
5.875000e+04,0.00364063
6.000000e+04,0.000703125
6.125000e+04,0.0031625
6.250000e+04,0.00562188
6.375000e+04,0.00789688
6.500000e+04,0.0101719
6.625000e+04,0.0115375
6.750000e+04,0.0129063
6.875000e+04,0.0132312
7.000000e+04,0.0135563
7.125000e+04,0.0128625
7.250000e+04,0.0121719
7.375000e+04,0.0106313
7.500000e+04,0.00909375
7.625000e+04,0.0069875
7.750000e+04,0.00488125
7.875000e+04,0.00265625
8.000000e+04,0.00043125
8.125000e+04,0.00233437
8.250000e+04,0.00424063
8.375000e+04,0.00599687
8.500000e+04,0.00775625
8.625000e+04,0.00884375
8.750000e+04,0.00993125
8.875000e+04,0.0102219
9.000000e+04,0.0105125
9.125000e+04,0.0100094
9.250000e+04,0.00950625
9.375000e+04,0.008325
9.500000e+04,0.00714375
9.625000e+04,0.00549375
9.750000e+04,0.00384687
9.875000e+04,0.0021
1.000000e+05,0.00035625
1.012500e+05,0.00189687
1.025000e+05,0.0034375
1.037500e+05,0.00486875
1.050000e+05,0.0063
1.062500e+05,0.00719688
1.075000e+05,0.00809688
1.087500e+05,0.00835313
1.100000e+05,0.00860938
1.112500e+05,0.00821563
1.125000e+05,0.00782187
1.137500e+05,0.0068625
1.150000e+05,0.00590625
1.162500e+05,0.00455
1.175000e+05,0.00319688
1.187500e+05,0.00172813
1.200000e+05,0.0002625
1.212500e+05,0.00155938
1.225000e+05,0.00285625
1.237500e+05,0.0040625
1.250000e+05,0.00526875
1.262500e+05,0.00603125
1.275000e+05,0.00679688
1.287500e+05,0.00702188
1.300000e+05,0.00725
1.312500e+05,0.006925
1.325000e+05,0.00660313
1.337500e+05,0.00579687
1.350000e+05,0.00499063
1.362500e+05,0.00384063
1.375000e+05,0.00269063
1.387500e+05,0.00146875
1.400000e+05,0.000246875
1.412500e+05,0.001375
1.425000e+05,0.00250625
1.437500e+05,0.00354688
1.450000e+05,0.00459063
1.462500e+05,0.00525625
1.475000e+05,0.005925
1.487500e+05,0.00612813
1.500000e+05,0.00633438
1.512500e+05,0.00605937
1.525000e+05,0.0057875
1.537500e+05,0.00509063
1.550000e+05,0.00439688
1.562500e+05,0.00339688
1.575000e+05,0.0024
1.587500e+05,0.00130625
1.600000e+05,0.0002125
1.612500e+05,0.00117813
1.625000e+05,0.00214375
1.637500e+05,0.0030625
1.650000e+05,0.00398125
1.662500e+05,0.004575
1.675000e+05,0.00516875
1.687500e+05,0.00535625
1.700000e+05,0.00554375
1.712500e+05,0.00530938
1.725000e+05,0.00507813
1.737500e+05,0.00446875
1.750000e+05,0.0038625
1.762500e+05,0.00298438
1.775000e+05,0.00210625
1.787500e+05,0.0011375
1.800000e+05,0.000171875
1.812500e+05,0.00104375
1.825000e+05,0.00191563
1.837500e+05,0.00273125
1.850000e+05,0.00355
1.862500e+05,0.00408125
1.875000e+05,0.0046125
1.887500e+05,0.00478125
1.900000e+05,0.00495313
1.912500e+05,0.00474688
1.925000e+05,0.00454062
1.937500e+05,0.00399688
1.950000e+05,0.00345625
1.962500e+05,0.00266875
1.975000e+05,0.00188125
1.987500e+05,0.000975
2.000000e+05,6.875e-05
2.012500e+05,0.000890625
2.025000e+05,0.00171563
2.037500e+05,0.00245313
2.050000e+05,0.00319063
2.062500e+05,0.00366875
2.075000e+05,0.00414688
2.087500e+05,0.0043
2.100000e+05,0.00445625
2.112500e+05,0.00426875
2.125000e+05,0.00408125
2.137500e+05,0.00359063
2.150000e+05,0.0031
2.162500e+05,0.00238438
2.175000e+05,0.00167188
2.187500e+05,0.000846875
2.200000e+05,2.1875e-05
2.212500e+05,0.000809375
2.225000e+05,0.0016
2.237500e+05,0.00226875
2.250000e+05,0.00294063
2.262500e+05,0.003375
2.275000e+05,0.0038125
2.287500e+05,0.00395313
2.300000e+05,0.00409375
2.312500e+05,0.00392188
2.325000e+05,0.00375
2.337500e+05,0.00329688
2.350000e+05,0.00284687
2.362500e+05,0.00219063
2.375000e+05,0.0015375
2.387500e+05,0.0008625
2.400000e+05,0.000190625
2.412500e+05,0.000846875
2.425000e+05,0.00150625
2.437500e+05,0.002125
2.450000e+05,0.00274688
2.462500e+05,0.00315312
2.475000e+05,0.0035625

