Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
30.000000E+0,554.285000E-3,6.102000E-3,-83.996900E-3,880.700000E-6,200.000000E+0
40.000000E+0,529.252500E-3,3.715500E-3,-97.633300E-3,3.003700E-3,200.000000E+0
50.000000E+0,629.849000E-3,4.087000E-3,-276.626000E-3,1.677000E-3,200.000000E+0
60.000000E+0,570.395000E-3,8.038000E-3,-260.770500E-3,635.500000E-6,200.000000E+0
75.000000E+0,519.863000E-3,1.861000E-3,-441.473500E-3,3.632500E-3,200.000000E+0
100.000000E+0,671.805500E-3,1.703500E-3,-518.851500E-3,6.491500E-3,200.000000E+0
120.000000E+0,622.146500E-3,95.945500E-3,-463.018500E-3,2.440500E-3,200.000000E+0
150.000000E+0,726.368000E-3,3.666000E-3,-782.604500E-3,4.270500E-3,200.000000E+0
200.000000E+0,870.923000E-3,8.208000E-3,-600.948000E-3,5.563000E-3,200.000000E+0
250.000000E+0,445.820000E-3,1.251000E-3,-711.148000E-3,1.687000E-3,200.000000E+0
300.000000E+0,364.236000E-3,60.464000E-3,-376.326500E-3,20.329500E-3,200.000000E+0
400.000000E+0,603.094000E-3,2.654000E-3,-533.288500E-3,158.500000E-6,200.000000E+0
500.000000E+0,782.615500E-3,8.636500E-3,-3.935875E-3,2.299545E-3,200.000000E+0
600.000000E+0,1.519550E+0,25.480000E-3,64.222300E-3,10.079500E-3,200.000000E+0
750.000000E+0,2.155605E+0,2.275000E-3,90.458150E-3,529.750000E-6,200.000000E+0
1.000000E+3,2.208860E+0,1.850000E-3,43.710550E-3,2.272250E-3,200.000000E+0
1.200000E+3,2.214980E+0,500.000001E-6,53.496850E-3,1.980750E-3,200.000000E+0
1.500000E+3,2.252005E+0,1.145000E-3,7.391295E-3,4.559505E-3,200.000000E+0
2.000000E+3,1.953220E+0,2.270000E-3,-7.312040E-3,3.134860E-3,200.000000E+0
2.500000E+3,1.727185E+0,8.655000E-3,-92.677900E-3,2.219100E-3,200.000000E+0
3.000000E+3,1.756135E+0,2.435000E-3,-145.373500E-3,1.131500E-3,200.000000E+0
4.000000E+3,1.883020E+0,2.250000E-3,-241.442000E-3,6.660000E-3,200.000000E+0
5.000000E+3,2.062880E+0,290.000000E-6,-263.706000E-3,2.100000E-3,200.000000E+0
6.000000E+3,2.708500E+0,1.320000E-3,-251.164000E-3,86.000000E-6,200.000000E+0
7.500000E+3,3.382500E+0,2.530000E-3,-203.359000E-3,1.394000E-3,200.000000E+0
10.000000E+3,3.481570E+0,1.560000E-3,-229.778500E-3,221.500000E-6,200.000000E+0
12.000000E+3,3.475580E+0,2.270000E-3,-278.391000E-3,1.576000E-3,200.000000E+0
15.000000E+3,3.474395E+0,464.999999E-6,-348.380000E-3,854.000000E-6,200.000000E+0
20.000000E+3,3.468410E+0,50.000002E-6,-459.290500E-3,1.081500E-3,200.000000E+0
25.000000E+3,3.464375E+0,1.225000E-3,-578.369000E-3,4.650000E-3,200.000000E+0
30.000000E+3,3.455865E+0,2.145000E-3,-698.316000E-3,2.243000E-3,200.000000E+0
40.000000E+3,3.436835E+0,154.999996E-6,-915.218500E-3,5.695500E-3,200.000000E+0
50.000000E+3,3.411695E+0,3.885000E-3,-1.146545E+0,1.895000E-3,200.000000E+0
60.000000E+3,3.395000E+0,1.810000E-3,-1.371785E+0,8.655000E-3,200.000000E+0
75.000000E+3,3.348920E+0,40.000002E-6,-1.713085E+0,7.165000E-3,200.000000E+0
100.000000E+3,3.269120E+0,7.500000E-3,-2.278520E+0,10.820000E-3,200.000000E+0
120.000000E+3,3.182935E+0,315.000002E-6,-2.730925E+0,15.145000E-3,200.000000E+0
150.000000E+3,3.042545E+0,1.395000E-3,-3.362400E+0,3.460000E-3,200.000000E+0
200.000000E+3,2.524960E+0,2.450000E-3,-4.309780E+0,1.060000E-3,200.000000E+0
