Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
30.000000E+0,7.433010E-3,9.360000E-6,-112.103000E-3,41.000000E-6,50.000000E+0
40.000000E+0,45.796750E-3,8.950000E-6,-131.107500E-3,3.500000E-6,50.000000E+0
50.000000E+0,63.257950E-3,45.150000E-6,-164.181500E-3,10.500000E-6,50.000000E+0
60.000000E+0,35.516750E-3,78.550000E-6,-219.846500E-3,6.500000E-6,50.000000E+0
75.000000E+0,54.548100E-3,96.000000E-6,-274.640000E-3,15.000000E-6,50.000000E+0
100.000000E+0,124.824000E-3,25.000000E-6,-341.967500E-3,41.500000E-6,50.000000E+0
120.000000E+0,140.508000E-3,412.000000E-6,-419.614000E-3,55.000000E-6,50.000000E+0
150.000000E+0,213.570500E-3,93.500000E-6,-495.242000E-3,45.000000E-6,50.000000E+0
200.000000E+0,197.507500E-3,153.500000E-6,-313.436500E-3,16.499999E-6,50.000000E+0
250.000000E+0,73.582250E-3,4.750000E-6,-465.427500E-3,57.500000E-6,50.000000E+0
300.000000E+0,64.589100E-3,21.800000E-6,-371.783500E-3,6.500001E-6,50.000000E+0
400.000000E+0,85.507050E-3,1.050000E-6,-352.613500E-3,18.499999E-6,50.000000E+0
500.000000E+0,56.270950E-3,58.650000E-6,-200.383000E-3,2.999999E-6,50.000000E+0
600.000000E+0,28.114150E-3,18.650000E-6,-115.891000E-3,68.000000E-6,50.000000E+0
750.000000E+0,-256.055550E-6,326.424450E-6,-44.432100E-3,664.600000E-6,50.000000E+0
1.000000E+3,-15.321800E-3,62.300000E-6,-15.419150E-3,70.950000E-6,50.000000E+0
1.200000E+3,-18.196350E-3,1.150000E-6,-9.995180E-3,29.020000E-6,50.000000E+0
1.500000E+3,-12.014500E-3,19.700000E-6,-13.672700E-3,51.600000E-6,50.000000E+0
2.000000E+3,-9.189015E-3,785.095000E-6,-12.403750E-3,407.050000E-6,50.000000E+0
2.500000E+3,1.384685E-3,54.145000E-6,-19.492600E-3,55.000000E-6,50.000000E+0
3.000000E+3,3.203725E-3,522.395000E-6,-19.592100E-3,84.600000E-6,50.000000E+0
4.000000E+3,3.844965E-3,47.125000E-6,-13.914700E-3,6.000000E-6,50.000000E+0
5.000000E+3,4.076955E-3,102.895000E-6,-12.316400E-3,36.500000E-6,50.000000E+0
6.000000E+3,-5.192485E-3,23.275000E-6,-7.749615E-3,22.795000E-6,50.000000E+0
7.500000E+3,-8.896135E-3,240.065000E-6,-341.253000E-6,692.447000E-6,50.000000E+0
10.000000E+3,-10.040415E-3,404.185000E-6,-809.587000E-6,423.283000E-6,50.000000E+0
12.000000E+3,-6.256325E-3,216.175000E-6,-2.652410E-3,161.310000E-6,50.000000E+0
15.000000E+3,-3.180080E-3,67.730000E-6,-1.588105E-3,53.735000E-6,50.000000E+0
20.000000E+3,-2.262695E-3,7.555000E-6,204.427500E-6,13.453500E-6,50.000000E+0
25.000000E+3,-3.523685E-3,36.765000E-6,-2.368860E-3,68.650000E-6,50.000000E+0
30.000000E+3,-3.176475E-3,265.185000E-6,-429.117000E-6,447.645000E-6,50.000000E+0
40.000000E+3,-2.463780E-3,20.000007E-9,908.843000E-6,14.335000E-6,50.000000E+0
50.000000E+3,-4.914160E-3,4.990000E-6,-1.574545E-3,21.665000E-6,50.000000E+0
60.000000E+3,-5.360455E-3,7.905000E-6,-1.286400E-3,18.580000E-6,50.000000E+0
75.000000E+3,-5.455650E-3,26.100000E-6,-637.026500E-6,16.998500E-6,50.000000E+0
100.000000E+3,-5.552350E-3,35.310000E-6,-432.506000E-6,20.485000E-6,50.000000E+0
120.000000E+3,-5.180890E-3,25.340000E-6,194.698500E-6,27.734500E-6,50.000000E+0
150.000000E+3,-5.644280E-3,15.920000E-6,210.253500E-6,46.866500E-6,50.000000E+0
200.000000E+3,-33.260850E-3,18.750000E-6,2.167515E-3,36.785000E-6,50.000000E+0
