Tiempo (min)	T (K) 	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Vinst 2 (V)	Iinst 2 (mA)	Rinst 2(Ohm)	Rrem 2 (Ohm)	Ibias 2 (mA)	Vbias 2 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	Icc 2 (mA)	Vcc 2 (V)	2W 1?	N
8.283809E-3	5.009000E+1	5.000000E+2	4.995000E-1	-4.670000E-4	-1.069593E+6	1.917395E+6	2.610000E-4	5.004400E-1	9.910000E+37	-4.670000E-4	-2.122056E+44	3.796935E+44	2.610000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.000000E+0
2.551813E-2	5.009000E+1	4.900000E+2	4.906200E-1	-1.330000E-4	-3.688872E+6	-2.622827E+6	-1.910000E-4	5.009600E-1	9.910000E+37	-1.330000E-4	-7.451128E+44	-5.188482E+44	-1.910000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	2.000000E+0
4.228576E-2	5.009000E+1	4.800000E+2	4.795700E-1	1.035000E-3	4.633527E+5	-1.924269E+7	-2.600000E-5	5.003100E-1	9.910000E+37	1.035000E-3	9.574879E+43	-3.811538E+45	-2.600000E-5	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	3.000000E+0
5.882003E-2	5.009000E+1	4.700000E+2	4.690300E-1	5.850000E-4	8.017607E+5	8.066290E+5	6.200000E-4	5.001100E-1	9.910000E+37	5.850000E-4	1.694017E+44	1.598387E+44	6.200000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	4.000000E+0
7.508763E-2	5.009000E+1	4.600000E+2	4.600200E-1	1.890000E-4	2.433968E+6	-6.041425E+5	-8.280000E-4	5.002300E-1	9.910000E+37	1.890000E-4	5.243386E+44	-1.196860E+44	-8.280000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	5.000000E+0
9.172191E-2	5.009000E+1	4.500000E+2	4.497100E-1	3.660000E-4	1.228716E+6	-3.129625E+6	-1.600000E-4	5.007400E-1	9.910000E+37	3.660000E-4	2.707650E+44	-6.193750E+44	-1.600000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	6.000000E+0
1.081729E-1	5.009000E+1	4.400000E+2	4.409700E-1	-1.010000E-3	-4.366040E+5	7.746357E+5	6.450000E-4	4.996400E-1	9.910000E+37	-1.010000E-3	-9.811881E+43	1.536434E+44	6.450000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	7.000000E+0
1.244738E-1	5.009000E+1	4.300000E+2	4.302100E-1	-2.510000E-4	-1.713984E+6	2.826429E+5	1.767000E-3	4.994300E-1	9.910000E+37	-2.510000E-4	-3.948207E+44	5.608376E+43	1.767000E-3	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	8.000000E+0
1.409914E-1	5.009000E+1	4.200000E+2	4.201900E-1	4.180000E-4	1.005239E+6	-1.167855E+6	-4.290000E-4	5.010100E-1	9.910000E+37	4.180000E-4	2.370813E+44	-2.310023E+44	-4.290000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	9.000000E+0
1.573757E-1	5.009000E+1	4.100000E+2	4.100500E-1	2.900000E-5	1.413966E+7	-1.114677E+6	-4.490000E-4	5.004900E-1	9.910000E+37	2.900000E-5	3.417241E+45	-2.207127E+44	-4.490000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.000000E+1
1.737766E-1	5.009000E+1	4.000000E+2	3.991200E-1	-7.520000E-4	-5.307447E+5	-2.024534E+6	-2.470000E-4	5.000600E-1	9.910000E+37	-7.520000E-4	-1.317819E+44	-4.012146E+44	-2.470000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.100000E+1
1.902442E-1	5.009000E+1	3.900000E+2	3.893000E-1	3.230000E-4	1.205263E+6	8.857270E+5	5.640000E-4	4.995500E-1	9.910000E+37	3.230000E-4	3.068111E+44	1.757092E+44	5.640000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.200000E+1
2.065785E-1	5.009000E+1	3.800000E+2	3.797600E-1	4.160000E-4	9.128846E+5	8.054194E+6	6.200000E-5	4.993600E-1	9.910000E+37	4.160000E-4	2.382212E+44	1.598387E+45	6.200000E-5	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.300000E+1
2.231461E-1	5.009000E+1	3.700000E+2	3.709600E-1	1.380000E-4	2.688116E+6	1.729619E+6	2.890000E-4	4.998600E-1	9.910000E+37	1.380000E-4	7.181159E+44	3.429066E+44	2.890000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.400000E+1
2.395470E-1	5.009000E+1	3.600000E+2	3.603400E-1	-9.920000E-4	-3.632460E+5	2.626296E+5	1.909000E-3	5.013600E-1	9.910000E+37	-9.920000E-4	-9.989919E+43	5.191200E+43	1.909000E-3	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.500000E+1
2.559313E-1	5.009000E+1	3.500000E+2	3.487500E-1	3.618000E-3	9.639303E+4	3.974841E+6	1.260000E-4	5.008300E-1	9.910000E+37	3.618000E-3	2.739082E+43	7.865079E+44	1.260000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.600000E+1
2.723656E-1	5.009000E+1	3.400000E+2	3.393600E-1	1.714000E-3	1.979930E+5	5.313284E+5	9.410000E-4	4.999800E-1	9.910000E+37	1.714000E-3	5.781797E+43	1.053135E+44	9.410000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.700000E+1
2.888165E-1	5.009000E+1	3.300000E+2	3.302200E-1	2.450000E-4	1.347837E+6	1.077586E+6	4.640000E-4	5.000000E-1	9.910000E+37	2.450000E-4	4.044898E+44	2.135776E+44	4.640000E-4	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.800000E+1
