Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	Rrem2 (Ohm)				
20.685183E+0	288.134474E+0	288.010000E+0	0.000000E+0	0.000000E+0	1.722763E+3	341.540413E+39				
24.784418E+0	288.134474E+0	288.010000E+0	0.000000E+0	0.000000E+0	1.767918E+3	349.757711E+39				
28.510631E+0	287.997833E+0	288.010000E+0	0.000000E+0	2.000000E+0	1.730963E+3	344.019579E+39				
32.234844E+0	287.873626E+0	288.010000E+0	0.000000E+0	2.000000E+0	1.729020E+3	343.447296E+39				
35.959057E+0	287.749485E+0	288.010000E+0	0.000000E+0	1.000000E+0	1.726990E+3	342.419604E+39				
39.670269E+0	287.625345E+0	288.010000E+0	0.000000E+0	1.000000E+0	1.750817E+3	345.932587E+39				
43.411483E+0	287.501638E+0	288.010000E+0	0.000000E+0	1.000000E+0	1.700230E+3	337.796381E+39				
47.154697E+0	287.376930E+0	288.010000E+0	0.000000E+0	1.000000E+0	1.728796E+3	342.407773E+39				
50.876910E+0	287.252157E+0	287.900000E+0	0.000000E+0	1.000000E+0	1.725120E+3	341.686435E+39				
54.611124E+0	287.128083E+0	287.900000E+0	0.000000E+0	0.000000E+0	1.700085E+3	338.337265E+39				
58.355338E+0	287.003609E+0	287.900000E+0	-295.841071E-3	1.000000E+0	1.730612E+3	343.687899E+39				
62.079551E+0	286.878802E+0	287.900000E+0	-590.928158E-3	0.000000E+0	1.699156E+3	338.084484E+39				
65.794763E+0	286.754662E+0	287.900000E+0	-590.928158E-3	0.000000E+0	1.797970E+3	354.909643E+39				
69.524976E+0	286.630821E+0	287.900000E+0	-295.087086E-3	0.000000E+0	1.711781E+3	340.849682E+39				
73.251190E+0	286.506481E+0	287.900000E+0	0.000000E+0	0.000000E+0	1.758485E+3	349.475258E+39				
76.978403E+0	286.382274E+0	287.790000E+0	0.000000E+0	0.000000E+0	1.704628E+3	338.100632E+39				
80.708616E+0	285.000000E+0	287.790000E+0	0.000000E+0	0.000000E+0	1.729446E+3	343.566364E+39				
84.441830E+0	285.000000E+0	287.790000E+0	-294.889295E-3	0.000000E+0	1.740021E+3	344.686061E+39				
88.170043E+0	285.000000E+0	287.680000E+0	-589.857678E-3	0.000000E+0	1.752167E+3	347.161404E+39				
91.898256E+0	285.000000E+0	287.680000E+0	-589.857678E-3	0.000000E+0	1.754491E+3	347.233172E+39				
95.625469E+0	285.000000E+0	287.570000E+0	-589.976318E-3	0.000000E+0	1.727588E+3	342.833025E+39				
99.358683E+0	285.000000E+0	287.570000E+0	-589.857710E-3	0.000000E+0	1.710028E+3	340.138389E+39				
103.131898E+0	285.000000E+0	287.460000E+0	-884.667977E-3	0.000000E+0	1.739645E+3	344.088859E+39				
106.904114E+0	285.000000E+0	287.460000E+0	-884.588886E-3	0.000000E+0	1.754008E+3	348.403881E+39				
110.643328E+0	285.000000E+0	287.460000E+0	-883.604212E-3	0.000000E+0	1.714399E+3	341.247568E+39				
114.370542E+0	285.000000E+0	287.350000E+0	-560.834181E-3	0.000000E+0	1.741763E+3	345.604442E+39				
118.096755E+0	285.000000E+0	287.350000E+0	-265.905338E-3	0.000000E+0	1.767601E+3	350.640069E+39				
121.819968E+0	285.000000E+0	287.350000E+0	-Inf	0.000000E+0	1.730909E+3	343.726046E+39				
125.546181E+0	285.000000E+0	287.350000E+0	-Inf	0.000000E+0	1.745387E+3	345.569492E+39				
129.276394E+0	285.000000E+0	287.240000E+0	NaN	0.000000E+0	1.745291E+3	346.630756E+39				
133.008607E+0	285.000000E+0	287.240000E+0	NaN	0.000000E+0	1.781496E+3	352.345533E+39				
136.762822E+0	285.000000E+0	287.240000E+0	NaN	0.000000E+0	1.730683E+3	342.487057E+39				
140.487035E+0	285.000000E+0	287.130000E+0	NaN	0.000000E+0	1.719176E+3	341.635784E+39				
144.212248E+0	285.000000E+0	287.130000E+0	-Inf	0.000000E+0	1.735088E+3	344.950015E+39				
147.938461E+0	285.000000E+0	287.130000E+0	-Inf	0.000000E+0	1.746525E+3	346.168222E+39				
151.670675E+0	285.000000E+0	287.020000E+0	-591.841848E-3	0.000000E+0	1.731257E+3	342.108715E+39				
155.397888E+0	285.000000E+0	287.020000E+0	-591.841848E-3	0.000000E+0	1.739024E+3	345.074935E+39				
159.140102E+0	285.000000E+0	287.020000E+0	-590.182479E-3	0.000000E+0	1.756557E+3	348.267973E+39				
162.862315E+0	285.000000E+0	286.910000E+0	-569.690921E-3	0.000000E+0	1.757927E+3	348.490869E+39				
166.584528E+0	285.000000E+0	286.910000E+0	-569.690921E-3	0.000000E+0	1.772748E+3	350.440438E+39				
170.317741E+0	285.000000E+0	286.800000E+0	-571.668481E-3	0.000000E+0	1.753016E+3	346.588326E+39				
174.044955E+0	285.000000E+0	286.800000E+0	-591.483596E-3	0.000000E+0	1.762236E+3	349.093625E+39				
177.781168E+0	285.000000E+0	286.800000E+0	-887.006714E-3	0.000000E+0	1.763974E+3	349.096084E+39				
181.543384E+0	285.000000E+0	286.690000E+0	-886.688523E-3	0.000000E+0	1.763001E+3	348.910491E+39				
185.278597E+0	285.000000E+0	286.690000E+0	-591.165405E-3	0.000000E+0	1.766343E+3	350.054221E+39				
189.004810E+0	285.000000E+0	286.580000E+0	-590.848153E-3	0.000000E+0	1.762299E+3	349.022315E+39				
192.738024E+0	285.000000E+0	286.580000E+0	-589.542782E-3	0.000000E+0	1.769344E+3	350.529685E+39				
196.462237E+0	285.000000E+0	286.470000E+0	-884.748667E-3	0.000000E+0	1.757304E+3	349.114531E+39				
200.180449E+0	285.000000E+0	286.360000E+0	-886.061755E-3	0.000000E+0	1.780617E+3	352.925255E+39				
203.906662E+0	285.000000E+0	286.360000E+0	-887.725115E-3	0.000000E+0	1.760843E+3	349.544287E+39				
207.630876E+0	285.000000E+0	286.260000E+0	-1.183486E+0	0.000000E+0	1.775872E+3	351.541853E+39				
211.442094E+0	285.000000E+0	286.260000E+0	-1.182213E+0	0.000000E+0	1.766698E+3	351.072347E+39				
215.208309E+0	285.000000E+0	286.150000E+0	-1.154401E+0	0.000000E+0	1.755230E+3	348.025805E+39				
218.957523E+0	285.000000E+0	286.150000E+0	-831.767496E-3	0.000000E+0	1.781666E+3	353.486713E+39				
222.751740E+0	285.000000E+0	286.040000E+0	-507.174298E-3	0.000000E+0	1.777678E+3	351.815167E+39				
226.477953E+0	285.000000E+0	286.040000E+0	-209.643439E-3	0.000000E+0	1.770220E+3	350.542085E+39				
230.205167E+0	285.000000E+0	285.930000E+0	-237.231126E-3	0.000000E+0	1.783671E+3	353.205761E+39				
233.937380E+0	285.000000E+0	285.820000E+0	-561.784691E-3	0.000000E+0	1.785000E+3	353.412337E+39				
237.664594E+0	285.000000E+0	285.820000E+0	-886.451298E-3	0.000000E+0	1.815108E+3	358.749914E+39				
241.395807E+0	285.000000E+0	285.710000E+0	-1.181656E+0	0.000000E+0	1.787632E+3	354.436175E+39				
245.120020E+0	285.000000E+0	285.710000E+0	-1.181656E+0	1.000000E+0	1.785351E+3	353.644393E+39				
248.854234E+0	285.000000E+0	285.600000E+0	-1.181419E+0	0.000000E+0	1.792782E+3	355.428990E+39				
252.577446E+0	285.000000E+0	285.490000E+0	-885.776363E-3	1.000000E+0	1.792898E+3	355.551410E+39				
256.302660E+0	285.000000E+0	285.490000E+0	-882.099014E-3	0.000000E+0	1.798482E+3	356.245439E+39				
260.030873E+0	285.000000E+0	285.380000E+0	-1.168989E+0	2.000000E+0	1.803469E+3	357.533273E+39				
