Tiempo (min)	T (K) 	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Vinst 2 (V)	Iinst 2 (mA)	Rinst 2(Ohm)	Rrem 2 (Ohm)	Ibias 2 (mA)	Vbias 2 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	Icc 2 (mA)	Vcc 2 (V)	2W 1?	N
7.950455E-3	2.002700E+2	1.000000E+3	1.000270E+0	2.387830E-1	4.189034E+3	4.514964E+3	1.107340E-1	4.999600E-1	9.910000E+37	2.387830E-1	4.150212E+41	8.949374E+41	1.107340E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.000000E+0
2.450141E-2	2.002700E+2	1.000000E+3	9.994300E-1	2.409780E-1	4.147391E+3	4.462860E+3	1.121030E-1	5.003000E-1	9.910000E+37	2.409780E-1	4.112409E+41	8.840085E+41	1.121030E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	2.000000E+0
4.111902E-2	2.002700E+2	9.900000E+2	9.891600E-1	2.366360E-1	4.180091E+3	4.466284E+3	1.121290E-1	5.008000E-1	9.910000E+37	2.366360E-1	4.187867E+41	8.838035E+41	1.121290E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	3.000000E+0
5.781997E-2	2.002700E+2	9.800000E+2	9.793500E-1	2.334830E-1	4.194524E+3	4.409174E+3	1.135360E-1	5.006000E-1	9.910000E+37	2.334830E-1	4.244420E+41	8.728509E+41	1.135360E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	4.000000E+0
7.430425E-2	2.002700E+2	9.700000E+2	9.697800E-1	2.302660E-1	4.211564E+3	4.531648E+3	1.103550E-1	5.000900E-1	9.910000E+37	2.302660E-1	4.303718E+41	8.980110E+41	1.103550E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	5.000000E+0
9.075519E-2	2.002700E+2	9.600000E+2	9.592700E-1	2.297800E-1	4.174732E+3	4.375767E+3	1.140280E-1	4.989600E-1	9.910000E+37	2.297800E-1	4.312821E+41	8.690848E+41	1.140280E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	6.000000E+0
1.071895E-1	2.002700E+2	9.500000E+2	9.492200E-1	2.266720E-1	4.187637E+3	4.372592E+3	1.144790E-1	5.005700E-1	9.910000E+37	2.266720E-1	4.371956E+41	8.656610E+41	1.144790E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	7.000000E+0
1.240904E-1	2.002700E+2	9.400000E+2	9.413900E-1	2.219210E-1	4.242005E+3	4.303529E+3	1.161930E-1	5.000400E-1	9.910000E+37	2.219210E-1	4.465553E+41	8.528913E+41	1.161930E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	8.000000E+0
1.405414E-1	2.002700E+2	9.300000E+2	9.301200E-1	2.204680E-1	4.218844E+3	4.501242E+3	1.111360E-1	5.002500E-1	9.910000E+37	2.204680E-1	4.494983E+41	8.917003E+41	1.111360E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	9.000000E+0
1.569923E-1	2.002700E+2	9.200000E+2	9.193600E-1	2.168600E-1	4.239417E+3	4.497602E+3	1.113460E-1	5.007900E-1	9.910000E+37	2.168600E-1	4.569769E+41	8.900185E+41	1.113460E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.000000E+1
1.734266E-1	2.002700E+2	9.100000E+2	9.102000E-1	2.152730E-1	4.228120E+3	4.444069E+3	1.124060E-1	4.995400E-1	9.910000E+37	2.152730E-1	4.603457E+41	8.816255E+41	1.124060E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.100000E+1
1.898609E-1	2.002700E+2	9.000000E+2	9.010100E-1	2.104400E-1	4.281553E+3	4.317991E+3	1.157390E-1	4.997600E-1	9.910000E+37	2.104400E-1	4.709181E+41	8.562369E+41	1.157390E-1	9.910000E+37	2.000000E-2	0.000000E+0	5.000000E-1	1.000000E+1	5.000000E-1	1.000000E+1	1.000000E+0	1.200000E+1
