Tiempo (s),Setpoint (K),Temperatura (K),dT/dt (K/min),Potencia_LS (%),Z_40Hz (Ohm),Fase_40Hz,Z_50kHz (Ohm),Fase_50kHz,Vac (mV),Vdc (mV),V_Arduino (V),P,I,D
100.998777E+0,52.820000E+0,52.820000E+0,NaN,0.000000E+0,836.335000E+3,-11.657466E+0,1.782194E+3,-89.305760E+0,200.000000E+0,0.000000E+0,0.000000E+0,50.000000E+0,5.000000E+0,1.000000E+0
145.895345E+0,52.820000E+0,50.700000E+0,NaN,74.000000E+0,592.202000E+3,-17.748040E+0,1.780094E+3,-89.251400E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
190.808914E+0,51.323448E+0,53.180000E+0,NaN,0.000000E+0,810.307200E+3,-13.729976E+0,1.780652E+3,-89.246380E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
235.677480E+0,49.826329E+0,52.740000E+0,NaN,0.000000E+0,828.229200E+3,-2.203196E+0,1.782146E+3,-89.280860E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
280.579048E+0,50.000000E+0,51.360000E+0,NaN,4.000000E+0,630.166200E+3,-4.362516E+0,1.783682E+3,-89.333420E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
325.473616E+0,50.000000E+0,49.620000E+0,NaN,13.000000E+0,912.883600E+3,4.048536E+0,1.783334E+3,-89.348640E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
370.377184E+0,50.000000E+0,49.870000E+0,NaN,18.000000E+0,1.142954E+6,-1.398108E+0,1.783488E+3,-89.344900E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
415.269752E+0,50.000000E+0,49.930000E+0,-645.954079E-3,17.000000E+0,786.367200E+3,-3.771078E+0,1.784010E+3,-89.345520E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
460.190321E+0,50.000000E+0,49.940000E+0,-1.432243E+0,18.000000E+0,858.145000E+3,-11.798500E+0,1.783764E+3,-89.348560E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
505.080889E+0,50.000000E+0,49.970000E+0,-957.717556E-3,18.000000E+0,968.118400E+3,-2.091284E+0,1.783866E+3,-89.354500E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
550.475485E+0,50.000000E+0,50.000000E+0,-247.222233E-3,18.000000E+0,953.914000E+3,10.364258E+0,1.783950E+3,-89.348980E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
595.339051E+0,50.000000E+0,50.010000E+0,93.540789E-3,18.000000E+0,1.010627E+6,-924.820000E-3,1.784288E+3,-89.343020E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.059248E+3,51.545452E+0,50.050000E+0,37.786722E-3,19.000000E+0,1.041457E+6,-16.652998E+0,1.785166E+3,-89.354760E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.104116E+3,51.545452E+0,50.050000E+0,31.062266E-3,8.000000E+0,790.659600E+3,7.367476E+0,1.783940E+3,-89.326940E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.149024E+3,53.041071E+0,51.180000E+0,19.929875E-3,23.000000E+0,971.585800E+3,2.725104E+0,1.783628E+3,-89.326120E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.201900E+3,54.537990E+0,51.360000E+0,4.858788E-3,10.000000E+0,727.890800E+3,-7.852770E+0,1.782686E+3,-89.286560E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.246753E+3,56.300524E+0,52.610000E+0,247.732603E-3,13.000000E+0,642.089800E+3,-2.164506E+0,1.780790E+3,-89.253080E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.291670E+3,57.795643E+0,54.050000E+0,517.896023E-3,20.000000E+0,659.624800E+3,-2.172810E+0,1.779198E+3,-89.223940E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.336579E+3,59.292862E+0,55.760000E+0,812.320115E-3,15.000000E+0,558.979200E+3,-5.826256E+0,1.777548E+3,-89.188100E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.381504E+3,60.789848E+0,57.250000E+0,1.159891E+0,19.000000E+0,475.653800E+3,-4.051923E+0,1.775800E+3,-89.152820E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.426436E+3,62.287333E+0,58.740000E+0,1.593308E+0,32.000000E+0,492.152200E+3,-2.950136E+0,1.774196E+3,-89.134700E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.471323E+3,63.785052E+0,60.150000E+0,2.013087E+0,35.000000E+0,404.750800E+3,-3.406094E+0,1.772218E+3,-89.114540E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.516217E+3,65.281305E+0,61.580000E+0,2.077061E+0,50.000000E+0,383.370600E+3,-281.370000E-3,1.771134E+3,-89.100340E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.561130E+3,66.777757E+0,62.790000E+0,2.021449E+0,55.000000E+0,363.924400E+3,-2.758822E+0,1.769544E+3,-89.076180E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.606045E+3,68.274876E+0,64.200000E+0,1.941674E+0,63.000000E+0,338.921800E+3,-6.059414E+0,1.767946E+3,-89.071240E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.650943E+3,69.772028E+0,65.730000E+0,1.866318E+0,50.000000E+0,322.456200E+3,-1.270382E+0,1.766954E+3,-89.059480E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.695851E+3,70.000000E+0,66.180000E+0,1.803912E+0,51.000000E+0,306.022200E+3,-2.449886E+0,1.765950E+3,-89.039940E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.740763E+3,70.000000E+0,68.280000E+0,1.825955E+0,52.000000E+0,280.044200E+3,-2.114926E+0,1.764642E+3,-89.030860E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.785661E+3,70.000000E+0,68.700000E+0,1.678979E+0,53.000000E+0,266.460400E+3,-2.612970E+0,1.764460E+3,-89.019720E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.830578E+3,70.000000E+0,68.990000E+0,1.663450E+0,52.000000E+0,256.926800E+3,-758.328000E-3,1.764294E+3,-89.023200E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.875488E+3,70.000000E+0,69.260000E+0,1.569941E+0,53.000000E+0,274.186400E+3,-252.287800E-3,1.763866E+3,-89.024260E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.920401E+3,70.000000E+0,69.460000E+0,1.287094E+0,51.000000E+0,271.977000E+3,-2.429338E+0,1.764122E+3,-89.023520E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
1.965300E+3,70.000000E+0,69.620000E+0,843.970317E-3,51.000000E+0,266.189800E+3,2.063251E+0,1.763416E+3,-89.016540E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.011269E+3,70.000000E+0,69.750000E+0,387.436545E-3,50.000000E+0,228.520400E+3,-667.942200E-3,1.763146E+3,-89.013100E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.056113E+3,70.000000E+0,69.850000E+0,309.501359E-3,51.000000E+0,228.360200E+3,-104.674800E-3,1.763994E+3,-89.028580E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.101018E+3,70.000000E+0,69.930000E+0,248.646147E-3,50.000000E+0,259.608000E+3,-3.411197E+0,1.763166E+3,-89.012900E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.146418E+3,70.000000E+0,69.990000E+0,194.650041E-3,50.000000E+0,266.889600E+3,-390.991640E-3,1.763024E+3,-89.007580E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.191285E+3,70.000000E+0,70.040000E+0,154.594510E-3,50.000000E+0,239.919600E+3,3.374909E+0,1.763838E+3,-89.018960E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.655180E+3,71.685586E+0,70.190000E+0,121.771777E-3,49.000000E+0,240.171200E+3,-4.556380E+0,1.763338E+3,-89.024840E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.700044E+3,71.685586E+0,70.180000E+0,95.489883E-3,44.000000E+0,304.027000E+3,-2.897574E+0,1.784584E+3,-89.174200E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.744945E+3,73.181071E+0,72.160000E+0,51.698798E-3,52.000000E+0,274.841600E+3,568.274800E-3,1.783506E+3,-89.129500E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.789852E+3,74.677757E+0,71.860000E+0,18.117333E-3,48.000000E+0,281.094800E+3,-3.061394E+0,1.785032E+3,-89.225860E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.834750E+3,76.174642E+0,73.620000E+0,432.668436E-3,53.000000E+0,819.741800E+3,2.630994E+0,1.788210E+3,-89.687060E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.879649E+3,77.671261E+0,75.080000E+0,810.482791E-3,54.000000E+0,2.187940E+6,7.665854E+0,1.787592E+3,-89.750160E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.924557E+3,79.167880E+0,76.590000E+0,1.138207E+0,57.000000E+0,2.626106E+6,18.606520E+0,1.787658E+3,-89.742940E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
2.969465E+3,80.664832E+0,78.070000E+0,1.416456E+0,60.000000E+0,2.491054E+6,-33.335980E+0,1.787234E+3,-89.729480E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.014372E+3,82.161751E+0,79.550000E+0,1.703738E+0,72.000000E+0,2.193594E+6,-49.170986E+0,1.787356E+3,-89.733160E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.059273E+3,83.658670E+0,80.740000E+0,2.044394E+0,76.000000E+0,2.144580E+6,-50.313462E+0,1.787138E+3,-89.745260E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.104182E+3,85.155356E+0,82.240000E+0,1.986354E+0,78.000000E+0,2.520316E+6,22.164820E+0,1.787000E+3,-89.739080E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.149091E+3,86.652308E+0,83.720000E+0,1.919537E+0,81.000000E+0,2.557362E+6,-5.789700E+0,1.787104E+3,-89.726440E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.193993E+3,88.149294E+0,85.260000E+0,1.852781E+0,84.000000E+0,2.356478E+6,-45.670846E+0,1.786690E+3,-89.739320E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.238903E+3,89.646013E+0,86.690000E+0,1.857212E+0,86.000000E+0,2.570278E+6,13.037382E+0,1.787076E+3,-89.729980E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.283817E+3,90.000000E+0,88.220000E+0,1.935134E+0,91.000000E+0,2.439062E+6,-19.311820E+0,1.787262E+3,-89.723720E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.328714E+3,90.000000E+0,89.660000E+0,1.997466E+0,86.000000E+0,2.402542E+6,14.179920E+0,1.786688E+3,-89.747240E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.373625E+3,90.000000E+0,90.470000E+0,1.992969E+0,83.000000E+0,2.425030E+6,-34.106460E+0,1.786600E+3,-89.721740E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.418527E+3,90.000000E+0,90.630000E+0,1.981834E+0,83.000000E+0,2.510430E+6,-73.516880E+0,1.786544E+3,-89.735920E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.463430E+3,90.000000E+0,90.680000E+0,1.821522E+0,81.000000E+0,2.323038E+6,-41.721260E+0,1.786824E+3,-89.723000E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.508360E+3,90.000000E+0,90.690000E+0,1.378463E+0,81.000000E+0,2.451904E+6,-33.854392E+0,1.786770E+3,-89.731000E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.553242E+3,90.000000E+0,90.710000E+0,763.842550E-3,79.000000E+0,2.463232E+6,-51.008100E+0,1.786952E+3,-89.739880E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.598142E+3,90.000000E+0,90.690000E+0,276.132467E-3,80.000000E+0,2.335418E+6,-382.180000E-3,1.786980E+3,-89.740040E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.643054E+3,90.000000E+0,90.690000E+0,66.806637E-3,78.000000E+0,2.794194E+6,37.504184E+0,1.787584E+3,-89.731000E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.687959E+3,90.000000E+0,90.550000E+0,20.038711E-3,78.000000E+0,2.647204E+6,25.167916E+0,1.787686E+3,-89.717600E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.732901E+3,90.000000E+0,90.490000E+0,2.226871E-3,78.000000E+0,2.474406E+6,3.352220E+0,1.787192E+3,-89.731780E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.777772E+3,90.000000E+0,90.490000E+0,-35.628193E-3,78.000000E+0,2.430334E+6,-43.721384E+0,1.787392E+3,-89.742320E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.822687E+3,90.000000E+0,90.470000E+0,-80.148748E-3,78.000000E+0,2.796344E+6,-99.307536E+0,1.786424E+3,-89.725920E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.867576E+3,90.000000E+0,90.460000E+0,-89.056081E-3,77.000000E+0,2.390610E+6,-5.060000E-3,1.787716E+3,-89.736300E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.912481E+3,90.000000E+0,90.440000E+0,-62.336660E-3,76.000000E+0,2.616778E+6,31.142802E+0,1.787356E+3,-89.722740E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
3.957385E+3,90.000000E+0,90.400000E+0,-24.497312E-3,77.000000E+0,2.586400E+6,1.648280E+0,1.787716E+3,-89.733980E+0,200.000000E+0,0.000000E+0,2.650000E+0,50.000000E+0,5.000000E+0,1.000000E+0
